date,공인중개사
2020-03-20,2.05885
2020-03-21,1.68101
2020-03-22,1.85836
2020-03-23,2.74573
2020-03-24,2.55592
2020-03-25,2.34297
2020-03-26,2.24095
2020-03-27,2.12113
2020-03-28,1.65906
2020-03-29,1.81387
2020-03-30,2.76352
2020-03-31,2.69056
2020-04-01,2.52151
2020-04-02,2.45745
2020-04-03,2.25934
2020-04-04,1.62644
2020-04-05,2.07368
2020-04-06,2.80682
2020-04-07,2.61227
2020-04-08,2.53634
2020-04-09,2.35009
2020-04-10,2.09384
2020-04-11,1.63949
2020-04-12,1.9159
2020-04-13,2.81572
2020-04-14,2.46931
2020-04-15,1.8892
2020-04-16,2.41712
2020-04-17,2.19527
2020-04-18,1.88861
2020-04-19,2.18223
2020-04-20,3.10103
2020-04-21,2.73327
2020-04-22,2.62294
2020-04-23,2.50312
2020-04-24,2.24925
2020-04-25,1.70058
2020-04-26,1.9675
2020-04-27,2.83648
2020-04-28,2.8086
2020-04-29,2.29018
2020-04-30,1.78481
2020-05-01,1.80142
2020-05-02,1.66974
2020-05-03,1.94496
2020-05-04,2.46575
2020-05-05,2.40822
2020-05-06,3.01027
2020-05-07,2.44025
2020-05-08,2.07605
2020-05-09,1.7854
2020-05-10,2.14367
2020-05-11,3.03281
2020-05-12,2.80089
2020-05-13,2.51736
2020-05-14,2.46694
2020-05-15,2.21426
2020-05-16,1.7682
2020-05-17,2.18223
2020-05-18,3.28075
2020-05-19,3.18704
2020-05-20,2.78013
2020-05-21,2.61701
2020-05-22,2.34416
2020-05-23,1.88149
2020-05-24,2.23027
2020-05-25,3.30448
2020-05-26,2.9557
2020-05-27,2.69412
2020-05-28,2.52626
2020-05-29,2.16384
2020-05-30,1.73795
2020-05-31,1.97818
2020-06-01,2.99011
2020-06-02,2.71429
2020-06-03,2.66565
2020-06-04,2.62116
2020-06-05,2.29137
2020-06-06,2.26823
2020-06-07,2.62591
2020-06-08,3.28491
2020-06-09,3.15323
2020-06-10,2.85071
2020-06-11,2.66743
2020-06-12,2.52922
2020-06-13,2.20595
2020-06-14,2.37144
2020-06-15,3.52217
2020-06-16,3.16153
2020-06-17,2.82995
2020-06-18,2.87622
2020-06-19,2.5049
2020-06-20,1.96869
2020-06-21,2.45152
2020-06-22,3.41718
2020-06-23,3.28491
2020-06-24,2.92723
2020-06-25,2.77538
2020-06-26,2.39161
2020-06-27,1.96394
2020-06-28,2.32221
2020-06-29,3.46048
2020-06-30,3.06662
2020-07-01,2.92189
2020-07-02,2.91833
2020-07-03,2.49245
2020-07-04,1.9764
2020-07-05,2.22968
2020-07-06,3.48658
2020-07-07,3.2594
2020-07-08,3.11408
2020-07-09,2.86376
2020-07-10,2.25696
2020-07-11,2.07783
2020-07-12,2.29018
2020-07-13,3.23093
2020-07-14,3.1212
2020-07-15,2.88215
2020-07-16,2.46042
2020-07-17,2.32458
2020-07-18,1.87082
2020-07-19,2.20773
2020-07-20,3.13009
2020-07-21,3.03875
2020-07-22,2.90054
2020-07-23,2.86317
2020-07-24,2.39339
2020-07-25,1.85717
2020-07-26,2.23976
2020-07-27,3.2511
2020-07-28,3.0518
2020-07-29,2.92901
2020-07-30,2.68522
2020-07-31,2.36136
2020-08-01,2.05648
2020-08-02,2.26942
2020-08-03,3.15916
2020-08-04,3.06307
2020-08-05,3.00849
2020-08-06,2.82165
2020-08-07,2.73624
2020-08-08,2.2795
2020-08-09,3.0601
2020-08-10,25.65113
2020-08-11,6.98918
2020-08-12,5.36986
2020-08-13,4.34725
2020-08-14,3.67758
2020-08-15,2.54702
2020-08-16,2.93376
2020-08-17,3.96823
2020-08-18,5.66347
2020-08-19,5.72813
2020-08-20,3.18822
2020-08-21,2.8003
2020-08-22,2.13359
2020-08-23,2.84063
2020-08-24,3.60403
2020-08-25,3.16094
2020-08-26,2.75225
2020-08-27,2.74454
2020-08-28,2.48355
2020-08-29,2.13181
2020-08-30,2.15257
2020-08-31,3.11467
2020-09-01,2.84716
2020-09-02,2.72556
2020-09-03,2.3661
2020-09-04,2.19112
2020-09-05,1.60686
2020-09-06,1.88683
2020-09-07,2.73861
2020-09-08,2.67455
2020-09-09,2.39458
2020-09-10,2.27298
2020-09-11,2.01673
2020-09-12,1.69465
2020-09-13,1.94437
2020-09-14,2.78013
2020-09-15,2.44203
2020-09-16,2.41178
2020-09-17,2.21188
2020-09-18,1.90581
2020-09-19,2.13655
2020-09-20,2.26349
2020-09-21,3.14611
2020-09-22,2.87088
2020-09-23,3.90416
2020-09-24,3.29143
2020-09-25,2.32636
2020-09-26,1.75871
2020-09-27,1.84175
2020-09-28,2.69353
2020-09-29,2.10452
2020-09-30,1.46866
2020-10-01,1.38502
2020-10-02,1.62822
2020-10-03,1.87319
2020-10-04,2.47109
2020-10-05,3.46226
2020-10-06,3.00553
2020-10-07,3.71851
2020-10-08,3.99966
2020-10-09,2.39636
2020-10-10,2.22078
2020-10-11,2.50253
2020-10-12,3.36261
2020-10-13,3.36676
2020-10-14,3.15678
2020-10-15,2.96875
2020-10-16,2.61286
2020-10-17,2.20951
2020-10-18,2.33467
2020-10-19,3.39464
2020-10-20,3.12001
2020-10-21,3.11645
2020-10-22,3.10043
2020-10-23,2.69412
2020-10-24,2.32874
2020-10-25,2.61938
2020-10-26,4.10287
2020-10-27,3.91069
2020-10-28,4.21795
2020-10-29,5.15395
2020-10-30,8.57885
2020-10-31,100.0
2020-11-01,20.63242
2020-11-02,10.54339
2020-11-03,7.51531
2020-11-04,4.78382
2020-11-05,3.90238
2020-11-06,3.35134
2020-11-07,2.75878
2020-11-08,3.03281
2020-11-09,4.62189
2020-11-10,3.849
2020-11-11,3.34066
2020-11-12,3.47709
2020-11-13,2.88986
2020-11-14,2.23264
2020-11-15,2.48118
2020-11-16,3.67461
2020-11-17,3.3632
2020-11-18,3.25406
2020-11-19,2.95155
2020-11-20,2.65616
2020-11-21,2.14308
2020-11-22,2.38034
2020-11-23,3.26118
2020-11-24,2.98714
2020-11-25,2.88986
2020-11-26,2.76589
2020-11-27,2.49126
2020-11-28,2.03038
2020-11-29,2.32814
2020-11-30,3.30982
2020-12-01,4.23396
2020-12-02,33.06028
2020-12-03,5.47663
2020-12-04,3.63546
2020-12-05,2.55295
2020-12-06,2.91833
2020-12-07,3.89883
2020-12-08,3.35905
2020-12-09,3.35134
2020-12-10,3.1123
2020-12-11,2.69531
2020-12-12,2.46042
2020-12-13,2.54702
2020-12-14,6.485
2020-12-15,4.79865
2020-12-16,3.73511
2020-12-17,3.32406
2020-12-18,2.88275
2020-12-19,2.42661
2020-12-20,2.45982
2020-12-21,3.33829
2020-12-22,3.20898
2020-12-23,2.8347
2020-12-24,2.2623
2020-12-25,1.85065
2020-12-26,2.18697
2020-12-27,2.63125
2020-12-28,3.6497
2020-12-29,3.36854
2020-12-30,3.16865
2020-12-31,2.70954
2021-01-01,2.70124
2021-01-02,3.14492
2021-01-03,3.57674
2021-01-04,4.57265
2021-01-05,3.89349
2021-01-06,3.5192
2021-01-07,3.08976
2021-01-08,2.76293
2021-01-09,2.4877
2021-01-10,2.85427
2021-01-11,3.75647
2021-01-12,3.24872
2021-01-13,3.32939
2021-01-14,3.15975
2021-01-15,2.66743
2021-01-16,2.41534
2021-01-17,2.76471
2021-01-18,3.58149
2021-01-19,3.42074
2021-01-20,3.26771
2021-01-21,3.05061
2021-01-22,2.81928
2021-01-23,2.70717
2021-01-24,2.70005
2021-01-25,3.46404
2021-01-26,3.61648
2021-01-27,3.28669
2021-01-28,2.9646
2021-01-29,2.54998
2021-01-30,2.44203
2021-01-31,2.54168
2021-02-01,3.30804
2021-02-02,3.2511
2021-02-03,2.89639
2021-02-04,2.687
2021-02-05,2.44618
2021-02-06,2.15672
2021-02-07,2.19824
2021-02-08,2.94325
2021-02-09,3.40769
2021-02-10,2.89935
2021-02-11,2.03275
2021-02-12,2.07368
2021-02-13,2.24095
2021-02-14,2.72081
2021-02-15,3.93323
2021-02-16,3.42667
2021-02-17,3.14611
2021-02-18,2.90706
2021-02-19,2.42008
2021-02-20,2.11579
2021-02-21,2.21841
2021-02-22,3.10221
2021-02-23,2.87385
2021-02-24,2.61642
2021-02-25,2.45864
2021-02-26,2.16443
2021-02-27,1.87319
2021-02-28,2.01436
2021-03-01,2.57312
2021-03-02,3.37863
2021-03-03,3.12179
2021-03-04,2.70776
2021-03-05,2.30916
2021-03-06,1.81921
2021-03-07,2.5488
2021-03-08,3.16983
2021-03-09,2.94681
2021-03-10,2.94028
2021-03-11,2.67929
2021-03-12,2.30797
2021-03-13,1.74625
2021-03-14,2.07546
2021-03-15,3.0512
2021-03-16,2.82284
2021-03-17,2.60574
2021-03-18,2.37026
2021-03-19,2.13003
2021-03-20,1.82455
2021-03-21,2.02622
2021-03-22,2.97409
2021-03-23,2.72556
2021-03-24,2.6265
2021-03-25,2.30264
2021-03-26,2.1407
2021-03-27,1.75693
2021-03-28,1.89692
2021-03-29,2.92071
2021-03-30,2.55532
2021-03-31,2.2884
2021-04-01,2.12706
2021-04-02,1.872
2021-04-03,1.60093
2021-04-04,1.82692
2021-04-05,2.60633
2021-04-06,2.37559
2021-04-07,2.34297
2021-04-08,2.16799
2021-04-09,1.98589
2021-04-10,1.5084
2021-04-11,1.751
2021-04-12,2.62947
2021-04-13,2.46931
2021-04-14,2.4189
2021-04-15,2.25281
2021-04-16,1.97343
2021-04-17,1.67567
2021-04-18,1.79311
2021-04-19,2.5921
2021-04-20,2.39102
2021-04-21,2.33289
2021-04-22,2.27832
2021-04-23,1.92183
2021-04-24,1.56119
2021-04-25,1.78837
2021-04-26,2.5915
2021-04-27,2.48533
2021-04-28,2.35128
2021-04-29,2.19943
2021-04-30,1.96928
2021-05-01,1.52856
2021-05-02,1.72015
2021-05-03,2.41415
2021-05-04,2.1585
2021-05-05,1.66321
2021-05-06,2.26349
2021-05-07,1.91471
2021-05-08,1.55288
2021-05-09,1.79371
2021-05-10,2.67989
2021-05-11,2.43194
2021-05-12,2.28425
2021-05-13,2.07546
2021-05-14,1.84887
2021-05-15,1.52856
2021-05-16,1.87912
2021-05-17,2.61286
2021-05-18,2.21544
2021-05-19,1.77235
2021-05-20,2.38924
2021-05-21,2.04699
2021-05-22,1.58966
2021-05-23,1.91234
2021-05-24,2.68463
2021-05-25,2.42127
2021-05-26,2.37441
2021-05-27,2.24332
2021-05-28,2.0713
2021-05-29,1.61872
2021-05-30,1.83523
2021-05-31,2.63243
2021-06-01,2.5749
2021-06-02,2.48355
2021-06-03,2.36729
2021-06-04,2.0547
2021-06-05,1.77888
2021-06-06,1.96928
2021-06-07,2.96579
2021-06-08,2.57727
2021-06-09,2.42305
2021-06-10,2.20892
2021-06-11,1.94437
2021-06-12,1.58551
2021-06-13,1.84116
2021-06-14,2.5921
2021-06-15,2.48652
2021-06-16,2.46398
2021-06-17,2.2623
2021-06-18,1.97521
2021-06-19,1.55407
2021-06-20,1.72965
2021-06-21,2.67455
2021-06-22,2.58379
2021-06-23,2.38449
2021-06-24,2.36195
2021-06-25,2.16146
2021-06-26,1.64245
2021-06-27,1.80438
2021-06-28,2.69709
2021-06-29,2.531
2021-06-30,2.3406
2021-07-01,2.31569
2021-07-02,2.00309
2021-07-03,1.4906
2021-07-04,1.79904
2021-07-05,2.6354
2021-07-06,2.65379
2021-07-07,2.61464
2021-07-08,2.32696
2021-07-09,2.0541
2021-07-10,1.6638
2021-07-11,1.89039
2021-07-12,2.96757
2021-07-13,2.59388
2021-07-14,2.51143
2021-07-15,2.28662
2021-07-16,2.05648
2021-07-17,1.67685
2021-07-18,1.94852
2021-07-19,2.95333
2021-07-20,2.5915
2021-07-21,2.37382
2021-07-22,2.4616
2021-07-23,2.04995
2021-07-24,1.63593
2021-07-25,1.81921
2021-07-26,2.63481
2021-07-27,2.50965
2021-07-28,2.52329
2021-07-29,2.28662
2021-07-30,2.07724
2021-07-31,1.80735
2021-08-01,2.13952
2021-08-02,3.17102
2021-08-03,3.069
2021-08-04,3.09272
2021-08-05,3.1811
2021-08-06,2.79199
2021-08-07,2.45448
2021-08-08,3.84603
2021-08-09,38.24686
2021-08-10,9.43537
2021-08-11,7.17662
2021-08-12,6.32959
2021-08-13,6.18249
2021-08-14,4.16397
2021-08-15,2.74513
2021-08-16,5.76016
2021-08-17,6.97791
2021-08-18,4.67646
2021-08-19,4.78441
2021-08-20,5.78448
2021-08-21,3.14729
2021-08-22,2.76233
2021-08-23,3.59987
2021-08-24,3.35312
2021-08-25,3.02866
2021-08-26,2.82165
2021-08-27,2.58676
2021-08-28,2.06597
2021-08-29,2.19646
2021-08-30,3.08857
2021-08-31,2.8258
2021-09-01,2.58498
2021-09-02,2.62828
2021-09-03,2.31924
2021-09-04,1.77235
2021-09-05,1.87082
2021-09-06,2.57549
2021-09-07,2.39873
2021-09-08,2.48889
2021-09-09,2.25281
2021-09-10,2.06775
2021-09-11,1.71244
2021-09-12,1.7682
2021-09-13,2.45567
2021-09-14,2.55414
2021-09-15,2.55532
2021-09-16,2.14545
2021-09-17,1.84709
2021-09-18,1.43781
2021-09-19,1.33697
2021-09-20,1.38146
2021-09-21,1.51018
2021-09-22,1.99597
2021-09-23,2.96519
2021-09-24,2.39695
2021-09-25,1.85599
2021-09-26,2.09325
2021-09-27,2.89995
2021-09-28,2.67158
2021-09-29,2.46338
