date,파킹통장
2020-03-20,1.72629
2020-03-21,1.07893
2020-03-22,1.13935
2020-03-23,2.14923
2020-03-24,1.71766
2020-03-25,2.3866
2020-03-26,2.14492
2020-03-27,5.40762
2020-03-28,1.78671
2020-03-29,1.50187
2020-03-30,5.19615
2020-03-31,6.87065
2020-04-01,7.92369
2020-04-02,6.85771
2020-04-03,24.04298
2020-04-04,20.7846
2020-04-05,5.22204
2020-04-06,8.00569
2020-04-07,4.99331
2020-04-08,6.77571
2020-04-09,4.29847
2020-04-10,3.93163
2020-04-11,2.29597
2020-04-12,2.41249
2020-04-13,3.6209
2020-04-14,3.37922
2020-04-15,2.98649
2020-04-16,3.20227
2020-04-17,3.11596
2020-04-18,2.17944
2020-04-19,2.44702
2020-04-20,3.56911
2020-04-21,3.34038
2020-04-22,6.7196
2020-04-23,5.51983
2020-04-24,3.97479
2020-04-25,3.00375
2020-04-26,2.36934
2020-04-27,3.28859
2020-04-28,3.33175
2020-04-29,3.18933
2020-04-30,2.20102
2020-05-01,2.70165
2020-05-02,1.82987
2020-05-03,2.09744
2020-05-04,3.46985
2020-05-05,2.99943
2020-05-06,3.39648
2020-05-07,3.04259
2020-05-08,2.83975
2020-05-09,2.32186
2020-05-10,2.26576
2020-05-11,3.81079
2020-05-12,4.169
2020-05-13,3.62953
2020-05-14,3.46122
2020-05-15,3.44396
2020-05-16,2.44702
2020-05-17,2.12334
2020-05-18,9.81399
2020-05-19,3.15048
2020-05-20,3.16343
2020-05-21,2.70165
2020-05-22,5.1832
2020-05-23,9.78378
2020-05-24,2.71891
2020-05-25,3.84963
2020-05-26,3.46122
2020-05-27,3.0987
2020-05-28,2.62396
2020-05-29,2.65417
2020-05-30,2.96491
2020-05-31,2.41249
2020-06-01,3.9489
2020-06-02,3.87984
2020-06-03,3.17638
2020-06-04,2.69733
2020-06-05,2.67144
2020-06-06,1.67882
2020-06-07,1.5925
2020-06-08,2.7707
2020-06-09,2.67144
2020-06-10,2.56786
2020-06-11,2.84407
2020-06-12,3.99637
2020-06-13,2.1665
2020-06-14,1.94639
2020-06-15,2.45134
2020-06-16,3.02101
2020-06-17,2.2485
2020-06-18,1.94639
2020-06-19,2.30028
2020-06-20,1.44145
2020-06-21,1.50187
2020-06-22,2.06723
2020-06-23,2.49018
2020-06-24,2.00681
2020-06-25,2.3607
2020-06-26,2.33481
2020-06-27,1.57092
2020-06-28,1.28177
2020-06-29,2.13197
2020-06-30,2.45565
2020-07-01,3.41374
