date,ISA계좌이벤트
2020-11-28,1.19617
2020-12-14,1.19617
2021-01-04,2.87081
2021-01-05,1.19617
2021-01-07,1.19617
2021-01-14,1.67464
2021-01-24,1.19617
2021-02-03,1.67464
2021-02-22,1.4354
2021-02-25,2.15311
2021-02-27,2.15311
2021-02-28,2.39234
2021-03-01,1.91387
2021-03-02,5.02392
2021-03-03,5.26315
2021-03-04,4.54545
2021-03-05,3.82775
2021-03-06,4.30622
2021-03-07,1.91387
2021-03-08,4.30622
2021-03-09,1.19617
2021-03-10,1.91387
2021-03-11,2.63157
2021-03-12,5.50239
2021-03-13,3.58851
2021-03-14,6.45933
2021-03-15,8.85167
2021-03-16,6.93779
2021-03-17,5.26315
2021-03-18,5.98086
2021-03-19,4.06698
2021-03-20,2.39234
2021-03-21,4.54545
2021-03-22,16.26794
2021-03-23,14.83253
2021-03-24,17.22488
2021-03-25,14.11483
2021-03-26,16.98564
2021-03-27,12.67942
2021-03-28,12.91866
2021-03-29,14.83253
2021-03-30,12.91866
2021-03-31,19.61722
2021-04-01,12.20095
2021-04-02,11.24401
2021-04-03,9.0909
2021-04-04,9.33014
2021-04-05,10.76555
2021-04-06,14.5933
2021-04-07,14.11483
2021-04-08,15.07177
2021-04-09,13.87559
2021-04-10,9.80861
2021-04-11,12.44019
2021-04-12,14.11483
2021-04-13,14.83253
2021-04-14,17.94258
2021-04-15,13.39712
2021-04-16,15.311
2021-04-17,8.3732
2021-04-18,13.15789
2021-04-19,8.13397
2021-04-20,12.44019
2021-04-21,11.96172
2021-04-22,10.04784
2021-04-23,11.96172
2021-04-24,10.76555
2021-04-25,11.72248
2021-04-26,19.13875
2021-04-27,15.311
2021-04-28,9.33014
2021-04-29,11.00478
2021-04-30,12.20095
2021-05-01,7.6555
2021-05-02,8.61244
2021-05-03,14.35406
2021-05-04,12.67942
2021-05-05,8.85167
2021-05-06,9.33014
2021-05-07,16.0287
2021-05-08,4.78468
2021-05-09,5.50239
2021-05-10,8.3732
2021-05-11,7.89473
2021-05-12,13.15789
2021-05-13,7.6555
2021-05-14,9.56937
2021-05-15,6.22009
2021-05-16,3.82775
2021-05-17,10.04784
2021-05-18,5.02392
2021-05-19,3.58851
2021-05-20,8.85167
2021-05-21,9.0909
2021-05-22,2.63157
2021-05-23,6.22009
2021-05-24,6.93779
2021-05-25,9.80861
2021-05-26,9.80861
2021-05-27,6.45933
2021-05-28,7.41626
2021-05-29,4.54545
2021-05-30,7.6555
2021-05-31,12.44019
2021-06-01,13.39712
2021-06-02,21.29186
2021-06-03,13.87559
2021-06-04,15.78947
2021-06-05,9.80861
2021-06-06,7.6555
2021-06-07,11.48325
2021-06-08,11.96172
2021-06-09,8.3732
2021-06-10,8.85167
2021-06-11,5.50239
2021-06-12,3.34928
2021-06-13,3.34928
2021-06-14,8.85167
2021-06-15,11.72248
2021-06-16,10.28708
2021-06-17,6.93779
2021-06-18,7.89473
2021-06-19,5.26315
2021-06-20,7.41626
2021-06-21,9.56937
2021-06-22,8.13397
2021-06-23,9.33014
2021-06-24,7.6555
2021-06-25,6.93779
2021-06-26,6.45933
2021-06-27,5.50239
2021-06-28,9.80861
2021-06-29,11.48325
2021-06-30,12.67942
2021-07-01,12.44019
2021-07-02,13.87559
2021-07-03,7.89473
2021-07-04,16.0287
2021-07-05,12.67942
2021-07-06,13.87559
2021-07-07,9.0909
2021-07-08,11.24401
2021-07-09,6.22009
2021-07-10,4.30622
2021-07-11,8.61244
2021-07-12,8.85167
2021-07-13,11.96172
2021-07-14,8.13397
2021-07-15,8.3732
2021-07-16,11.72248
2021-07-17,5.50239
2021-07-18,5.74162
2021-07-19,11.48325
2021-07-20,7.89473
2021-07-21,9.33014
2021-07-22,7.89473
2021-07-23,11.48325
2021-07-24,8.85167
2021-07-25,10.28708
2021-07-26,43.30143
2021-07-27,56.93779
2021-07-28,47.84688
2021-07-29,24.88038
2021-07-30,21.77033
2021-07-31,16.74641
2021-08-01,29.66507
2021-08-02,35.88516
2021-08-03,29.66507
2021-08-04,29.42583
2021-08-05,43.0622
2021-08-06,21.29186
2021-08-07,17.22488
2021-08-08,26.55502
2021-08-09,34.21052
