date,IOT
2020-03-20,63.48049
2020-03-21,41.92027
2020-03-22,48.39262
2020-03-23,75.22503
2020-03-24,70.85297
2020-03-25,73.039
2020-03-26,72.91041
2020-03-27,63.09472
2020-03-28,41.62023
2020-03-29,46.89241
2020-03-30,65.36648
2020-03-31,73.76768
2020-04-01,65.75225
2020-04-02,66.09515
2020-04-03,58.8084
2020-04-04,34.07629
2020-04-05,39.09129
2020-04-06,61.89455
2020-04-07,64.80925
2020-04-08,66.2666
2020-04-09,71.66738
2020-04-10,60.13716
2020-04-11,38.27689
2020-04-12,55.25075
2020-04-13,78.78268
2020-04-14,64.59494
2020-04-15,42.77753
2020-04-16,83.88341
2020-04-17,76.59665
2020-04-18,31.97599
2020-04-19,42.30604
2020-04-20,77.79682
2020-04-21,91.64166
2020-04-22,85.1693
2020-04-23,74.62494
2020-04-24,61.93741
2020-04-25,33.9477
2020-04-26,35.57651
2020-04-27,66.99528
2020-04-28,68.92413
2020-04-29,65.4522
2020-04-30,37.29104
2020-05-01,37.89112
2020-05-02,32.36176
2020-05-03,36.26232
2020-05-04,54.69352
2020-05-05,41.23446
2020-05-06,66.18088
2020-05-07,65.32361
2020-05-08,60.09429
2020-05-09,33.1333
2020-05-10,42.52036
2020-05-11,56.87955
2020-05-12,66.18088
2020-05-13,68.79554
2020-05-14,71.23874
2020-05-15,59.19417
2020-05-16,31.07586
2020-05-17,36.26232
2020-05-18,66.86669
2020-05-19,65.75225
2020-05-20,68.23831
2020-05-21,62.83754
2020-05-22,57.09387
2020-05-23,32.01885
2020-05-24,39.9057
2020-05-25,64.1663
2020-05-26,70.59579
2020-05-27,69.60994
2020-05-28,64.46635
2020-05-29,57.73681
2020-05-30,40.46292
2020-05-31,48.6498
2020-06-01,69.09558
2020-06-02,72.82468
2020-06-03,72.48178
2020-06-04,62.5375
2020-06-05,53.53621
2020-06-06,32.14744
2020-06-07,42.52036
2020-06-08,68.62408
2020-06-09,73.72481
2020-06-10,68.70981
2020-06-11,74.23917
2020-06-12,64.12344
2020-06-13,36.90527
2020-06-14,42.09172
2020-06-15,69.22417
2020-06-16,73.38191
2020-06-17,73.16759
2020-06-18,67.03814
2020-06-19,61.2516
2020-06-20,33.26189
2020-06-21,45.82083
2020-06-22,81.82597
2020-06-23,81.78311
2020-06-24,85.12644
2020-06-25,72.2246
2020-06-26,58.03686
2020-06-27,36.64809
2020-06-28,38.49121
2020-06-29,72.99614
2020-06-30,65.36648
2020-07-01,63.60908
2020-07-02,57.69395
2020-07-03,51.95027
2020-07-04,25.80368
2020-07-05,29.7471
2020-07-06,60.18002
2020-07-07,59.79425
2020-07-08,65.88084
2020-07-09,60.39434
2020-07-10,47.23531
2020-07-11,23.01757
2020-07-12,31.97599
2020-07-13,58.12258
2020-07-14,64.25203
2020-07-15,63.22331
2020-07-16,69.60994
2020-07-17,54.99357
2020-07-18,27.90398
2020-07-19,29.48992
2020-07-20,57.35105
2020-07-21,55.93656
2020-07-22,56.45092
2020-07-23,56.62237
2020-07-24,48.82126
2020-07-25,24.43206
2020-07-26,27.68966
2020-07-27,51.47878
2020-07-28,50.92156
2020-07-29,51.82168
2020-07-30,50.66438
2020-07-31,43.37762
2020-08-01,26.3609
2020-08-02,31.29018
2020-08-03,52.59322
2020-08-04,51.99314
2020-08-05,52.07886
2020-08-06,54.73639
2020-08-07,47.66395
2020-08-08,23.61765
2020-08-09,31.033
2020-08-10,56.75096
2020-08-11,65.19502
2020-08-12,60.30861
