date,적금금리비교
2020-03-20,27.41573
2020-03-21,13.37078
2020-03-22,9.10112
2020-03-23,19.77528
2020-03-24,22.58426
2020-03-25,28.8764
2020-03-26,25.61797
2020-03-27,23.48314
2020-03-28,7.41573
2020-03-29,8.65168
2020-03-30,22.80898
2020-03-31,24.49438
2020-04-01,25.61797
2020-04-02,19.66292
2020-04-03,18.08988
2020-04-04,6.06741
2020-04-05,5.84269
2020-04-06,22.58426
2020-04-07,17.7528
2020-04-08,16.62921
2020-04-09,20.56179
2020-04-10,17.19101
2020-04-11,6.17977
2020-04-12,8.42696
2020-04-13,19.55056
2020-04-14,17.7528
2020-04-15,8.98876
2020-04-16,17.52808
2020-04-17,8.20224
2020-04-18,4.26966
2020-04-19,4.38202
2020-04-20,9.88764
2020-04-21,8.98876
2020-04-22,8.76404
2020-04-23,6.51685
2020-04-24,8.3146
2020-04-25,3.5955
2020-04-26,4.1573
2020-04-27,7.41573
2020-04-28,7.52808
2020-04-29,8.08988
2020-04-30,2.92134
2020-05-01,4.7191
2020-05-02,2.69662
2020-05-03,3.5955
2020-05-04,9.66292
2020-05-05,3.25842
2020-05-06,7.41573
2020-05-07,4.94382
2020-05-08,6.96629
2020-05-09,2.24719
2020-05-10,4.38202
2020-05-11,8.08988
2020-05-12,7.19101
2020-05-13,6.17977
2020-05-14,7.30337
2020-05-15,5.50561
2020-05-16,2.92134
2020-05-17,4.49438
2020-05-18,5.95505
2020-05-19,6.85393
2020-05-20,9.21348
2020-05-21,7.52808
2020-05-22,9.10112
2020-05-23,3.70786
2020-05-24,5.39325
2020-05-25,14.1573
2020-05-26,10.0
2020-05-27,7.7528
2020-05-28,7.30337
2020-05-29,6.17977
2020-05-30,3.70786
2020-05-31,3.48314
2020-06-01,7.97752
2020-06-02,5.95505
2020-06-03,6.51685
2020-06-04,6.85393
2020-06-05,4.26966
2020-06-06,4.04494
2020-06-07,3.48314
2020-06-08,7.30337
2020-06-09,4.83146
2020-06-10,7.19101
2020-06-11,5.05617
2020-06-12,6.29213
2020-06-13,3.25842
2020-06-14,4.49438
2020-06-15,7.86516
2020-06-16,8.42696
2020-06-17,4.38202
2020-06-18,7.07865
2020-06-19,5.84269
2020-06-20,1.46067
2020-06-21,3.14606
2020-06-22,5.73033
2020-06-23,5.39325
2020-06-24,7.30337
2020-06-25,10.33707
2020-06-26,8.3146
2020-06-27,4.7191
2020-06-28,4.60674
2020-06-29,7.86516
2020-06-30,8.76404
2020-07-01,7.52808
2020-07-02,5.95505
2020-07-03,5.61797
2020-07-04,4.04494
2020-07-05,1.57303
2020-07-06,7.97752
2020-07-07,5.73033
2020-07-08,7.07865
2020-07-09,6.62921
2020-07-10,6.96629
2020-07-11,1.34831
2020-07-12,2.80898
2020-07-13,4.26966
2020-07-14,5.61797
2020-07-15,5.95505
2020-07-16,4.49438
2020-07-17,5.39325
2020-07-18,3.14606
2020-07-19,1.79775
2020-07-20,6.40449
2020-07-21,5.61797
2020-07-22,4.83146
2020-07-23,6.06741
2020-07-24,5.50561
2020-07-25,3.48314
2020-07-26,3.14606
2020-07-27,7.52808
