date,알트코인추천
2020-05-02,0.13546
2020-06-07,0.13546
2020-07-22,0.13546
2020-08-06,0.16255
2020-08-11,0.13546
2020-08-15,0.16255
2020-08-16,0.13546
2020-08-17,0.21674
2020-08-26,0.13546
2020-08-31,0.16255
2020-09-02,0.16255
2020-09-08,0.18965
2020-11-07,0.16255
2020-11-15,0.18965
2020-11-17,0.29802
2020-11-18,0.32511
2020-11-19,0.13546
2020-11-21,0.46057
2020-11-22,0.16255
2020-11-23,0.48767
2020-11-24,0.94825
2020-11-25,0.94825
2020-11-26,0.46057
2020-11-28,0.27092
2020-11-29,0.3522
2020-11-30,0.3522
2020-12-01,0.27092
2020-12-02,0.24383
2020-12-03,0.40639
2020-12-04,0.13546
2020-12-07,0.18965
2020-12-08,0.16255
2020-12-10,0.13546
2020-12-12,0.18965
2020-12-14,0.13546
2020-12-15,0.13546
2020-12-17,0.54185
2020-12-18,0.3793
2020-12-19,0.3793
2020-12-20,0.3793
2020-12-21,0.43348
2020-12-22,0.3793
2020-12-25,0.16255
2020-12-27,1.02953
2020-12-28,0.7586
2020-12-29,1.05662
2020-12-30,1.02953
2020-12-31,1.67976
2021-01-01,2.57382
2021-01-02,2.70929
2021-01-03,5.55405
2021-01-04,5.55405
2021-01-05,3.87428
2021-01-06,5.79788
2021-01-07,8.26334
2021-01-08,7.01706
2021-01-09,8.07369
2021-01-10,9.86182
2021-01-11,4.63289
2021-01-12,2.73638
2021-01-13,2.98022
2021-01-14,4.65998
2021-01-15,4.84963
2021-01-16,6.69195
2021-01-17,6.17718
2021-01-18,4.55161
2021-01-19,4.84963
2021-01-20,5.14765
2021-01-21,3.49498
2021-01-22,2.11324
2021-01-23,3.11568
2021-01-24,2.95312
2021-01-25,3.73882
2021-01-26,2.30289
2021-01-27,1.92359
2021-01-28,1.78813
2021-01-29,1.49011
2021-01-30,2.2758
2021-01-31,2.87185
2021-02-01,3.25115
2021-02-02,4.28068
2021-02-03,3.92847
2021-02-04,6.01463
2021-02-05,5.22893
2021-02-06,5.41858
2021-02-07,4.60579
2021-02-08,3.98266
2021-02-09,8.94066
2021-02-10,8.37171
2021-02-11,9.31996
2021-02-12,11.35193
2021-02-13,11.51449
2021-02-14,10.64752
2021-02-15,8.3988
2021-02-16,9.34706
2021-02-17,16.25575
2021-02-18,31.94256
2021-02-19,36.71091
2021-02-20,37.25277
2021-02-21,34.59767
2021-02-22,24.60037
2021-02-23,11.40612
2021-02-24,9.23868
2021-02-25,11.43321
2021-02-26,10.56624
2021-02-27,10.45787
2021-02-28,7.2609
2021-03-01,6.58358
2021-03-02,7.6402
2021-03-03,13.7632
2021-03-04,13.81739
2021-03-05,7.58602
2021-03-06,9.21159
2021-03-07,9.02194
2021-03-08,8.91357
2021-03-09,13.43809
2021-03-10,13.60065
2021-03-11,12.86914
2021-03-12,15.49715
2021-03-13,22.46003
2021-03-14,21.75562
2021-03-15,22.64968
2021-03-16,26.60525
2021-03-17,26.11758
2021-03-18,22.83933
2021-03-19,24.79002
2021-03-20,28.79978
2021-03-21,21.99945
2021-03-22,24.57328
