date,재단법인
2020-12-11,65.79804
2020-12-12,34.52768
2020-12-13,36.15635
2020-12-14,64.49511
2020-12-15,75.89576
2020-12-16,62.54071
2020-12-17,55.70032
2020-12-18,50.16286
2020-12-19,27.68729
2020-12-20,30.61889
2020-12-21,69.05537
2020-12-22,76.87296
2020-12-23,68.4039
2020-12-24,43.6482
2020-12-25,23.12703
2020-12-26,21.49837
2020-12-27,25.40716
2020-12-28,64.82084
2020-12-29,66.12377
2020-12-30,58.95765
2020-12-31,45.27687
2021-01-01,26.71009
2021-01-02,27.68729
2021-01-03,32.57328
2021-01-04,65.14657
2021-01-05,69.3811
2021-01-06,65.47231
2021-01-07,57.00325
2021-01-08,59.28338
2021-01-09,35.83061
2021-01-10,32.89902
2021-01-11,65.79804
2021-01-12,67.42671
2021-01-13,81.10749
2021-01-14,62.21498
2021-01-15,58.95765
2021-01-16,30.94462
2021-01-17,31.27035
2021-01-18,57.00325
2021-01-19,84.36482
2021-01-20,77.19869
2021-01-21,75.24429
2021-01-22,57.98045
2021-01-23,30.94462
2021-01-24,31.59609
2021-01-25,60.26058
2021-01-26,68.4039
2021-01-27,69.70684
2021-01-28,65.47231
2021-01-29,49.18566
2021-01-30,34.20195
2021-01-31,37.13355
2021-02-01,59.60912
2021-02-02,62.54071
2021-02-03,69.3811
2021-02-04,64.49511
2021-02-05,56.35179
2021-02-06,32.24755
2021-02-07,39.08794
2021-02-08,57.65472
2021-02-09,55.37459
2021-02-10,54.72312
2021-02-11,23.12703
2021-02-12,21.17263
2021-02-13,29.64169
2021-02-14,29.64169
2021-02-15,74.2671
2021-02-16,66.77524
2021-02-17,63.19218
2021-02-18,66.44951
2021-02-19,65.14657
2021-02-20,33.22475
2021-02-21,31.92182
2021-02-22,73.61563
2021-02-23,62.21498
2021-02-24,66.77524
2021-02-25,80.78175
2021-02-26,69.05537
2021-02-27,28.33876
2021-02-28,25.40716
2021-03-01,30.94462
2021-03-02,63.19218
2021-03-03,66.44951
2021-03-04,64.16938
2021-03-05,63.19218
2021-03-06,32.89902
2021-03-07,28.33876
2021-03-08,67.10097
2021-03-09,70.68403
2021-03-10,65.47231
2021-03-11,68.07817
2021-03-12,58.63192
2021-03-13,28.99022
2021-03-14,35.17915
2021-03-15,72.3127
2021-03-16,72.96416
2021-03-17,69.05537
2021-03-18,78.50162
2021-03-19,65.47231
2021-03-20,31.27035
2021-03-21,29.31596
2021-03-22,67.10097
2021-03-23,80.13029
2021-03-24,78.17589
2021-03-25,68.07817
2021-03-26,59.28338
2021-03-27,31.92182
2021-03-28,33.22475
2021-03-29,68.4039
2021-03-30,79.15309
2021-03-31,68.72964
2021-04-01,55.04885
2021-04-02,54.07166
2021-04-03,25.40716
2021-04-04,31.59609
2021-04-05,59.28338
2021-04-06,71.00977
2021-04-07,65.47231
2021-04-08,72.96416
2021-04-09,61.88925
2021-04-10,30.94462
2021-04-11,29.96742
2021-04-12,73.2899
2021-04-13,70.3583
2021-04-14,68.07817
2021-04-15,67.75244
2021-04-16,60.26058
2021-04-17,32.89902
2021-04-18,32.89902
2021-04-19,72.96416
2021-04-20,70.3583
2021-04-21,81.75895
2021-04-22,71.66123
2021-04-23,55.37459
2021-04-24,32.24755
2021-04-25,32.24755
2021-04-26,69.70684
2021-04-27,67.75244
2021-04-28,71.66123
2021-04-29,53.42019
2021-04-30,50.16286
2021-05-01,35.50488
2021-05-02,28.99022
2021-05-03,55.04885
2021-05-04,55.04885
2021-05-05,23.7785
2021-05-06,56.67752
2021-05-07,53.09446
2021-05-08,22.8013
2021-05-09,28.99022
2021-05-10,68.72964
2021-05-11,70.68403
2021-05-12,66.77524
2021-05-13,66.12377
2021-05-14,59.60912
2021-05-15,30.61889
2021-05-16,21.49837
2021-05-17,58.30618
2021-05-18,52.76872
2021-05-19,29.64169
2021-05-20,65.14657
2021-05-21,55.70032
2021-05-22,33.22475
2021-05-23,28.66449
2021-05-24,53.09446
2021-05-25,65.14657
2021-05-26,63.51791
2021-05-27,60.91205
2021-05-28,57.65472
2021-05-29,26.38436
2021-05-30,33.55048
2021-05-31,58.63192
2021-06-01,49.5114
2021-06-02,59.93485
2021-06-03,59.28338
2021-06-04,58.30618
2021-06-05,32.24755
2021-06-06,25.08143
2021-06-07,75.24429
2021-06-08,67.10097
2021-06-09,51.14006
2021-06-10,57.98045
2021-06-11,57.98045
2021-06-12,29.64169
2021-06-13,36.80781
2021-06-14,59.28338
2021-06-15,69.3811
2021-06-16,63.84364
2021-06-17,56.35179
2021-06-18,52.11726
2021-06-19,23.45276
2021-06-20,34.85342
2021-06-21,66.12377
2021-06-22,55.37459
2021-06-23,58.63192
2021-06-24,55.37459
2021-06-25,47.557
2021-06-26,22.47557
2021-06-27,19.8697
2021-06-28,59.60912
2021-06-29,55.70032
2021-06-30,54.07166
2021-07-01,55.04885
2021-07-02,55.70032
2021-07-03,25.40716
2021-07-04,31.27035
2021-07-05,71.66123
2021-07-06,62.21498
2021-07-07,57.32899
2021-07-08,59.28338
2021-07-09,54.07166
2021-07-10,23.12703
2021-07-11,24.7557
2021-07-12,57.98045
2021-07-13,61.23778
2021-07-14,63.84364
2021-07-15,67.75244
2021-07-16,57.65472
2021-07-17,31.59609
2021-07-18,30.29315
2021-07-19,62.54071
2021-07-20,60.91205
2021-07-21,61.88925
2021-07-22,52.44299
2021-07-23,51.14006
2021-07-24,20.8469
2021-07-25,22.8013
2021-07-26,49.18566
2021-07-27,48.85993
2021-07-28,49.83713
2021-07-29,63.84364
2021-07-30,36.15635
2021-07-31,18.56677
2021-08-01,22.47557
2021-08-02,49.5114
2021-08-03,56.67752
2021-08-04,46.25407
2021-08-05,50.16286
2021-08-06,42.34527
2021-08-07,22.47557
2021-08-08,24.10423
2021-08-09,54.39739
2021-08-10,56.02605
2021-08-11,54.39739
2021-08-12,49.18566
2021-08-13,48.85993
2021-08-14,21.49837
2021-08-15,22.47557
2021-08-16,27.03583
2021-08-17,47.23127
2021-08-18,67.10097
2021-08-19,70.3583
2021-08-20,55.04885
2021-08-21,25.08143
2021-08-22,30.94462
2021-08-23,64.49511
2021-08-24,66.77524
2021-08-25,60.58631
2021-08-26,59.60912
2021-08-27,56.35179
2021-08-28,39.08794
2021-08-29,25.73289
2021-08-30,55.04885
2021-08-31,59.60912
2021-09-01,56.02605
2021-09-02,56.67752
2021-09-03,54.72312
2021-09-04,27.36156
2021-09-05,22.8013
2021-09-06,51.79153
2021-09-07,61.56351
2021-09-08,50.81433
2021-09-09,60.58631
2021-09-10,56.02605
2021-09-11,24.42996
2021-09-12,31.27035
2021-09-13,53.42019
2021-09-14,67.42671
2021-09-15,53.09446
2021-09-16,48.5342
2021-09-17,40.71661
2021-09-18,26.05863
2021-09-19,19.8697
2021-09-20,19.8697
2021-09-21,20.19543
2021-09-22,28.01302
2021-09-23,58.30618
2021-09-24,55.70032
2021-09-25,29.64169
2021-09-26,24.10423
2021-09-27,49.5114
2021-09-28,50.48859
2021-09-29,63.19218
2021-09-30,55.70032
2021-10-01,50.16286
2021-10-02,34.52768
2021-10-03,24.7557
