date,KODEX미국반도체MV
2021-06-28,1.58227
2021-06-29,9.70464
2021-06-30,42.19409
2021-07-01,30.6962
2021-07-02,25.10548
2021-07-03,20.78059
2021-07-04,20.46413
2021-07-05,30.37974
2021-07-06,23.73417
2021-07-07,19.62025
2021-07-08,31.75105
2021-07-09,18.03797
2021-07-10,16.03375
2021-07-11,20.6751
2021-07-12,26.3713
2021-07-13,25.52742
2021-07-14,20.25316
2021-07-15,24.2616
2021-07-16,44.09282
2021-07-17,13.92405
2021-07-18,14.13502
2021-07-19,37.23628
2021-07-20,31.11814
2021-07-21,26.58227
2021-07-22,29.53586
2021-07-23,29.53586
2021-07-24,11.18143
2021-07-25,9.38818
2021-07-26,25.21097
2021-07-27,14.66244
2021-07-28,19.19831
2021-07-29,18.5654
2021-07-30,17.0886
2021-07-31,9.91561
2021-08-01,6.11814
2021-08-02,14.55696
2021-08-03,15.82278
2021-08-04,21.62447
2021-08-05,25.10548
2021-08-06,17.19409
2021-08-07,20.04219
2021-08-08,20.35864
2021-08-09,27.42616
2021-08-10,20.35864
2021-08-11,23.10126
2021-08-12,19.19831
2021-08-13,19.9367
2021-08-14,6.75105
2021-08-15,5.80168
2021-08-16,8.43881
2021-08-17,14.9789
2021-08-18,18.35443
2021-08-19,13.18565
2021-08-20,14.76793
2021-08-21,5.37974
2021-08-22,5.27426
2021-08-23,13.39662
2021-08-24,12.97468
2021-08-25,12.76371
2021-08-26,14.45147
2021-08-27,15.61181
2021-08-28,5.90717
2021-08-29,5.80168
2021-08-30,11.91983
2021-08-31,15.29535
2021-09-01,8.5443
2021-09-02,12.76371
2021-09-03,11.28691
2021-09-04,2.53164
2021-09-05,3.58649
2021-09-06,7.48945
2021-09-07,9.81012
2021-09-08,8.43881
2021-09-09,7.27848
2021-09-10,6.43459
2021-09-11,3.05907
2021-09-12,2.74261
2021-09-13,11.28691
2021-09-14,7.17299
2021-09-15,8.96624
2021-09-16,7.27848
2021-09-17,9.07172
2021-09-18,3.90295
2021-09-19,3.27004
2021-09-20,2.63713
2021-09-21,1.79324
2021-09-22,1.79324
2021-09-23,9.59915
2021-09-24,9.07172
2021-09-25,3.48101
2021-09-26,6.32911
2021-09-27,13.92405
2021-09-28,7.70042
2021-09-29,10.33755
2021-09-30,13.71308
2021-10-01,9.49367
2021-10-02,2.21518
2021-10-03,2.95358
2021-10-04,2.95358
2021-10-05,9.59915
2021-10-06,9.38818
2021-10-07,13.29113
2021-10-08,9.07172
2021-10-09,3.05907
2021-10-10,2.32067
2021-10-11,3.79746
2021-10-12,9.49367
2021-10-13,11.70886
2021-10-14,9.2827
2021-10-15,11.18143
2021-10-16,6.54008
2021-10-17,2.32067
2021-10-18,11.49789
2021-10-19,10.97046
2021-10-20,9.81012
2021-10-21,8.33333
2021-10-22,10.97046
2021-10-23,3.05907
2021-10-24,2.95358
2021-10-25,6.64556
2021-10-26,9.17721
2021-10-27,9.49367
2021-10-28,10.654
2021-10-29,8.96624
2021-10-30,2.63713
2021-10-31,1.47679
