date,광명전기주가
2020-03-20,3.01421
2020-03-21,0.22748
2020-03-22,0.17061
2020-03-23,2.57819
2020-03-24,2.49289
2020-03-25,2.96682
2020-03-26,2.72037
2020-03-27,2.7962
2020-03-28,0.24644
2020-03-29,0.12322
2020-03-30,2.2654
2020-03-31,3.58293
2020-04-01,3.14691
2020-04-02,3.00473
2020-04-03,3.36492
2020-04-04,0.23696
2020-04-05,0.0853
2020-04-06,3.109
2020-04-07,3.74407
2020-04-08,3.57345
2020-04-09,3.78199
2020-04-10,3.8199
2020-04-11,0.2654
2020-04-12,0.20853
2020-04-13,3.45971
2020-04-14,5.26066
2020-04-15,0.9763
2020-04-16,6.81516
2020-04-17,6.82464
2020-04-18,0.55924
2020-04-19,0.67298
2020-04-20,7.41232
2020-04-21,7.73459
2020-04-22,6.04739
2020-04-23,6.32227
2020-04-24,5.98104
2020-04-25,0.5308
2020-04-26,0.28436
2020-04-27,5.44075
2020-04-28,5.23222
2020-04-29,5.18483
2020-04-30,0.36966
2020-05-01,0.48341
2020-05-02,0.28436
2020-05-03,0.23696
2020-05-04,4.55924
2020-05-05,0.33175
2020-05-06,4.99526
2020-05-07,4.89099
2020-05-08,4.43601
2020-05-09,0.36018
2020-05-10,0.25592
2020-05-11,4.47393
2020-05-12,4.0853
2020-05-13,4.68246
2020-05-14,3.9526
2020-05-15,3.67772
2020-05-16,0.218
2020-05-17,0.25592
2020-05-18,3.06161
2020-05-19,3.34597
2020-05-20,3.19431
2020-05-21,3.30805
2020-05-22,3.09004
2020-05-23,0.20853
2020-05-24,0.16113
2020-05-25,2.76777
2020-05-26,3.12796
2020-05-27,3.05213
2020-05-28,5.07109
2020-05-29,3.54502
2020-05-30,0.2654
2020-05-31,0.20853
2020-06-01,3.30805
2020-06-02,3.21327
2020-06-03,3.27014
2020-06-04,3.26066
2020-06-05,2.43601
2020-06-06,0.218
2020-06-07,0.18009
2020-06-08,2.73933
2020-06-09,2.75829
2020-06-10,2.63507
2020-06-11,2.54976
2020-06-12,2.91943
2020-06-13,0.20853
2020-06-14,0.218
2020-06-15,2.98578
2020-06-16,3.12796
2020-06-17,3.23222
2020-06-18,2.70142
2020-06-19,2.29383
2020-06-20,0.16113
2020-06-21,0.09478
2020-06-22,2.65402
2020-06-23,2.36018
2020-06-24,3.04265
2020-06-25,2.36018
2020-06-26,2.18009
2020-06-27,0.19905
2020-06-28,0.07582
2020-06-29,2.15165
2020-06-30,2.09478
2020-07-01,2.46445
2020-07-02,2.3981
2020-07-03,2.51184
2020-07-04,0.20853
2020-07-05,0.1327
2020-07-06,2.64454
2020-07-07,2.14218
2020-07-08,2.31279
2020-07-09,2.33175
2020-07-10,2.0
2020-07-11,0.17061
2020-07-12,0.07582
2020-07-13,2.04739
2020-07-14,1.94312
2020-07-15,1.90521
2020-07-16,1.99052
2020-07-17,2.11374
2020-07-18,0.1327
2020-07-19,0.09478
2020-07-20,2.20853
2020-07-21,1.82938
2020-07-22,2.74881
2020-07-23,1.78199
2020-07-24,1.76303
2020-07-25,0.10426
2020-07-26,0.11374
2020-07-27,1.77251
2020-07-28,1.79146
2020-07-29,1.99052
2020-07-30,1.61137
2020-07-31,1.63981
2020-08-01,0.17061
2020-08-02,0.16113
2020-08-03,1.9526
2020-08-04,1.91469
2020-08-05,1.76303
2020-08-06,1.40284
2020-08-07,1.49763
2020-08-08,0.18009
2020-08-09,0.10426
2020-08-10,1.67772
2020-08-11,1.85781
2020-08-12,1.8199
2020-08-13,2.03791
2020-08-14,1.67772
2020-08-15,0.14218
2020-08-16,0.07582
2020-08-17,0.33175
2020-08-18,1.71563
2020-08-19,1.75355
2020-08-20,1.81042
2020-08-21,2.05687
2020-08-22,0.25592
2020-08-23,0.07582
2020-08-24,1.79146
2020-08-25,2.0
2020-08-26,1.84834
2020-08-27,1.84834
2020-08-28,1.5545
