date,변액연금보험
2020-03-20,50.95095
2020-03-21,45.94594
2020-03-22,44.84484
2020-03-23,95.29529
2020-03-24,76.57657
2020-03-25,51.45145
2020-03-26,47.24724
2020-03-27,40.24024
2020-03-28,25.32532
2020-03-29,28.52852
2020-03-30,34.33433
2020-03-31,31.23123
2020-04-01,29.22922
2020-04-02,25.62562
2020-04-03,28.62862
2020-04-04,23.82382
2020-04-05,24.22422
2020-04-06,22.72272
2020-04-07,22.12212
2020-04-08,20.32032
2020-04-09,21.42142
2020-04-10,24.62462
2020-04-11,11.41141
2020-04-12,16.91691
2020-04-13,22.52252
2020-04-14,25.02502
2020-04-15,18.31831
2020-04-16,17.01701
2020-04-17,26.62662
2020-04-18,16.61661
2020-04-19,13.81381
2020-04-20,17.61761
2020-04-21,23.12312
2020-04-22,23.92392
2020-04-23,25.72572
2020-04-24,22.62262
2020-04-25,13.21321
2020-04-26,16.21621
2020-04-27,21.02102
2020-04-28,19.51951
2020-04-29,25.52552
2020-04-30,12.11211
2020-05-01,11.51151
2020-05-02,9.8098
2020-05-03,12.41241
2020-05-04,15.01501
2020-05-05,12.11211
2020-05-06,18.01801
2020-05-07,17.01701
2020-05-08,16.41641
2020-05-09,9.8098
2020-05-10,13.61361
2020-05-11,55.35535
2020-05-12,28.92892
2020-05-13,30.93093
2020-05-14,29.02902
2020-05-15,45.24524
2020-05-16,64.66466
2020-05-17,22.72272
2020-05-18,38.53853
2020-05-19,34.73473
2020-05-20,31.03103
2020-05-21,26.02602
2020-05-22,24.92492
2020-05-23,23.62362
2020-05-24,17.51751
2020-05-25,29.92992
2020-05-26,25.02502
2020-05-27,27.92792
2020-05-28,21.22122
2020-05-29,15.31531
2020-05-30,13.31331
2020-05-31,15.61561
2020-06-01,27.42742
2020-06-02,25.42542
2020-06-03,26.82682
2020-06-04,25.32532
2020-06-05,28.02802
2020-06-06,32.43243
2020-06-07,21.42142
2020-06-08,26.82682
2020-06-09,28.72872
2020-06-10,25.32532
2020-06-11,23.92392
2020-06-12,26.82682
2020-06-13,13.21321
2020-06-14,16.01601
2020-06-15,24.22422
2020-06-16,23.82382
2020-06-17,22.12212
2020-06-18,20.92092
2020-06-19,19.91991
2020-06-20,12.71271
2020-06-21,10.91091
2020-06-22,28.62862
2020-06-23,31.33133
2020-06-24,25.92592
2020-06-25,24.22422
2020-06-26,28.22822
2020-06-27,24.72472
2020-06-28,15.91591
2020-06-29,23.62362
2020-06-30,24.32432
2020-07-01,25.62562
2020-07-02,22.82282
2020-07-03,23.72372
2020-07-04,14.81481
2020-07-05,11.41141
2020-07-06,25.02502
2020-07-07,24.62462
2020-07-08,20.62062
2020-07-09,16.71671
2020-07-10,19.31931
2020-07-11,12.91291
2020-07-12,11.31131
2020-07-13,21.32132
2020-07-14,24.62462
2020-07-15,22.12212
2020-07-16,21.12112
2020-07-17,16.41641
2020-07-18,20.22022
2020-07-19,13.81381
2020-07-20,18.21821
2020-07-21,19.81981
2020-07-22,28.62862
2020-07-23,19.81981
2020-07-24,20.92092
2020-07-25,12.11211
2020-07-26,9.5095
2020-07-27,17.01701
2020-07-28,23.12312
2020-07-29,22.72272
2020-07-30,23.62362
2020-07-31,19.41941
2020-08-01,12.11211
2020-08-02,13.41341
2020-08-03,16.51651
2020-08-04,19.51951
2020-08-05,22.62262
2020-08-06,20.72072
2020-08-07,20.12012
2020-08-08,14.41441
2020-08-09,17.11711
2020-08-10,22.02202
2020-08-11,28.02802
2020-08-12,31.43143
2020-08-13,28.52852
2020-08-14,27.52752
2020-08-15,19.61961
2020-08-16,15.31531
2020-08-17,16.71671
2020-08-18,21.32132
2020-08-19,21.72172
2020-08-20,28.02802
2020-08-21,25.52552
2020-08-22,17.61761
2020-08-23,17.91791
