date,테마주
2020-03-20,18.65971
2020-03-21,11.83788
2020-03-22,10.95505
2020-03-23,20.70626
2020-03-24,28.00963
2020-03-25,46.26805
2020-03-26,65.32905
2020-03-27,63.48314
2020-03-28,36.23595
2020-03-29,31.62118
2020-03-30,84.02889
2020-03-31,100.0
2020-04-01,79.25361
2020-04-02,65.93097
2020-04-03,57.50401
2020-04-04,31.54093
2020-04-05,29.69502
2020-04-06,64.96789
2020-04-07,69.30176
2020-04-08,69.38202
2020-04-09,57.86516
2020-04-10,49.1573
2020-04-11,29.09309
2020-04-12,24.87961
2020-04-13,43.57945
2020-04-14,39.08507
2020-04-15,24.87961
2020-04-16,51.64526
2020-04-17,46.54895
2020-04-18,24.67897
2020-04-19,21.1878
2020-04-20,39.52648
2020-04-21,38.44301
2020-04-22,34.95184
2020-04-23,36.75762
2020-04-24,30.25682
2020-04-25,20.66613
2020-04-26,15.6902
2020-04-27,33.6276
2020-04-28,35.99518
2020-04-29,27.72873
2020-04-30,14.60674
2020-05-01,12.39967
2020-05-02,11.39646
2020-05-03,11.39646
2020-05-04,19.58266
2020-05-05,15.00802
2020-05-06,24.7191
2020-05-07,24.4382
2020-05-08,22.11075
2020-05-09,14.16532
2020-05-10,13.32263
2020-05-11,22.83306
2020-05-12,20.70626
2020-05-13,21.10754
2020-05-14,23.75601
2020-05-15,20.98715
2020-05-16,13.44301
2020-05-17,11.67736
2020-05-18,23.47512
2020-05-19,27.44783
2020-05-20,28.49117
2020-05-21,31.74157
2020-05-22,22.63242
2020-05-23,14.72712
2020-05-24,14.40609
2020-05-25,23.91653
2020-05-26,30.57784
2020-05-27,30.49759
2020-05-28,30.57784
2020-05-29,27.28731
2020-05-30,13.68378
2020-05-31,14.28571
2020-06-01,25.40128
2020-06-02,27.1268
2020-06-03,29.73515
2020-06-04,28.85232
2020-06-05,26.72552
2020-06-06,12.84109
2020-06-07,14.64686
2020-06-08,25.32102
2020-06-09,26.2841
2020-06-10,26.24398
2020-06-11,23.75601
2020-06-12,18.05778
2020-06-13,10.91492
2020-06-14,9.7512
2020-06-15,18.09791
2020-06-16,21.1878
2020-06-17,23.19422
2020-06-18,27.1268
2020-06-19,28.29052
2020-06-20,13.48314
2020-06-21,13.0016
2020-06-22,20.82664
2020-06-23,24.03691
2020-06-24,26.40449
2020-06-25,19.46227
2020-06-26,20.02407
2020-06-27,11.63723
2020-06-28,11.11556
2020-06-29,15.36918
2020-06-30,19.7833
2020-07-01,18.01765
2020-07-02,17.93739
2020-07-03,19.54253
2020-07-04,12.23916
2020-07-05,9.14927
2020-07-06,19.7833
2020-07-07,21.86998
2020-07-08,23.55537
2020-07-09,27.72873
2020-07-10,31.42054
2020-07-11,12.92134
2020-07-12,10.55377
2020-07-13,23.91653
2020-07-14,25.24077
2020-07-15,25.60192
2020-07-16,30.97913
2020-07-17,23.23434
2020-07-18,34.02889
2020-07-19,19.66292
2020-07-20,27.84911
2020-07-21,31.82182
2020-07-22,29.85553
2020-07-23,31.46067
2020-07-24,29.73515
2020-07-25,17.01444
2020-07-26,17.61637
2020-07-27,29.01284
2020-07-28,35.95505
2020-07-29,32.90529
2020-07-30,32.86516
2020-07-31,24.07704
2020-08-01,14.40609
2020-08-02,14.48635
2020-08-03,25.56179
2020-08-04,27.64847
2020-08-05,28.73194
2020-08-06,29.13322
2020-08-07,28.57142
2020-08-08,15.56982
2020-08-09,18.21829
2020-08-10,31.42054
2020-08-11,30.21669
2020-08-12,28.45104
2020-08-13,31.86195
2020-08-14,27.76886
2020-08-15,15.4093
2020-08-16,9.87158
2020-08-17,15.32905
2020-08-18,20.82664
2020-08-19,22.23113
2020-08-20,23.63563
2020-08-21,19.62279
2020-08-22,10.75441
2020-08-23,11.75762
2020-08-24,20.38523
2020-08-25,25.40128
2020-08-26,30.45746
2020-08-27,33.50722
2020-08-28,27.64847
2020-08-29,20.30497
2020-08-30,18.65971
2020-08-31,30.13643
2020-09-01,28.45104
2020-09-02,33.18619
2020-09-03,33.66773
2020-09-04,29.65489
2020-09-05,17.29534
2020-09-06,15.85072
2020-09-07,34.22953
2020-09-08,34.59069
2020-09-09,32.70465
2020-09-10,32.46388
2020-09-11,28.73194
2020-09-12,14.92776
2020-09-13,15.32905
2020-09-14,26.88603
2020-09-15,29.65489
2020-09-16,28.21027
2020-09-17,24.11717
2020-09-18,20.70626
2020-09-19,12.88121
2020-09-20,11.79775
2020-09-21,19.46227
2020-09-22,21.50882
2020-09-23,20.46548
2020-09-24,20.98715
2020-09-25,21.26805
2020-09-26,12.88121
2020-09-27,11.75762
2020-09-28,14.04494
2020-09-29,14.88764
2020-09-30,8.22632
2020-10-01,9.39004
2020-10-02,8.6276
2020-10-03,9.71107
2020-10-04,8.9085
2020-10-05,16.21187
2020-10-06,19.5024
2020-10-07,18.49919
2020-10-08,17.69662
2020-10-09,10.47351
2020-10-10,8.74799
2020-10-11,9.55056
2020-10-12,18.29855
2020-10-13,20.22471
2020-10-14,17.3756
2020-10-15,17.93739
2020-10-16,16.65329
2020-10-17,8.54735
2020-10-18,8.94863
2020-10-19,18.86035
2020-10-20,16.13162
2020-10-21,16.21187
2020-10-22,16.69341
2020-10-23,12.88121
2020-10-24,8.14606
2020-10-25,6.58105
2020-10-26,14.08507
2020-10-27,12.80096
2020-10-28,14.40609
2020-10-29,11.79775
2020-10-30,12.27929
2020-10-31,7.02247
2020-11-01,6.7817
2020-11-02,14.72712
2020-11-03,14.76725
2020-11-04,17.77688
2020-11-05,18.82022
2020-11-06,17.0947
2020-11-07,10.11235
2020-11-08,10.07223
2020-11-09,16.17174
2020-11-10,19.62279
2020-11-11,25.56179
2020-11-12,24.19743
2020-11-13,18.61958
2020-11-14,10.11235
2020-11-15,11.27608
2020-11-16,22.63242
2020-11-17,26.52487
2020-11-18,26.72552
2020-11-19,25.36115
2020-11-20,21.86998
2020-11-21,11.63723
2020-11-22,10.71428
2020-11-23,20.82664
2020-11-24,23.79614
2020-11-25,25.36115
2020-11-26,20.42536
2020-11-27,23.15409
2020-11-28,12.47993
2020-11-29,12.27929
2020-11-30,20.94703
2020-12-01,25.96308
2020-12-02,26.44462
2020-12-03,28.73194
2020-12-04,31.42054
2020-12-05,17.21508
2020-12-06,15.44943
2020-12-07,27.52808
2020-12-08,31.70144
2020-12-09,34.06902
2020-12-10,30.05617
2020-12-11,26.52487
2020-12-12,14.24558
2020-12-13,15.24879
2020-12-14,25.32102
2020-12-15,25.88282
2020-12-16,29.05296
2020-12-17,28.17014
2020-12-18,29.09309
2020-12-19,17.6565
