date,레버리지ETF교육
2021-04-22,3.31724
2021-04-23,2.84225
2021-04-24,1.10319
2021-04-25,1.16448
2021-04-26,2.55879
2021-04-27,3.01846
2021-04-28,3.50877
2021-04-29,3.45514
2021-04-30,3.76924
2021-05-01,1.06488
2021-05-02,1.21811
2021-05-03,3.27893
2021-05-04,3.36321
2021-05-05,1.57818
2021-05-06,2.25235
2021-05-07,2.40557
2021-05-08,0.92698
2021-05-09,0.88102
2021-05-10,3.27893
2021-05-11,4.65027
2021-05-12,4.94139
2021-05-13,7.09415
2021-05-14,3.29426
2021-05-15,1.36367
2021-05-16,1.35601
2021-05-17,2.735
2021-05-18,2.61242
2021-05-19,1.22577
2021-05-20,2.72734
2021-05-21,2.88056
2021-05-22,1.03424
2021-05-23,1.0419
2021-05-24,2.1451
2021-05-25,2.19106
2021-05-26,1.9076
2021-05-27,1.85397
2021-05-28,1.63946
2021-05-29,0.75078
2021-05-30,0.6282
2021-05-31,1.4939
2021-06-01,2.44388
2021-06-02,2.35961
2021-06-03,3.49344
2021-06-04,2.45154
2021-06-05,0.78142
2021-06-06,0.79675
2021-06-07,1.99954
2021-06-08,1.5935
2021-06-09,2.07615
2021-06-10,1.80035
2021-06-11,1.88462
2021-06-12,0.72014
2021-06-13,0.7278
2021-06-14,1.7697
2021-06-15,1.83099
2021-06-16,2.83459
2021-06-17,2.16808
2021-06-18,2.33662
2021-06-19,0.91166
2021-06-20,0.74312
2021-06-21,2.52815
2021-06-22,2.08381
2021-06-23,2.29066
2021-06-24,2.35194
2021-06-25,2.65839
2021-06-26,0.88868
2021-06-27,0.87336
2021-06-28,2.5971
2021-06-29,2.03784
2021-06-30,2.22171
2021-07-01,1.89994
2021-07-02,2.12211
2021-07-03,0.80441
2021-07-04,0.79675
2021-07-05,2.11445
2021-07-06,2.71202
2021-07-07,3.06442
2021-07-08,3.93013
2021-07-09,6.5732
2021-07-10,1.54753
2021-07-11,1.19512
2021-07-12,2.283
2021-07-13,2.12977
2021-07-14,2.35961
2021-07-15,2.17574
2021-07-16,1.78503
2021-07-17,0.57458
2021-07-18,0.72014
2021-07-19,2.72734
2021-07-20,3.71562
2021-07-21,2.62774
2021-07-22,1.99954
2021-07-23,1.70841
2021-07-24,0.68949
2021-07-25,0.51329
2021-07-26,1.92292
2021-07-27,1.67011
2021-07-28,2.1451
2021-07-29,1.63946
2021-07-30,2.35194
2021-07-31,0.71247
2021-08-01,0.70481
2021-08-02,1.89994
2021-08-03,1.62414
2021-08-04,2.22171
2021-08-05,2.13743
2021-08-06,1.65479
2021-08-07,0.73546
2021-08-08,0.79675
2021-08-09,2.56645
2021-08-10,2.6354
2021-08-11,2.35961
2021-08-12,2.82693
2021-08-13,4.71922
2021-08-14,0.92698
2021-08-15,1.07255
2021-08-16,1.1798
2021-08-17,4.58898
2021-08-18,3.27893
2021-08-19,5.89902
2021-08-20,6.09055
2021-08-21,1.7314
2021-08-22,1.60882
2021-08-23,3.64667
2021-08-24,3.22531
2021-08-25,2.68903
2021-08-26,2.71968
2021-08-27,2.39791
2021-08-28,1.05722
2021-08-29,0.89634
2021-08-30,2.24469
2021-08-31,2.32896
2021-09-01,2.05316
2021-09-02,1.96123
2021-09-03,1.92292
2021-09-04,0.78142
2021-09-05,0.87336
2021-09-06,1.71608
2021-09-07,2.10679
2021-09-08,2.07615
2021-09-09,2.78096
2021-09-10,2.12211
2021-09-11,0.69715
2021-09-12,0.78142
2021-09-13,1.70075
2021-09-14,1.9076
2021-09-15,1.5935
2021-09-16,1.85397
2021-09-17,1.4556
2021-09-18,0.45966
2021-09-19,0.48264
2021-09-20,0.66651
2021-09-21,0.81207
2021-09-22,1.06488
2021-09-23,3.11805
2021-09-24,2.15276
2021-09-25,0.6282
2021-09-26,0.91932
2021-09-27,2.22171
2021-09-28,3.88416
2021-09-29,6.09055
2021-09-30,2.82693
2021-10-01,4.02972
2021-10-02,1.04956
2021-10-03,0.74312
2021-10-04,1.38665
2021-10-05,6.87964
2021-10-06,7.79131
2021-10-07,5.08695
2021-10-08,2.70435
2021-10-09,0.88102
2021-10-10,1.22577
2021-10-11,1.43262
2021-10-12,4.63494
2021-10-13,3.00314
2021-10-14,2.86524
2021-10-15,2.81161
2021-10-16,1.12617
2021-10-17,0.88868
2021-10-18,2.56645
2021-10-19,2.38259
2021-10-20,2.45154
2021-10-21,2.11445
2021-10-22,1.70075
2021-10-23,0.77376
2021-10-24,1.0036
2021-10-25,1.69309
2021-10-26,2.42856
2021-10-27,2.33662
2021-10-28,1.89228
2021-10-29,2.25235
2021-10-30,1.0036
2021-10-31,0.8657
2021-11-01,2.13743
2021-11-02,2.76564
2021-11-03,2.44388
2021-11-04,2.12977
2021-11-05,2.39025
2021-11-06,0.97295
2021-11-07,0.87336
2021-11-08,2.57412
2021-11-09,2.11445
2021-11-10,2.78096
2021-11-11,2.44388
2021-11-12,1.69309
2021-11-13,0.7661
2021-11-14,0.68183
2021-11-15,2.32896
2021-11-16,2.24469
2021-11-17,1.97655
2021-11-18,1.73906
2021-11-19,1.44794
2021-11-20,0.60522
2021-11-21,0.67417
2021-11-22,2.01486
2021-11-23,1.83865
2021-11-24,0.64353
2021-11-25,0.88102
2021-11-26,1.15682
2021-11-27,0.38305
2021-11-28,0.45966
2021-11-29,2.05316
2021-11-30,2.65839
2021-12-01,2.06082
2021-12-02,2.55879
2021-12-03,2.68903
2021-12-04,1.24109
2021-12-05,1.47858
2021-12-06,2.69669
2021-12-07,2.40557
2021-12-08,4.13698
2021-12-09,11.867
2021-12-10,6.89496
2021-12-11,1.60882
2021-12-12,1.44794
2021-12-13,3.3249
2021-12-14,3.57006
2021-12-15,2.90354
2021-12-16,2.71202
2021-12-17,2.45154
2021-12-18,0.63586
2021-12-19,0.77376
2021-12-20,2.53581
2021-12-21,2.46686
2021-12-22,1.78503
2021-12-23,2.26001
2021-12-24,2.62008
2021-12-25,0.98061
2021-12-26,1.44028
2021-12-27,4.24423
2021-12-28,4.33616
2021-12-29,2.16808
2021-12-30,1.82333
2021-12-31,0.83505
2022-01-01,0.55925
2022-01-02,0.7278
2022-01-03,1.72374
2022-01-04,1.7697
2022-01-05,2.22937
2022-01-06,3.43216
2022-01-07,1.89228
2022-01-08,0.72014
2022-01-09,0.77376
2022-01-10,2.30598
2022-01-11,1.89228
2022-01-12,2.34428
2022-01-13,1.67011
2022-01-14,2.26001
2022-01-15,0.93465
2022-01-16,0.70481
2022-01-17,2.31364
2022-01-18,2.58178
2022-01-19,2.95717
2022-01-20,2.46686
2022-01-21,3.0491
2022-01-22,1.05722
2022-01-23,1.04956
2022-01-24,4.75752
2022-01-25,8.4808
2022-01-26,5.87604
2022-01-27,11.82869
2022-01-28,7.18608
2022-01-29,1.3177
2022-01-30,0.79675
2022-01-31,0.92698
2022-02-01,0.82739
2022-02-02,1.80801
2022-02-03,5.17122
2022-02-04,3.35555
2022-02-05,1.1415
2022-02-06,1.26407
2022-02-07,2.79629
2022-02-08,2.24469
2022-02-09,2.01486
2022-02-10,2.16808
2022-02-11,2.1451
2022-02-12,0.74312
2022-02-13,1.03424
2022-02-14,3.65433
2022-02-15,2.85758
2022-02-16,2.30598
2022-02-17,2.53581
2022-02-18,2.17574
2022-02-19,0.63586
2022-02-20,0.22983
2022-02-21,0.46732
2022-02-22,0.81207
2022-02-23,0.52861
2022-02-24,1.70841
2022-02-25,0.7278
2022-02-26,0.16854
2022-02-28,0.26813
2022-03-01,0.71247
2022-03-02,2.54347
2022-03-03,3.16402
2022-03-04,2.48984
2022-03-05,0.74312
2022-03-06,0.78142
2022-03-07,5.7458
2022-03-08,4.09101
2022-03-09,1.14916
2022-03-10,2.67371
2022-03-11,1.98421
2022-03-12,0.48264
2022-03-13,0.68949
2022-03-14,2.03018
2022-03-15,2.45154
2022-03-16,2.56645
2022-03-17,2.4592
2022-03-18,1.96123
2022-03-19,0.33708
2022-03-20,0.32176
2022-03-21,1.39431
2022-03-22,2.0072
2022-03-23,0.62054
2022-03-24,1.50923
2022-03-25,0.91166
2022-03-26,0.28345
2022-03-27,0.34474
2022-03-28,1.21044
2022-03-29,1.01892
2022-03-30,0.96529
2022-03-31,0.85037
2022-04-01,1.08787
2022-04-02,0.55159
2022-04-03,0.49796
2022-04-04,1.30238
2022-04-05,1.08021
2022-04-06,1.71608
2022-04-07,1.86164
2022-04-08,1.44028
2022-04-09,0.29878
2022-04-10,0.29878
2022-04-11,1.69309
2022-04-12,1.86164
2022-04-13,1.34834
2022-04-14,1.21044
2022-04-15,1.34834
2022-04-16,0.41369
2022-04-17,0.29112
2022-04-18,1.47092
2022-04-19,1.16448
2022-04-20,1.39431
2022-04-21,1.22577
2022-04-22,1.28706
2022-04-23,0.39071
2022-04-24,0.13023
2022-04-25,1.08021
2022-04-26,0.72014
2022-04-27,1.23343
2022-04-28,0.75078
2022-04-29,0.94997
2022-04-30,0.1762
2022-05-01,0.19918
2022-05-02,0.51329
2022-05-03,1.09553
2022-05-04,1.05722
2022-05-05,0.36007
2022-05-06,0.5899
2022-05-07,0.3141
2022-05-08,0.34474
2022-05-09,1.99187
2022-05-10,2.99547
2022-05-11,1.32536
2022-05-12,2.34428
2022-05-13,1.97655
2022-05-14,0.32942
2022-05-15,0.58224
2022-05-16,1.1415
2022-05-17,1.23343
2022-05-18,1.01892
2022-05-19,1.62414
2022-05-20,1.38665
2022-05-21,0.37539
2022-05-22,0.36007
2022-05-23,0.88868
2022-05-24,1.23343
2022-05-25,1.03424
