date,65세실비보험
2020-03-20,21.79487
2020-03-21,21.79487
2020-03-22,20.51282
2020-03-23,21.79487
2020-03-24,12.82051
2020-03-25,32.05128
2020-03-26,44.87179
2020-03-27,26.92307
2020-03-28,23.07692
2020-03-29,25.64102
2020-03-30,38.46153
2020-03-31,47.43589
2020-04-01,25.64102
2020-04-02,23.07692
2020-04-03,16.66666
2020-04-04,26.92307
2020-04-06,24.35897
2020-04-07,15.38461
2020-04-08,21.79487
2020-04-09,28.20512
2020-04-10,42.30769
2020-04-11,17.94871
2020-04-12,23.07692
2020-04-13,24.35897
2020-04-14,23.07692
2020-04-15,20.51282
2020-04-16,29.48717
2020-04-17,35.89743
2020-04-18,21.79487
2020-04-19,15.38461
2020-04-20,26.92307
2020-04-21,26.92307
2020-04-22,34.61538
2020-04-23,24.35897
2020-04-24,33.33333
2020-04-25,28.20512
2020-04-26,28.20512
2020-04-27,24.35897
2020-04-28,20.51282
2020-04-29,37.17948
2020-04-30,46.15384
2020-05-01,19.23076
2020-05-02,50.0
2020-05-03,26.92307
2020-05-04,28.20512
2020-05-05,20.51282
2020-05-06,19.23076
2020-05-07,11.53846
2020-05-08,34.61538
2020-05-09,24.35897
2020-05-10,12.82051
2020-05-11,32.05128
2020-05-12,42.30769
2020-05-13,20.51282
2020-05-14,30.76923
2020-05-15,29.48717
2020-05-16,26.92307
2020-05-17,21.79487
2020-05-18,48.71794
2020-05-19,19.23076
2020-05-20,37.17948
2020-05-21,17.94871
2020-05-22,35.89743
2020-05-23,23.07692
2020-05-24,14.10256
2020-05-25,32.05128
2020-05-26,43.58974
2020-05-27,35.89743
2020-05-28,24.35897
2020-05-29,25.64102
2020-05-30,12.82051
2020-05-31,12.82051
2020-06-01,38.46153
2020-06-02,32.05128
2020-06-03,23.07692
2020-06-04,16.66666
2020-06-05,42.30769
2020-06-06,21.79487
2020-06-07,29.48717
2020-06-08,21.79487
2020-06-09,28.20512
2020-06-10,21.79487
2020-06-11,21.79487
2020-06-12,21.79487
2020-06-13,14.10256
2020-06-14,21.79487
2020-06-15,33.33333
2020-06-16,24.35897
2020-06-17,29.48717
2020-06-18,62.82051
2020-06-19,23.07692
2020-06-20,12.82051
2020-06-21,8.97435
2020-06-22,25.64102
2020-06-23,35.89743
2020-06-24,25.64102
2020-06-25,32.05128
2020-06-26,30.76923
2020-06-27,21.79487
2020-06-28,28.20512
2020-06-29,42.30769
2020-06-30,28.20512
2020-07-01,26.92307
2020-07-02,28.20512
2020-07-03,30.76923
2020-07-04,33.33333
2020-07-05,25.64102
2020-07-06,29.48717
2020-07-07,23.07692
2020-07-08,14.10256
2020-07-09,30.76923
2020-07-10,24.35897
2020-07-11,28.20512
2020-07-12,24.35897
2020-07-13,25.64102
2020-07-14,23.07692
2020-07-15,24.35897
2020-07-16,25.64102
2020-07-17,21.79487
2020-07-18,20.51282
2020-07-19,20.51282
2020-07-20,32.05128
2020-07-21,32.05128
2020-07-22,23.07692
2020-07-23,26.92307
2020-07-24,32.05128
2020-07-25,30.76923
2020-07-26,16.66666
2020-07-27,19.23076
2020-07-28,47.43589
2020-07-29,35.89743
2020-07-30,25.64102
2020-07-31,32.05128
2020-08-01,7.6923
2020-08-02,12.82051
2020-08-03,29.48717
2020-08-04,30.76923
2020-08-05,28.20512
2020-08-06,21.79487
2020-08-07,33.33333
2020-08-08,11.53846
2020-08-09,24.35897
2020-08-10,29.48717
2020-08-11,43.58974
2020-08-12,39.74358
2020-08-13,44.87179
2020-08-14,38.46153
2020-08-15,17.94871
2020-08-16,7.6923
2020-08-17,14.10256
2020-08-18,35.89743
2020-08-19,37.17948
2020-08-20,19.23076
2020-08-21,35.89743
2020-08-22,21.79487
2020-08-23,21.79487
2020-08-24,17.94871
2020-08-25,19.23076
2020-08-26,48.71794
2020-08-27,16.66666
2020-08-28,23.07692
2020-08-29,14.10256
2020-08-30,15.38461
2020-08-31,29.48717
2020-09-01,38.46153
2020-09-02,28.20512
2020-09-03,14.10256
2020-09-04,25.64102
2020-09-05,28.20512
2020-09-06,8.97435
2020-09-07,21.79487
2020-09-08,24.35897
2020-09-09,34.61538
2020-09-10,19.23076
2020-09-11,28.20512
2020-09-12,11.53846
2020-09-13,16.66666
2020-09-14,46.15384
2020-09-15,21.79487
2020-09-16,34.61538
2020-09-17,20.51282
2020-09-18,24.35897
2020-09-19,17.94871
2020-09-20,12.82051
2020-09-21,25.64102
2020-09-22,23.07692
2020-09-23,14.10256
2020-09-24,20.51282
2020-09-25,20.51282
2020-09-26,26.92307
2020-09-27,21.79487
2020-09-28,33.33333
2020-09-29,20.51282
2020-09-30,20.51282
2020-10-01,16.66666
2020-10-02,12.82051
2020-10-03,14.10256
2020-10-04,14.10256
2020-10-05,46.15384
2020-10-06,23.07692
2020-10-07,19.23076
2020-10-08,26.92307
2020-10-09,11.53846
2020-10-10,24.35897
2020-10-11,10.25641
2020-10-12,37.17948
2020-10-13,29.48717
2020-10-14,32.05128
2020-10-15,34.61538
2020-10-16,30.76923
2020-10-17,20.51282
2020-10-18,20.51282
2020-10-19,51.28205
2020-10-20,19.23076
2020-10-21,24.35897
2020-10-22,21.79487
2020-10-23,12.82051
2020-10-24,14.10256
2020-10-25,24.35897
2020-10-26,28.20512
2020-10-27,32.05128
2020-10-28,30.76923
2020-10-29,24.35897
2020-10-30,15.38461
2020-10-31,10.25641
2020-11-01,11.53846
2020-11-02,21.79487
2020-11-03,35.89743
2020-11-04,23.07692
2020-11-05,19.23076
2020-11-06,20.51282
2020-11-07,17.94871
2020-11-08,6.41025
2020-11-09,12.82051
2020-11-10,33.33333
2020-11-11,25.64102
2020-11-12,26.92307
2020-11-13,32.05128
2020-11-14,28.20512
2020-11-15,20.51282
2020-11-16,19.23076
2020-11-17,32.05128
2020-11-18,19.23076
2020-11-19,15.38461
2020-11-20,23.07692
2020-11-21,12.82051
2020-11-22,10.25641
2020-11-23,10.25641
2020-11-24,24.35897
2020-11-25,41.02564
2020-11-26,24.35897
2020-11-27,29.48717
2020-11-28,11.53846
2020-11-29,12.82051
2020-11-30,15.38461
2020-12-01,28.20512
2020-12-02,25.64102
2020-12-03,39.74358
2020-12-04,12.82051
2020-12-05,12.82051
2020-12-06,19.23076
2020-12-07,33.33333
2020-12-08,29.48717
2020-12-09,39.74358
2020-12-10,44.87179
2020-12-11,32.05128
2020-12-12,23.07692
2020-12-13,14.10256
2020-12-14,35.89743
2020-12-15,30.76923
2020-12-16,37.17948
2020-12-17,42.30769
2020-12-18,28.20512
2020-12-19,11.53846
2020-12-20,6.41025
2020-12-21,43.58974
2020-12-22,19.23076
2020-12-23,17.94871
2020-12-24,19.23076
2020-12-25,12.82051
2020-12-26,17.94871
2020-12-27,19.23076
2020-12-28,24.35897
2020-12-29,34.61538
2020-12-30,42.30769
2020-12-31,28.20512
2021-01-01,17.94871
2021-01-02,23.07692
