date,스켈핑
2020-03-20,14.89218
2020-03-21,7.21024
2020-03-22,7.07547
2020-03-23,11.59029
2020-03-24,12.19676
2020-03-25,14.48787
2020-03-26,15.7008
2020-03-27,17.92452
2020-03-28,11.79245
2020-03-29,10.30997
2020-03-30,18.05929
2020-03-31,20.08086
2020-04-01,15.49865
2020-04-02,19.94609
2020-04-03,18.46361
2020-04-04,10.71428
2020-04-05,9.36657
2020-04-06,16.6442
2020-04-07,15.29649
2020-04-08,14.95956
2020-04-09,16.57681
2020-04-10,15.22911
2020-04-11,8.7601
2020-04-12,7.34501
2020-04-13,9.63611
2020-04-14,11.79245
2020-04-15,7.95148
2020-04-16,10.24258
2020-04-17,11.92722
2020-04-18,8.08625
2020-04-19,6.13207
2020-04-20,10.84905
2020-04-21,14.69002
2020-04-22,13.81401
2020-04-23,13.14016
2020-04-24,12.73584
2020-04-25,7.47978
2020-04-26,8.15363
2020-04-27,11.59029
2020-04-28,9.7035
2020-04-29,10.98382
2020-04-30,7.34501
2020-05-01,6.67115
2020-05-02,4.51482
2020-05-03,4.98652
2020-05-04,7.21024
2020-05-05,5.5256
2020-05-06,8.49056
2020-05-07,10.57951
2020-05-08,9.02964
2020-05-09,5.86253
2020-05-10,5.5256
2020-05-11,8.82749
2020-05-12,8.08625
2020-05-13,7.88409
2020-05-14,9.90566
2020-05-15,10.78167
2020-05-16,5.39083
2020-05-17,5.39083
2020-05-18,8.89487
2020-05-19,8.49056
2020-05-20,11.11859
2020-05-21,9.7035
2020-05-22,10.10781
2020-05-23,6.13207
2020-05-24,4.85175
2020-05-25,6.40161
2020-05-26,10.78167
2020-05-27,11.52291
2020-05-28,8.96226
2020-05-29,10.37735
2020-05-30,4.17789
2020-05-31,4.51482
2020-06-01,9.02964
2020-06-02,10.51212
2020-06-03,10.57951
2020-06-04,16.44204
2020-06-05,12.06199
2020-06-06,6.67115
2020-06-07,5.18867
2020-06-08,12.4663
2020-06-09,14.35309
2020-06-10,11.59029
2020-06-11,12.06199
2020-06-12,11.72506
2020-06-13,4.38005
2020-06-14,5.18867
2020-06-15,10.1752
2020-06-16,10.24258
2020-06-17,10.71428
2020-06-18,10.84905
2020-06-19,9.36657
2020-06-20,4.78436
2020-06-21,4.24528
2020-06-22,7.95148
2020-06-23,10.1752
2020-06-24,12.26415
2020-06-25,8.7601
2020-06-26,9.97304
2020-06-27,6.19946
2020-06-28,4.91913
2020-06-29,10.30997
2020-06-30,8.22102
2020-07-01,10.37735
2020-07-02,10.51212
2020-07-03,8.7601
2020-07-04,4.85175
2020-07-05,3.97574
2020-07-06,8.69272
2020-07-07,10.44474
2020-07-08,7.74932
2020-07-09,10.30997
2020-07-10,8.01886
2020-07-11,5.66037
2020-07-12,5.9973
2020-07-13,12.26415
2020-07-14,9.02964
2020-07-15,11.38814
2020-07-16,13.20754
2020-07-17,11.05121
2020-07-18,5.25606
2020-07-19,5.66037
2020-07-20,10.84905
2020-07-21,9.43396
2020-07-22,11.79245
2020-07-23,11.85983
2020-07-24,11.45552
2020-07-25,5.25606
2020-07-26,6.60377
2020-07-27,10.6469
2020-07-28,11.65768
2020-07-29,11.18598
2020-07-30,13.74663
2020-07-31,12.60107
2020-08-01,5.79514
2020-08-02,5.25606
2020-08-03,9.7035
2020-08-04,13.27493
2020-08-05,12.4663
2020-08-06,13.67924
2020-08-07,10.78167
2020-08-08,6.19946
2020-08-09,7.81671
2020-08-10,14.21832
2020-08-11,12.80323
2020-08-12,13.07277
2020-08-13,13.34231
2020-08-14,11.92722
2020-08-15,5.5256
2020-08-16,6.53638
2020-08-17,6.06469
2020-08-18,11.11859
2020-08-19,13.00539
2020-08-20,12.19676
2020-08-21,12.66846
2020-08-22,7.00808
2020-08-23,6.9407
2020-08-24,13.47708
2020-08-25,14.62264
2020-08-26,16.77897
2020-08-27,17.78975
2020-08-28,19.27223
2020-08-29,9.7035
2020-08-30,7.81671
2020-08-31,14.55525
2020-09-01,18.9353
2020-09-02,21.15902
2020-09-03,17.65498
2020-09-04,18.73315
2020-09-05,9.29919
2020-09-06,10.71428
2020-09-07,20.41778
2020-09-08,30.32345
2020-09-09,21.36118
2020-09-10,20.61994
2020-09-11,21.2938
2020-09-12,10.91644
2020-09-13,7.07547
2020-09-14,19.00269
2020-09-15,19.81132
2020-09-16,18.9353
2020-09-17,18.32884
2020-09-18,15.49865
2020-09-19,8.7601
2020-09-20,4.51482
2020-09-21,8.82749
2020-09-22,13.47708
2020-09-23,10.57951
2020-09-24,20.68733
2020-09-25,20.21563
2020-09-26,6.73854
2020-09-27,6.40161
2020-09-28,13.34231
2020-09-29,11.45552
2020-09-30,6.80592
2020-10-01,5.79514
2020-10-02,5.18867
2020-10-03,4.31266
2020-10-04,5.72776
2020-10-05,10.78167
2020-10-06,11.59029
2020-10-07,13.27493
2020-10-08,11.85983
2020-10-09,6.469
2020-10-10,4.51482
2020-10-11,4.44743
2020-10-12,11.05121
2020-10-13,12.53369
2020-10-14,9.63611
2020-10-15,10.91644
2020-10-16,7.34501
2020-10-17,3.2345
2020-10-18,3.43665
2020-10-19,8.01886
2020-10-20,7.81671
2020-10-21,10.1752
2020-10-22,8.01886
2020-10-23,9.50134
2020-10-24,4.11051
2020-10-25,2.35849
2020-10-26,6.53638
2020-10-27,8.08625
2020-10-28,8.49056
2020-10-29,8.82749
2020-10-30,8.49056
2020-10-31,3.57142
2020-11-01,4.78436
2020-11-02,6.9407
2020-11-03,9.02964
2020-11-04,8.69272
2020-11-05,10.30997
2020-11-06,10.37735
2020-11-07,4.85175
2020-11-08,4.71698
2020-11-09,9.02964
2020-11-10,10.04043
2020-11-11,14.15094
2020-11-12,12.06199
2020-11-13,12.19676
2020-11-14,4.51482
2020-11-15,5.12129
2020-11-16,11.79245
2020-11-17,11.18598
2020-11-18,14.95956
2020-11-19,14.55525
2020-11-20,12.4663
2020-11-21,5.92991
2020-11-22,6.13207
2020-11-23,14.28571
2020-11-24,16.57681
2020-11-25,15.63342
2020-11-26,15.90296
2020-11-27,13.81401
2020-11-28,7.68194
2020-11-29,8.15363
2020-11-30,11.79245
2020-12-01,15.56603
2020-12-02,15.22911
2020-12-03,18.39622
2020-12-04,18.26145
2020-12-05,10.44474
2020-12-06,9.29919
2020-12-07,15.02695
2020-12-08,15.90296
2020-12-09,22.57412
2020-12-10,20.95687
2020-12-11,15.09433
2020-12-12,10.24258
2020-12-13,8.15363
2020-12-14,13.61185
2020-12-15,16.50943
2020-12-16,19.00269
2020-12-17,17.04851
2020-12-18,15.97035
2020-12-19,9.7035
2020-12-20,9.7035
2020-12-21,14.82479
2020-12-22,18.26145
2020-12-23,18.05929
2020-12-24,20.01347
2020-12-25,10.98382
2020-12-26,8.49056
2020-12-27,9.29919
2020-12-28,15.97035
2020-12-29,17.99191
2020-12-30,20.21563
2020-12-31,11.52291
2021-01-01,8.01886
2021-01-02,9.7035
2021-01-03,12.53369
2021-01-04,18.59838
2021-01-05,25.33692
2021-01-06,24.39353
2021-01-07,26.48247
2021-01-08,24.25876
2021-01-09,15.83557
2021-01-10,15.36388
2021-01-11,29.11051
2021-01-12,23.85444
2021-01-13,27.15633
2021-01-14,30.45822
2021-01-15,25.87601
2021-01-16,12.60107
2021-01-17,11.32075
2021-01-18,22.97843
2021-01-19,22.57412
