date,실시간세계증시
2020-03-20,100.0
2020-03-21,41.86104
2020-03-22,14.33002
2020-03-23,87.05955
2020-03-24,99.34243
2020-03-25,95.63275
2020-03-26,97.66749
2020-03-27,83.72208
2020-03-28,33.2258
2020-03-29,9.96277
2020-03-30,59.72704
2020-03-31,66.04218
2020-04-01,78.36228
2020-04-02,75.78163
2020-04-03,61.84863
2020-04-04,23.80893
2020-04-05,6.48883
2020-04-06,43.61042
2020-04-07,59.66501
2020-04-08,60.19851
2020-04-09,57.44416
2020-04-10,48.99503
2020-04-11,16.16625
2020-04-12,6.4392
2020-04-13,40.03722
2020-04-14,45.58312
2020-04-15,32.61786
2020-04-16,46.48883
2020-04-17,42.90322
2020-04-18,15.1861
2020-04-19,4.35483
2020-04-20,32.99007
2020-04-21,53.79652
2020-04-22,51.65012
2020-04-23,45.86848
2020-04-24,40.75682
2020-04-25,15.04962
2020-04-26,4.36724
2020-04-27,27.1464
2020-04-28,37.40694
2020-04-29,32.96526
2020-04-30,22.91563
2020-05-01,24.96277
2020-05-02,13.99503
2020-05-03,5.21091
2020-05-04,29.57816
2020-05-05,29.26799
2020-05-06,38.89578
2020-05-07,39.33002
2020-05-08,33.70967
2020-05-09,12.56823
2020-05-10,3.92059
2020-05-11,27.77915
2020-05-12,36.19106
2020-05-13,36.53846
2020-05-14,39.23076
2020-05-15,35.13647
2020-05-16,12.66749
2020-05-17,3.25062
2020-05-18,25.22332
2020-05-19,35.80645
2020-05-20,36.87344
2020-05-21,35.66997
2020-05-22,35.55831
2020-05-23,12.81637
2020-05-24,4.23076
2020-05-25,25.28535
2020-05-26,32.99007
2020-05-27,33.90818
2020-05-28,38.17617
2020-05-29,33.02729
2020-05-30,12.02233
2020-05-31,3.79652
2020-06-01,23.16377
2020-06-02,32.41935
2020-06-03,36.47642
2020-06-04,36.9727
2020-06-05,30.81885
2020-06-06,11.57568
2020-06-07,3.30024
2020-06-08,26.01736
2020-06-09,36.50124
2020-06-10,34.36724
2020-06-11,40.16129
2020-06-12,48.01488
2020-06-13,15.26054
2020-06-14,3.66004
2020-06-15,39.56575
2020-06-16,46.2655
2020-06-17,42.91563
2020-06-18,41.22828
2020-06-19,33.97022
2020-06-20,12.34491
2020-06-21,3.62282
2020-06-22,23.27543
2020-06-23,36.2655
2020-06-24,35.21091
2020-06-25,44.16873
2020-06-26,35.91811
2020-06-27,14.13151
2020-06-28,3.84615
2020-06-29,32.81637
2020-06-30,38.88337
2020-07-01,37.22084
2020-07-02,33.72208
2020-07-03,31.89826
2020-07-04,9.80148
2020-07-05,3.31265
2020-07-06,24.05707
2020-07-07,35.14888
2020-07-08,34.06947
2020-07-09,32.36972
2020-07-10,33.34987
