date,인천공항환전
2020-03-20,1.86536
2020-03-21,0.97323
2020-03-22,0.64882
2020-03-23,0.56772
2020-03-24,1.62206
2020-03-25,1.29764
2020-03-26,1.21654
2020-03-27,0.72992
2020-03-28,1.29764
2020-03-29,0.64882
2020-03-30,0.89213
2020-03-31,0.72992
2020-04-01,0.48661
2020-04-03,0.40551
2020-04-06,0.48661
2020-04-07,1.21654
2020-04-08,0.97323
2020-04-09,1.21654
2020-04-10,1.13544
2020-04-11,0.81103
2020-04-13,0.48661
2020-04-14,0.40551
2020-04-15,0.72992
2020-04-16,1.37875
2020-04-17,0.64882
2020-04-19,0.89213
2020-04-20,0.56772
2020-04-21,0.72992
2020-04-22,2.27088
2020-04-23,0.81103
2020-04-24,0.64882
2020-04-25,0.40551
2020-04-26,0.48661
2020-04-27,0.81103
2020-04-28,1.29764
2020-04-29,1.54095
2020-04-30,0.48661
2020-05-01,0.97323
2020-05-02,1.05433
2020-05-03,1.05433
2020-05-04,1.37875
2020-05-06,0.48661
2020-05-07,0.89213
2020-05-09,0.40551
2020-05-13,0.40551
2020-05-14,1.54095
2020-05-15,0.64882
2020-05-16,0.56772
2020-05-17,0.97323
2020-05-18,0.89213
2020-05-19,0.48661
2020-05-20,0.72992
2020-05-21,0.89213
2020-05-22,0.56772
2020-05-23,0.89213
2020-05-24,0.48661
2020-05-25,0.56772
2020-05-26,0.40551
2020-05-27,0.56772
2020-05-28,1.29764
2020-05-29,1.05433
2020-05-30,0.48661
2020-06-01,0.48661
2020-06-03,0.40551
2020-06-04,1.13544
2020-06-05,1.13544
2020-06-06,1.29764
2020-06-08,0.64882
2020-06-09,0.48661
2020-06-11,1.37875
2020-06-12,0.72992
2020-06-13,0.97323
2020-06-14,0.40551
2020-06-15,0.48661
2020-06-16,0.72992
2020-06-17,0.48661
2020-06-19,0.81103
2020-06-20,1.21654
2020-06-21,0.64882
2020-06-22,0.97323
2020-06-23,0.48661
2020-06-24,0.64882
2020-06-25,1.37875
2020-06-26,1.05433
2020-06-27,0.97323
2020-06-28,0.56772
2020-06-29,1.29764
2020-06-30,0.89213
2020-07-01,2.27088
2020-07-02,1.37875
2020-07-03,1.62206
2020-07-04,0.89213
2020-07-05,0.56772
2020-07-06,0.48661
2020-07-07,0.64882
2020-07-08,0.56772
2020-07-09,1.45985
2020-07-10,1.29764
2020-07-11,1.13544
2020-07-12,0.89213
2020-07-13,1.21654
2020-07-14,2.18978
2020-07-15,1.70316
2020-07-16,1.45985
2020-07-17,1.62206
2020-07-18,1.70316
2020-07-19,0.81103
2020-07-20,1.29764
2020-07-21,1.86536
2020-07-22,1.54095
2020-07-23,1.70316
2020-07-24,1.62206
2020-07-25,0.81103
2020-07-26,1.13544
2020-07-27,1.45985
2020-07-29,1.29764
2020-07-30,0.81103
2020-07-31,1.78426
2020-08-01,0.97323
2020-08-02,1.05433
2020-08-03,0.89213
2020-08-04,1.05433
2020-08-05,3.48742
2020-08-06,1.29764
2020-08-07,2.18978
2020-08-08,1.45985
2020-08-09,1.78426
2020-08-10,1.70316
2020-08-11,2.02757
2020-08-12,1.62206
2020-08-13,2.67639
2020-08-14,2.8386
2020-08-15,1.78426
2020-08-16,1.29764
2020-08-17,1.70316
2020-08-18,2.02757
2020-08-19,1.45985
2020-08-20,1.45985
2020-08-21,1.37875
2020-08-22,0.97323
2020-08-23,1.62206
2020-08-24,1.86536
2020-08-25,2.51419
2020-08-26,2.43309
2020-08-27,2.51419
2020-08-28,2.18978
2020-08-29,1.29764
2020-08-30,0.89213
2020-08-31,1.45985
2020-09-01,1.78426
2020-09-02,0.97323
2020-09-03,1.29764
2020-09-04,2.43309
2020-09-05,0.64882
2020-09-06,1.13544
2020-09-07,1.62206
2020-09-08,1.45985
2020-09-09,1.62206
2020-09-10,2.02757
2020-09-11,1.05433
2020-09-12,0.97323
2020-09-13,0.56772
2020-09-14,1.21654
2020-09-15,1.54095
2020-09-16,1.05433
2020-09-17,1.45985
2020-09-18,1.70316
2020-09-19,0.81103
2020-09-20,0.89213
2020-09-21,1.05433
2020-09-22,0.64882
2020-09-23,1.37875
2020-09-24,1.29764
2020-09-25,1.94647
2020-09-26,0.89213
2020-09-27,0.89213
2020-09-28,1.70316
2020-09-29,1.54095
2020-09-30,2.10867
2020-10-01,1.21654
2020-10-02,1.29764
2020-10-03,1.05433
2020-10-04,0.72992
2020-10-05,1.29764
2020-10-06,1.54095
2020-10-07,1.86536
2020-10-08,1.54095
2020-10-09,2.7575
2020-10-10,1.29764
2020-10-11,1.37875
