date,중국ETF
2020-03-20,10.27104
2020-03-21,11.48359
2020-03-22,11.55492
2020-03-23,8.48787
2020-03-24,10.91298
2020-03-25,14.69329
2020-03-26,19.32952
2020-03-27,15.47788
2020-03-28,11.19828
2020-03-29,11.12696
2020-03-30,9.34379
2020-03-31,12.12553
2020-04-01,9.84308
2020-04-02,6.7047
2020-04-03,5.49215
2020-04-04,3.99429
2020-04-05,9.77175
2020-04-06,13.55206
2020-04-07,11.91155
2020-04-08,8.13124
2020-04-09,7.41797
2020-04-10,9.27246
2020-04-11,5.6348
2020-04-12,7.84593
2020-04-13,14.47931
2020-04-14,14.83594
2020-04-15,11.69757
2020-04-16,6.77603
2020-04-17,9.05848
2020-04-18,7.91726
2020-04-19,18.75891
2020-04-20,12.76747
2020-04-21,7.70328
2020-04-22,5.42082
2020-04-23,6.20542
2020-04-24,6.7047
2020-04-25,7.13266
2020-04-26,7.91726
2020-04-27,8.41654
2020-04-28,11.19828
2020-04-29,16.26248
2020-04-30,8.70185
2020-05-01,5.49215
2020-05-02,5.13552
2020-05-03,5.56348
2020-05-04,4.85021
2020-05-05,7.7746
2020-05-06,6.56205
2020-05-07,11.34094
2020-05-08,12.98145
2020-05-09,19.11554
2020-05-10,13.83737
2020-05-11,11.7689
2020-05-12,11.69757
2020-05-13,12.76747
2020-05-14,8.34522
2020-05-15,6.06276
2020-05-16,5.49215
2020-05-17,18.75891
2020-05-18,12.69614
2020-05-19,9.98573
2020-05-20,13.62339
2020-05-21,15.19258
2020-05-22,13.62339
2020-05-23,11.26961
2020-05-24,11.98288
2020-05-25,9.55777
2020-05-26,8.13124
2020-05-27,7.70328
2020-05-28,6.63338
2020-05-29,4.35092
2020-05-30,5.13552
2020-05-31,6.56205
2020-06-01,6.4194
2020-06-02,7.4893
2020-06-03,7.4893
2020-06-04,6.77603
2020-06-05,5.99144
2020-06-06,4.49358
2020-06-07,5.13552
2020-06-08,6.34807
2020-06-09,6.20542
2020-06-10,6.7047
2020-06-11,3.92296
2020-06-12,3.70898
2020-06-13,2.92439
2020-06-14,4.63623
2020-06-15,4.99286
2020-06-16,6.49072
2020-06-17,5.99144
2020-06-18,4.13694
2020-06-19,5.13552
2020-06-20,3.63766
2020-06-21,3.56633
2020-06-22,4.42225
2020-06-23,4.99286
2020-06-24,8.77318
2020-06-25,12.76747
2020-06-26,9.34379
2020-06-27,6.7047
2020-06-28,7.34664
2020-06-29,4.5649
2020-06-30,5.42082
2020-07-01,6.06276
2020-07-02,7.98858
2020-07-03,8.20256
2020-07-04,47.14693
2020-07-05,31.95435
2020-07-06,50.64194
2020-07-07,53.495
2020-07-08,41.65477
2020-07-09,62.62482
2020-07-10,50.85592
2020-07-11,36.94721
2020-07-12,36.66191
2020-07-13,37.58915
2020-07-14,84.66476
2020-07-15,100.0
2020-07-16,87.08987
2020-07-17,38.65905
2020-07-18,20.04279
2020-07-19,22.32524
2020-07-20,34.59343
2020-07-21,29.9572
2020-07-22,23.5378
2020-07-23,44.07988
2020-07-24,37.87446
2020-07-25,24.17974
2020-07-26,18.4736
2020-07-27,25.82025
2020-07-28,29.67189
2020-07-29,25.39229
2020-07-30,16.54778
2020-07-31,14.40798
2020-08-01,11.69757
2020-08-02,13.1241
2020-08-03,13.62339
2020-08-04,21.18402
2020-08-05,24.75035
2020-08-06,19.47218
2020-08-07,24.10841
2020-08-08,14.69329
2020-08-09,18.68758
2020-08-10,20.3281
2020-08-11,18.1883
2020-08-12,16.54778
2020-08-13,15.12125
2020-08-14,11.41226
2020-08-15,9.77175
2020-08-16,8.41654
2020-08-17,10.91298
2020-08-18,10.34236
2020-08-19,8.77318
2020-08-20,7.98858
2020-08-21,7.98858
2020-08-22,6.77603
2020-08-23,9.27246
2020-08-24,12.98145
2020-08-25,12.8388
2020-08-26,15.33523
2020-08-27,14.40798
2020-08-28,12.0542
2020-08-29,12.98145
2020-08-30,11.84022
2020-08-31,13.40941
2020-09-01,11.62624
2020-09-02,15.54921
2020-09-03,9.9144
2020-09-04,6.56205
2020-09-05,4.49358
2020-09-06,7.7746
2020-09-07,7.27532
2020-09-08,9.05848
2020-09-09,8.13124
2020-09-10,6.91868
2020-09-11,6.4194
2020-09-12,5.6348
2020-09-13,7.41797
2020-09-14,6.27674
2020-09-15,7.56062
2020-09-16,10.27104
2020-09-17,6.99001
2020-09-18,8.20256
2020-09-19,9.34379
2020-09-20,7.63195
2020-09-21,7.63195
2020-09-22,5.92011
2020-09-23,5.77746
2020-09-24,14.12268
2020-09-25,8.77318
2020-09-26,8.41654
2020-09-27,5.27817
2020-09-28,7.27532
2020-09-29,6.27674
2020-09-30,4.13694
2020-10-01,5.84878
2020-10-02,5.77746
2020-10-03,9.41512
2020-10-04,7.56062
2020-10-05,9.48644
2020-10-06,9.48644
2020-10-07,9.27246
2020-10-08,9.70042
