date,보험사
2020-03-20,15.84089
2020-03-21,9.21144
2020-03-22,9.76971
2020-03-23,18.70202
2020-03-24,100.0
2020-03-25,93.30076
2020-03-26,35.38032
2020-03-27,22.05163
2020-03-28,11.5143
2020-03-29,8.86252
2020-03-30,18.3531
2020-03-31,16.39916
2020-04-01,17.5157
2020-04-02,14.16608
2020-04-03,14.79413
2020-04-04,6.42009
2020-04-05,7.2575
2020-04-06,22.67969
2020-04-07,19.12072
2020-04-08,18.14375
2020-04-09,22.1912
2020-04-10,21.56315
2020-04-11,8.9323
2020-04-12,8.79274
2020-04-13,17.16678
2020-04-14,14.44521
2020-04-15,7.74598
2020-04-16,15.49197
2020-04-17,14.30565
2020-04-18,6.69923
2020-04-19,7.81577
2020-04-20,14.37543
2020-04-21,16.46894
2020-04-22,17.5157
2020-04-23,16.67829
2020-04-24,12.42149
2020-04-25,8.23447
2020-04-26,7.11793
2020-04-27,16.25959
2020-04-28,15.28262
2020-04-29,14.79413
2020-04-30,8.0949
2020-05-01,7.04815
2020-05-02,6.21074
2020-05-03,6.07117
2020-05-04,13.81716
2020-05-05,6.97836
2020-05-06,13.67759
2020-05-07,14.23586
2020-05-08,12.77041
2020-05-09,7.6762
2020-05-10,7.53663
2020-05-11,15.07327
2020-05-12,13.60781
2020-05-13,14.02651
2020-05-14,14.30565
2020-05-15,19.26029
2020-05-16,10.6769
2020-05-17,7.53663
2020-05-18,17.02721
2020-05-19,15.63154
2020-05-20,16.67829
2020-05-21,14.0963
2020-05-22,12.70062
2020-05-23,6.14096
2020-05-24,6.97836
2020-05-25,14.58478
2020-05-26,16.18981
2020-05-27,14.86392
2020-05-28,16.53872
2020-05-29,14.0963
2020-05-30,6.00139
2020-05-31,7.18771
2020-06-01,15.56175
2020-06-02,16.88764
2020-06-03,16.18981
2020-06-04,16.05024
2020-06-05,15.70132
2020-06-06,6.28053
2020-06-07,5.58269
2020-06-08,15.14305
2020-06-09,16.25959
2020-06-10,12.28192
2020-06-11,15.42219
2020-06-12,13.25889
2020-06-13,6.69923
2020-06-14,6.62944
2020-06-15,14.16608
2020-06-16,14.37543
2020-06-17,15.56175
2020-06-18,12.97976
2020-06-19,15.7711
2020-06-20,8.9323
2020-06-21,9.35101
2020-06-22,15.84089
2020-06-23,13.81716
2020-06-24,15.3524
2020-06-25,13.67759
2020-06-26,13.25889
2020-06-27,5.93161
2020-06-28,6.55966
2020-06-29,15.91067
2020-06-30,15.3524
2020-07-01,14.0963
2020-07-02,14.16608
2020-07-03,12.63084
2020-07-04,7.11793
2020-07-05,6.62944
2020-07-06,12.70062
2020-07-07,11.0956
2020-07-08,12.42149
2020-07-09,13.67759
2020-07-10,13.11933
2020-07-11,6.90858
2020-07-12,7.18771
2020-07-13,15.21284
2020-07-14,14.9337
2020-07-15,12.97976
2020-07-16,15.56175
2020-07-17,12.70062
2020-07-18,7.53663
2020-07-19,7.11793
2020-07-20,14.02651
2020-07-21,14.72435
2020-07-22,14.02651
2020-07-23,16.46894
2020-07-24,13.39846
2020-07-25,7.04815
2020-07-26,5.72226
2020-07-27,16.32937
2020-07-28,15.3524
2020-07-29,15.28262
2020-07-30,14.37543
2020-07-31,11.65387
2020-08-01,7.18771
2020-08-02,6.83879
2020-08-03,14.65457
2020-08-04,13.46824
2020-08-05,12.97976
2020-08-06,14.16608
2020-08-07,14.30565
2020-08-08,6.14096
2020-08-09,6.97836
2020-08-10,17.79483
2020-08-11,15.14305
2020-08-12,14.16608
2020-08-13,16.39916
2020-08-14,14.23586
2020-08-15,5.16399
2020-08-16,8.30425
2020-08-17,9.35101
2020-08-18,15.3524
2020-08-19,13.25889
2020-08-20,14.44521
2020-08-21,14.37543
2020-08-22,5.37334
2020-08-23,6.69923
2020-08-24,15.70132
2020-08-25,19.46964
2020-08-26,16.32937
2020-08-27,13.95673
2020-08-28,13.60781
2020-08-29,7.60642
2020-08-30,9.42079
2020-08-31,18.00418
2020-09-01,14.9337
2020-09-02,14.86392
2020-09-03,14.515
2020-09-04,14.30565
2020-09-05,7.32728
