date,건강보험다이렉트
2020-03-20,14.0
2020-03-27,3.33333
2020-03-30,4.0
2020-03-31,3.33333
2020-04-02,3.33333
2020-04-08,3.33333
2020-04-25,5.33333
2020-05-12,6.0
2020-05-15,3.33333
2020-05-18,3.33333
2020-05-19,4.0
2020-05-20,6.66666
2020-05-27,5.33333
2020-05-28,3.33333
2020-06-05,6.0
2020-06-06,5.33333
2020-06-07,4.0
2020-06-12,4.66666
2020-06-25,9.33333
2020-07-02,3.33333
2020-07-05,4.0
2020-07-06,4.66666
2020-07-07,4.0
2020-07-08,3.33333
2020-07-13,4.0
2020-07-15,3.33333
2020-07-16,3.33333
2020-07-19,5.33333
2020-07-20,4.0
2020-07-24,3.33333
2020-07-29,3.33333
2020-07-30,3.33333
2020-08-10,3.33333
2020-08-12,3.33333
2020-08-17,4.0
2020-08-20,3.33333
2020-08-21,3.33333
2020-08-26,3.33333
2020-08-27,3.33333
2020-08-31,6.0
2020-09-01,4.66666
2020-09-04,4.0
2020-09-07,4.0
2020-09-09,9.33333
2020-09-12,9.33333
2020-09-14,3.33333
2020-09-16,10.66666
2020-09-17,4.0
2020-09-18,4.0
2020-10-02,3.33333
2020-10-06,3.33333
2020-10-12,4.0
2020-10-13,4.66666
2020-10-15,8.0
2020-10-19,6.66666
2020-10-21,4.0
2020-10-28,4.66666
2020-11-02,3.33333
2020-11-05,9.33333
2020-11-11,4.66666
2020-11-13,6.66666
2020-11-15,5.33333
2020-11-16,6.0
2020-11-17,3.33333
2020-11-24,3.33333
2020-11-27,4.0
2020-12-01,4.66666
2020-12-02,3.33333
2020-12-04,6.66666
2020-12-07,3.33333
2020-12-08,4.0
2020-12-12,3.33333
2020-12-13,3.33333
2020-12-16,10.0
2020-12-21,4.0
2020-12-23,6.0
2020-12-24,3.33333
2020-12-26,4.0
2020-12-27,3.33333
2020-12-28,10.0
2020-12-29,8.66666
2021-01-01,4.0
2021-01-04,3.33333
2021-01-05,8.66666
2021-01-06,4.66666
2021-01-07,8.66666
2021-01-16,4.66666
2021-01-19,4.66666
2021-01-22,3.33333
2021-01-23,4.0
2021-01-25,4.0
2021-01-29,4.0
2021-02-01,5.33333
2021-02-02,3.33333
2021-02-04,3.33333
2021-02-06,3.33333
2021-02-07,11.33333
2021-02-08,7.33333
2021-02-11,3.33333
2021-02-14,3.33333
2021-02-16,4.0
2021-02-18,4.66666
2021-02-22,3.33333
2021-02-23,8.66666
2021-03-03,4.0
2021-03-04,4.0
2021-03-08,3.33333
2021-03-10,3.33333
2021-03-11,6.66666
2021-03-13,6.0
2021-03-15,4.0
2021-03-17,4.0
2021-03-19,3.33333
2021-03-21,3.33333
2021-03-22,4.66666
2021-03-23,4.0
2021-03-24,4.0
2021-03-25,4.66666
2021-03-26,4.0
2021-03-29,7.33333
2021-03-31,9.33333
2021-04-01,4.66666
2021-04-02,8.0
2021-04-03,4.0
2021-04-05,4.0
2021-04-06,4.66666
2021-04-09,3.33333
2021-04-12,6.0
2021-04-14,10.0
2021-04-16,4.0
2021-04-19,4.66666
2021-04-20,3.33333
2021-04-22,11.33333
2021-04-25,4.0
2021-04-26,8.0
2021-04-28,5.33333
2021-04-30,3.33333
2021-05-10,6.66666
2021-05-16,5.33333
2021-05-18,4.0
2021-05-24,3.33333
2021-05-26,8.66666
2021-05-30,4.0
2021-06-02,3.33333
2021-06-04,3.33333
2021-06-08,8.66666
2021-06-10,5.33333
2021-06-14,4.66666
2021-06-15,3.33333
2021-06-17,8.0
2021-06-21,4.66666
2021-06-23,6.66666
2021-06-24,8.66666
2021-06-25,10.0
2021-06-26,3.33333
2021-06-28,13.33333
2021-06-29,4.66666
2021-06-30,4.0
2021-07-17,5.33333
2021-07-19,3.33333
2021-07-22,4.0
2021-07-27,3.33333
2021-08-03,3.33333
2021-08-04,4.0
2021-08-05,3.33333
2021-08-07,4.66666
2021-08-12,7.33333
2021-08-17,8.0
2021-08-18,3.33333
2021-08-20,3.33333
2021-08-23,6.0
2021-08-25,10.0
2021-08-26,3.33333
2021-08-27,4.0
2021-08-29,4.66666
2021-08-31,4.0
2021-09-01,5.33333
2021-09-02,3.33333
2021-09-07,4.0
2021-09-08,4.66666
2021-09-27,3.33333
2021-10-04,4.66666
2021-10-11,3.33333
2021-10-13,5.33333
2021-10-14,5.33333
2021-10-18,3.33333
2021-10-19,4.0
2021-10-26,5.33333
2021-11-02,3.33333
2021-11-07,3.33333
2021-11-08,3.33333
2021-11-09,8.0
2021-11-12,4.66666
2021-11-14,3.33333
2021-11-15,6.0
2021-11-17,3.33333
2021-11-20,4.0
2021-11-30,3.33333
2021-12-01,3.33333
2021-12-08,4.0
2021-12-13,3.33333
2021-12-15,7.33333
2021-12-16,4.66666
2021-12-22,8.0
2021-12-28,4.0
2021-12-29,4.66666
2021-12-30,4.0
2021-12-31,8.66666
2022-01-01,3.33333
2022-01-04,5.33333
2022-01-06,6.66666
2022-01-10,6.66666
2022-01-12,4.66666
2022-01-13,5.33333
2022-01-18,3.33333
2022-01-26,3.33333
2022-02-07,3.33333
2022-02-08,3.33333
2022-02-09,3.33333
2022-02-10,4.0
2022-02-11,4.0
2022-02-17,4.66666
2022-02-18,3.33333
2022-02-19,4.0
2022-02-21,6.0
2022-02-22,4.0
2022-02-25,9.33333
2022-03-02,4.0
2022-03-04,3.33333
2022-03-05,3.33333
2022-03-07,3.33333
2022-03-11,3.33333
2022-03-20,5.33333
2022-03-23,5.33333
2022-03-24,3.33333
2022-03-25,4.0
2022-03-27,5.33333
2022-03-30,4.0
2022-03-31,3.33333
2022-04-08,4.66666
2022-04-10,3.33333
2022-04-13,4.0
2022-04-19,4.0
2022-04-20,6.66666
2022-04-25,6.0
2022-05-11,4.66666
2022-05-14,4.0
2022-05-23,3.33333
2022-05-25,8.0
2022-06-07,4.0
2022-06-12,5.33333
2022-06-13,8.0
2022-06-17,3.33333
2022-06-20,3.33333
2022-06-21,6.66666
2022-06-25,3.33333
2022-06-28,3.33333
2022-06-29,6.66666
2022-06-30,5.33333
2022-07-05,3.33333
2022-07-19,3.33333
2022-07-24,4.66666
2022-08-03,4.0
2022-08-04,4.66666
2022-08-16,5.33333
2022-08-17,8.0
2022-08-19,6.0
2022-08-20,3.33333
2022-08-22,5.33333
2022-08-23,3.33333
2022-08-24,4.0
2022-08-25,4.0
2022-08-26,3.33333
2022-08-29,3.33333
2022-08-31,5.33333
2022-09-01,3.33333
2022-09-04,7.33333
2022-09-05,3.33333
2022-09-19,3.33333
2022-09-25,4.66666
2022-09-26,3.33333
2022-09-29,3.33333
2022-09-30,3.33333
2022-10-10,4.0
2022-10-14,3.33333
2022-10-15,3.33333
2022-10-18,5.33333
2022-10-19,4.0
2022-10-24,4.66666
2022-10-25,6.0
2022-10-31,3.33333
2022-11-02,3.33333
2022-11-04,8.66666
2022-11-06,4.66666
2022-11-08,5.33333
2022-11-09,3.33333
2022-11-10,3.33333
2022-11-11,3.33333
2022-11-14,4.66666
2022-11-16,4.0
2022-11-17,5.33333
2022-11-18,3.33333
2022-11-21,4.66666
2022-11-23,4.0
2022-11-24,5.33333
2022-11-26,5.33333
2022-11-28,3.33333
2022-11-30,3.33333
2022-12-05,8.0
2022-12-06,3.33333
2022-12-07,3.33333
2022-12-09,8.0
2022-12-12,3.33333
2022-12-14,3.33333
2022-12-16,4.66666
2022-12-20,3.33333
2022-12-23,4.66666
2022-12-24,4.66666
2022-12-26,7.33333
2023-01-05,6.0
2023-01-06,4.0
2023-01-08,3.33333
2023-01-12,7.33333
2023-01-18,3.33333
2023-01-19,3.33333
2023-01-20,3.33333
2023-01-25,6.0
2023-01-26,10.66666
2023-01-27,7.33333
2023-01-30,3.33333
2023-02-01,6.66666
2023-02-02,7.33333
2023-02-06,4.66666
2023-02-07,5.33333
2023-02-09,4.66666
2023-02-12,5.33333
2023-02-14,5.33333
2023-02-15,3.33333
2023-02-17,8.0
2023-02-18,4.0
2023-02-19,3.33333
2023-02-20,8.0
2023-02-21,3.33333
2023-02-23,4.66666
2023-02-24,3.33333
2023-02-27,3.33333
2023-02-28,3.33333
2023-03-03,4.66666
2023-03-06,4.0
2023-03-08,6.0
2023-03-09,3.33333
2023-03-10,3.33333
2023-03-11,3.33333
2023-03-13,4.0
2023-03-14,3.33333
2023-03-21,7.33333
2023-03-24,3.33333
2023-03-26,3.33333
2023-03-27,4.0
2023-03-28,7.33333
2023-03-29,8.66666
2023-03-30,6.66666
2023-04-03,5.33333
2023-04-04,5.33333
2023-04-05,6.0
2023-04-06,3.33333
2023-04-07,5.33333
2023-04-10,5.33333
2023-04-11,6.0
2023-04-12,5.33333
2023-04-13,4.66666
2023-04-14,3.33333
2023-04-16,3.33333
2023-04-17,3.33333
2023-04-18,3.33333
2023-04-20,8.66666
2023-04-23,5.33333
2023-04-25,6.0
2023-04-27,7.33333
2023-04-28,4.0
2023-05-01,4.0
2023-05-04,4.66666
2023-05-09,3.33333
2023-05-10,5.33333
2023-05-11,4.66666
2023-05-15,3.33333
2023-05-18,38.66666
2023-05-19,51.33333
2023-05-20,71.33333
2023-05-21,55.33333
2023-05-22,31.33333
2023-05-23,37.33333
2023-05-24,47.33333
2023-05-25,32.0
2023-05-26,19.33333
2023-06-01,6.66666
2023-06-02,4.0
2023-06-04,5.33333
2023-06-07,6.0
2023-06-11,6.66666
2023-06-14,3.33333
2023-06-16,4.0
2023-06-19,5.33333
2023-06-21,4.0
2023-06-26,6.66666
2023-06-27,3.33333
2023-06-28,3.33333
2023-06-29,3.33333
2023-07-02,3.33333
2023-07-04,4.0
2023-07-09,3.33333
2023-07-23,4.66666
2023-07-24,4.0
2023-07-26,4.0
2023-07-28,3.33333
2023-07-30,6.0
2023-08-01,4.66666
2023-08-07,4.66666
2023-08-09,3.33333
2023-08-14,4.66666
2023-08-16,3.33333
2023-08-17,3.33333
2023-08-18,4.0
2023-08-19,3.33333
2023-08-21,7.33333
2023-08-23,8.66666
2023-08-24,4.0
2023-08-25,3.33333
2023-08-28,4.0
2023-08-29,10.66666
2023-08-30,10.66666
2023-08-31,3.33333
2023-09-02,4.66666
2023-09-03,10.66666
