date,고릴라매트리스
2020-03-20,95.64102
2020-03-21,82.30769
2020-03-22,94.61538
2020-03-23,71.53846
2020-03-24,76.41025
2020-03-25,55.89743
2020-03-26,60.76923
2020-03-27,61.79487
2020-03-28,46.66666
2020-03-29,58.20512
2020-03-30,58.97435
2020-03-31,56.66666
2020-04-01,63.58974
2020-04-02,43.84615
2020-04-03,42.30769
2020-04-04,47.94871
2020-04-05,68.71794
2020-04-06,66.66666
2020-04-07,49.74358
2020-04-08,71.02564
2020-04-09,62.30769
2020-04-10,47.17948
2020-04-11,41.28205
2020-04-12,62.05128
2020-04-13,58.20512
2020-04-14,55.38461
2020-04-15,52.82051
2020-04-16,46.41025
2020-04-17,51.79487
2020-04-18,38.20512
2020-04-19,52.82051
2020-04-20,64.87179
2020-04-21,54.61538
2020-04-22,47.94871
2020-04-23,42.82051
2020-04-24,47.6923
2020-04-25,51.28205
2020-04-26,57.94871
2020-04-27,50.76923
2020-04-28,45.38461
2020-04-29,43.07692
2020-04-30,44.61538
2020-05-01,38.46153
2020-05-02,45.38461
2020-05-03,54.61538
2020-05-04,61.53846
2020-05-05,54.87179
2020-05-06,54.10256
2020-05-07,48.20512
2020-05-08,40.76923
2020-05-09,33.07692
2020-05-10,55.1282
2020-05-11,57.6923
2020-05-12,33.07692
2020-05-13,37.6923
2020-05-14,36.92307
2020-05-15,40.0
2020-05-16,48.46153
2020-05-17,58.71794
2020-05-18,59.74358
2020-05-19,58.97435
2020-05-20,55.1282
2020-05-21,53.84615
2020-05-22,50.25641
2020-05-23,71.02564
2020-05-24,79.48717
2020-05-25,64.10256
2020-05-26,48.46153
2020-05-27,52.5641
2020-05-28,55.89743
2020-05-29,42.30769
2020-05-30,25.89743
2020-05-31,42.82051
2020-06-01,46.15384
2020-06-02,30.76923
2020-06-03,44.61538
2020-06-04,44.35897
2020-06-05,45.38461
2020-06-06,45.38461
2020-06-07,50.76923
2020-06-08,39.74358
2020-06-09,44.35897
2020-06-10,57.94871
2020-06-11,33.07692
2020-06-12,31.53846
2020-06-13,38.20512
2020-06-14,51.28205
2020-06-15,41.28205
2020-06-16,32.30769
2020-06-17,33.07692
2020-06-18,31.28205
2020-06-19,25.64102
2020-06-20,30.0
