date,토지매매
2020-03-20,44.94274
2020-03-21,47.80534
2020-03-22,51.90839
2020-03-23,48.95038
2020-03-24,48.47328
2020-03-25,42.93893
2020-03-26,48.75954
2020-03-27,45.80152
2020-03-28,43.60687
2020-03-29,45.99236
2020-03-30,50.47709
2020-03-31,47.99618
2020-04-01,44.84732
2020-04-02,46.75572
2020-04-03,46.1832
2020-04-04,44.65648
2020-04-05,48.47328
2020-04-06,50.19083
2020-04-07,51.24045
2020-04-08,54.19847
2020-04-09,51.81297
2020-04-10,45.61068
2020-04-11,45.229
2020-04-12,51.81297
2020-04-13,53.72137
2020-04-14,49.0458
2020-04-15,47.99618
2020-04-16,48.95038
2020-04-17,49.71374
2020-04-18,43.98854
2020-04-19,58.2061
2020-04-20,59.44656
2020-04-21,54.00763
2020-04-22,58.2061
2020-04-23,46.46946
2020-04-24,44.94274
2020-04-25,50.28625
2020-04-26,50.0
2020-04-27,53.24427
2020-04-28,47.32824
2020-04-29,48.66412
2020-04-30,48.66412
2020-05-01,47.80534
2020-05-02,49.71374
2020-05-03,53.05343
2020-05-04,53.81679
2020-05-05,60.20992
2020-05-06,49.90458
2020-05-07,47.04198
2020-05-08,42.08015
2020-05-09,43.03435
2020-05-10,49.80916
2020-05-11,53.14885
2020-05-12,47.80534
2020-05-13,43.70229
2020-05-14,47.23282
2020-05-15,46.1832
2020-05-16,43.03435
2020-05-17,50.76335
2020-05-18,54.86641
2020-05-19,55.05725
2020-05-20,49.23664
2020-05-21,48.95038
2020-05-22,47.70992
2020-05-23,43.41603
2020-05-24,54.67557
2020-05-25,53.91221
2020-05-26,49.71374
2020-05-27,46.6603
2020-05-28,46.08778
2020-05-29,43.12977
2020-05-30,44.08396
2020-05-31,45.41984
2020-06-01,49.0458
2020-06-02,45.51526
2020-06-03,45.80152
2020-06-04,41.31679
2020-06-05,47.90076
2020-06-06,42.65267
2020-06-07,48.5687
2020-06-08,45.89694
2020-06-09,52.29007
2020-06-10,45.51526
2020-06-11,44.65648
2020-06-12,40.93511
2020-06-13,41.98473
2020-06-14,46.75572
2020-06-15,53.62595
2020-06-16,51.24045
2020-06-17,48.5687
2020-06-18,45.99236
2020-06-19,47.99618
2020-06-20,42.84351
2020-06-21,48.37786
2020-06-22,59.35114
2020-06-23,50.57251
2020-06-24,54.29389
2020-06-25,50.95419
2020-06-26,48.66412
2020-06-27,40.26717
2020-06-28,52.09923
2020-06-29,57.2519
2020-06-30,47.6145
2020-07-01,52.76717
2020-07-02,46.94656
2020-07-03,44.94274
2020-07-04,46.75572
2020-07-05,49.71374
2020-07-06,50.28625
2020-07-07,49.33206
2020-07-08,47.80534
2020-07-09,48.75954
2020-07-10,43.89312
2020-07-11,38.35877
2020-07-12,50.09541
2020-07-13,53.53053
2020-07-14,46.6603
2020-07-15,46.6603
2020-07-16,48.0916
2020-07-17,43.51145
2020-07-18,44.65648
2020-07-19,46.94656
2020-07-20,56.7748
2020-07-21,52.29007
2020-07-22,59.35114
2020-07-23,52.95801
2020-07-24,48.95038
2020-07-25,46.27862
2020-07-26,51.90839
2020-07-27,48.28244
2020-07-28,50.38167
2020-07-29,51.81297
2020-07-30,45.51526
2020-07-31,41.88931
2020-08-01,48.5687
2020-08-02,43.7977
2020-08-03,48.0916
2020-08-04,47.42366
2020-08-05,46.46946
2020-08-06,40.17175
2020-08-07,36.16412
2020-08-08,39.02671
2020-08-09,42.74809
2020-08-10,43.22519
2020-08-11,44.84732
2020-08-12,42.55725
2020-08-13,38.16793
2020-08-14,35.40076
2020-08-15,36.92748
2020-08-16,41.79389
2020-08-17,44.08396
2020-08-18,45.13358
2020-08-19,40.45801
2020-08-20,42.74809
2020-08-21,38.16793
2020-08-22,49.23664
2020-08-23,43.70229
2020-08-24,43.89312
2020-08-25,51.14503
2020-08-26,46.6603
2020-08-27,49.5229
2020-08-28,44.56106
2020-08-29,46.08778
2020-08-30,54.96183
2020-08-31,52.48091
2020-09-01,45.13358
2020-09-02,45.32442
2020-09-03,49.14122
2020-09-04,42.93893
2020-09-05,40.17175
2020-09-06,50.19083
2020-09-07,57.2519
2020-09-08,44.2748
2020-09-09,44.84732
2020-09-10,40.64885
2020-09-11,39.12213
2020-09-12,45.99236
2020-09-13,45.41984
2020-09-14,52.38549
2020-09-15,46.1832
2020-09-16,46.1832
2020-09-17,46.75572
2020-09-18,39.59923
2020-09-19,42.55725
2020-09-20,44.7519
2020-09-21,44.7519
2020-09-22,43.7977
2020-09-23,44.46564
2020-09-24,37.78625
2020-09-25,35.20992
2020-09-26,32.2519
2020-09-27,38.64503
2020-09-28,38.54961
2020-09-29,36.16412
2020-09-30,32.63358
2020-10-01,40.93511
2020-10-02,52.67175
