date,부동산
2020-03-20,45.57356
2020-03-21,42.92203
2020-03-22,42.52307
2020-03-23,49.97065
2020-03-24,46.96354
2020-03-25,43.21466
2020-03-26,44.75437
2020-03-27,40.4483
2020-03-28,38.90944
2020-03-29,39.53723
2020-03-30,45.74199
2020-03-31,44.78839
2020-04-01,44.71864
2020-04-02,43.44519
2020-04-03,39.19356
2020-04-04,38.75462
2020-04-05,38.07749
2020-04-06,44.56807
2020-04-07,43.72676
2020-04-08,43.54387
2020-04-09,41.75747
2020-04-10,39.93364
2020-04-11,40.22967
2020-04-12,41.72004
2020-04-13,47.04691
2020-04-14,43.4588
2020-04-15,40.91956
2020-04-16,46.16987
2020-04-17,44.7935
2020-04-18,44.49491
2020-04-19,44.88111
2020-04-20,48.66658
2020-04-21,48.3127
2020-04-22,46.26089
2020-04-23,45.06826
2020-04-24,40.6431
2020-04-25,41.71749
2020-04-26,42.8761
2020-04-27,48.25826
2020-04-28,47.64663
2020-04-29,42.11645
2020-04-30,40.28412
2020-05-01,42.64471
2020-05-02,40.28071
2020-05-03,43.36523
2020-05-04,46.07885
2020-05-05,46.44804
2020-05-06,47.66449
2020-05-07,43.26825
2020-05-08,38.9239
2020-05-09,38.90944
2020-05-10,38.87031
2020-05-11,47.95457
2020-05-12,45.73773
2020-05-13,42.92969
2020-05-14,42.68555
2020-05-15,40.45255
2020-05-16,41.58564
2020-05-17,42.21853
2020-05-18,47.1005
2020-05-19,40.50699
2020-05-20,40.18799
2020-05-21,39.44111
2020-05-22,36.75215
2020-05-23,35.69307
2020-05-24,37.09072
2020-05-25,42.69405
2020-05-26,39.8137
2020-05-27,37.56114
2020-05-28,37.82314
2020-05-29,38.18553
2020-05-30,38.52494
2020-05-31,39.68695
2020-06-01,46.63434
2020-06-02,44.94236
2020-06-03,44.02194
2020-06-04,44.1623
2020-06-05,41.31683
2020-06-06,42.60218
2020-06-07,43.26485
2020-06-08,51.22878
2020-06-09,48.55684
2020-06-10,47.91033
2020-06-11,52.00204
2020-06-12,50.50231
2020-06-13,47.50457
2020-06-14,48.74739
2020-06-15,62.04244
2020-06-16,61.50737
2020-06-17,100.0
2020-06-18,72.65195
2020-06-19,63.25719
2020-06-20,54.708
2020-06-21,52.2717
2020-06-22,63.54387
2020-06-23,60.27051
2020-06-24,56.64497
2020-06-25,55.23457
2020-06-26,53.32142
2020-06-27,51.1922
2020-06-28,55.80366
2020-06-29,63.09216
2020-06-30,59.16804
2020-07-01,61.04036
2020-07-02,72.14665
2020-07-03,64.81391
2020-07-04,56.44591
2020-07-05,56.47569
2020-07-06,72.55412
2020-07-07,71.32746
2020-07-08,73.7493
2020-07-09,76.39402
2020-07-10,96.57266
2020-07-11,60.074
2020-07-12,55.45914
2020-07-13,64.7399
2020-07-14,63.1364
2020-07-15,62.11985
2020-07-16,62.07987
2020-07-17,62.05435
2020-07-18,58.50708
2020-07-19,56.44081
2020-07-20,67.33358
2020-07-21,64.30692
2020-07-22,62.19897
2020-07-23,61.10246
2020-07-24,55.64544
2020-07-25,54.27927
2020-07-26,52.80847
2020-07-27,64.44217
2020-07-28,64.6106
2020-07-29,68.17744
2020-07-30,64.18442
2020-07-31,60.78431
2020-08-01,53.56471
2020-08-02,50.63502
2020-08-03,64.72544
2020-08-04,69.30202
2020-08-05,56.29109
2020-08-06,55.63183
2020-08-07,54.02237
2020-08-08,49.41686
2020-08-09,46.82744
2020-08-10,58.88647
2020-08-11,58.10046
2020-08-12,57.37229
2020-08-13,56.45272
2020-08-14,51.32916
2020-08-15,44.89047
2020-08-16,46.50418
2020-08-17,52.97605
2020-08-18,52.47671
2020-08-19,53.36225
2020-08-20,53.32908
2020-08-21,58.64488
2020-08-22,60.30283
2020-08-23,51.30534
2020-08-24,58.14044
2020-08-25,55.03891
2020-08-26,54.75819
2020-08-27,52.7838
2020-08-28,47.94776
2020-08-29,47.25192
2020-08-30,46.01675
2020-08-31,53.05686
2020-09-01,51.60903
2020-09-02,50.51252
2020-09-03,49.39475
2020-09-04,47.44502
2020-09-05,46.33065
2020-09-06,52.75998
2020-09-07,57.48458
2020-09-08,55.03126
2020-09-09,51.83275
2020-09-10,50.12972
2020-09-11,49.07319
2020-09-12,52.35081
2020-09-13,46.87593
2020-09-14,52.98796
2020-09-15,50.47339
2020-09-16,48.83416
2020-09-17,48.72017
2020-09-18,47.30636
2020-09-19,45.6918
2020-09-20,42.9501
2020-09-21,50.75156
2020-09-22,46.91335
2020-09-23,44.84964
2020-09-24,43.74207
2020-09-25,39.46152
2020-09-26,38.71974
2020-09-27,41.55756
2020-09-28,45.77091
2020-09-29,38.9188
2020-09-30,33.1666
2020-10-01,34.43409
2020-10-02,39.88686
2020-10-03,40.69244
2020-10-04,45.35153
2020-10-05,53.89051
2020-10-06,51.16583
2020-10-07,49.20079
2020-10-08,48.97452
2020-10-09,48.69125
2020-10-10,50.47935
2020-10-11,49.31989
2020-10-12,60.33005
2020-10-13,56.34468
2020-10-14,57.43949
2020-10-15,57.28807
2020-10-16,51.68048
2020-10-17,50.18757
2020-10-18,49.28161
2020-10-19,59.6257
2020-10-20,59.09574
2020-10-21,57.50244
2020-10-22,54.69354
2020-10-23,50.16375
2020-10-24,47.22895
2020-10-25,46.528
2020-10-26,58.71294
2020-10-27,59.25907
2020-10-28,57.72361
2020-10-29,57.17323
2020-10-30,52.64344
2020-10-31,52.82973
2020-11-01,47.88567
2020-11-02,58.63638
2020-11-03,56.37616
2020-11-04,51.10288
2020-11-05,57.70575
2020-11-06,56.07928
2020-11-07,51.34958
2020-11-08,51.29939
2020-11-09,61.2845
2020-11-10,58.96644
2020-11-11,62.61409
2020-11-12,64.71013
2020-11-13,62.1794
2020-11-14,56.03249
2020-11-15,56.91123
2020-11-16,67.82697
2020-11-17,68.82395
2020-11-18,70.88001
2020-11-19,75.8581
2020-11-20,64.00578
2020-11-21,58.80056
2020-11-22,57.22597
2020-11-23,68.45646
2020-11-24,66.99587
