date,SCHD
2020-03-20,0.29811
2020-03-22,0.26498
2020-03-23,0.52997
2020-03-24,0.26498
2020-03-25,0.46372
2020-03-26,0.36435
2020-03-27,0.46372
2020-03-28,0.36435
2020-03-30,0.19874
2020-04-01,0.66247
2020-04-02,0.5631
2020-04-03,0.16561
2020-04-04,0.49685
2020-04-05,0.46372
2020-04-06,0.19874
2020-04-08,0.19874
2020-04-09,0.52997
2020-04-10,0.19874
2020-04-11,0.19874
2020-04-13,0.29811
2020-04-14,0.36435
2020-04-15,0.46372
2020-04-17,0.33123
2020-04-18,0.62934
2020-04-19,0.36435
2020-04-20,0.52997
2020-04-21,0.46372
2020-04-22,0.26498
2020-04-23,0.16561
2020-04-24,0.36435
2020-04-25,0.16561
2020-04-26,0.19874
2020-04-27,0.52997
2020-04-28,0.16561
2020-04-30,0.29811
2020-05-01,0.19874
2020-05-02,0.23186
2020-05-03,0.23186
2020-05-04,0.26498
2020-05-05,0.39748
2020-05-06,0.39748
2020-05-07,0.39748
2020-05-08,0.16561
2020-05-09,0.5631
2020-05-10,0.33123
2020-05-11,0.23186
2020-05-12,0.39748
2020-05-13,0.36435
2020-05-14,0.19874
2020-05-15,0.19874
2020-05-17,0.16561
2020-05-18,0.23186
2020-05-19,0.49685
2020-05-20,0.16561
2020-05-22,0.36435
2020-05-23,0.33123
2020-05-24,0.46372
2020-05-25,0.29811
2020-05-26,0.92745
2020-05-27,0.59622
2020-05-28,0.16561
2020-05-29,0.29811
2020-06-01,0.4306
2020-06-02,0.82808
2020-06-03,0.26498
2020-06-04,0.19874
2020-06-06,0.33123
2020-06-08,0.29811
2020-06-09,0.33123
2020-06-10,0.62934
2020-06-11,0.23186
2020-06-12,0.92745
2020-06-13,2.15303
2020-06-14,1.22557
2020-06-15,0.4306
2020-06-16,0.59622
2020-06-17,0.26498
2020-06-18,0.76184
2020-06-19,0.39748
2020-06-20,0.5631
2020-06-21,0.4306
2020-06-23,0.76184
2020-06-24,0.79496
2020-06-25,0.29811
2020-06-26,0.4306
2020-06-27,0.62934
2020-06-29,0.76184
2020-06-30,0.39748
2020-07-01,0.79496
2020-07-02,0.5631
2020-07-03,0.26498
2020-07-04,0.29811
2020-07-05,0.19874
2020-07-06,0.69559
2020-07-07,1.35806
2020-07-08,0.62934
2020-07-09,0.62934
2020-07-10,0.72871
2020-07-11,0.33123
2020-07-12,0.39748
2020-07-13,0.49685
2020-07-14,0.5631
2020-07-15,0.5631
2020-07-16,0.49685
2020-07-17,0.19874
2020-07-18,0.23186
2020-07-20,0.36435
2020-07-21,0.59622
2020-07-22,0.82808
2020-07-23,0.82808
2020-07-24,0.49685
2020-07-25,0.29811
2020-07-26,0.16561
2020-07-27,0.29811
2020-07-28,0.89433
2020-07-29,0.36435
2020-07-30,0.33123
2020-07-31,0.52997
2020-08-01,0.26498
2020-08-02,0.46372
2020-08-03,0.9937
2020-08-04,0.33123
2020-08-05,0.39748
2020-08-06,0.19874
2020-08-07,0.4306
2020-08-08,0.29811
2020-08-09,0.23186
2020-08-10,0.36435
2020-08-11,0.62934
2020-08-12,0.66247
2020-08-13,0.5631
2020-08-14,0.62934
2020-08-15,0.46372
2020-08-17,0.39748
2020-08-18,0.79496
2020-08-19,0.5631
2020-08-20,0.36435
2020-08-21,0.33123
2020-08-22,0.39748
2020-08-23,0.52997
2020-08-24,0.19874
2020-08-25,0.16561
2020-08-26,0.72871
2020-08-27,0.72871
2020-08-28,0.72871
2020-08-29,1.09307
2020-08-30,0.62934
2020-08-31,0.82808
2020-09-01,0.76184
2020-09-02,0.76184
2020-09-03,0.76184
2020-09-04,0.29811
2020-09-05,1.09307
2020-09-06,1.65617
2020-09-07,1.58993
2020-09-08,0.69559
2020-09-09,1.05995
2020-09-10,1.19244
2020-09-11,0.5631
2020-09-12,0.76184
2020-09-13,0.92745
2020-09-14,1.45743
2020-09-15,0.86121
2020-09-16,1.09307
2020-09-17,0.82808
2020-09-18,0.59622
2020-09-19,1.35806
2020-09-20,0.76184
2020-09-21,0.59622
2020-09-22,1.02683
2020-09-23,0.59622
2020-09-24,0.52997
2020-09-25,1.25869
2020-09-26,0.66247
2020-09-27,0.36435
2020-09-28,0.52997
2020-09-29,0.59622
2020-09-30,1.02683
2020-10-01,0.49685
2020-10-02,0.72871
2020-10-03,0.76184
2020-10-04,0.52997
2020-10-05,0.36435
2020-10-06,0.92745
2020-10-07,0.86121
2020-10-08,0.33123
2020-10-09,0.72871
2020-10-10,0.86121
2020-10-11,0.59622
2020-10-12,0.5631
2020-10-13,0.62934
2020-10-14,0.66247
2020-10-15,0.86121
2020-10-16,0.66247
2020-10-17,0.33123
2020-10-18,0.29811
2020-10-19,0.46372
2020-10-20,0.59622
2020-10-21,0.72871
2020-10-22,0.29811
2020-10-23,0.49685
2020-10-24,0.46372
2020-10-25,0.89433
2020-10-26,0.5631
2020-10-27,0.46372
2020-10-28,1.1262
2020-10-29,0.62934
2020-10-30,0.4306
2020-10-31,0.52997
2020-11-03,0.69559
2020-11-04,0.26498
2020-11-05,0.36435
2020-11-06,0.46372
2020-11-07,0.23186
2020-11-08,0.36435
2020-11-09,0.46372
2020-11-10,0.52997
2020-11-11,0.36435
2020-11-12,0.59622
2020-11-13,0.26498
2020-11-14,0.49685
2020-11-15,0.33123
2020-11-16,0.69559
2020-11-17,0.89433
2020-11-18,0.62934
2020-11-19,0.66247
2020-11-20,0.9937
2020-11-21,0.62934
2020-11-22,0.66247
2020-11-23,1.19244
2020-11-24,1.19244
2020-11-25,0.89433
2020-11-26,0.76184
2020-11-27,1.78867
2020-11-28,0.96058
2020-11-29,0.76184
2020-11-30,0.82808
2020-12-01,0.69559
2020-12-02,0.36435
2020-12-03,0.59622
2020-12-04,0.92745
2020-12-05,1.22557
2020-12-06,0.59622
2020-12-07,1.39118
2020-12-08,1.58993
2020-12-09,1.22557
2020-12-10,1.5568
2020-12-11,1.02683
2020-12-12,1.25869
2020-12-13,0.79496
2020-12-14,0.89433
2020-12-15,0.9937
2020-12-16,1.15932
2020-12-17,1.25869
2020-12-18,0.9937
2020-12-19,0.52997
2020-12-20,0.5631
2020-12-21,1.02683
2020-12-22,1.15932
2020-12-23,0.96058
2020-12-24,0.66247
2020-12-25,0.76184
2020-12-26,0.46372
2020-12-27,0.89433
2020-12-28,1.39118
2020-12-29,0.86121
2020-12-30,1.85491
2020-12-31,1.5568
2021-01-01,1.35806
2021-01-02,1.32494
2021-01-03,1.22557
2021-01-04,1.02683
2021-01-05,1.78867
2021-01-06,1.15932
2021-01-07,1.42431
2021-01-08,1.1262
2021-01-09,1.49055
2021-01-10,1.65617
2021-01-11,1.29181
2021-01-12,1.72242
2021-01-13,0.96058
2021-01-14,1.29181
2021-01-15,1.6893
2021-01-16,1.39118
2021-01-17,6.35972
2021-01-18,2.05366
2021-01-19,2.55051
2021-01-20,2.71613
2021-01-21,1.62305
2021-01-22,1.78867
2021-01-23,2.55051
2021-01-24,2.51738
2021-01-25,2.35177
2021-01-26,1.78867
2021-01-27,1.32494
2021-01-28,1.82179
2021-01-29,0.9937
2021-01-30,1.42431
2021-01-31,1.22557
2021-02-01,2.31864
2021-02-02,2.71613
2021-02-03,2.8155
2021-02-04,2.71613
2021-02-05,3.08049
2021-02-06,2.18615
2021-02-07,3.47797
2021-02-08,3.11361
2021-02-09,2.02053
2021-02-10,2.38489
2021-02-11,1.05995
2021-02-12,2.88174
2021-02-13,2.74925
2021-02-14,2.05366
2021-02-15,2.18615
2021-02-16,2.74925
2021-02-17,2.78237
2021-02-18,3.44484
2021-02-19,3.27923
2021-02-20,2.48426
2021-02-21,1.85491
2021-02-22,1.78867
2021-02-23,2.78237
2021-02-24,4.70354
2021-02-25,4.30606
2021-02-26,4.00794
2021-02-27,4.00794
2021-02-28,6.29347
2021-03-01,5.36601
2021-03-02,5.03477
2021-03-03,3.9417
2021-03-04,5.76349
2021-03-05,3.51109
2021-03-06,6.49221
2021-03-07,6.79032
2021-03-08,5.59788
2021-03-09,8.11526
2021-03-10,6.29347
2021-03-11,5.86286
2021-03-12,4.83603
2021-03-13,5.43226
2021-03-14,4.47167
2021-03-15,4.07419
2021-03-16,4.07419
2021-03-17,4.04107
2021-03-18,4.47167
2021-03-19,4.76979
2021-03-20,3.90857
2021-03-21,2.94799
2021-03-22,5.23352
2021-03-23,5.23352
2021-03-24,4.57105
2021-03-25,5.76349
2021-03-26,5.36601
