date,실손보험료인상
2020-03-20,2.30215
2020-03-21,1.8705
2020-03-22,0.71942
2020-03-23,2.87769
2020-03-24,5.17985
2020-03-25,3.59712
2020-03-26,4.60431
2020-03-27,4.46043
2020-03-28,5.89928
2020-03-29,3.59712
2020-03-30,7.19424
2020-03-31,6.76258
2020-04-01,2.73381
2020-04-02,2.44604
2020-04-03,1.43884
2020-04-06,1.72661
2020-04-07,6.04316
2020-04-08,1.15107
2020-04-09,2.87769
2020-04-10,0.8633
2020-04-11,1.15107
2020-04-12,0.71942
2020-04-13,2.87769
2020-04-14,1.58273
2020-04-16,1.15107
2020-04-17,1.00719
2020-04-24,1.29496
2020-04-26,0.71942
2020-04-28,2.15827
2020-05-04,0.71942
2020-05-14,1.15107
2020-05-15,0.71942
2020-05-20,0.8633
2020-05-25,0.8633
2020-05-26,1.72661
2020-05-27,1.00719
2020-05-28,1.29496
2020-05-29,0.8633
2020-06-18,0.71942
2020-06-24,1.58273
2020-06-29,0.8633
2020-07-02,1.43884
2020-07-09,0.71942
2020-07-15,0.71942
2020-07-22,0.8633
2020-08-04,1.29496
2020-08-05,0.71942
2020-08-06,0.71942
2020-08-10,0.71942
2020-08-18,0.71942
2020-08-21,0.71942
2020-08-25,1.15107
2020-08-26,0.71942
2020-08-28,0.71942
2020-08-31,0.71942
2020-09-01,0.8633
2020-09-02,0.8633
2020-09-08,1.00719
2020-09-15,1.15107
2020-09-16,0.71942
2020-09-17,0.71942
2020-09-18,1.00719
2020-09-24,0.71942
2020-09-25,1.29496
2020-09-26,1.8705
2020-09-28,0.71942
2020-09-29,0.71942
2020-10-02,0.8633
2020-10-07,1.00719
2020-10-10,0.71942
2020-10-12,3.45323
2020-10-13,5.75539
2020-10-14,1.43884
2020-10-15,3.30935
2020-10-16,0.71942
2020-10-17,0.8633
2020-10-19,1.00719
2020-10-20,2.30215
2020-10-21,1.43884
2020-10-22,2.15827
2020-10-23,0.71942
2020-10-26,0.71942
2020-10-27,3.45323
2020-10-28,5.89928
