date,개인IRP
2020-03-20,40.87591
2020-03-21,14.9635
2020-03-22,13.13868
2020-03-23,36.86131
2020-03-24,37.22627
2020-03-25,38.68613
2020-03-26,42.70072
2020-03-27,27.37226
2020-03-28,16.05839
2020-03-29,10.9489
2020-03-30,38.32116
2020-03-31,39.41605
2020-04-01,33.21167
2020-04-02,35.03649
2020-04-03,26.27737
2020-04-04,9.85401
2020-04-05,18.9781
2020-04-06,34.30656
2020-04-07,38.32116
2020-04-08,34.30656
2020-04-09,30.65693
2020-04-10,32.48175
2020-04-11,12.40875
2020-04-12,12.40875
2020-04-13,28.46715
2020-04-14,33.9416
2020-04-15,17.51824
2020-04-16,28.10218
2020-04-17,30.29197
2020-04-18,14.23357
2020-04-19,13.13868
2020-04-20,30.29197
2020-04-21,26.64233
2020-04-22,32.84671
2020-04-23,32.48175
2020-04-24,36.86131
2020-04-25,14.23357
2020-04-26,13.13868
2020-04-27,31.38686
2020-04-28,27.37226
2020-04-29,34.67153
2020-04-30,15.69343
2020-05-01,8.02919
2020-05-02,14.59854
2020-05-03,18.24817
2020-05-04,34.30656
2020-05-05,13.50364
2020-05-06,25.54744
2020-05-07,26.64233
2020-05-08,28.46715
2020-05-09,10.9489
2020-05-10,8.75912
2020-05-11,42.33576
2020-05-12,29.927
2020-05-13,29.19708
2020-05-14,24.81751
2020-05-15,28.83211
2020-05-16,9.12408
2020-05-17,14.23357
2020-05-18,26.27737
2020-05-19,27.37226
2020-05-20,31.75182
2020-05-21,24.45255
2020-05-22,29.56204
2020-05-23,13.13868
2020-05-24,9.48905
2020-05-25,27.37226
2020-05-26,34.67153
2020-05-27,22.9927
2020-05-28,25.9124
2020-05-29,22.26277
2020-05-30,7.29927
2020-05-31,10.58394
2020-06-01,28.46715
2020-06-02,28.46715
2020-06-03,25.18248
2020-06-04,21.89781
2020-06-05,21.16788
2020-06-06,12.40875
2020-06-07,6.9343
2020-06-08,21.89781
2020-06-09,26.27737
2020-06-10,33.9416
2020-06-11,24.45255
2020-06-12,24.08759
2020-06-13,12.40875
2020-06-14,6.9343
2020-06-15,29.19708
2020-06-16,22.62773
2020-06-17,23.35766
2020-06-18,25.18248
2020-06-19,21.89781
2020-06-20,13.13868
2020-06-21,7.66423
2020-06-22,27.37226
2020-06-23,33.21167
2020-06-24,23.35766
2020-06-25,32.48175
2020-06-26,21.16788
2020-06-27,7.66423
2020-06-28,10.9489
2020-06-29,21.89781
2020-06-30,32.84671
2020-07-01,23.35766
2020-07-02,20.43795
2020-07-03,21.89781
2020-07-04,9.12408
2020-07-05,14.23357
2020-07-06,23.35766
2020-07-07,27.00729
2020-07-08,23.72262
2020-07-09,28.46715
2020-07-10,19.34306
2020-07-11,8.39416
2020-07-12,12.40875
2020-07-13,24.45255
2020-07-14,23.35766
2020-07-15,25.9124
2020-07-16,25.54744
2020-07-17,28.10218
2020-07-18,8.02919
2020-07-19,13.86861
2020-07-20,22.62773
2020-07-21,25.54744
2020-07-22,25.54744
2020-07-23,25.54744
2020-07-24,23.72262
2020-07-25,10.21897
2020-07-26,10.58394
2020-07-27,29.927
2020-07-28,30.65693
2020-07-29,29.927
2020-07-30,27.37226
2020-07-31,21.89781
2020-08-01,12.40875
2020-08-02,12.04379
2020-08-03,23.72262
2020-08-04,33.57664
2020-08-05,31.02189
2020-08-06,21.89781
2020-08-07,21.53284
2020-08-08,16.05839
2020-08-09,14.59854
2020-08-10,36.49635
2020-08-11,39.05109
2020-08-12,24.81751
2020-08-13,28.83211
2020-08-14,27.37226
2020-08-15,12.40875
2020-08-16,8.39416
2020-08-17,13.50364
2020-08-18,30.65693
2020-08-19,33.57664
2020-08-20,24.45255
2020-08-21,24.45255
2020-08-22,11.31386
2020-08-23,8.75912
2020-08-24,28.10218
2020-08-25,31.38686
2020-08-26,33.9416
2020-08-27,29.927
2020-08-28,26.27737
2020-08-29,13.13868
2020-08-30,9.85401
2020-08-31,35.40145
2020-09-01,31.02189
2020-09-02,35.03649
2020-09-03,22.26277
2020-09-04,21.16788
2020-09-05,14.59854
2020-09-06,9.85401
2020-09-07,40.14598
2020-09-08,39.41605
2020-09-09,31.75182
2020-09-10,28.10218
2020-09-11,22.26277
2020-09-12,5.83941
2020-09-13,11.31386
2020-09-14,26.27737
2020-09-15,24.81751
2020-09-16,30.29197
2020-09-17,30.29197
2020-09-18,21.16788
2020-09-19,13.50364
2020-09-20,10.9489
2020-09-21,25.18248
2020-09-22,20.43795
2020-09-23,24.45255
2020-09-24,27.00729
2020-09-25,25.54744
2020-09-26,9.12408
2020-09-27,8.75912
2020-09-28,27.37226
2020-09-29,24.81751
2020-09-30,7.29927
2020-10-01,11.67883
2020-10-02,7.29927
2020-10-03,11.67883
2020-10-04,9.85401
2020-10-05,31.75182
2020-10-06,25.9124
2020-10-07,26.27737
2020-10-08,30.29197
2020-10-09,9.48905
2020-10-10,13.13868
2020-10-11,9.48905
2020-10-12,25.9124
2020-10-13,29.56204
2020-10-14,28.10218
2020-10-15,32.48175
2020-10-16,25.18248
2020-10-17,16.42335
2020-10-18,12.40875
2020-10-19,23.72262
2020-10-20,31.75182
2020-10-21,38.32116
2020-10-22,32.84671
2020-10-23,27.00729
2020-10-24,12.40875
2020-10-25,14.23357
2020-10-26,31.75182
2020-10-27,27.00729
2020-10-28,27.00729
2020-10-29,31.75182
2020-10-30,29.927
2020-10-31,12.40875
2020-11-01,13.50364
2020-11-02,32.48175
2020-11-03,25.54744
