date,실손보험료
2020-03-20,6.18066
2020-03-21,3.01109
2020-03-22,3.16957
2020-03-23,9.66719
2020-03-24,8.24088
2020-03-25,9.19175
2020-03-26,7.76545
2020-03-27,6.02218
2020-03-28,7.44849
2020-03-29,5.8637
2020-03-30,6.97305
2020-03-31,5.38827
2020-04-01,2.69413
2020-04-02,3.48652
2020-04-03,3.80348
2020-04-04,4.59587
2020-04-05,2.06022
2020-04-06,6.33914
2020-04-07,2.69413
2020-04-08,6.33914
2020-04-09,4.59587
2020-04-10,6.6561
2020-04-11,3.32805
2020-04-12,2.85261
2020-04-13,9.35023
2020-04-14,5.54675
2020-04-15,3.01109
2020-04-16,5.70522
2020-04-17,6.02218
2020-04-18,4.4374
2020-04-19,2.53565
2020-04-20,4.75435
2020-04-21,6.33914
2020-04-22,6.6561
2020-04-23,5.22979
2020-04-24,6.02218
2020-04-25,1.58478
2020-04-26,2.37717
2020-04-27,6.18066
2020-04-28,5.8637
2020-04-29,4.91283
2020-04-30,3.645
2020-05-01,3.96196
2020-05-02,3.32805
2020-05-03,3.645
2020-05-04,5.07131
2020-05-05,3.96196
2020-05-06,6.81458
2020-05-07,5.8637
2020-05-08,6.18066
2020-05-09,3.32805
2020-05-10,3.80348
2020-05-11,9.35023
2020-05-12,4.27892
2020-05-13,5.07131
2020-05-14,3.645
2020-05-15,8.24088
2020-05-16,3.01109
2020-05-17,3.16957
2020-05-18,8.39936
2020-05-19,7.13153
2020-05-20,9.66719
2020-05-21,8.39936
2020-05-22,6.81458
2020-05-23,4.12044
2020-05-24,2.53565
2020-05-25,9.50871
2020-05-26,9.82567
2020-05-27,9.50871
2020-05-28,7.13153
2020-05-29,4.12044
2020-05-30,6.97305
2020-05-31,2.85261
2020-06-01,7.92393
2020-06-02,6.49762
2020-06-03,5.22979
2020-06-04,5.38827
2020-06-05,7.92393
2020-06-06,3.96196
2020-06-07,2.53565
2020-06-08,5.22979
2020-06-09,2.2187
2020-06-10,6.81458
2020-06-11,6.97305
2020-06-12,6.49762
2020-06-13,2.37717
