date,가맹점
2020-11-08,10.01064
2020-11-09,12.40681
2020-11-10,14.11075
2020-11-11,11.92758
2020-11-12,10.80937
2020-11-13,12.93929
2020-11-14,7.93397
2020-11-15,8.73269
2020-11-16,12.08732
2020-11-17,12.67305
2020-11-18,11.71458
2020-11-19,11.12886
2020-11-20,10.59637
2020-11-21,7.13525
2020-11-22,8.5197
2020-11-23,10.54313
2020-11-24,11.60809
2020-11-25,12.03407
2020-11-26,11.92758
2020-11-27,10.86261
2020-11-28,7.18849
2020-11-29,7.13525
2020-11-30,13.57827
2020-12-01,11.3951
2020-12-02,13.09904
2020-12-03,11.71458
2020-12-04,12.35356
2020-12-05,8.73269
2020-12-06,8.4132
2020-12-07,12.88604
2020-12-08,14.69648
2020-12-09,13.09904
2020-12-10,12.46006
2020-12-11,12.40681
2020-12-12,7.88072
2020-12-13,7.72097
2020-12-14,11.02236
2020-12-15,11.92758
2020-12-16,10.91586
2020-12-17,11.02236
2020-12-18,10.43663
2020-12-19,7.24174
2020-12-20,8.67944
2020-12-21,11.71458
2020-12-22,13.04579
2020-12-23,11.76783
2020-12-24,9.47816
2020-12-25,5.37806
2020-12-26,6.65601
2020-12-27,7.34824
2020-12-28,11.92758
2020-12-29,10.59637
2020-12-30,11.2886
2020-12-31,8.94568
2021-01-01,5.4313
2021-01-02,7.93397
2021-01-03,6.76251
2021-01-04,12.56656
2021-01-05,11.71458
2021-01-06,11.76783
2021-01-07,11.50159
2021-01-08,10.59637
2021-01-09,5.80404
2021-01-10,7.72097
2021-01-11,12.14057
2021-01-12,11.44834
2021-01-13,14.37699
2021-01-14,12.56656
2021-01-15,9.69116
2021-01-16,8.20021
2021-01-17,8.09371
2021-01-18,12.8328
2021-01-19,14.00425
2021-01-20,12.88604
2021-01-21,12.99254
2021-01-22,11.92758
2021-01-23,7.82747
2021-01-24,8.4132
2021-01-25,13.89776
2021-01-26,13.57827
2021-01-27,13.09904
2021-01-28,12.88604
2021-01-29,11.1821
2021-01-30,8.46645
2021-01-31,8.04046
2021-02-01,13.20553
2021-02-02,14.43024
2021-02-03,16.08093
2021-02-04,15.81469
2021-02-05,17.83812
2021-02-06,13.25878
2021-02-07,11.44834
2021-02-08,15.12247
2021-02-09,14.21725
2021-02-10,12.30031
2021-02-11,6.81576
2021-02-12,6.81576
2021-02-13,8.14696
2021-02-14,9.05218
2021-02-15,14.21725
2021-02-16,13.31203
2021-02-17,13.15228
2021-02-18,12.14057
2021-02-19,12.14057
2021-02-20,7.77422
2021-02-21,7.66773
2021-02-22,12.7263
2021-02-23,13.52502
2021-02-24,16.02768
2021-02-25,16.61341
2021-02-26,14.74973
2021-02-27,10.17039
2021-02-28,8.35995
2021-03-01,8.67944
2021-03-02,12.67305
2021-03-03,13.20553
2021-03-04,14.11075
2021-03-05,13.52502
2021-03-06,8.25346
2021-03-07,7.93397
2021-03-08,13.84451
2021-03-09,12.56656
2021-03-10,11.44834
2021-03-11,12.14057
2021-03-12,12.40681
2021-03-13,8.4132
2021-03-14,7.93397
2021-03-15,12.8328
2021-03-16,14.32374
2021-03-17,15.01597
2021-03-18,10.59637
2021-03-19,11.23535
2021-03-20,7.98722
2021-03-21,7.88072
2021-03-22,12.19382
2021-03-23,11.87433
2021-03-24,13.52502
2021-03-25,12.56656
2021-03-26,11.07561
2021-03-27,7.61448
2021-03-28,7.13525
2021-03-29,11.34185
2021-03-30,14.164
2021-03-31,13.52502
2021-04-01,11.23535
2021-04-02,12.30031
2021-04-03,7.34824
2021-04-04,7.88072
2021-04-05,12.51331
2021-04-06,13.63152
2021-04-07,13.25878
2021-04-08,11.1821
2021-04-09,10.70287
2021-04-10,8.62619
2021-04-11,8.67944
2021-04-12,11.55484
2021-04-13,13.52502
2021-04-14,13.20553
2021-04-15,11.60809
2021-04-16,11.23535
2021-04-17,9.05218
2021-04-18,9.05218
2021-04-19,11.23535
2021-04-20,12.8328
2021-04-21,12.19382
2021-04-22,12.14057
2021-04-23,12.7263
2021-04-24,7.082
2021-04-25,13.57827
2021-04-26,19.59531
2021-04-27,23.26943
2021-04-28,15.38871
2021-04-29,15.4952
2021-04-30,14.69648
2021-05-01,10.91586
2021-05-02,9.7444
2021-05-03,14.48349
2021-05-04,13.79126
2021-05-05,9.10543
2021-05-06,13.73801
2021-05-07,10.27689
2021-05-08,7.18849
2021-05-09,8.25346
2021-05-10,13.25878
2021-05-11,12.6198
2021-05-12,12.99254
2021-05-13,13.36528
2021-05-14,11.2886
2021-05-15,6.28328
2021-05-16,8.57294
2021-05-17,14.0575
2021-05-18,11.92758
2021-05-19,10.86261
2021-05-20,13.09904
2021-05-21,10.43663
2021-05-22,7.02875
2021-05-23,7.93397
2021-05-24,12.08732
2021-05-25,12.67305
2021-05-26,13.57827
2021-05-27,13.84451
2021-05-28,11.60809
2021-05-29,8.83919
2021-05-30,8.62619
2021-05-31,14.0575
2021-06-01,13.68477
2021-06-02,12.35356
2021-06-03,12.77955
2021-06-04,10.91586
2021-06-05,7.50798
2021-06-06,7.18849
2021-06-07,12.19382
2021-06-08,11.02236
2021-06-09,13.15228
2021-06-10,12.88604
2021-06-11,10.75612
2021-06-12,8.4132
2021-06-13,6.23003
2021-06-14,14.2705
2021-06-15,18.26411
2021-06-16,12.8328
2021-06-17,11.76783
2021-06-18,11.71458
2021-06-19,7.40149
2021-06-20,6.76251
2021-06-21,15.44195
2021-06-22,12.67305
2021-06-23,13.52502
2021-06-24,11.12886
2021-06-25,9.63791
2021-06-26,7.13525
2021-06-27,6.44302
2021-06-28,12.24707
2021-06-29,13.47177
2021-06-30,11.66134
2021-07-01,11.76783
2021-07-02,9.69116
2021-07-03,6.70926
2021-07-04,7.34824
2021-07-05,12.08732
2021-07-06,12.99254
2021-07-07,11.34185
2021-07-08,13.25878
2021-07-09,10.96911
2021-07-10,8.46645
2021-07-11,8.14696
2021-07-12,11.1821
2021-07-13,12.19382
2021-07-14,11.50159
2021-07-15,13.20553
2021-07-16,12.67305
2021-07-17,7.45473
2021-07-18,6.65601
2021-07-19,13.52502
2021-07-20,14.00425
2021-07-21,12.19382
2021-07-22,11.02236
2021-07-23,12.7263
2021-07-24,8.94568
2021-07-25,6.38977
2021-07-26,11.23535
2021-07-27,11.2886
2021-07-28,13.25878
2021-07-29,11.92758
2021-07-30,11.3951
2021-07-31,7.18849
2021-08-01,6.92225
2021-08-02,12.19382
2021-08-03,12.03407
2021-08-04,11.12886
2021-08-05,11.23535
2021-08-06,12.40681
2021-08-07,8.73269
2021-08-08,7.93397
2021-08-09,13.15228
2021-08-10,12.46006
2021-08-11,20.87326
2021-08-12,17.0394
2021-08-13,16.18743
2021-08-14,9.31842
2021-08-15,8.83919
2021-08-16,9.58466
2021-08-17,13.84451
2021-08-18,13.84451
2021-08-19,13.63152
2021-08-20,12.99254
2021-08-21,7.88072
2021-08-22,7.45473
2021-08-23,11.87433
2021-08-24,12.51331
2021-08-25,11.66134
2021-08-26,11.92758
2021-08-27,12.88604
2021-08-28,9.15867
2021-08-29,8.14696
2021-08-30,21.72523
2021-08-31,25.13312
2021-09-01,21.51224
2021-09-02,21.08626
2021-09-03,21.246
2021-09-04,16.82641
2021-09-05,32.10862
2021-09-06,72.7902
2021-09-07,98.88178
2021-09-08,100.0
2021-09-09,83.01384
2021-09-10,68.10436
2021-09-11,56.60276
2021-09-12,38.12566
2021-09-13,32.05537
2021-09-14,28.75399
2021-09-15,26.41107
2021-09-16,24.0149
2021-09-17,21.29925
2021-09-18,16.29392
2021-09-19,14.11075
2021-09-20,10.33013
2021-09-21,8.4132
2021-09-22,10.75612
2021-09-23,16.9329
2021-09-24,14.2705
2021-09-25,10.64962
2021-09-26,9.53141
2021-09-27,13.79126
2021-09-28,13.36528
2021-09-29,16.02768
2021-09-30,14.90947
2021-10-01,13.36528
2021-10-02,9.53141
2021-10-03,8.99893
2021-10-04,10.80937
2021-10-05,13.31203
2021-10-06,14.2705
2021-10-07,15.06922
2021-10-08,12.40681
2021-10-09,7.98722
2021-10-10,6.92225
2021-10-11,8.73269
2021-10-12,11.87433
2021-10-13,10.91586
2021-10-14,12.14057
2021-10-15,13.20553
2021-10-16,7.82747
2021-10-17,8.3067
2021-10-18,11.34185
2021-10-19,12.14057
2021-10-20,11.60809
2021-10-21,11.71458
2021-10-22,12.56656
2021-10-23,7.082
2021-10-24,7.13525
2021-10-25,13.95101
2021-10-26,16.71991
2021-10-27,15.97444
2021-10-28,14.74973
2021-10-29,13.09904
2021-10-30,9.15867
2021-10-31,9.63791
2021-11-01,12.40681
2021-11-02,12.03407
2021-11-03,12.99254
2021-11-04,12.8328
2021-11-05,11.87433
2021-11-06,7.61448
2021-11-07,7.66773
2021-11-08,10.96911
2021-11-09,13.84451
2021-11-10,12.46006
2021-11-11,11.82108
2021-11-12,9.31842
2021-11-13,7.29499
2021-11-14,7.24174
2021-11-15,17.35889
2021-11-16,13.79126
2021-11-17,12.14057
2021-11-18,14.32374
2021-11-19,11.2886
2021-11-20,6.92225
2021-11-21,7.61448
2021-11-22,10.70287
2021-11-23,11.12886
2021-11-24,10.38338
2021-11-25,11.1821
2021-11-26,9.69116
2021-11-27,7.34824
2021-11-28,8.73269
2021-11-29,12.8328
2021-11-30,10.38338
2021-12-01,11.02236
2021-12-02,10.59637
2021-12-03,11.34185
2021-12-04,7.50798
2021-12-05,9.31842
2021-12-06,10.59637
2021-12-07,11.87433
2021-12-08,11.44834
2021-12-09,10.59637
2021-12-10,9.8509
2021-12-11,8.67944
2021-12-12,6.54952
2021-12-13,9.58466
2021-12-14,12.77955
2021-12-15,16.98615
2021-12-16,14.37699
2021-12-17,9.7444
2021-12-18,7.29499
2021-12-19,6.17678
2021-12-20,11.76783
2021-12-21,12.40681
2021-12-22,13.09904
2021-12-23,12.8328
2021-12-24,12.93929
2021-12-25,6.44302
2021-12-26,6.49627
2021-12-27,12.19382
2021-12-28,13.63152
2021-12-29,12.35356
2021-12-30,14.11075
2021-12-31,11.02236
2022-01-01,11.87433
2022-01-02,11.12886
2022-01-03,16.56017
2022-01-04,15.44195
2022-01-05,15.86794
2022-01-06,12.46006
2022-01-07,15.01597
2022-01-08,8.78594
2022-01-09,9.8509
2022-01-10,14.85623
2022-01-11,13.84451
2022-01-12,14.32374
2022-01-13,10.75612
2022-01-14,13.04579
2022-01-15,8.67944
2022-01-16,8.14696
2022-01-17,13.20553
2022-01-18,13.89776
2022-01-19,15.38871
