date,비과세종합저축
2020-11-07,3.32792
2020-11-08,3.49025
2020-11-09,7.22402
2020-11-10,7.83279
2020-11-11,7.0211
2020-11-12,7.06168
2020-11-13,6.18912
2020-11-14,3.44967
2020-11-15,3.93668
2020-11-16,7.65016
2020-11-17,6.87905
2020-11-18,6.7573
2020-11-19,6.71672
2020-11-20,6.29058
2020-11-21,3.40909
2020-11-22,4.46428
2020-11-23,6.35146
2020-11-24,7.56899
2020-11-25,8.94886
2020-11-26,6.96022
2020-11-27,6.89935
2020-11-28,4.05844
2020-11-29,4.4034
2020-11-30,7.95454
2020-12-01,9.21266
2020-12-02,7.97483
2020-12-03,9.375
2020-12-04,7.85308
2020-12-05,4.76866
2020-12-06,5.39772
2020-12-07,6.73701
2020-12-08,8.34009
2020-12-09,8.19805
2020-12-10,9.31412
2020-12-11,8.50243
2020-12-12,6.79788
2020-12-13,6.08766
2020-12-14,8.68506
2020-12-15,9.0909
2020-12-16,9.74025
2020-12-17,9.25324
2020-12-18,7.60957
2020-12-19,5.60064
2020-12-20,4.80925
2020-12-21,8.15746
2020-12-22,8.76623
2020-12-23,8.13717
2020-12-24,11.20129
2020-12-25,6.18912
2020-12-26,6.63555
2020-12-27,8.23863
2020-12-28,12.84496
2020-12-29,11.26217
2020-12-30,12.07386
2020-12-31,13.16964
2021-01-01,7.8125
2021-01-02,7.10227
2021-01-03,8.44155
2021-01-04,13.69724
2021-01-05,12.54058
2021-01-06,11.42451
2021-01-07,10.47077
2021-01-08,10.49107
2021-01-09,6.02678
2021-01-10,7.42694
2021-01-11,11.32305
2021-01-12,10.43019
2021-01-13,10.6534
2021-01-14,10.16639
2021-01-15,10.59253
2021-01-16,6.27029
2021-01-17,6.65584
2021-01-18,11.28246
2021-01-19,11.14042
2021-01-20,12.45941
2021-01-21,11.76948
2021-01-22,9.6185
2021-01-23,6.18912
2021-01-24,7.32548
2021-01-25,13.57548
2021-01-26,14.69155
2021-01-27,11.46509
2021-01-28,11.85064
2021-01-29,9.82142
2021-01-30,6.10795
2021-01-31,6.79788
2021-02-01,11.28246
2021-02-02,10.36931
2021-02-03,9.92288
2021-02-04,11.66801
2021-02-05,9.80113
2021-02-06,6.14853
2021-02-07,6.02678
2021-02-08,10.53165
2021-02-09,8.60389
2021-02-10,10.08522
2021-02-11,6.06737
2021-02-12,5.23538
2021-02-13,5.80357
2021-02-14,6.55438
2021-02-15,13.47402
2021-02-16,12.17532
2021-02-17,10.61282
2021-02-18,10.43019
2021-02-19,9.25324
2021-02-20,5.4586
2021-02-21,5.33685
2021-02-22,10.08522
2021-02-23,9.33441
2021-02-24,10.00405
2021-02-25,11.34334
2021-02-26,9.65909
2021-02-27,5.53977
2021-02-28,4.87012
2021-03-01,7.10227
2021-03-02,9.13149
2021-03-03,8.70535
2021-03-04,8.80681
2021-03-05,7.30519
2021-03-06,4.52516
2021-03-07,5.09334
2021-03-08,8.68506
2021-03-09,8.3198
2021-03-10,9.51704
2021-03-11,8.80681
2021-03-12,7.14285
2021-03-13,4.62662
2021-03-14,4.24107
2021-03-15,7.91396
2021-03-16,8.60389
2021-03-17,9.00974
2021-03-18,6.45292
2021-03-19,6.55438
2021-03-20,3.87581
2021-03-21,4.4034
2021-03-22,7.5284
2021-03-23,7.85308
2021-03-24,7.5487
2021-03-25,8.07629
2021-03-26,6.89935
2021-03-27,4.24107
2021-03-28,4.70779
2021-03-29,7.85308
2021-03-30,8.07629
2021-03-31,7.99512
2021-04-01,6.93993
2021-04-02,5.66152
2021-04-03,3.46996
2021-04-04,4.36282
2021-04-05,7.22402
2021-04-06,7.22402
2021-04-07,6.39204
2021-04-08,5.80357
2021-04-09,5.01217
2021-04-10,2.94237
2021-04-11,3.32792
2021-04-12,6.47321
2021-04-13,5.9862
2021-04-14,5.82386
2021-04-15,5.41801
2021-04-16,4.76866
2021-04-17,2.92207
2021-04-18,3.26704
2021-04-19,5.62094
2021-04-20,6.06737
2021-04-21,5.01217
2021-04-22,4.70779
2021-04-23,5.03246
2021-04-24,3.26704
2021-04-25,3.6323
2021-04-26,5.9862
2021-04-27,5.15422
2021-04-28,5.62094
2021-04-29,4.60633
2021-04-30,4.36282
2021-05-01,2.15097
2021-05-02,2.80032
2021-05-03,5.84415
2021-05-04,6.02678
2021-05-05,3.81493
2021-05-06,4.6672
2021-05-07,5.68181
2021-05-08,3.51055
2021-05-09,3.38879
2021-05-10,6.73701
2021-05-11,6.08766
2021-05-12,6.71672
2021-05-13,5.27597
2021-05-14,4.38311
2021-05-15,2.61769
2021-05-16,3.04383
2021-05-17,5.64123
2021-05-18,5.25568
2021-05-19,3.3685
2021-05-20,4.64691
2021-05-21,4.6672
2021-05-22,3.00324
2021-05-23,2.80032
2021-05-24,5.41801
2021-05-25,6.98051
2021-05-26,6.33116
2021-05-27,6.12824
2021-05-28,4.78896
2021-05-29,2.31331
2021-05-30,2.88149
2021-05-31,5.47889
2021-06-01,5.49918
2021-06-02,4.74837
2021-06-03,3.87581
2021-06-04,4.18019
2021-06-05,1.78571
2021-06-06,1.82629
2021-06-07,4.4034
2021-06-08,4.32224
2021-06-09,3.40909
2021-06-10,4.72808
2021-06-11,2.8612
2021-06-12,1.72483
2021-06-13,2.25243
2021-06-14,3.44967
2021-06-15,3.69318
2021-06-16,4.4034
2021-06-17,5.07305
2021-06-18,3.73376
2021-06-19,1.84659
2021-06-20,1.86688
2021-06-21,4.09902
2021-06-22,3.67288
2021-06-23,3.32792
2021-06-24,3.53084
2021-06-25,3.79464
2021-06-26,1.94805
2021-06-27,2.15097
2021-06-28,4.48457
2021-06-29,4.26136
2021-06-30,3.71347
2021-07-01,4.52516
2021-07-02,3.99756
2021-07-03,1.37987
2021-07-04,2.13068
2021-07-05,5.47889
2021-07-06,4.44399
2021-07-07,4.28165
2021-07-08,3.99756
2021-07-09,3.38879
2021-07-10,1.98863
2021-07-11,2.45535
2021-07-12,3.95698
2021-07-13,4.11931
2021-07-14,4.1599
2021-07-15,3.65259
2021-07-16,3.77435
2021-07-17,2.02922
2021-07-18,2.65827
2021-07-19,3.71347
2021-07-20,4.11931
2021-07-21,4.01785
2021-07-22,4.4237
2021-07-23,4.28165
2021-07-24,2.15097
2021-07-25,2.94237
2021-07-26,5.31655
2021-07-27,4.48457
2021-07-28,3.93668
2021-07-29,3.67288
2021-07-30,3.44967
2021-07-31,2.55681
2021-08-01,2.47564
2021-08-02,4.28165
2021-08-03,4.58603
2021-08-04,4.48457
2021-08-05,4.1599
2021-08-06,4.07873
2021-08-07,2.17126
2021-08-08,2.35389
2021-08-09,4.07873
2021-08-10,5.39772
2021-08-11,4.52516
2021-08-12,4.03814
2021-08-13,4.78896
2021-08-14,2.19155
2021-08-15,2.15097
2021-08-16,2.51623
2021-08-17,4.22077
2021-08-18,4.44399
