date,배당주추천
2020-03-20,45.06596
2020-03-21,37.15039
2020-03-22,40.26385
2020-03-23,44.96042
2020-03-24,34.56464
2020-03-25,34.19525
2020-03-26,34.35356
2020-03-27,29.76253
2020-03-28,19.26121
2020-03-29,21.26649
2020-03-30,27.4934
2020-03-31,29.07651
2020-04-01,28.28496
2020-04-02,25.43535
2020-04-03,28.70712
2020-04-04,19.52506
2020-04-05,21.79419
2020-04-06,100.0
2020-04-07,34.51187
2020-04-08,33.77308
2020-04-09,35.83113
2020-04-10,34.77572
2020-04-11,22.00527
2020-04-12,22.16358
2020-04-13,29.86807
2020-04-14,28.97097
2020-04-15,22.05804
2020-04-16,24.37994
2020-04-17,28.33773
2020-04-18,21.31926
2020-04-19,20.31662
2020-04-20,25.48812
2020-04-21,25.38258
2020-04-22,27.86279
2020-04-23,27.86279
2020-04-24,25.75197
2020-04-25,24.80211
2020-04-26,23.21899
2020-04-27,26.38522
2020-04-28,25.27704
2020-04-29,27.38786
2020-04-30,17.83641
2020-05-01,14.72295
2020-05-02,11.18733
2020-05-03,12.92875
2020-05-04,19.1029
2020-05-05,18.52242
2020-05-06,17.62532
2020-05-07,21.21372
2020-05-08,15.93667
2020-05-09,12.34828
2020-05-10,12.92875
2020-05-11,18.46965
2020-05-12,17.83641
2020-05-13,17.94195
2020-05-14,19.89445
2020-05-15,21.0554
2020-05-16,12.6649
2020-05-17,12.77044
2020-05-18,19.1029
2020-05-19,25.11873
2020-05-20,22.37467
2020-05-21,20.63324
2020-05-22,17.04485
2020-05-23,12.98153
2020-05-24,11.71503
2020-05-25,17.51978
2020-05-26,20.73878
2020-05-27,42.42744
2020-05-28,34.03693
2020-05-29,25.43535
2020-05-30,13.82585
2020-05-31,15.51451
2020-06-01,23.43007
2020-06-02,25.80474
2020-06-03,31.87335
2020-06-04,27.81002
2020-06-05,24.64379
2020-06-06,16.72823
2020-06-07,15.77836
2020-06-08,25.22427
2020-06-09,21.16094
2020-06-10,22.26912
2020-06-11,18.52242
2020-06-12,18.78627
2020-06-13,11.97889
2020-06-14,12.18997
2020-06-15,15.30343
2020-06-16,14.72295
2020-06-17,18.36411
2020-06-18,17.94195
2020-06-19,15.98944
2020-06-20,10.29023
2020-06-21,11.08179
2020-06-22,15.46174
2020-06-23,14.03693
2020-06-24,15.98944
2020-06-25,14.35356
2020-06-26,14.40633
2020-06-27,8.60158
2020-06-28,9.76253
2020-06-29,13.87862
2020-06-30,14.30079
2020-07-01,11.13456
2020-07-02,13.87862
2020-07-03,20.21108
2020-07-04,13.13984
2020-07-05,13.98416
2020-07-06,15.3562
2020-07-07,16.67546
2020-07-08,13.66754
2020-07-09,13.98416
2020-07-10,10.07915
2020-07-11,9.07651
2020-07-12,7.22955
2020-07-13,12.55936
2020-07-14,9.8153
2020-07-15,13.87862
2020-07-16,11.92612
2020-07-17,9.60422
2020-07-18,8.28496
2020-07-19,9.55145
2020-07-20,11.2401
2020-07-21,14.61741
2020-07-22,13.0343
2020-07-23,13.66754
2020-07-24,11.39841
2020-07-25,9.60422
2020-07-26,12.03166
2020-07-27,14.9868
2020-07-28,18.31134
2020-07-29,15.25065
2020-07-30,14.88126
2020-07-31,12.92875
2020-08-01,10.29023
2020-08-02,12.45382
2020-08-03,12.92875
2020-08-04,18.46965
2020-08-05,16.83377
2020-08-06,21.4248
2020-08-07,22.63852
2020-08-08,14.77572
2020-08-09,20.89709
2020-08-10,25.6992
2020-08-11,22.74406
2020-08-12,20.89709
2020-08-13,21.89973
2020-08-14,17.3087
2020-08-15,14.72295
2020-08-16,12.08443
2020-08-17,12.45382
2020-08-18,13.82585
2020-08-19,13.24538
2020-08-20,12.18997
2020-08-21,8.9182
2020-08-22,6.43799
2020-08-23,7.12401
2020-08-24,8.17941
2020-08-25,8.70712
2020-08-26,13.87862
2020-08-27,7.81002
2020-08-28,9.49868
2020-08-29,6.43799
2020-08-30,6.75461
2020-08-31,8.33773
2020-09-01,7.44063
2020-09-02,9.02374
2020-09-03,15.62005
2020-09-04,13.50923
2020-09-05,12.34828
2020-09-06,14.4591
2020-09-07,14.82849
2020-09-08,15.93667
2020-09-09,13.61477
2020-09-10,15.62005
2020-09-11,13.82585
2020-09-12,8.65435
2020-09-13,10.87071
2020-09-14,15.03957
2020-09-15,16.09498
2020-09-16,15.83113
2020-09-17,15.3562
2020-09-18,12.18997
2020-09-19,11.50395
2020-09-20,15.14511
2020-09-21,16.25329
2020-09-22,14.77572
2020-09-23,11.76781
2020-09-24,9.76253
2020-09-25,10.02638
2020-09-26,10.29023
2020-09-27,10.18469
2020-09-28,8.28496
2020-09-29,8.17941
2020-09-30,6.43799
2020-10-01,7.38786
2020-10-02,7.01846
2020-10-03,10.65963
2020-10-04,12.71767
2020-10-05,16.781
2020-10-06,15.56728
2020-10-07,19.6306
2020-10-08,15.19788
2020-10-09,8.97097
2020-10-10,11.2401
2020-10-11,12.08443
2020-10-12,16.67546
2020-10-13,17.94195
2020-10-14,16.56992
2020-10-15,14.0897
2020-10-16,12.18997
2020-10-17,7.54617
2020-10-18,5.1715
2020-10-19,10.7124
2020-10-20,10.13192
2020-10-21,14.9868
2020-10-22,13.93139
2020-10-23,18.41688
2020-10-24,10.81794
2020-10-25,8.54881
2020-10-26,11.02902
2020-10-27,13.72031
2020-10-28,10.65963
2020-10-29,7.59894
2020-10-30,9.65699
2020-10-31,4.85488
2020-11-01,5.06596
2020-11-02,8.3905
2020-11-03,9.97361
2020-11-04,7.96833
2020-11-05,11.55672
2020-11-06,11.18733
2020-11-07,8.81266
2020-11-08,7.4934
2020-11-09,12.71767
2020-11-10,15.46174
2020-11-11,17.99472
2020-11-12,16.14775
2020-11-13,12.18997
2020-11-14,10.29023
2020-11-15,8.23218
2020-11-16,20.73878
2020-11-17,19.94722
2020-11-18,23.21899
2020-11-19,17.25593
2020-11-20,20.68601
2020-11-21,11.55672
2020-11-22,12.77044
2020-11-23,18.15303
2020-11-24,17.73087
2020-11-25,19.94722
2020-11-26,17.57255
2020-11-27,16.67546
2020-11-28,12.1372
2020-11-29,10.87071
2020-11-30,17.73087
2020-12-01,20.10554
2020-12-02,24.69656
2020-12-03,22.79683
2020-12-04,20.73878
2020-12-05,11.02902
2020-12-06,16.14775
2020-12-07,17.88918
2020-12-08,17.46701
2020-12-09,18.83905
2020-12-10,23.16622
2020-12-11,23.00791
2020-12-12,11.29287
2020-12-13,17.99472
2020-12-14,25.32981
2020-12-15,17.83641
2020-12-16,21.63588
2020-12-17,15.93667
2020-12-18,15.56728
2020-12-19,8.07387
2020-12-20,10.7124
2020-12-21,17.6781
2020-12-22,16.20052
2020-12-23,19.84168
2020-12-24,28.9182
2020-12-25,13.35092
2020-12-26,12.34828
2020-12-27,19.1029
2020-12-28,39.78891
2020-12-29,9.28759
2020-12-30,7.59894
2020-12-31,4.64379
2021-01-01,4.53825
2021-01-02,4.16886
2021-01-03,4.53825
2021-01-04,5.27704
2021-01-05,4.80211
2021-01-06,4.64379
2021-01-07,3.90501
2021-01-08,5.32981
2021-01-09,3.69393
2021-01-10,6.27968
2021-01-11,5.1715
2021-01-12,4.90765
2021-01-13,5.27704
2021-01-14,4.48548
2021-01-15,3.43007
2021-01-16,2.21635
2021-01-17,2.8496
2021-01-18,3.79947
2021-01-19,4.85488
2021-01-20,4.48548
2021-01-21,3.95778
2021-01-22,4.59102
2021-01-23,3.53562
2021-01-24,4.43271
2021-01-25,5.01319
2021-01-26,6.64907
2021-01-27,5.06596
2021-01-28,5.80474
2021-01-29,5.32981
2021-01-30,3.79947
2021-01-31,5.38258
2021-02-01,5.22427
2021-02-02,6.17414
2021-02-03,14.03693
2021-02-04,16.88654
2021-02-05,9.76253
2021-02-06,6.70184
2021-02-07,7.44063
2021-02-08,6.5963
2021-02-09,7.33509
2021-02-10,8.49604
2021-02-11,6.01583
2021-02-12,5.06596
2021-02-13,5.27704
2021-02-14,5.54089
2021-02-15,6.70184
2021-02-16,7.75725
2021-02-17,5.59366
2021-02-18,6.54353
2021-02-19,7.81002
2021-02-20,5.80474
2021-02-21,5.96306
2021-02-22,9.55145
2021-02-23,8.17941
2021-02-24,8.81266
2021-02-25,9.12928
2021-02-26,22.53298
2021-02-27,7.91556
2021-02-28,10.23746
2021-03-01,8.17941
2021-03-02,9.12928
2021-03-03,12.08443
2021-03-04,8.12664
2021-03-05,7.59894
2021-03-06,5.38258
2021-03-07,8.60158
2021-03-08,7.33509
2021-03-09,6.86015
2021-03-10,7.12401
2021-03-11,7.33509
2021-03-12,6.96569
2021-03-13,5.64643
2021-03-14,5.59366
2021-03-15,7.54617
2021-03-16,7.65171
2021-03-17,9.60422
2021-03-18,9.60422
2021-03-19,6.86015
2021-03-20,5.48812
2021-03-21,7.17678
2021-03-22,6.80738
2021-03-23,8.17941
2021-03-24,7.54617
2021-03-25,7.12401
2021-03-26,7.75725
2021-03-27,6.27968
2021-03-28,5.01319
2021-03-29,6.96569
2021-03-30,8.70712
2021-03-31,8.17941
2021-04-01,8.49604
2021-04-02,7.22955
2021-04-03,6.22691
2021-04-04,7.4934
2021-04-05,7.22955
2021-04-06,7.4934
2021-04-07,6.01583
2021-04-08,5.96306
2021-04-09,6.54353
2021-04-10,5.1715
2021-04-11,3.53562
2021-04-12,5.06596
2021-04-13,5.38258
2021-04-14,5.75197
2021-04-15,5.48812
2021-04-16,6.64907
2021-04-17,5.6992
2021-04-18,4.32717
2021-04-19,4.74934
2021-04-20,6.27968
2021-04-21,8.23218
2021-04-22,8.86543
2021-04-23,10.55408
2021-04-24,5.96306
2021-04-25,6.27968
