date,신풍제약주가
2020-03-20,5.22183
2020-03-21,0.81721
2020-03-22,0.82676
2020-03-23,6.15569
2020-03-24,5.05675
2020-03-25,5.17885
2020-03-26,9.93137
2020-03-27,16.29512
2020-03-28,2.43935
2020-03-29,2.08395
2020-03-30,14.04403
2020-03-31,13.5488
2020-04-01,10.94982
2020-04-02,9.3611
2020-04-03,13.95536
2020-04-04,2.84182
2020-04-05,2.82886
2020-04-06,22.01151
2020-04-07,15.92403
2020-04-08,23.24278
2020-04-09,12.53103
2020-04-10,21.03809
2020-04-11,3.48849
2020-04-12,3.23542
2020-04-13,18.45548
2020-04-14,16.46975
2020-04-15,2.64263
2020-04-16,13.33665
2020-04-17,16.2767
2020-04-18,2.95164
2020-04-19,2.26199
2020-04-20,20.3498
2020-04-21,15.92676
2020-04-22,13.31209
2020-04-23,11.39185
2020-04-24,9.59644
2020-04-25,1.57575
2020-04-26,1.30972
2020-04-27,8.58345
2020-04-28,7.53226
2020-04-29,6.79554
2020-04-30,2.22925
2020-05-01,1.60713
2020-05-02,1.29403
2020-05-03,1.2722
2020-05-04,14.91786
2020-05-05,2.09896
2020-05-06,12.09105
2020-05-07,9.51867
2020-05-08,7.85423
2020-05-09,1.11394
2020-05-10,1.00753
2020-05-11,7.61207
2020-05-12,8.3904
2020-05-13,10.56099
2020-05-14,19.89003
2020-05-15,12.87074
2020-05-16,1.93388
2020-05-17,1.60031
2020-05-18,9.97912
2020-05-19,10.89183
2020-05-20,8.75603
2020-05-21,7.51316
2020-05-22,6.64752
2020-05-23,1.11394
2020-05-24,1.07506
2020-05-25,8.62438
2020-05-26,8.43474
2020-05-27,6.8774
2020-05-28,6.49472
2020-05-29,8.36994
2020-05-30,1.34451
2020-05-31,1.0389
2020-06-01,7.03634
2020-06-02,5.773
2020-06-03,6.99882
2020-06-04,6.1209
2020-06-05,6.06906
2020-06-06,0.87383
2020-06-07,0.75513
2020-06-08,6.94834
2020-06-09,15.86605
2020-06-10,24.03544
2020-06-11,17.71398
2020-06-12,15.68801
2020-06-13,1.94752
2020-06-14,1.94275
2020-06-15,22.58861
2020-06-16,19.22562
2020-06-17,14.351
2020-06-18,16.01612
2020-06-19,12.55968
2020-06-20,1.45774
2020-06-21,1.39226
2020-06-22,11.08966
2020-06-23,10.10259
2020-06-24,9.80176
2020-06-25,9.02616
2020-06-26,8.07798
2020-06-27,0.99729
2020-06-28,0.9434
2020-06-29,7.86037
2020-06-30,10.27995
2020-07-01,9.00979
2020-07-02,7.59502
2020-07-03,7.35763
2020-07-04,0.92567
2020-07-05,1.07438
2020-07-06,9.82086
2020-07-07,17.61712
2020-07-08,17.65737
2020-07-09,15.20437
2020-07-10,19.76588
2020-07-11,3.22996
2020-07-12,3.48849
2020-07-13,35.10668
2020-07-14,37.15039
2020-07-15,30.08608
2020-07-16,23.24551
2020-07-17,26.20194
2020-07-18,3.79614
2020-07-19,3.03691
2020-07-20,43.08303
2020-07-21,24.36287
2020-07-22,43.7754
2020-07-23,21.93988
2020-07-24,59.06504
2020-07-25,8.00431
2020-07-26,5.65567
2020-07-27,53.38208
2020-07-28,52.5103
2020-07-29,41.31013
2020-07-30,40.27531
2020-07-31,42.43976
2020-08-01,6.3385
2020-08-02,4.46465
2020-08-03,33.97637
2020-08-04,30.57996
2020-08-05,28.82206
2020-08-06,26.59349
2020-08-07,23.07157
2020-08-08,2.89434
2020-08-09,2.46868
2020-08-10,21.46238
2020-08-11,19.89481
2020-08-12,19.67516
2020-08-13,22.31575
2020-08-14,19.82523
2020-08-15,2.20879
2020-08-16,1.94821
2020-08-17,3.48235
2020-08-18,26.69104
2020-08-19,22.10019
2020-08-20,28.79955
2020-08-21,23.65958
2020-08-22,2.73881
2020-08-23,2.37932
2020-08-24,29.39302
2020-08-25,32.9893
2020-08-26,35.51938
2020-08-27,29.92441
2020-08-28,24.8356
2020-08-29,3.45234
2020-08-30,2.78656
2020-08-31,35.03847
2020-09-01,40.77055
2020-09-02,40.64435
2020-09-03,35.29154
2020-09-04,29.84801
2020-09-05,3.42778
2020-09-06,5.39646
2020-09-07,31.80987
2020-09-08,27.48983
2020-09-09,28.7709
2020-09-10,23.90992
2020-09-11,28.34797
