date,일자리
2020-03-20,22.55536
2020-03-21,17.17206
2020-03-22,17.98977
2020-03-23,30.56218
2020-03-24,30.83475
2020-03-25,27.35945
2020-03-26,28.55195
2020-03-27,26.84838
2020-03-28,16.83134
2020-03-29,19.79557
2020-03-30,32.40204
2020-03-31,36.35434
2020-04-01,30.83475
2020-04-02,29.64224
2020-04-03,27.66609
2020-04-04,18.97785
2020-04-05,21.87393
2020-04-06,31.82282
2020-04-07,30.63032
2020-04-08,30.86882
2020-04-09,30.93696
2020-04-10,23.50936
2020-04-11,15.63884
2020-04-12,18.97785
2020-04-13,54.78705
2020-04-14,39.25042
2020-04-15,22.28279
2020-04-16,37.7172
2020-04-17,55.53662
2020-04-18,30.66439
2020-04-19,38.60306
2020-04-20,75.36626
2020-04-21,76.0477
2020-04-22,100.0
2020-04-23,59.31856
2020-04-24,35.46848
2020-04-25,22.24872
2020-04-26,23.37308
2020-04-27,36.72913
2020-04-28,34.20783
2020-04-29,37.06984
2020-04-30,21.05621
2020-05-01,19.55706
2020-05-02,16.79727
2020-05-03,19.55706
2020-05-04,32.84497
2020-05-05,21.908
2020-05-06,37.10391
2020-05-07,38.46678
2020-05-08,27.52981
2020-05-09,20.30664
2020-05-10,22.28279
2020-05-11,36.25212
2020-05-12,33.49233
2020-05-13,36.45655
2020-05-14,52.16354
2020-05-15,35.05962
2020-05-16,20.54514
2020-05-17,21.12436
2020-05-18,37.03577
2020-05-19,30.63032
2020-05-20,38.26235
2020-05-21,35.29812
2020-05-22,30.22146
2020-05-23,18.87563
2020-05-24,22.28279
2020-05-25,37.88756
2020-05-26,32.8109
2020-05-27,31.41396
2020-05-28,30.7666
2020-05-29,27.66609
2020-05-30,18.12606
2020-05-31,20.7155
2020-06-01,43.95229
2020-06-02,34.88926
2020-06-03,31.58432
2020-06-04,30.18739
2020-06-05,26.78023
2020-06-06,17.34241
2020-06-07,19.18228
2020-06-08,32.84497
2020-06-09,33.42419
2020-06-10,31.85689
2020-06-11,30.0511
2020-06-12,23.95229
2020-06-13,17.0017
2020-06-14,18.09199
2020-06-15,34.68483
2020-06-16,28.04088
2020-06-17,25.92844
2020-06-18,25.72402
2020-06-19,22.79386
2020-06-20,15.77512
2020-06-21,17.37649
2020-06-22,34.2419
2020-06-23,30.59625
2020-06-24,27.83645
2020-06-25,26.81431
2020-06-26,25.79216
2020-06-27,14.92333
2020-06-28,19.31856
2020-06-29,32.53833
2020-06-30,33.2879
2020-07-01,30.86882
2020-07-02,26.23509
2020-07-03,26.0988
2020-07-04,15.02555
2020-07-05,19.21635
2020-07-06,33.21976
2020-07-07,30.11925
2020-07-08,30.01703
2020-07-09,26.0988
2020-07-10,21.49914
2020-07-11,15.33219
2020-07-12,17.4787
2020-07-13,31.10732
2020-07-14,49.36967
2020-07-15,35.87734
2020-07-16,30.0511
2020-07-17,26.95059
2020-07-18,16.69505
2020-07-19,17.92163
2020-07-20,34.2419
2020-07-21,30.18739
2020-07-22,31.58432
2020-07-23,28.55195
2020-07-24,24.15672
2020-07-25,15.43441
2020-07-26,17.17206
2020-07-27,31.27768
2020-07-28,25.96252
2020-07-29,26.13287
2020-07-30,25.28109
2020-07-31,24.46337
