date,집값
2020-11-08,37.04084
2020-11-09,42.74338
2020-11-10,38.65913
2020-11-11,46.18546
2020-11-12,48.00924
2020-11-13,51.888
2020-11-14,43.74518
2020-11-15,43.97636
2020-11-16,49.8844
2020-11-17,51.42563
2020-11-18,53.73747
2020-11-19,51.86231
2020-11-20,46.15977
2020-11-21,40.66272
2020-11-22,44.59285
2020-11-23,48.72848
2020-11-24,49.91009
2020-11-25,46.10839
2020-11-26,43.12869
2020-11-27,45.20935
2020-11-28,42.02414
2020-11-29,41.94708
2020-11-30,44.23323
2020-12-01,40.43154
2020-12-02,40.81685
2020-12-03,42.97456
2020-12-04,41.99845
2020-12-05,36.19316
2020-12-06,36.06473
2020-12-07,38.65913
2020-12-08,37.19496
2020-12-09,39.5068
2020-12-10,44.49011
2020-12-11,47.82943
2020-12-12,38.81325
2020-12-13,36.83534
2020-12-14,41.69021
2020-12-15,37.65733
2020-12-16,36.57847
2020-12-17,37.52889
2020-12-18,35.75648
2020-12-19,28.56408
2020-12-20,40.22604
2020-12-21,40.91959
2020-12-22,40.02054
2020-12-23,33.5217
2020-12-24,32.75109
2020-12-25,28.82096
2020-12-26,32.03185
2020-12-27,37.50321
2020-12-28,38.505
2020-12-29,61.00693
2020-12-30,39.84073
2020-12-31,32.39147
2021-01-01,33.49601
2021-01-02,31.28692
2021-01-03,34.26663
2021-01-04,37.3234
2021-01-05,37.93989
2021-01-06,36.57847
2021-01-07,32.39147
2021-01-08,29.66863
2021-01-09,29.82275
2021-01-10,28.74389
2021-01-11,37.45183
2021-01-12,40.12329
2021-01-13,41.63883
2021-01-14,37.63164
2021-01-15,39.09581
2021-01-16,29.79707
2021-01-17,33.57307
2021-01-18,35.67942
2021-01-19,37.42614
2021-01-20,34.42075
2021-01-21,37.06652
2021-01-22,35.93629
2021-01-23,30.51631
2021-01-24,34.26663
2021-01-25,37.27202
2021-01-26,36.52709
2021-01-27,42.58926
2021-01-28,41.22784
2021-01-29,35.26843
2021-01-30,30.90161
2021-01-31,37.58027
2021-02-01,38.17107
2021-02-02,39.01875
2021-02-03,42.15258
2021-02-04,46.80195
2021-02-05,42.17826
2021-02-06,36.19316
2021-02-07,36.01335
2021-02-08,40.27742
2021-02-09,37.37477
2021-02-10,37.96557
2021-02-11,31.56948
2021-02-12,33.67582
2021-02-13,39.01875
2021-02-14,42.74338
2021-02-15,52.40174
2021-02-16,45.9029
2021-02-17,42.66632
2021-02-18,43.35987
2021-02-19,42.04983
