date,인테리어액자
2020-03-20,70.19143
2020-03-21,73.4731
2020-03-22,87.0556
2020-03-23,86.14402
2020-03-24,77.66636
2020-03-25,73.01731
2020-03-26,78.94257
2020-03-27,67.54785
2020-03-28,73.01731
2020-03-29,83.86508
2020-03-30,76.11668
2020-03-31,73.10847
2020-04-01,75.02278
2020-04-02,72.01458
2020-04-03,72.01458
2020-04-04,77.02825
2020-04-05,83.31814
2020-04-06,84.32087
2020-04-07,76.39015
2020-04-08,75.02278
2020-04-09,77.84867
2020-04-10,70.92069
2020-04-11,72.47037
2020-04-12,83.59161
2020-04-13,80.30993
2020-04-14,74.02005
2020-04-15,85.87055
2020-04-16,64.35733
2020-04-17,78.39562
2020-04-18,73.4731
2020-04-19,91.34001
2020-04-20,97.53874
2020-04-21,83.95624
2020-04-22,85.87055
2020-04-23,84.77666
2020-04-24,72.74384
2020-04-25,71.103
2020-04-26,80.5834
2020-04-27,81.22151
2020-04-28,57.33819
2020-04-29,63.44576
2020-04-30,63.62807
2020-05-01,55.42388
2020-05-02,64.99544
2020-05-03,73.56426
2020-05-04,63.44576
2020-05-05,61.25797
2020-05-06,62.44302
2020-05-07,58.24977
2020-05-08,51.77757
2020-05-09,53.50957
2020-05-10,64.08386
2020-05-11,58.70556
2020-05-12,61.80492
2020-05-13,59.89061
2020-05-14,60.71103
2020-05-15,62.71649
2020-05-16,64.53965
2020-05-17,67.91248
2020-05-18,79.67183
2020-05-19,68.82406
2020-05-20,64.72196
2020-05-21,67.18322
2020-05-22,54.87693
2020-05-23,61.53144
2020-05-24,73.01731
2020-05-25,60.34639
2020-05-26,55.60619
2020-05-27,66.08933
2020-05-28,56.60893
2020-05-29,48.31358
2020-05-30,59.79945
2020-05-31,72.56153
2020-06-01,65.36007
2020-06-02,62.35186
2020-06-03,62.80765
2020-06-04,57.24703
2020-06-05,55.87967
2020-06-06,47.49316
2020-06-07,59.43482
2020-06-08,60.52871
2020-06-09,59.89061
2020-06-10,58.52324
2020-06-11,56.60893
2020-06-12,53.14494
2020-06-13,59.98176
2020-06-14,63.26344
2020-06-15,64.17502
2020-06-16,60.52871
2020-06-17,62.80765
2020-06-18,61.34913
2020-06-19,57.70282
2020-06-20,55.24156
2020-06-21,62.26071
2020-06-22,62.16955
2020-06-23,60.25524
2020-06-24,64.63081
2020-06-25,62.98997
2020-06-26,54.87693
2020-06-27,59.79945
2020-06-28,71.55879
2020-06-29,70.28258
2020-06-30,53.78304
2020-07-01,61.98723
2020-07-02,52.59799
2020-07-03,56.42661
2020-07-04,60.80218
2020-07-05,58.97903
2020-07-06,62.16955
2020-07-07,54.96809
2020-07-08,67.91248
2020-07-09,60.71103
2020-07-10,54.87693
2020-07-11,50.86599
2020-07-12,73.83773
2020-07-13,72.65268
2020-07-14,63.08113
2020-07-15,62.35186
2020-07-16,58.79671
2020-07-17,55.24156
2020-07-18,53.41841
2020-07-19,64.26618
2020-07-20,67.09206
2020-07-21,58.06745
2020-07-22,64.44849
2020-07-23,58.88787
2020-07-24,57.33819
2020-07-25,50.13673
2020-07-26,60.07292
2020-07-27,63.90154
2020-07-28,65.36007
2020-07-29,64.63081
2020-07-30,58.43208
2020-07-31,48.86052
2020-08-01,53.69188
2020-08-02,56.33546
2020-08-03,54.32999
2020-08-04,60.43755
2020-08-05,60.61987
2020-08-06,54.78577
2020-08-07,57.15587
