date,차보험
2020-03-20,18.16578
2020-03-21,13.58024
2020-03-22,13.75661
2020-03-23,19.57671
2020-03-24,15.87301
2020-03-25,21.69312
2020-03-26,18.51851
2020-03-27,18.87125
2020-03-28,16.40211
2020-03-29,17.10758
2020-03-30,26.80776
2020-03-31,25.57319
2020-04-01,22.39858
2020-04-02,22.04585
2020-04-03,19.75308
2020-04-04,19.57671
2020-04-05,14.63844
2020-04-06,28.21869
2020-04-07,20.63492
2020-04-08,23.80952
2020-04-09,23.10405
2020-04-10,20.81128
2020-04-11,13.22751
2020-04-12,12.34567
2020-04-13,22.04585
2020-04-14,20.45855
2020-04-15,18.69488
2020-04-16,21.51675
2020-04-17,20.63492
2020-04-18,17.81305
2020-04-19,15.87301
2020-04-20,20.81128
2020-04-21,20.81128
2020-04-22,19.57671
2020-04-23,21.69312
2020-04-24,24.69135
2020-04-25,17.10758
2020-04-26,18.16578
2020-04-27,22.04585
2020-04-28,24.86772
2020-04-29,17.98941
2020-04-30,16.57848
2020-05-01,19.40035
2020-05-02,15.34391
2020-05-03,16.93121
2020-05-04,26.10229
2020-05-05,17.28395
2020-05-06,29.27689
2020-05-07,20.28218
2020-05-08,18.87125
2020-05-09,14.81481
2020-05-10,17.28395
2020-05-11,28.21869
2020-05-12,19.22398
2020-05-13,20.98765
2020-05-14,24.69135
2020-05-15,22.75132
2020-05-16,14.81481
2020-05-17,19.04761
2020-05-18,23.98589
2020-05-19,24.16225
2020-05-20,19.40035
2020-05-21,22.04585
2020-05-22,19.22398
2020-05-23,11.46384
2020-05-24,17.81305
2020-05-25,23.80952
2020-05-26,17.10758
2020-05-27,21.86948
2020-05-28,15.87301
2020-05-29,15.34391
2020-05-30,16.40211
2020-05-31,19.75308
2020-06-01,26.45502
2020-06-02,22.75132
2020-06-03,20.63492
2020-06-04,17.98941
2020-06-05,25.04409
2020-06-06,17.28395
2020-06-07,19.92945
2020-06-08,26.45502
2020-06-09,16.93121
2020-06-10,26.27865
2020-06-11,25.22045
2020-06-12,20.45855
2020-06-13,15.16754
2020-06-14,16.22574
2020-06-15,25.92592
2020-06-16,21.86948
2020-06-17,24.51499
2020-06-18,27.51322
2020-06-19,19.04761
2020-06-20,17.28395
2020-06-21,12.69841
2020-06-22,23.98589
2020-06-23,20.98765
2020-06-24,21.34038
2020-06-25,23.45679
2020-06-26,18.34215
2020-06-27,15.34391
2020-06-28,18.34215
2020-06-29,24.51499
2020-06-30,21.69312
2020-07-01,19.04761
2020-07-02,21.86948
2020-07-03,22.75132
2020-07-04,20.45855
2020-07-05,19.40035
2020-07-06,21.51675
2020-07-07,23.45679
2020-07-08,18.69488
2020-07-09,17.81305
2020-07-10,19.04761
2020-07-11,16.22574
2020-07-12,16.22574
2020-07-13,21.69312
2020-07-14,23.28042
2020-07-15,15.87301
2020-07-16,18.16578
2020-07-17,21.69312
2020-07-18,20.10582
2020-07-19,15.69664
2020-07-20,25.92592
2020-07-21,28.57142
2020-07-22,24.51499
2020-07-23,20.10582
2020-07-24,21.86948
2020-07-25,14.99118
2020-07-26,21.51675
2020-07-27,21.34038
2020-07-28,23.28042
2020-07-29,19.57671
2020-07-30,22.75132
2020-07-31,22.39858
2020-08-01,17.46031
2020-08-02,13.93298
2020-08-03,20.81128
2020-08-04,21.34038
2020-08-05,22.92768
2020-08-06,19.57671
2020-08-07,22.04585
2020-08-08,18.51851
2020-08-09,16.40211
2020-08-10,18.87125
2020-08-11,21.34038
2020-08-12,21.86948
2020-08-13,22.04585
2020-08-14,23.63315
2020-08-15,14.81481
2020-08-16,20.81128
2020-08-17,14.63844
2020-08-18,23.98589
2020-08-19,23.10405
2020-08-20,24.69135
2020-08-21,22.04585
2020-08-22,17.98941
2020-08-23,15.69664
2020-08-24,25.74955
2020-08-25,22.92768
2020-08-26,23.63315
2020-08-27,20.28218
2020-08-28,21.16402
2020-08-29,14.81481
2020-08-30,18.51851
2020-08-31,25.57319
2020-09-01,21.34038
2020-09-02,25.39682
2020-09-03,19.04761
2020-09-04,21.16402
2020-09-05,17.98941
2020-09-06,12.16931
2020-09-07,24.33862
2020-09-08,22.57495
2020-09-09,23.10405
2020-09-10,17.28395
2020-09-11,19.22398
2020-09-12,16.04938
2020-09-13,10.93474
2020-09-14,20.81128
2020-09-15,19.40035
2020-09-16,27.33686
2020-09-17,21.69312
2020-09-18,16.75485
2020-09-19,16.40211
2020-09-20,16.22574
2020-09-21,17.46031
2020-09-22,28.74779
2020-09-23,22.75132
2020-09-24,19.22398
2020-09-25,22.57495
2020-09-26,19.75308
2020-09-27,14.63844
2020-09-28,25.04409
2020-09-29,20.81128
2020-09-30,14.81481
2020-10-01,17.28395
2020-10-02,20.28218
2020-10-03,13.93298
2020-10-04,15.69664
2020-10-05,25.74955
2020-10-06,20.10582
2020-10-07,24.33862
2020-10-08,21.86948
