date,이마트카드
2020-03-20,51.9685
2020-03-21,36.22047
2020-03-22,43.70078
2020-03-23,56.29921
2020-03-24,49.21259
2020-03-25,55.11811
2020-03-26,42.12598
2020-03-27,46.06299
2020-03-28,44.88188
2020-03-29,45.66929
2020-03-30,51.9685
2020-03-31,61.02362
2020-04-01,56.69291
2020-04-02,51.9685
2020-04-03,55.90551
2020-04-04,41.73228
2020-04-05,53.5433
2020-04-06,55.11811
2020-04-07,55.90551
2020-04-08,55.51181
2020-04-09,64.96062
2020-04-10,50.0
2020-04-11,54.7244
2020-04-12,47.63779
2020-04-13,52.3622
2020-04-14,48.03149
2020-04-15,49.21259
2020-04-16,46.06299
2020-04-17,50.0
2020-04-18,46.06299
2020-04-19,59.44881
2020-04-20,62.59842
2020-04-21,55.11811
2020-04-22,53.5433
2020-04-23,58.26771
2020-04-24,48.03149
2020-04-25,46.85039
2020-04-26,41.33858
2020-04-27,61.81102
2020-04-28,54.3307
2020-04-29,56.29921
2020-04-30,58.26771
2020-05-01,63.38582
2020-05-02,53.1496
2020-05-03,49.21259
2020-05-04,66.14173
2020-05-05,66.92913
2020-05-06,55.90551
2020-05-07,55.11811
2020-05-08,51.1811
2020-05-09,64.17322
2020-05-10,48.81889
2020-05-11,68.50393
2020-05-12,55.51181
2020-05-13,57.48031
2020-05-14,55.90551
2020-05-15,52.3622
2020-05-16,42.51968
2020-05-17,37.79527
2020-05-18,45.66929
2020-05-19,44.48818
2020-05-20,43.70078
2020-05-21,31.49606
2020-05-22,31.88976
2020-05-23,36.61417
2020-05-24,32.28346
2020-05-25,42.12598
2020-05-26,44.48818
2020-05-27,21.25984
2020-05-28,29.52755
2020-05-29,31.88976
2020-05-30,26.37795
2020-05-31,35.03937
2020-06-01,47.63779
2020-06-02,35.43307
2020-06-03,40.55118
2020-06-04,26.77165
2020-06-05,26.37795
2020-06-06,35.03937
2020-06-07,38.97637
2020-06-08,40.94488
2020-06-09,36.22047
2020-06-10,31.49606
2020-06-11,30.31496
2020-06-12,30.70866
2020-06-13,30.70866
2020-06-14,34.64566
2020-06-15,40.55118
2020-06-16,32.67716
2020-06-17,29.13385
2020-06-18,30.31496
2020-06-19,36.22047
2020-06-20,30.31496
2020-06-21,39.76377
2020-06-22,38.18897
2020-06-23,36.22047
2020-06-24,34.25196
2020-06-25,35.03937
2020-06-26,42.51968
2020-06-27,36.61417
2020-06-28,37.00787
2020-06-29,42.91338
2020-06-30,35.43307
2020-07-01,42.12598
2020-07-02,35.43307
2020-07-03,29.13385
2020-07-04,31.88976
2020-07-05,42.12598
2020-07-06,40.94488
2020-07-07,37.79527
2020-07-08,27.16535
2020-07-09,32.67716
2020-07-10,25.98425
2020-07-11,38.97637
2020-07-12,20.86614
2020-07-13,38.97637
2020-07-14,36.22047
2020-07-15,35.03937
2020-07-16,33.07086
2020-07-17,35.82677
2020-07-18,37.40157
2020-07-19,44.48818
2020-07-20,48.42519
2020-07-21,43.30708
2020-07-22,33.85826
2020-07-23,37.40157
2020-07-24,29.92125
2020-07-25,42.51968
2020-07-26,29.92125
2020-07-27,42.51968
2020-07-28,40.15748
2020-07-29,43.30708
2020-07-30,43.70078
2020-07-31,42.51968
2020-08-01,42.91338
2020-08-02,46.85039
2020-08-03,46.06299
2020-08-04,50.3937
2020-08-05,42.91338
2020-08-06,44.88188
2020-08-07,40.55118
2020-08-08,41.33858
2020-08-09,31.49606
2020-08-10,46.06299
2020-08-11,48.42519
2020-08-12,61.41732
2020-08-13,77.16535
2020-08-14,100.0
2020-08-15,67.71653
2020-08-16,49.60629
2020-08-17,57.87401
2020-08-18,66.53543
2020-08-19,67.71653
2020-08-20,51.5748
2020-08-21,62.59842
2020-08-22,58.66141
2020-08-23,44.48818
2020-08-24,62.59842
2020-08-25,72.83464
2020-08-26,83.85826
2020-08-27,70.86614
2020-08-28,77.16535
2020-08-29,66.14173
2020-08-30,66.53543
2020-08-31,96.06299
2020-09-01,61.81102
2020-09-02,66.92913
2020-09-03,51.5748
2020-09-04,46.06299
2020-09-05,51.9685
2020-09-06,55.51181
2020-09-07,59.84251
2020-09-08,52.7559
2020-09-09,40.55118
2020-09-10,40.55118
2020-09-11,57.08661
2020-09-12,53.937
2020-09-13,40.15748
2020-09-14,52.7559
2020-09-15,37.00787
2020-09-16,46.06299
2020-09-17,39.37007
2020-09-18,40.15748
2020-09-19,46.85039
2020-09-20,50.3937
2020-09-21,57.48031
2020-09-22,37.79527
2020-09-23,41.73228
2020-09-24,41.33858
2020-09-25,36.22047
2020-09-26,42.91338
2020-09-27,36.22047
2020-09-28,48.42519
2020-09-29,56.69291
2020-09-30,39.37007
2020-10-01,30.70866
2020-10-02,30.70866
2020-10-03,37.40157
2020-10-04,46.45669
2020-10-05,56.29921
2020-10-06,48.42519
2020-10-07,50.7874
2020-10-08,48.42519
