date,실비보험순위
2020-03-20,23.42007
2020-03-21,13.50681
2020-03-22,16.10904
2020-03-23,28.3767
2020-03-24,27.50929
2020-03-25,28.3767
2020-03-26,25.77447
2020-03-27,25.03097
2020-03-28,13.75464
2020-03-29,13.01115
2020-03-30,27.13754
2020-03-31,30.7311
2020-04-01,23.54399
2020-04-02,19.33085
2020-04-03,16.35687
2020-04-04,12.51548
2020-04-05,12.26765
2020-04-06,25.03097
2020-04-07,23.6679
2020-04-08,21.3135
2020-04-09,22.057
2020-04-10,17.96778
2020-04-11,14.12639
2020-04-12,10.65675
2020-04-13,23.17224
2020-04-14,22.80049
2020-04-15,18.21561
2020-04-16,25.15489
2020-04-17,20.69392
2020-04-18,11.52416
2020-04-19,13.01115
2020-04-20,27.6332
2020-04-21,21.43742
2020-04-22,29.36802
2020-04-23,28.12887
2020-04-24,22.55266
2020-04-25,14.12639
2020-04-26,13.01115
2020-04-27,21.56133
2020-04-28,24.16356
2020-04-29,23.29615
2020-04-30,13.63073
2020-05-01,12.01982
2020-05-02,11.27633
2020-05-03,10.53283
2020-05-04,22.057
2020-05-05,18.46344
2020-05-06,26.76579
2020-05-07,23.29615
2020-05-08,26.27013
2020-05-09,13.25898
2020-05-10,14.37422
2020-05-11,27.01363
2020-05-12,24.53531
2020-05-13,25.77447
2020-05-14,30.60718
2020-05-15,25.40272
2020-05-16,14.12639
2020-05-17,14.37422
2020-05-18,30.23543
2020-05-19,28.99628
2020-05-20,23.17224
2020-05-21,25.77447
2020-05-22,22.18091
2020-05-23,12.01982
2020-05-24,14.37422
2020-05-25,27.01363
2020-05-26,31.10285
2020-05-27,29.24411
2020-05-28,23.42007
2020-05-29,20.32218
2020-05-30,13.38289
2020-05-31,11.0285
2020-06-01,21.68525
2020-06-02,26.0223
2020-06-03,27.13754
2020-06-04,26.0223
2020-06-05,20.81784
2020-06-06,14.86988
2020-06-07,11.77199
2020-06-08,24.28748
2020-06-09,22.30483
2020-06-10,21.06567
2020-06-11,25.65055
2020-06-12,23.29615
2020-06-13,13.87856
2020-06-14,10.40892
2020-06-15,23.79182
2020-06-16,27.13754
2020-06-17,23.29615
2020-06-18,26.27013
2020-06-19,17.47211
2020-06-20,10.90458
2020-06-21,14.62205
2020-06-22,24.53531
2020-06-23,23.91573
2020-06-24,18.71127
2020-06-25,22.42874
2020-06-26,17.71995
2020-06-27,11.40024
2020-06-28,9.78934
2020-06-29,25.65055
2020-06-30,23.79182
2020-07-01,19.33085
2020-07-02,21.3135
2020-07-03,16.6047
2020-07-04,12.6394
2020-07-05,11.27633
2020-07-06,23.42007
2020-07-07,25.52664
2020-07-08,26.0223
2020-07-09,20.44609
2020-07-10,17.96778
2020-07-11,10.285
2020-07-12,10.40892
2020-07-13,23.79182
2020-07-14,25.40272
2020-07-15,22.92441
2020-07-16,22.42874
2020-07-17,19.33085
2020-07-18,11.89591
2020-07-19,14.2503
2020-07-20,27.50929
2020-07-21,24.53531
2020-07-22,22.42874
2020-07-23,24.03965
2020-07-24,18.58736
2020-07-25,12.39157
2020-07-26,11.15241
2020-07-27,24.28748
2020-07-28,22.55266
2020-07-29,27.38537
2020-07-30,23.42007
2020-07-31,18.33952
2020-08-01,8.05452
2020-08-02,9.41759
2020-08-03,18.71127
2020-08-04,19.08302
2020-08-05,22.18091
2020-08-06,20.94175
2020-08-07,18.9591
2020-08-08,11.27633
2020-08-09,10.285
2020-08-10,24.65923
2020-08-11,26.51796
2020-08-12,23.42007
2020-08-13,23.29615
2020-08-14,22.18091
2020-08-15,9.04584
2020-08-16,10.78066
2020-08-17,13.13506
2020-08-18,24.16356
2020-08-19,21.43742
2020-08-20,25.77447
2020-08-21,23.91573
2020-08-22,16.23296
2020-08-23,16.35687
2020-08-24,24.90706
2020-08-25,24.53531
2020-08-26,24.65923
2020-08-27,27.26146
2020-08-28,23.04832
2020-08-29,16.35687
2020-08-30,14.62205
2020-08-31,26.88971
2020-09-01,24.16356
2020-09-02,26.39405
2020-09-03,22.80049
2020-09-04,24.03965
2020-09-05,14.74597
2020-09-06,15.24163
2020-09-07,23.54399
2020-09-08,27.50929
2020-09-09,25.40272
2020-09-10,26.14622
2020-09-11,20.81784
2020-09-12,12.26765
2020-09-13,12.14374
2020-09-14,23.54399
2020-09-15,27.50929
2020-09-16,25.89838
2020-09-17,27.6332
2020-09-18,21.68525
2020-09-19,15.24163
2020-09-20,13.13506
2020-09-21,25.89838
2020-09-22,26.76579
2020-09-23,27.13754
2020-09-24,23.54399
2020-09-25,22.057
2020-09-26,14.62205
2020-09-27,13.13506
2020-09-28,26.14622
2020-09-29,17.96778
2020-09-30,9.78934
2020-10-01,8.30235
2020-10-02,11.27633
2020-10-03,12.01982
2020-10-04,12.88723
2020-10-05,29.12019
2020-10-06,29.36802
2020-10-07,31.47459
2020-10-08,22.42874
2020-10-09,15.48946
2020-10-10,12.14374
2020-10-11,14.2503
2020-10-12,27.75712
2020-10-13,27.75712
2020-10-14,30.85501
2020-10-15,28.62453
2020-10-16,20.44609
2020-10-17,10.78066
2020-10-18,12.39157
2020-10-19,23.54399
2020-10-20,28.3767
2020-10-21,31.59851
2020-10-22,26.76579
2020-10-23,21.18959
2020-10-24,8.92193
2020-10-25,12.88723
2020-10-26,18.33952
2020-10-27,27.88104
2020-10-28,26.0223
2020-10-29,24.78314
2020-10-30,23.91573
2020-10-31,12.76332
2020-11-01,14.37422
2020-11-02,22.18091
2020-11-03,18.71127
2020-11-04,17.96778
2020-11-05,21.18959
2020-11-06,19.20693
2020-11-07,9.16976
2020-11-08,9.66542
2020-11-09,22.92441
2020-11-10,27.26146
2020-11-11,22.80049
2020-11-12,22.92441
2020-11-13,20.94175
2020-11-14,9.78934
2020-11-15,12.76332
2020-11-16,22.42874
2020-11-17,22.67657
2020-11-18,23.17224
2020-11-19,23.17224
2020-11-20,18.09169
2020-11-21,9.29368
2020-11-22,11.64807
2020-11-23,19.7026
2020-11-24,23.29615
2020-11-25,22.92441
2020-11-26,19.33085
2020-11-27,23.42007
2020-11-28,11.77199
2020-11-29,12.14374
2020-11-30,26.88971
2020-12-01,26.51796
2020-12-02,26.14622
2020-12-03,26.64188
2020-12-04,24.16356
2020-12-05,13.25898
2020-12-06,14.12639
2020-12-07,21.93308
2020-12-08,28.12887
2020-12-09,28.25278
2020-12-10,32.46592
2020-12-11,26.76579
2020-12-12,12.26765
2020-12-13,13.75464
2020-12-14,26.14622
2020-12-15,31.59851
2020-12-16,24.28748
2020-12-17,28.99628
2020-12-18,26.14622
2020-12-19,14.37422
2020-12-20,13.01115
2020-12-21,27.38537
2020-12-22,28.25278
2020-12-23,31.10285
2020-12-24,27.13754
2020-12-25,14.49814
2020-12-26,13.25898
2020-12-27,18.46344
2020-12-28,35.56381
2020-12-29,36.55514
2020-12-30,32.58983
2020-12-31,30.97893
