date,P2P대출
2020-11-07,4.69416
2020-11-08,5.3485
2020-11-09,10.38406
2020-11-10,10.89615
2020-11-11,9.72972
2020-11-12,8.70554
2020-11-13,8.76244
2020-11-14,4.83641
2020-11-15,5.37695
2020-11-16,12.77382
2020-11-17,11.55049
2020-11-18,12.14793
2020-11-19,12.03413
2020-11-20,9.78662
2020-11-21,6.34423
2020-11-22,5.97439
2020-11-23,10.24182
2020-11-24,11.40825
2020-11-25,10.04267
2020-11-26,11.77809
2020-11-27,8.67709
2020-11-28,6.91322
2020-11-29,5.74679
2020-11-30,12.40398
2020-12-01,13.17211
2020-12-02,11.86344
2020-12-03,12.51778
2020-12-04,9.33143
2020-12-05,5.09246
2020-12-06,5.60455
2020-12-07,10.12802
2020-12-08,11.97724
2020-12-09,12.71692
2020-12-10,10.46941
2020-12-11,10.35561
2020-12-12,7.51066
2020-12-13,9.18918
2020-12-14,12.00568
2020-12-15,10.61166
2020-12-16,10.69701
2020-12-17,10.95305
2020-12-18,10.66856
2020-12-19,6.23044
2020-12-20,7.59601
2020-12-21,10.9815
2020-12-22,10.55476
2020-12-23,10.9815
2020-12-24,7.59601
2020-12-25,4.95021
2020-12-26,10.09957
2020-12-27,9.44523
2020-12-28,11.06685
2020-12-29,11.1522
2020-12-30,10.38406
2020-12-31,8.30725
2021-01-01,5.4054
2021-01-02,4.60881
2021-01-03,6.42958
2021-01-04,11.80654
2021-01-05,11.83499
2021-01-06,11.80654
2021-01-07,10.27027
2021-01-08,10.01422
2021-01-09,6.11664
2021-01-10,6.57183
2021-01-11,19.26031
2021-01-12,22.01991
2021-01-13,12.11948
2021-01-14,16.92745
2021-01-15,11.86344
2021-01-16,7.19772
2021-01-17,6.77098
2021-01-18,12.17638
2021-01-19,11.92034
2021-01-20,14.39544
2021-01-21,13.798
2021-01-22,11.86344
2021-01-23,7.93741
2021-01-24,7.42532
2021-01-25,13.62731
2021-01-26,11.66429
2021-01-27,11.66429
2021-01-28,10.75391
2021-01-29,9.38833
2021-01-30,6.34423
2021-01-31,6.08819
2021-02-01,9.92887
2021-02-02,10.64011
2021-02-03,9.41678
2021-02-04,10.01422
2021-02-05,8.62019
2021-02-06,6.54338
2021-02-07,4.97866
2021-02-08,10.01422
2021-02-09,10.41251
2021-02-10,9.27453
2021-02-11,4.66571
2021-02-12,4.58036
2021-02-13,4.49502
2021-02-14,6.00284
2021-02-15,10.35561
2021-02-16,11.0384
2021-02-17,9.10384
2021-02-18,9.55903
2021-02-19,8.70554
2021-02-20,6.25889
2021-02-21,5.5761
2021-02-22,11.1522
2021-02-23,11.35135
2021-02-24,11.49359
2021-02-25,9.90042
2021-02-26,8.64864
2021-02-27,5.633
2021-02-28,5.71834
2021-03-01,7.42532
2021-03-02,11.0384
2021-03-03,11.66429
2021-03-04,10.44096
2021-03-05,8.47795
2021-03-06,5.88904
2021-03-07,6.00284
2021-03-08,10.75391
2021-03-09,11.40825
2021-03-10,10.61166
2021-03-11,10.72546
2021-03-12,9.41678
2021-03-13,5.633
2021-03-14,7.56756
2021-03-15,11.46514
2021-03-16,11.74964
2021-03-17,10.95305
2021-03-18,10.46941
2021-03-19,9.58748
2021-03-20,6.88477
2021-03-21,6.05974
2021-03-22,10.35561
2021-03-23,10.69701
2021-03-24,10.44096
2021-03-25,9.55903
2021-03-26,9.81507
2021-03-27,5.2347
2021-03-28,5.09246
2021-03-29,9.98577
2021-03-30,10.04267
2021-03-31,8.79089
2021-04-01,9.01849
2021-04-02,7.70981
2021-04-03,6.42958
2021-04-04,5.00711
2021-04-05,9.84352
2021-04-06,8.96159
2021-04-07,9.55903
2021-04-08,7.96586
2021-04-09,8.87624
2021-04-10,4.69416
2021-04-11,5.14935
2021-04-12,9.81507
2021-04-13,11.2091
2021-04-14,9.95732
2021-04-15,11.92034
2021-04-16,8.84779
2021-04-17,5.3485
2021-04-18,5.71834
2021-04-19,10.35561
2021-04-20,9.55903
2021-04-21,9.98577
2021-04-22,8.79089
2021-04-23,10.15647
2021-04-24,4.89331
2021-04-25,5.00711
2021-04-26,10.09957
2021-04-27,10.04267
2021-04-28,9.27453
2021-04-29,9.21763
2021-04-30,9.16073
2021-05-01,5.91749
2021-05-02,5.12091
2021-05-03,11.92034
2021-05-04,10.04267
2021-05-05,6.05974
2021-05-06,10.44096
2021-05-07,8.0512
2021-05-08,5.00711
2021-05-09,5.77524
2021-05-10,10.8677
2021-05-11,9.33143
2021-05-12,10.61166
2021-05-13,10.44096
2021-05-14,7.82361
2021-05-15,4.23897
2021-05-16,4.26742
2021-05-17,11.29445
2021-05-18,9.21763
2021-05-19,6.45803
2021-05-20,9.84352
2021-05-21,9.78662
2021-05-22,4.95021
2021-05-23,6.11664
2021-05-24,13.51351
2021-05-25,11.46514
2021-05-26,10.32716
2021-05-27,10.18492
2021-05-28,8.70554
2021-05-29,4.58036
2021-05-30,4.21052
2021-05-31,10.21337
2021-06-01,10.58321
2021-06-02,8.19345
2021-06-03,8.165
2021-06-04,8.0512
2021-06-05,4.55192
2021-06-06,4.72261
2021-06-07,10.41251
2021-06-08,10.15647
2021-06-09,10.46941
2021-06-10,11.97724
2021-06-11,9.67283
2021-06-12,6.20199
2021-06-13,4.95021
2021-06-14,18.54907
2021-06-15,17.69559
2021-06-16,13.94025
2021-06-17,11.3229
2021-06-18,9.35988
2021-06-19,4.72261
2021-06-20,4.40967
2021-06-21,10.44096
2021-06-22,9.72972
2021-06-23,9.24608
2021-06-24,8.5064
2021-06-25,9.01849
2021-06-26,4.92176
2021-06-27,4.35277
2021-06-28,9.18918
2021-06-29,9.33143
2021-06-30,8.36415
2021-07-01,9.81507
2021-07-02,7.56756
2021-07-03,3.52773
2021-07-04,4.58036
2021-07-05,9.47368
2021-07-06,9.78662
2021-07-07,7.79516
2021-07-08,9.10384
2021-07-09,7.90896
2021-07-10,4.69416
2021-07-11,4.26742
2021-07-12,9.64438
2021-07-13,10.09957
2021-07-14,8.19345
2021-07-15,8.90469
2021-07-16,7.36842
2021-07-17,3.72688
2021-07-18,4.32432
2021-07-19,8.64864
2021-07-20,11.06685
2021-07-21,11.2091
2021-07-22,9.72972
2021-07-23,8.13655
2021-07-24,5.49075
2021-07-25,4.32432
2021-07-26,8.90469
2021-07-27,8.73399
2021-07-28,8.4495
2021-07-29,8.42105
2021-07-30,7.14082
2021-07-31,3.61308
2021-08-01,4.29587
2021-08-02,8.30725
2021-08-03,10.32716
2021-08-04,8.3357
2021-08-05,10.01422
2021-08-06,8.0512
2021-08-07,10.9246
2021-08-08,8.165
2021-08-09,12.17638
2021-08-10,10.95305
2021-08-11,12.26173
2021-08-12,10.9815
2021-08-13,9.38833
2021-08-14,8.02275
2021-08-15,6.85633
2021-08-16,7.16927
2021-08-17,13.14366
2021-08-18,11.23755
2021-08-19,12.94452
2021-08-20,11.52204
2021-08-21,8.2219
2021-08-22,8.73399
2021-08-23,20.17069
2021-08-24,14.82219
2021-08-25,15.50497
2021-08-26,13.08677
2021-08-27,12.57467
2021-08-28,5.2347
2021-08-29,6.31578
2021-08-30,12.91607
2021-08-31,11.46514
2021-09-01,10.81081
2021-09-02,11.0384
2021-09-03,8.64864
2021-09-04,5.94594
2021-09-05,5.1778
2021-09-06,11.89189
2021-09-07,10.24182
2021-09-08,11.72119
2021-09-09,10.58321
2021-09-10,7.93741
2021-09-11,5.2916
2021-09-12,7.19772
2021-09-13,13.08677
2021-09-14,12.60312
2021-09-15,10.04267
2021-09-16,10.09957
2021-09-17,7.08392
2021-09-18,5.14935
2021-09-19,4.32432
2021-09-20,4.26742
2021-09-21,3.55618
2021-09-22,4.38122
2021-09-23,11.18065
2021-09-24,10.29871
2021-09-25,5.54765
2021-09-26,6.82788
2021-09-27,13.37126
2021-09-28,13.82645
2021-09-29,12.06258
2021-09-30,10.89615
2021-10-01,11.266
2021-10-02,6.48648
2021-10-03,6.51493
2021-10-04,8.30725
2021-10-05,14.05405
2021-10-06,13.798
2021-10-07,13.31436
2021-10-08,11.80654
2021-10-09,5.5192
2021-10-10,5.6899
2021-10-11,8.70554
2021-10-12,12.26173
2021-10-13,14.96443
2021-10-14,13.798
2021-10-15,10.24182
2021-10-16,5.66145
2021-10-17,5.26315
2021-10-18,10.24182
2021-10-19,10.66856
2021-10-20,10.69701
2021-10-21,9.72972
2021-10-22,10.24182
2021-10-23,4.63726
2021-10-24,5.2347
2021-10-25,14.56614
2021-10-26,13.48506
2021-10-27,10.78236
2021-10-28,11.266
2021-10-29,7.99431
2021-10-30,5.5192
2021-10-31,5.1778
2021-11-01,10.04267
2021-11-02,10.38406
2021-11-03,11.57894
2021-11-04,9.18918
2021-11-05,8.2788
2021-11-06,4.60881
2021-11-07,5.71834
2021-11-08,10.21337
2021-11-09,10.32716
2021-11-10,10.58321
2021-11-11,11.35135
2021-11-12,9.04694
2021-11-13,4.80796
2021-11-14,5.71834
2021-11-15,11.29445
2021-11-16,11.49359
2021-11-17,9.30298
2021-11-18,9.72972
2021-11-19,7.16927
2021-11-20,4.46657
2021-11-21,5.2347
2021-11-22,10.8677
2021-11-23,10.9246
2021-11-24,10.95305
2021-11-25,9.58748
2021-11-26,10.15647
2021-11-27,5.37695
2021-11-28,11.97724
2021-11-29,15.02133
2021-11-30,10.49786
2021-12-01,10.41251
2021-12-02,10.64011
2021-12-03,9.33143
2021-12-04,5.14935
2021-12-05,6.11664
2021-12-06,12.43243
2021-12-07,11.0384
2021-12-08,9.21763
2021-12-09,10.66856
2021-12-10,9.41678
2021-12-11,7.39687
2021-12-12,6.74253
2021-12-13,11.52204
2021-12-14,16.52916
2021-12-15,21.84921
2021-12-16,17.55334
2021-12-17,14.36699
2021-12-18,8.64864
2021-12-19,9.67283
2021-12-20,17.80938
2021-12-21,15.81792
2021-12-22,13.57041
2021-12-23,10.55476
2021-12-24,10.61166
2021-12-25,6.79943
2021-12-26,6.08819
2021-12-27,12.57467
2021-12-28,11.60739
2021-12-29,11.94879
2021-12-30,9.72972
2021-12-31,6.99857
2022-01-01,5.20625
2022-01-02,5.2916
2022-01-03,11.06685
2022-01-04,13.76955
2022-01-05,11.86344
2022-01-06,11.89189
2022-01-07,9.87197
2022-01-08,7.90896
2022-01-09,7.11237
2022-01-10,12.40398
2022-01-11,12.31863
2022-01-12,11.80654
2022-01-13,10.9815
2022-01-14,11.35135
2022-01-15,6.60028
2022-01-16,6.48648
2022-01-17,12.03413
2022-01-18,12.23328
2022-01-19,10.35561
2022-01-20,10.32716
2022-01-21,9.50213
2022-01-22,7.16927
2022-01-23,7.25462
2022-01-24,11.266
2022-01-25,12.29018
2022-01-26,12.71692
2022-01-27,10.41251
2022-01-28,10.18492
2022-01-29,7.62446
2022-01-30,5.2916
2022-01-31,5.2916
2022-02-01,3.98293
2022-02-02,6.65718
2022-02-03,13.57041
2022-02-04,12.06258
2022-02-05,8.42105
2022-02-06,7.36842
2022-02-07,13.88335
2022-02-08,13.02987
2022-02-09,13.51351
2022-02-10,11.43669
2022-02-11,11.40825
2022-02-12,7.25462
2022-02-13,7.73826
2022-02-14,14.39544
2022-02-15,13.68421
2022-02-16,11.80654
2022-02-17,12.34708
2022-02-18,11.69274
2022-02-19,7.02702
2022-02-20,7.79516
2022-02-21,14.87908
2022-02-22,12.23328
2022-02-23,14.67994
2022-02-24,11.92034
2022-02-25,9.75817
2022-02-26,7.11237
2022-02-27,6.54338
2022-02-28,11.0384
2022-03-01,7.85206
2022-03-02,11.83499
2022-03-03,11.2091
2022-03-04,9.07539
2022-03-05,5.4054
2022-03-06,5.49075
2022-03-07,17.72403
2022-03-08,12.48933
2022-03-09,7.22617
2022-03-10,11.89189
2022-03-11,10.32716
2022-03-12,6.88477
2022-03-13,7.73826
2022-03-14,12.80227
2022-03-15,13.57041
2022-03-16,13.76955
2022-03-17,12.40398
2022-03-18,9.95732
2022-03-19,6.31578
2022-03-20,5.77524
2022-03-21,12.63157
2022-03-22,11.2091
2022-03-23,11.3798
2022-03-24,10.72546
2022-03-25,9.38833
2022-03-26,6.34423
2022-03-27,5.32005
2022-03-28,13.02987
2022-03-29,10.27027
2022-03-30,10.38406
2022-03-31,11.0953
2022-04-01,9.35988
2022-04-02,5.32005
2022-04-03,4.86486
2022-04-04,10.24182
2022-04-05,11.89189
2022-04-06,11.06685
2022-04-07,10.69701
