date,주식장
2020-03-20,2.01664
2020-03-21,0.70981
2020-03-22,0.39016
2020-03-23,1.58416
2020-03-24,1.35852
2020-03-25,1.74869
2020-03-26,1.53245
2020-03-27,2.73586
2020-03-28,0.70511
2020-03-29,0.47948
2020-03-30,1.52305
2020-03-31,1.26451
2020-04-01,1.42904
2020-04-02,0.86494
2020-04-03,0.77093
2020-04-04,0.38076
2020-04-05,0.26794
2020-04-06,0.83204
2020-04-07,0.92135
2020-04-08,0.93545
2020-04-09,0.78973
2020-04-10,1.06237
2020-04-11,0.41837
2020-04-12,0.28674
2020-04-13,1.08588
2020-04-14,1.89912
2020-04-15,5.49992
2020-04-16,0.84614
2020-04-17,0.88374
2020-04-18,0.32435
2020-04-19,0.21153
2020-04-20,0.82733
2020-04-21,1.08588
2020-04-22,0.80383
2020-04-23,0.70041
2020-04-24,0.82733
2020-04-25,0.28674
2020-04-26,0.22563
2020-04-27,0.86964
2020-04-28,1.31622
2020-04-29,3.50679
2020-04-30,4.99224
2020-05-01,8.52724
2020-05-02,0.6205
2020-05-03,0.95426
2020-05-04,2.52902
2020-05-05,0.78503
2020-05-06,0.70041
2020-05-07,0.43247
2020-05-08,0.43717
2020-05-09,0.18333
2020-05-10,0.08461
2020-05-11,0.47948
2020-05-12,0.58289
2020-05-13,0.36196
2020-05-14,0.48888
2020-05-15,0.47007
2020-05-16,0.15512
2020-05-17,0.11281
2020-05-18,0.42307
2020-05-19,0.46537
2020-05-20,0.55939
2020-05-21,0.54999
2020-05-22,0.56879
2020-05-23,0.19273
2020-05-24,0.12222
2020-05-25,0.6064
2020-05-26,0.49358
2020-05-27,0.44657
2020-05-28,0.97306
2020-05-29,0.6111
2020-05-30,0.21153
2020-05-31,0.16452
2020-06-01,0.52178
2020-06-02,0.51238
2020-06-03,0.78033
2020-06-04,0.58289
2020-06-05,0.66281
2020-06-06,0.25384
2020-06-07,0.15042
2020-06-08,0.73802
2020-06-09,0.57819
2020-06-10,0.54059
2020-06-11,0.80853
2020-06-12,1.74869
2020-06-13,0.28674
2020-06-14,0.15982
2020-06-15,2.89098
2020-06-16,1.25511
2020-06-17,0.84614
2020-06-18,0.6017
2020-06-19,0.6252
2020-06-20,0.23033
2020-06-21,0.12222
2020-06-22,0.71922
2020-06-23,0.58759
2020-06-24,0.46537
2020-06-25,0.71452
2020-06-26,0.52178
2020-06-27,0.17392
2020-06-28,0.10811
2020-06-29,0.73332
2020-06-30,0.47478
2020-07-01,0.44657
2020-07-02,0.46537
2020-07-03,0.46537
2020-07-04,0.19273
2020-07-05,0.10811
2020-07-06,0.52178
2020-07-07,0.6346
2020-07-08,0.51238
