date,빗썸비트코인
2020-03-20,0.0761
2020-03-21,0.04606
2020-03-22,0.03605
2020-03-23,0.06208
2020-03-24,0.09813
2020-03-25,0.08211
2020-03-26,0.06408
2020-03-27,0.07009
2020-03-28,0.0741
2020-03-29,0.05607
2020-03-30,0.05808
2020-03-31,0.05207
2020-04-01,0.05407
2020-04-02,0.02803
2020-04-03,0.09012
2020-04-04,0.04806
2020-04-05,0.03404
2020-04-06,0.04406
2020-04-07,0.04406
2020-04-08,0.04806
2020-04-09,0.11415
2020-04-10,0.06609
2020-04-11,0.04005
2020-04-12,0.03605
2020-04-13,0.04606
2020-04-14,0.03805
2020-04-15,0.01201
2020-04-16,0.01401
2020-04-17,0.01401
2020-04-18,0.01001
2020-04-19,0.01201
2020-04-20,0.01201
2020-04-21,0.01401
2020-04-22,0.02203
2020-04-23,0.01802
2020-04-24,0.02403
2020-04-28,0.03204
2020-04-29,0.02203
2020-04-30,0.05607
2020-05-01,0.04406
2020-05-02,0.02002
2020-05-03,0.01001
2020-05-05,0.01602
2020-05-06,0.01401
2020-05-07,0.03004
2020-05-08,0.02603
2020-05-09,0.02403
2020-05-10,0.02803
2020-05-11,0.02803
2020-05-12,0.04406
2020-05-13,0.01602
2020-05-14,0.03004
2020-05-15,0.01602
2020-05-16,0.01001
2020-05-18,0.01802
2020-05-19,0.01602
2020-05-20,0.01001
2020-05-22,0.01201
2020-05-23,0.01001
2020-05-24,0.01001
2020-05-25,0.01602
2020-05-26,0.02603
2020-05-28,0.01001
2020-05-29,0.01401
2020-06-01,0.01201
2020-06-02,0.01001
2020-06-03,0.01602
2020-06-05,0.01401
2020-06-06,0.01201
2020-06-07,0.01001
2020-06-09,0.01001
2020-06-10,0.01001
2020-06-12,0.01802
2020-06-15,0.01802
2020-06-16,0.01201
2020-06-18,1.13158
2020-06-19,1.54015
2020-06-20,0.88724
2020-06-21,2.03685
2020-06-22,1.19166
2020-06-23,1.28379
2020-06-24,1.08551
2020-06-25,1.69437
2020-06-26,1.57019
2020-06-27,1.51011
2020-06-28,1.0775
2020-06-29,0.81714
2020-06-30,1.22571
2020-07-01,0.7911
2020-07-02,0.84318
2020-07-03,0.90727
2020-07-04,0.72701
2020-07-05,1.3599
2020-07-06,1.78049
2020-07-07,1.22571
2020-07-08,1.7164
2020-07-09,1.09753
2020-07-10,1.08351
2020-07-11,1.25375
2020-07-12,1.32185
2020-07-13,1.96475
2020-07-14,1.02743
2020-07-15,1.46805
2020-07-16,0.97536
2020-07-17,1.15361
2020-07-18,0.76306
2020-07-19,0.93731
2020-07-20,1.30382
2020-07-21,1.56619
2020-07-22,1.04746
2020-07-23,1.82255
2020-07-24,1.67434
2020-07-25,1.27778
2020-07-26,2.27718
2020-07-27,3.60905
2020-07-28,4.18385
2020-07-29,2.37732
2020-07-30,2.01281
2020-07-31,2.29921
2020-08-01,2.48547
2020-08-02,8.55197
2020-08-03,2.84197
2020-08-04,1.81854
2020-08-05,1.9307
2020-08-06,1.88063
2020-08-07,1.81053
2020-08-08,2.05687
2020-08-09,1.80652
2020-08-10,3.86741
