date,미국주식
2020-03-20,30.11439
2020-03-21,22.31266
2020-03-22,10.23949
2020-03-23,26.18568
2020-03-24,37.33773
2020-03-25,36.68223
2020-03-26,34.52722
2020-03-27,29.10757
2020-03-28,19.37363
2020-03-29,9.86675
2020-03-30,20.04627
2020-03-31,24.96037
2020-04-01,25.35024
2020-04-02,24.39055
2020-04-03,18.53391
2020-04-04,13.00287
2020-04-05,7.81029
2020-04-06,17.75845
2020-04-07,29.18041
2020-04-08,27.30388
2020-04-09,23.08384
2020-04-10,27.24818
2020-04-11,14.83655
2020-04-12,9.11272
2020-04-13,15.69769
2020-04-14,20.65464
2020-04-15,19.14228
2020-04-16,16.36605
2020-04-17,19.85347
2020-04-18,12.22741
2020-04-19,7.43755
2020-04-20,13.35418
2020-04-21,19.45075
2020-04-22,19.89203
2020-04-23,14.99935
2020-04-24,12.48018
2020-04-25,8.38867
2020-04-26,5.49676
2020-04-27,9.48545
2020-04-28,13.16138
2020-04-29,13.47842
2020-04-30,15.65485
2020-05-01,13.04571
2020-05-02,11.92322
2020-05-03,6.1951
2020-05-04,9.80249
2020-05-05,12.87862
2020-05-06,12.16314
2020-05-07,11.96606
2020-05-08,10.32946
2020-05-09,8.23872
2020-05-10,4.75558
2020-05-11,8.26442
2020-05-12,11.53335
2020-05-13,11.72186
2020-05-14,14.56664
2020-05-15,10.20521
2020-05-16,6.61068
2020-05-17,4.09151
2020-05-18,8.4615
2020-05-19,14.83226
2020-05-20,12.57015
2020-05-21,12.00462
2020-05-22,10.42371
2020-05-23,7.09481
2020-05-24,4.81984
2020-05-25,18.51677
2020-05-26,17.98551
2020-05-27,13.87686
2020-05-28,11.78184
2020-05-29,10.62079
2020-05-30,7.5618
2020-05-31,5.90377
2020-06-01,11.08778
2020-06-02,13.04571
2020-06-03,13.41416
2020-06-04,15.10646
2020-06-05,17.32145
2020-06-06,14.0868
2020-06-07,7.80172
2020-06-08,14.98222
2020-06-09,24.98179
2020-06-10,18.44393
2020-06-11,20.53896
2020-06-12,35.93676
2020-06-13,13.61124
2020-06-14,7.48896
2020-06-15,18.40109
2020-06-16,19.82348
2020-06-17,15.31211
2020-06-18,13.12711
2020-06-19,11.54192
2020-06-20,9.29694
2020-06-21,5.79238
2020-06-22,8.48292
2020-06-23,11.6833
2020-06-24,13.2942
2020-06-25,19.88346
2020-06-26,13.71406
2020-06-27,12.43734
2020-06-28,6.59354
2020-06-29,13.20851
2020-06-30,15.05505
2020-07-01,12.30024
2020-07-02,14.18962
2020-07-03,20.53039
2020-07-04,9.4726
2020-07-05,6.10085
2020-07-06,12.49303
2020-07-07,18.14832
2020-07-08,14.67803
2020-07-09,13.88115
2020-07-10,12.36022
2020-07-11,10.23949
2020-07-12,7.07339
2020-07-13,13.22993
2020-07-14,22.63827
2020-07-15,15.9419
2020-07-16,14.83655
2020-07-17,12.21027
2020-07-18,7.59179
2020-07-19,4.91409
2020-07-20,8.79139
2020-07-21,13.41416
2020-07-22,13.02857
2020-07-23,13.40987
2020-07-24,16.30178
2020-07-25,8.50006
2020-07-26,5.91234
2020-07-27,9.16413
2020-07-28,12.18885
2020-07-29,11.69615
2020-07-30,12.99001
2020-07-31,12.93432
2020-08-01,7.9431
2020-08-02,4.96979
2020-08-03,9.06987
2020-08-04,10.8093
2020-08-05,12.11173
2020-08-06,11.94036
2020-08-07,11.66616
2020-08-08,8.51291
2020-08-09,5.55674
2020-08-10,10.24377
2020-08-11,14.16391
2020-08-12,14.13392
2020-08-13,12.10316
2020-08-14,10.58652
2020-08-15,6.28936
2020-08-16,4.04866
2020-08-17,7.72888
2020-08-18,12.46733
2020-08-19,11.6019
2020-08-20,12.51017
2020-08-21,13.94113
2020-08-22,9.45118
2020-08-23,6.53356
2020-08-24,12.16314
2020-08-25,15.42778
2020-08-26,13.81688
2020-08-27,15.61201
2020-08-28,13.98397
2020-08-29,9.3612
2020-08-30,7.61749
2020-08-31,13.48699
2020-09-01,21.83711
2020-09-02,21.32727
2020-09-03,23.28949
2020-09-04,87.13851
2020-09-05,21.43438
2020-09-06,8.50006
2020-09-07,35.58973
2020-09-08,30.6028
2020-09-09,32.37222
2020-09-10,20.54753
2020-09-11,20.01199
2020-09-12,10.54367
2020-09-13,5.8395
2020-09-14,11.85896
2020-09-15,17.50996
