date,차용금
2020-03-20,81.34328
2020-03-21,27.61194
2020-03-22,20.14925
2020-03-23,81.34328
2020-03-24,70.14925
2020-03-25,65.67164
2020-03-26,73.88059
2020-03-27,57.46268
2020-03-28,16.41791
2020-03-29,13.43283
2020-03-30,60.44776
2020-03-31,75.37313
2020-04-01,64.1791
2020-04-02,52.98507
2020-04-03,35.07462
2020-04-04,16.41791
2020-04-05,12.68656
2020-04-06,55.97014
2020-04-07,64.92537
2020-04-08,46.26865
2020-04-09,47.76119
2020-04-10,59.70149
2020-04-11,22.38805
2020-04-12,18.65671
2020-04-13,42.53731
2020-04-14,47.01492
2020-04-15,18.65671
2020-04-16,58.20895
2020-04-17,47.76119
2020-04-18,17.16417
2020-04-19,13.43283
2020-04-20,66.41791
2020-04-21,69.40298
2020-04-22,52.98507
2020-04-23,54.47761
2020-04-24,73.88059
2020-04-25,20.89552
2020-04-26,11.94029
2020-04-27,56.71641
2020-04-28,60.44776
2020-04-29,58.20895
2020-04-30,27.61194
2020-05-01,25.37313
2020-05-02,8.20895
2020-05-03,14.1791
2020-05-04,46.26865
2020-05-05,17.91044
2020-05-06,52.2388
2020-05-07,66.41791
2020-05-08,55.97014
2020-05-09,16.41791
2020-05-10,15.67164
2020-05-11,63.43283
2020-05-12,60.44776
2020-05-13,56.71641
2020-05-14,40.2985
2020-05-15,54.47761
2020-05-16,13.43283
2020-05-17,12.68656
2020-05-18,63.43283
2020-05-19,51.49253
2020-05-20,52.2388
2020-05-21,41.04477
2020-05-22,39.55223
2020-05-23,14.92537
2020-05-24,11.94029
2020-05-25,77.61194
2020-05-26,43.28358
2020-05-27,52.98507
2020-05-28,58.95522
2020-05-29,52.2388
2020-05-30,15.67164
2020-05-31,23.13432
2020-06-01,53.73134
2020-06-02,58.95522
2020-06-03,47.76119
2020-06-04,51.49253
2020-06-05,45.52238
2020-06-06,14.92537
2020-06-07,11.94029
2020-06-08,58.20895
2020-06-09,59.70149
2020-06-10,69.40298
2020-06-11,49.25373
2020-06-12,52.2388
2020-06-13,12.68656
2020-06-14,19.40298
2020-06-15,69.40298
2020-06-16,50.0
2020-06-17,50.0
2020-06-18,52.98507
2020-06-19,47.76119
2020-06-20,16.41791
2020-06-21,14.92537
2020-06-22,58.20895
2020-06-23,47.01492
2020-06-24,45.52238
2020-06-25,52.2388
2020-06-26,52.98507
2020-06-27,19.40298
2020-06-28,16.41791
2020-06-29,64.1791
2020-06-30,50.0
2020-07-01,57.46268
2020-07-02,44.77611
2020-07-03,44.77611
2020-07-04,9.70149
2020-07-05,11.94029
2020-07-06,55.22388
2020-07-07,47.76119
2020-07-08,47.76119
2020-07-09,49.25373
2020-07-10,53.73134
2020-07-11,3.73134
2020-07-12,11.19402
2020-07-13,76.1194
2020-07-14,55.22388
2020-07-15,70.14925
2020-07-16,58.95522
2020-07-17,50.0
2020-07-18,19.40298
2020-07-19,13.43283
2020-07-20,52.98507
2020-07-21,43.28358
2020-07-22,42.53731
2020-07-23,39.55223
2020-07-24,53.73134
2020-07-25,10.44776
2020-07-26,8.20895
2020-07-27,58.95522
2020-07-28,64.92537
2020-07-29,56.71641
2020-07-30,73.13432
2020-07-31,62.68656
2020-08-01,14.1791
2020-08-02,13.43283
2020-08-03,51.49253
2020-08-04,44.77611
2020-08-05,50.0
2020-08-06,47.76119
2020-08-07,51.49253
2020-08-08,11.19402
2020-08-09,17.16417
2020-08-10,66.41791
2020-08-11,55.97014
2020-08-12,58.95522
2020-08-13,47.01492
2020-08-14,40.2985
2020-08-15,11.19402
2020-08-16,16.41791
2020-08-17,18.65671
2020-08-18,56.71641
2020-08-19,57.46268
2020-08-20,64.1791
2020-08-21,49.25373
2020-08-22,20.14925
2020-08-23,14.1791
2020-08-24,58.95522
2020-08-25,57.46268
2020-08-26,70.14925
2020-08-27,56.71641
2020-08-28,58.20895
2020-08-29,23.13432
2020-08-30,8.95522
2020-08-31,76.86567
2020-09-01,77.61194
2020-09-02,61.94029
2020-09-03,56.71641
2020-09-04,66.41791
2020-09-05,17.16417
2020-09-06,13.43283
2020-09-07,67.16417
2020-09-08,54.47761
2020-09-09,67.91044
2020-09-10,68.65671
2020-09-11,44.77611
2020-09-12,11.94029
2020-09-13,19.40298
2020-09-14,56.71641
2020-09-15,74.62686
2020-09-16,82.08955
2020-09-17,50.74626
2020-09-18,40.2985
2020-09-19,14.1791
2020-09-20,15.67164
2020-09-21,50.74626
2020-09-22,61.19402
2020-09-23,61.19402
2020-09-24,53.73134
2020-09-25,58.20895
2020-09-26,11.19402
2020-09-27,14.1791
2020-09-28,58.20895
2020-09-29,43.28358
2020-09-30,8.20895
2020-10-01,12.68656
2020-10-02,13.43283
2020-10-03,11.19402
2020-10-04,18.65671
2020-10-05,65.67164
2020-10-06,52.2388
2020-10-07,52.2388
2020-10-08,50.74626
2020-10-09,13.43283
2020-10-10,15.67164
2020-10-11,3.73134
2020-10-12,69.40298
2020-10-13,47.76119
