date,해외주식수수료
2020-03-20,20.78252
2020-03-21,15.09146
2020-03-22,15.09146
2020-03-23,18.29268
2020-03-24,25.20325
2020-03-25,26.11788
2020-03-26,23.8313
2020-03-27,21.9004
2020-03-28,13.41463
2020-03-29,13.82113
2020-03-30,18.85162
2020-03-31,21.95121
2020-04-01,18.49593
2020-04-02,19.86788
2020-04-03,17.17479
2020-04-04,13.61788
2020-04-05,10.46747
2020-04-06,20.78252
2020-04-07,26.52439
2020-04-08,24.84756
2020-04-09,23.32317
2020-04-10,18.24186
2020-04-11,11.3313
2020-04-12,10.1626
2020-04-13,17.68292
2020-04-14,22.91666
2020-04-15,19.41056
2020-04-16,21.54471
2020-04-17,21.9004
2020-04-18,16.97154
2020-04-19,14.0752
2020-04-20,19.25813
2020-04-21,18.03861
2020-04-22,19.20731
2020-04-23,18.95325
2020-04-24,15.6504
2020-04-25,11.89024
2020-04-26,11.99186
2020-04-27,17.5813
2020-04-28,21.13821
2020-04-29,19.00406
2020-04-30,21.54471
2020-05-01,15.39634
2020-05-02,11.17886
2020-05-03,10.06097
2020-05-04,15.59959
2020-05-05,16.76829
2020-05-06,15.75203
2020-05-07,14.88821
2020-05-08,14.78658
2020-05-09,13.82113
2020-05-10,9.60365
2020-05-11,12.60162
2020-05-12,18.49593
2020-05-13,14.27845
2020-05-14,11.83943
2020-05-15,12.09349
2020-05-16,9.14634
2020-05-17,8.48577
2020-05-18,15.14227
2020-05-19,22.00203
2020-05-20,14.17682
2020-05-21,20.22357
2020-05-22,15.2439
2020-05-23,9.75609
2020-05-24,10.46747
2020-05-25,13.313
2020-05-26,16.8191
2020-05-27,20.07113
2020-05-28,19.81707
2020-05-29,15.54878
2020-05-30,11.22967
2020-05-31,9.04471
2020-06-01,14.38008
2020-06-02,17.47967
2020-06-03,21.64634
2020-06-04,27.84552
2020-06-05,33.94308
2020-06-06,21.9004
2020-06-07,15.14227
2020-06-08,24.2378
2020-06-09,31.6565
2020-06-10,23.93292
2020-06-11,22.20528
2020-06-12,16.26016
2020-06-13,10.77235
2020-06-14,9.75609
2020-06-15,13.92276
2020-06-16,16.46341
2020-06-17,15.19308
2020-06-18,13.51626
2020-06-19,13.26219
2020-06-20,10.46747
2020-06-21,10.5691
2020-06-22,14.98983
2020-06-23,17.07317
2020-06-24,14.38008
2020-06-25,17.78455
2020-06-26,15.70121
2020-06-27,8.28252
2020-06-28,8.84146
2020-06-29,12.24593
2020-06-30,14.12601
2020-07-01,15.6504
2020-07-02,17.2256
2020-07-03,15.59959
2020-07-04,8.53658
2020-07-05,10.01016
2020-07-06,19.00406
2020-07-07,29.21747
2020-07-08,25.30487
2020-07-09,26.52439
2020-07-10,21.18902
2020-07-11,18.34349
2020-07-12,15.49796
2020-07-13,23.37398
