date,법정상속인
2020-11-08,41.04477
2020-11-09,50.0
2020-11-10,48.50746
2020-11-11,53.73134
2020-11-12,58.20895
2020-11-13,52.2388
2020-11-14,18.65671
2020-11-15,26.86567
2020-11-16,71.64179
2020-11-17,53.73134
2020-11-18,57.46268
2020-11-19,50.74626
2020-11-20,51.49253
2020-11-21,33.58208
2020-11-22,27.61194
2020-11-23,53.73134
2020-11-24,63.43283
2020-11-25,48.50746
2020-11-26,55.97014
2020-11-27,45.52238
2020-11-28,29.10447
2020-11-29,33.58208
2020-11-30,68.65671
2020-12-01,44.77611
2020-12-02,41.79104
2020-12-03,54.47761
2020-12-04,36.56716
2020-12-05,25.37313
2020-12-06,32.83582
2020-12-07,54.47761
2020-12-08,49.25373
2020-12-09,55.97014
2020-12-10,56.71641
2020-12-11,55.22388
2020-12-12,20.89552
2020-12-13,20.89552
2020-12-14,55.97014
2020-12-15,52.98507
2020-12-16,47.01492
2020-12-17,69.40298
2020-12-18,35.07462
2020-12-19,32.83582
2020-12-20,19.40298
2020-12-21,55.97014
2020-12-22,58.95522
2020-12-23,61.19402
2020-12-24,41.04477
2020-12-25,21.64179
2020-12-26,26.86567
2020-12-27,20.89552
2020-12-28,70.14925
2020-12-29,52.2388
2020-12-30,52.98507
2020-12-31,44.77611
2021-01-01,23.13432
2021-01-02,20.89552
2021-01-03,22.38805
2021-01-04,49.25373
2021-01-05,57.46268
2021-01-06,58.95522
2021-01-07,49.25373
2021-01-08,53.73134
2021-01-09,25.37313
2021-01-10,21.64179
2021-01-11,39.55223
2021-01-12,41.04477
2021-01-13,62.68656
2021-01-14,76.1194
2021-01-15,60.44776
2021-01-16,34.32835
2021-01-17,26.86567
2021-01-18,47.01492
2021-01-19,55.97014
2021-01-20,61.19402
2021-01-21,57.46268
2021-01-22,45.52238
2021-01-23,31.34328
2021-01-24,38.80597
2021-01-25,61.19402
2021-01-26,71.64179
2021-01-27,60.44776
2021-01-28,73.13432
2021-01-29,44.02985
2021-01-30,21.64179
2021-01-31,25.37313
2021-02-01,53.73134
2021-02-02,52.98507
2021-02-03,54.47761
2021-02-04,50.0
2021-02-05,47.01492
2021-02-06,23.88059
2021-02-07,30.59701
2021-02-08,59.70149
2021-02-09,50.74626
2021-02-10,47.76119
