date,창업박람회
2020-03-20,4.1841
2020-03-21,2.35355
2020-03-22,3.50418
2020-03-23,4.70711
2020-03-24,5.70083
2020-03-25,5.28242
2020-03-26,4.02719
2020-03-27,4.5502
2020-03-28,2.51046
2020-03-29,2.77196
2020-03-30,5.49163
2020-03-31,4.4979
2020-04-01,4.4979
2020-04-02,4.4979
2020-04-03,4.81171
2020-04-04,2.56276
2020-04-05,2.35355
2020-04-06,5.80543
2020-04-07,5.33472
2020-04-08,4.70711
2020-04-09,4.75941
2020-04-10,5.07322
2020-04-11,2.71966
2020-04-12,5.23012
2020-04-13,7.21757
2020-04-14,5.75313
2020-04-15,4.5502
2020-04-16,5.80543
2020-04-17,4.3933
2020-04-18,3.60878
2020-04-19,4.07949
2020-04-20,6.90376
2020-04-21,6.17154
2020-04-22,7.00836
2020-04-23,7.58368
2020-04-24,5.38702
2020-04-25,3.03347
2020-04-26,4.65481
2020-04-27,7.68828
2020-04-28,8.31589
2020-04-29,4.91631
2020-04-30,3.03347
2020-05-01,3.97489
2020-05-02,3.55648
2020-05-03,3.76569
2020-05-04,4.91631
2020-05-05,6.22384
2020-05-06,7.37447
2020-05-07,6.43305
2020-05-08,4.91631
2020-05-09,4.2364
2020-05-10,2.92887
2020-05-11,6.69456
2020-05-12,5.54393
2020-05-13,5.91004
2020-05-14,6.06694
2020-05-15,6.48535
2020-05-16,3.19037
2020-05-17,3.50418
2020-05-18,6.48535
2020-05-19,8.4205
2020-05-20,8.10669
2020-05-21,8.10669
2020-05-22,9.36192
2020-05-23,5.43933
2020-05-24,6.06694
2020-05-25,11.50627
2020-05-26,12.29079
2020-05-27,15.27196
2020-05-28,15.27196
2020-05-29,12.97071
2020-05-30,13.49372
2020-05-31,11.14016
2020-06-01,17.62552
2020-06-02,15.69037
2020-06-03,17.67782
2020-06-04,17.15481
2020-06-05,16.05648
2020-06-06,10.04184
2020-06-07,11.97698
2020-06-08,16.42259
2020-06-09,15.37656
2020-06-10,19.35146
2020-06-11,23.90167
2020-06-12,19.08995
2020-06-13,10.19874
2020-06-14,6.48535
2020-06-15,10.87866
2020-06-16,9.98953
2020-06-17,8.21129
2020-06-18,7.53138
2020-06-19,7.26987
2020-06-20,10.14644
2020-06-21,11.76778
2020-06-22,18.46234
2020-06-23,15.84728
2020-06-24,16.9979
2020-06-25,14.06903
2020-06-26,12.23849
2020-06-27,11.03556
2020-06-28,11.34937
2020-06-29,16.6841
2020-06-30,15.01046
2020-07-01,16.16108
2020-07-02,14.48744
2020-07-03,14.01673
2020-07-04,10.56485
2020-07-05,12.8661
2020-07-06,19.76987
2020-07-07,16.21338
2020-07-08,14.90585
2020-07-09,13.49372
2020-07-10,14.22594
2020-07-11,9.25732
2020-07-12,9.30962
2020-07-13,12.8138
2020-07-14,13.07531
2020-07-15,12.08158
2020-07-16,10.25104
2020-07-17,6.74686
2020-07-18,4.81171
2020-07-19,5.17782
2020-07-20,8.00209
2020-07-21,9.72803
2020-07-22,8.5774
2020-07-23,10.35564
2020-07-24,12.18619
2020-07-25,6.32845
2020-07-26,7.58368
2020-07-27,14.69665
2020-07-28,14.38284
2020-07-29,20.18828
2020-07-30,22.69874
2020-07-31,22.43723
2020-08-01,16.16108
2020-08-02,7.16527
2020-08-03,10.61715
2020-08-04,8.5774
2020-08-05,8.00209
2020-08-06,7.89748
2020-08-07,6.58995
2020-08-08,5.96234
2020-08-09,5.49163
2020-08-10,9.51882
2020-08-11,7.84518
2020-08-12,9.36192
2020-08-13,7.06066
2020-08-14,5.80543
2020-08-15,4.4979
2020-08-16,3.34728
2020-08-17,5.80543
2020-08-18,7.37447
2020-08-19,5.02092
2020-08-20,7.53138
2020-08-21,4.70711
2020-08-22,3.19037
2020-08-23,3.66108
