date,금투자
2020-03-20,40.32761
2020-03-21,27.37909
2020-03-22,26.91107
2020-03-23,35.33541
2020-03-24,45.47581
2020-03-25,56.39625
2020-03-26,58.81435
2020-03-27,54.99219
2020-03-28,35.1014
2020-03-29,28.86115
2020-03-30,32.76131
2020-03-31,31.66926
2020-04-01,34.63338
2020-04-02,32.76131
2020-04-03,27.45709
2020-04-04,22.6989
2020-04-05,16.69266
2020-04-06,39.07956
2020-04-07,41.96567
2020-04-08,41.57566
2020-04-09,36.03744
2020-04-10,45.55382
2020-04-11,28.62714
2020-04-12,41.80967
2020-04-13,49.06396
2020-04-14,44.22776
2020-04-15,34.16536
2020-04-16,37.28549
2020-04-17,36.19344
2020-04-18,26.44305
2020-04-19,22.85491
2020-04-20,25.35101
2020-04-21,36.73946
2020-04-22,45.78783
2020-04-23,46.64586
2020-04-24,39.78159
2020-04-25,24.57098
2020-04-26,28.62714
2020-04-27,31.27925
2020-04-28,27.22308
2020-04-29,20.35881
2020-04-30,15.2106
2020-05-01,18.01872
2020-05-02,11.07644
2020-05-03,18.79875
2020-05-04,24.88299
2020-05-05,24.72698
2020-05-06,30.96723
2020-05-07,20.90483
2020-05-08,16.61466
2020-05-09,13.72854
2020-05-10,14.19656
2020-05-11,17.94071
2020-05-12,23.47893
2020-05-13,18.64274
2020-05-14,20.0468
2020-05-15,19.42277
2020-05-16,11.46645
2020-05-17,15.2106
2020-05-18,23.71294
2020-05-19,23.79095
2020-05-20,17.94071
2020-05-21,20.82683
2020-05-22,19.18876
2020-05-23,14.11856
2020-05-24,16.84867
2020-05-25,21.91887
2020-05-26,20.28081
2020-05-27,25.50702
2020-05-28,26.36505
2020-05-29,22.07488
2020-05-30,18.48673
2020-05-31,20.2028
2020-06-01,22.77691
2020-06-02,22.15288
2020-06-03,28.93915
2020-06-04,27.5351
2020-06-05,21.68486
2020-06-06,17.5507
2020-06-07,19.89079
2020-06-08,27.30109
2020-06-09,23.79095
2020-06-10,23.55694
2020-06-11,18.79875
2020-06-12,20.90483
2020-06-13,12.87051
2020-06-14,15.67862
2020-06-15,18.01872
2020-06-16,17.6287
2020-06-17,17.5507
2020-06-18,17.86271
2020-06-19,17.47269
2020-06-20,16.92667
2020-06-21,20.35881
2020-06-22,35.1794
2020-06-23,29.71918
2020-06-24,24.18096
2020-06-25,27.84711
2020-06-26,24.10296
