date,비상장주식거래
2020-03-20,26.96629
2020-03-21,15.02808
2020-03-22,16.33895
2020-03-23,26.54494
2020-03-24,26.35767
2020-03-25,29.77528
2020-03-26,33.28651
2020-03-27,33.42696
2020-03-28,24.1573
2020-03-29,20.36516
2020-03-30,32.35018
2020-03-31,32.9588
2020-04-01,30.10299
2020-04-02,29.49438
2020-04-03,26.31086
2020-04-04,17.04119
2020-04-05,15.73033
2020-04-06,25.18726
2020-04-07,26.87265
2020-04-08,27.66853
2020-04-09,28.04307
2020-04-10,25.93632
2020-04-11,16.80711
2020-04-12,14.37265
2020-04-13,25.04681
2020-04-14,27.76217
2020-04-15,17.08801
2020-04-16,23.36142
2020-04-17,28.46441
2020-04-18,19.19475
2020-04-19,22.65917
2020-04-20,28.65168
2020-04-21,27.48127
2020-04-22,37.26591
2020-04-23,30.05617
2020-04-24,27.76217
2020-04-25,16.85393
2020-04-26,17.46254
2020-04-27,28.08988
2020-04-28,29.11985
2020-04-29,25.14044
2020-04-30,18.4925
2020-05-01,13.20224
2020-05-02,12.2191
2020-05-03,12.92134
2020-05-04,21.02059
2020-05-05,16.29213
2020-05-06,23.54868
2020-05-07,28.65168
2020-05-08,24.4382
2020-05-09,12.12546
2020-05-10,11.98501
2020-05-11,22.47191
2020-05-12,19.66292
2020-05-13,18.72659
2020-05-14,23.0337
2020-05-15,20.7397
2020-05-16,12.12546
2020-05-17,10.67415
2020-05-18,22.33146
2020-05-19,24.90636
2020-05-20,28.55805
2020-05-21,32.25655
2020-05-22,25.70224
2020-05-23,13.57677
2020-05-24,15.9176
2020-05-25,29.44756
2020-05-26,32.30337
2020-05-27,35.15917
2020-05-28,31.64794
2020-05-29,29.77528
2020-05-30,16.24531
2020-05-31,16.4794
2020-06-01,26.87265
2020-06-02,29.02621
2020-06-03,27.99625
2020-06-04,28.9794
2020-06-05,26.59176
2020-06-06,15.96441
2020-06-07,15.49625
2020-06-08,25.32771
2020-06-09,32.44382
2020-06-10,33.14606
2020-06-11,31.08614
2020-06-12,27.90262
2020-06-13,17.32209
2020-06-14,16.71348
2020-06-15,29.35393
2020-06-16,29.91573
2020-06-17,34.08239
2020-06-18,32.02247
2020-06-19,26.17041
2020-06-20,16.90074
2020-06-21,16.94756
2020-06-22,27.10674
2020-06-23,31.2734
2020-06-24,39.74719
2020-06-25,34.17602
2020-06-26,31.08614
2020-06-27,16.10486
2020-06-28,15.82397
2020-06-29,25.46816
2020-06-30,25.88951
2020-07-01,27.15355
2020-07-02,48.50187
2020-07-03,46.34831
2020-07-04,22.98689
2020-07-05,23.8764
2020-07-06,44.0543
2020-07-07,46.67602
2020-07-08,42.60299
2020-07-09,44.66292
2020-07-10,39.93445
2020-07-11,21.58239
2020-07-12,22.94007
2020-07-13,36.61048
2020-07-14,35.2528
2020-07-15,31.41385
2020-07-16,34.64419
2020-07-17,31.36704
2020-07-18,25.74906
2020-07-19,21.81647
2020-07-20,34.08239
2020-07-21,41.29213
2020-07-22,41.94756
2020-07-23,51.12359
2020-07-24,38.81086
2020-07-25,21.67602
2020-07-26,31.50749
2020-07-27,38.57677
2020-07-28,39.27902
2020-07-29,34.36329
2020-07-30,35.8146
2020-07-31,30.10299
2020-08-01,18.96067
2020-08-02,18.35205
2020-08-03,39.60674
2020-08-04,49.48501
2020-08-05,43.67977
2020-08-06,41.66666
2020-08-07,47.61235
2020-08-08,32.20973
2020-08-09,27.90262
2020-08-10,43.7734
2020-08-11,40.87078
2020-08-12,41.61985
2020-08-13,45.69288
2020-08-14,37.92134
2020-08-15,21.67602
2020-08-16,19.3352
2020-08-17,23.36142
2020-08-18,29.91573
2020-08-19,35.11235
2020-08-20,34.31647
2020-08-21,31.92883
2020-08-22,19.38202
2020-08-23,18.25842
2020-08-24,36.89138
2020-08-25,39.88764
2020-08-26,50.37453
2020-08-27,51.68539
2020-08-28,58.00561
2020-08-29,29.86891
2020-08-30,33.00561
2020-08-31,59.26966
2020-09-01,68.91385
2020-09-02,100.0
2020-09-03,78.83895
2020-09-04,55.94569
2020-09-05,33.2397
2020-09-06,39.60674
2020-09-07,65.9176
2020-09-08,52.24719
2020-09-09,55.75842
2020-09-10,92.22846
2020-09-11,79.07303
2020-09-12,55.61797
2020-09-13,44.47565
2020-09-14,63.38951
2020-09-15,65.9176
2020-09-16,80.94569
2020-09-17,52.05992
2020-09-18,37.45318
2020-09-19,24.67228
2020-09-20,25.18726
2020-09-21,32.72471
2020-09-22,31.97565
2020-09-23,44.0543
2020-09-24,40.16853
2020-09-25,34.08239
2020-09-26,22.47191
2020-09-27,21.91011
2020-09-28,36.04868
2020-09-29,29.35393
2020-09-30,16.71348
2020-10-01,16.61985
2020-10-02,18.30524
2020-10-03,19.897
2020-10-04,18.4925
2020-10-05,34.97191
2020-10-06,35.5337
2020-10-07,33.33333
2020-10-08,30.94569
2020-10-09,20.83333
2020-10-10,17.18164
2020-10-11,18.86704
2020-10-12,31.13295
2020-10-13,28.83895
2020-10-14,29.07303
2020-10-15,40.73033
2020-10-16,32.20973
2020-10-17,18.67977
2020-10-18,15.49625
2020-10-19,25.04681
2020-10-20,27.10674
2020-10-21,30.66479
2020-10-22,29.07303
2020-10-23,25.23408
2020-10-24,15.40262
2020-10-25,13.52996
2020-10-26,22.61235
2020-10-27,26.59176
2020-10-28,25.14044
2020-10-29,24.67228
2020-10-30,23.17415
2020-10-31,14.04494
2020-11-01,13.95131
2020-11-02,21.58239
2020-11-03,23.36142
2020-11-04,21.25468
2020-11-05,23.54868
2020-11-06,23.92322
2020-11-07,13.38951
2020-11-08,14.93445
2020-11-09,28.46441
2020-11-10,28.93258
2020-11-11,32.44382
2020-11-12,33.38014
2020-11-13,31.17977
2020-11-14,18.16479
2020-11-15,17.83707
2020-11-16,31.50749
2020-11-17,35.06554
2020-11-18,39.65355
2020-11-19,33.84831
2020-11-20,32.49063
2020-11-21,18.58614
2020-11-22,22.7528
2020-11-23,30.75842
2020-11-24,33.28651
2020-11-25,34.31647
2020-11-26,40.30898
2020-11-27,45.78651
2020-11-28,28.04307
2020-11-29,22.7528
2020-11-30,34.78464
2020-12-01,39.2322
2020-12-02,36.47003
2020-12-03,39.84082
2020-12-04,35.62734
2020-12-05,26.96629
2020-12-06,35.58052
2020-12-07,42.55617
2020-12-08,36.70411
2020-12-09,41.29213
2020-12-10,40.82397
2020-12-11,39.794
2020-12-12,26.45131
2020-12-13,23.92322
2020-12-14,35.20599
2020-12-15,35.90823
2020-12-16,35.86142
2020-12-17,35.29962
2020-12-18,37.12546
2020-12-19,27.15355
2020-12-20,26.31086
2020-12-21,40.87078
2020-12-22,40.73033
2020-12-23,38.20224
2020-12-24,39.98127
2020-12-25,23.40823
2020-12-26,24.01685
2020-12-27,28.23033
2020-12-28,42.27528
2020-12-29,47.19101
2020-12-30,45.03745
2020-12-31,39.09176
2021-01-01,30.94569
2021-01-02,24.85955
2021-01-03,33.09925
2021-01-04,46.44194
2021-01-05,52.05992
2021-01-06,65.87078
