date,MMF통장
2020-03-20,83.41232
2020-03-21,42.33807
2020-03-22,42.65402
2020-03-23,100.0
2020-03-24,78.04107
2020-03-25,57.50394
2020-03-26,56.87203
2020-03-27,54.50236
2020-03-28,26.54028
2020-03-29,23.22274
2020-03-30,51.34281
2020-03-31,42.812
2020-04-01,51.02685
2020-04-02,51.02685
2020-04-03,46.76145
2020-04-04,27.48815
2020-04-05,23.5387
2020-04-06,47.55134
2020-04-07,45.97156
2020-04-08,44.86571
2020-04-09,37.28278
2020-04-10,45.81358
2020-04-11,50.07898
2020-04-12,45.33965
2020-04-13,46.91943
2020-04-14,44.54976
2020-04-15,46.91943
2020-04-16,51.50078
2020-04-17,43.28593
2020-04-18,27.48815
2020-04-19,30.17377
2020-04-20,36.17693
2020-04-21,41.86413
2020-04-22,42.18009
2020-04-23,34.43917
2020-04-24,39.17851
2020-04-25,17.69352
2020-04-26,19.43127
2020-04-27,39.65244
2020-04-28,35.703
2020-04-29,29.54186
2020-04-30,15.48183
2020-05-01,17.37756
2020-05-02,12.95418
2020-05-03,11.69036
2020-05-04,35.86097
2020-05-05,18.00947
2020-05-06,28.27804
2020-05-07,28.90995
2020-05-08,25.43443
2020-05-09,16.27172
2020-05-10,12.16429
2020-05-11,29.2259
2020-05-12,31.59557
2020-05-13,26.3823
2020-05-14,26.3823
2020-05-15,24.32859
2020-05-16,13.58609
2020-05-17,15.48183
2020-05-18,25.90837
2020-05-19,24.64454
2020-05-20,22.90679
2020-05-21,28.27804
2020-05-22,21.32701
2020-05-23,12.48025
2020-05-24,14.84992
2020-05-25,24.32859
2020-05-26,28.75197
2020-05-27,28.75197
2020-05-28,24.80252
2020-05-29,23.38072
2020-05-30,12.63823
2020-05-31,31.27962
2020-06-01,35.703
2020-06-02,25.75039
2020-06-03,26.54028
2020-06-04,28.90995
2020-06-05,24.64454
2020-06-06,16.90363
2020-06-07,15.00789
2020-06-08,24.64454
2020-06-09,27.01421
2020-06-10,31.91153
2020-06-11,26.22432
2020-06-12,21.16903
2020-06-13,16.11374
2020-06-14,18.16745
2020-06-15,27.64612
2020-06-16,32.06951
2020-06-17,22.1169
2020-06-18,26.3823
2020-06-19,24.9605
2020-06-20,12.95418
2020-06-21,13.42812
2020-06-22,26.06635
2020-06-23,24.48657
2020-06-24,27.64612
2020-06-25,29.2259
2020-06-26,29.38388
2020-06-27,51.18483
2020-06-28,66.19273
2020-06-29,42.33807
2020-06-30,38.07266
2020-07-01,30.96366
2020-07-02,31.59557
2020-07-03,23.85466
2020-07-04,13.42812
2020-07-05,18.48341
2020-07-06,29.54186
2020-07-07,22.27488
2020-07-08,24.64454
2020-07-09,23.06477
2020-07-10,24.64454
2020-07-11,16.27172
2020-07-12,17.21958
2020-07-13,30.33175
2020-07-14,25.75039
2020-07-15,24.32859
2020-07-16,28.90995
2020-07-17,27.01421
2020-07-18,20.6951
2020-07-19,24.01263
2020-07-20,58.29383
2020-07-21,46.44549
2020-07-22,38.5466
2020-07-23,36.80884
2020-07-24,30.33175
2020-07-25,13.74407
2020-07-26,21.80094
2020-07-27,30.33175
2020-07-28,33.01737
2020-07-29,27.17219
2020-07-30,27.17219
2020-07-31,33.64928
2020-08-01,18.32543
2020-08-02,17.69352
2020-08-03,30.96366
2020-08-04,35.07109
2020-08-05,29.06793
2020-08-06,30.17377
2020-08-07,28.90995
2020-08-08,12.32227
2020-08-09,16.58767
2020-08-10,33.17535
2020-08-11,31.27962
2020-08-12,32.06951
2020-08-13,29.85781
2020-08-14,21.32701
2020-08-15,13.90205
2020-08-16,14.218
2020-08-17,19.58925
2020-08-18,23.22274
2020-08-19,30.01579
2020-08-20,25.11848
2020-08-21,25.75039
2020-08-22,13.42812
2020-08-23,17.06161
2020-08-24,22.27488
2020-08-25,27.8041
2020-08-26,31.27962
2020-08-27,28.27804
2020-08-28,24.48657
2020-08-29,16.27172
2020-08-30,18.64139
2020-08-31,36.17693
2020-09-01,36.49289
2020-09-02,30.6477
2020-09-03,31.27962
2020-09-04,31.43759
2020-09-05,16.90363
2020-09-06,16.90363
2020-09-07,27.01421
2020-09-08,24.32859
2020-09-09,25.90837
2020-09-10,27.8041
2020-09-11,24.01263
2020-09-12,13.74407
2020-09-13,10.90047
2020-09-14,23.69668
2020-09-15,26.69826
2020-09-16,26.85624
2020-09-17,30.01579
2020-09-18,22.27488
2020-09-19,11.21642
2020-09-20,9.79462
2020-09-21,20.37914
2020-09-22,18.32543
2020-09-23,20.53712
2020-09-24,22.27488
2020-09-25,19.58925
2020-09-26,8.5308
2020-09-27,11.21642
2020-09-28,25.43443
2020-09-29,18.79936
2020-09-30,8.68878
2020-10-01,12.00631
2020-10-02,10.11058
2020-10-03,12.7962
2020-10-04,14.84992
2020-10-05,26.69826
2020-10-06,26.06635
2020-10-07,24.17061
2020-10-08,22.90679
2020-10-09,9.63665
2020-10-10,12.48025
2020-10-11,15.79778
2020-10-12,22.27488
2020-10-13,23.69668
2020-10-14,29.69984
2020-10-15,25.11848
2020-10-16,19.11532
2020-10-17,10.42654
2020-10-18,10.42654
2020-10-19,24.17061
2020-10-20,21.80094
2020-10-21,34.43917
2020-10-22,27.01421
2020-10-23,22.59083
2020-10-24,11.84834
2020-10-25,13.90205
2020-10-26,20.85308
2020-10-27,21.32701
2020-10-28,22.43285
2020-10-29,23.5387
2020-10-30,14.37598
2020-10-31,10.42654
2020-11-01,10.90047
2020-11-02,18.32543
2020-11-03,16.90363
2020-11-04,18.95734
2020-11-05,15.16587
2020-11-06,20.37914
2020-11-07,11.69036
2020-11-08,10.90047
2020-11-09,17.53554
2020-11-10,21.16903
2020-11-11,25.11848
2020-11-12,19.58925
2020-11-13,17.53554
2020-11-14,11.3744
2020-11-15,13.42812
2020-11-16,21.64296
2020-11-17,21.01105
2020-11-18,23.38072
2020-11-19,21.80094
2020-11-20,20.22116
2020-11-21,10.42654
2020-11-22,12.7962
2020-11-23,25.43443
2020-11-24,21.48499
2020-11-25,24.17061
2020-11-26,22.27488
2020-11-27,22.1169
2020-11-28,14.218
2020-11-29,16.58767
2020-11-30,24.64454
2020-12-01,25.90837
2020-12-02,25.90837
2020-12-03,23.5387
2020-12-04,24.9605
2020-12-05,13.90205
2020-12-06,13.27014
2020-12-07,26.54028
2020-12-08,27.01421
2020-12-09,28.27804
2020-12-10,30.80568
2020-12-11,24.48657
2020-12-12,17.69352
2020-12-13,15.63981
2020-12-14,26.3823
2020-12-15,23.06477
2020-12-16,22.27488
2020-12-17,20.37914
2020-12-18,19.90521
2020-12-19,17.53554
2020-12-20,17.06161
2020-12-21,33.17535
2020-12-22,26.06635
2020-12-23,20.37914
2020-12-24,21.80094
2020-12-25,14.37598
2020-12-26,20.37914
2020-12-27,16.90363
2020-12-28,29.85781
2020-12-29,34.2812
2020-12-30,37.28278
2020-12-31,28.75197
2021-01-01,24.17061
2021-01-02,24.64454
2021-01-03,76.77725
2021-01-04,86.09794
2021-01-05,83.25434
2021-01-06,56.24012
2021-01-07,50.07898
2021-01-08,40.28436
2021-01-09,23.85466
2021-01-10,32.70142
2021-01-11,46.12954
2021-01-12,35.703
2021-01-13,38.70458
2021-01-14,42.49605
2021-01-15,38.07266
