date,아트포스터
2020-11-07,19.90049
2020-11-08,40.79601
2020-11-09,35.32338
2020-11-10,33.33333
2020-11-11,25.87064
2020-11-12,24.3781
2020-11-13,27.36318
2020-11-14,31.34328
2020-11-15,55.72139
2020-11-16,45.27363
2020-11-17,40.2985
2020-11-18,45.27363
2020-11-19,42.28855
2020-11-20,28.85572
2020-11-21,34.32835
2020-11-22,32.3383
2020-11-23,29.85074
2020-11-24,34.32835
2020-11-25,45.27363
2020-11-26,48.75621
2020-11-27,36.3184
2020-11-28,50.74626
2020-11-29,49.25373
2020-11-30,45.27363
2020-12-01,34.32835
2020-12-02,39.80099
2020-12-03,31.84079
2020-12-04,29.35323
2020-12-05,38.80597
2020-12-06,38.80597
2020-12-07,35.82089
2020-12-08,56.71641
2020-12-09,42.78606
2020-12-10,40.79601
2020-12-11,36.81592
2020-12-12,37.31343
2020-12-13,42.28855
2020-12-14,34.32835
2020-12-15,41.79104
2020-12-16,43.78109
2020-12-17,34.82587
2020-12-18,29.35323
2020-12-19,30.84577
2020-12-20,55.22388
2020-12-21,42.28855
2020-12-22,59.70149
2020-12-23,42.28855
2020-12-24,36.3184
2020-12-25,43.28358
2020-12-26,42.28855
2020-12-27,53.73134
2020-12-28,44.2786
2020-12-29,49.25373
2020-12-30,42.28855
2020-12-31,34.32835
2021-01-01,41.29353
2021-01-02,51.24378
2021-01-03,47.26368
2021-01-04,39.80099
2021-01-05,48.75621
2021-01-06,43.78109
2021-01-07,40.79601
2021-01-08,46.26865
2021-01-09,44.2786
2021-01-10,57.21393
2021-01-11,53.23383
2021-01-12,43.78109
2021-01-13,48.2587
2021-01-14,45.77114
2021-01-15,36.3184
2021-01-16,40.79601
2021-01-17,51.74129
2021-01-18,53.23383
2021-01-19,48.2587
2021-01-20,52.2388
2021-01-21,50.24875
2021-01-22,47.26368
2021-01-23,62.18905
2021-01-24,59.20398
2021-01-25,50.24875
2021-01-26,49.75124
2021-01-27,47.26368
2021-01-28,32.83582
2021-01-29,36.3184
2021-01-30,30.34825
2021-01-31,50.24875
2021-02-01,41.79104
2021-02-02,41.79104
2021-02-03,39.80099
2021-02-04,48.2587
2021-02-05,38.80597
2021-02-06,38.80597
2021-02-07,29.35323
2021-02-08,53.73134
2021-02-09,41.79104
2021-02-10,38.30845
2021-02-11,34.82587
2021-02-12,37.31343
2021-02-13,41.29353
2021-02-14,38.80597
2021-02-15,51.74129
2021-02-16,28.3582
2021-02-17,37.31343
2021-02-18,44.77611
2021-02-19,33.83084
2021-02-20,30.84577
2021-02-21,49.25373
2021-02-22,44.2786
2021-02-23,41.79104
2021-02-24,35.82089
2021-02-25,45.27363
2021-02-26,29.85074
2021-02-27,31.84079
2021-02-28,44.77611
2021-03-01,45.77114
2021-03-02,41.79104
2021-03-03,36.3184
2021-03-04,44.2786
2021-03-05,33.33333
2021-03-06,40.79601
2021-03-07,42.78606
2021-03-08,45.27363
2021-03-09,52.73631
2021-03-10,30.84577
2021-03-11,100.0
2021-03-12,38.30845
2021-03-13,40.2985
2021-03-14,54.22885
2021-03-15,44.2786
2021-03-16,32.3383
2021-03-17,39.30348
2021-03-18,44.77611
2021-03-19,49.25373
2021-03-20,55.72139
2021-03-21,43.28358
2021-03-22,46.26865
2021-03-23,36.3184
2021-03-24,47.76119
2021-03-25,36.3184
2021-03-26,33.33333
2021-03-27,44.2786
2021-03-28,44.2786
2021-03-29,46.26865
2021-03-30,37.81094
2021-03-31,41.79104
2021-04-01,42.28855
2021-04-02,36.81592
2021-04-03,37.31343
2021-04-04,44.77611
2021-04-05,49.75124
2021-04-06,37.81094
2021-04-07,48.2587
2021-04-08,29.35323
2021-04-09,26.86567
2021-04-10,49.25373
2021-04-11,45.27363
2021-04-12,57.21393
2021-04-13,40.2985
2021-04-14,39.80099
2021-04-15,45.27363
2021-04-16,39.80099
2021-04-17,47.76119
2021-04-18,34.32835
2021-04-19,55.22388
2021-04-20,43.78109
2021-04-21,36.81592
2021-04-22,53.23383
2021-04-23,33.33333
2021-04-24,40.2985
2021-04-25,32.83582
2021-04-26,33.83084
2021-04-27,40.2985
2021-04-28,35.82089
2021-04-29,36.3184
2021-04-30,30.34825
2021-05-01,47.76119
2021-05-02,34.82587
2021-05-03,27.36318
2021-05-04,29.85074
2021-05-05,30.34825
2021-05-06,28.85572
2021-05-07,35.32338
2021-05-08,20.89552
2021-05-09,38.80597
2021-05-10,41.79104
2021-05-11,33.33333
2021-05-12,27.86069
2021-05-13,23.88059
2021-05-14,20.89552
2021-05-15,35.32338
2021-05-16,34.82587
2021-05-17,31.84079
2021-05-18,38.80597
2021-05-19,31.84079
2021-05-20,38.30845
2021-05-21,36.81592
2021-05-22,24.87562
2021-05-23,27.86069
2021-05-24,38.80597
2021-05-25,47.26368
2021-05-26,49.25373
2021-05-27,25.87064
2021-05-28,32.83582
2021-05-29,24.87562
2021-05-30,43.78109
2021-05-31,42.78606
2021-06-01,30.84577
2021-06-02,44.77611
2021-06-03,34.32835
2021-06-04,32.3383
2021-06-05,27.36318
2021-06-06,39.30348
2021-06-07,41.29353
2021-06-08,30.84577
2021-06-09,34.82587
2021-06-10,31.34328
2021-06-11,34.82587
2021-06-12,26.86567
2021-06-13,41.79104
2021-06-14,32.83582
2021-06-15,37.81094
2021-06-16,43.28358
2021-06-17,25.87064
2021-06-18,37.81094
2021-06-19,28.85572
2021-06-20,27.86069
2021-06-21,36.3184
2021-06-22,41.29353
2021-06-23,27.36318
2021-06-24,35.82089
2021-06-25,39.30348
2021-06-26,40.79601
2021-06-27,46.26865
2021-06-28,44.2786
2021-06-29,48.2587
2021-06-30,48.75621
2021-07-01,37.31343
2021-07-02,36.3184
2021-07-03,32.3383
2021-07-04,29.35323
2021-07-05,31.84079
2021-07-06,35.32338
2021-07-07,43.78109
2021-07-08,37.31343
2021-07-09,33.33333
2021-07-10,36.81592
2021-07-11,39.80099
2021-07-12,44.2786
2021-07-13,43.28358
2021-07-14,45.27363
2021-07-15,44.2786
2021-07-16,35.32338
2021-07-17,61.69154
2021-07-18,42.78606
2021-07-19,52.2388
2021-07-20,42.78606
2021-07-21,37.81094
2021-07-22,38.30845
2021-07-23,31.84079
2021-07-24,51.74129
2021-07-25,41.79104
2021-07-26,44.77611
2021-07-27,37.81094
2021-07-28,44.2786
2021-07-29,28.3582
2021-07-30,44.2786
2021-07-31,49.75124
2021-08-01,44.77611
2021-08-02,43.78109
2021-08-03,52.73631
2021-08-04,32.3383
2021-08-05,48.2587
2021-08-06,38.80597
2021-08-07,28.85572
2021-08-08,45.77114
2021-08-09,51.74129
2021-08-10,37.81094
2021-08-11,50.74626
2021-08-12,44.77611
2021-08-13,40.2985
2021-08-14,45.77114
2021-08-15,39.80099
2021-08-16,45.77114
2021-08-17,44.2786
2021-08-18,44.77611
2021-08-19,43.28358
2021-08-20,47.26368
2021-08-21,33.83084
2021-08-22,56.2189
2021-08-23,39.80099
2021-08-24,42.78606
2021-08-25,35.32338
2021-08-26,36.81592
2021-08-27,42.28855
2021-08-28,35.32338
2021-08-29,42.28855
2021-08-30,41.79104
2021-08-31,38.30845
2021-09-01,35.82089
2021-09-02,42.28855
2021-09-03,41.79104
2021-09-04,43.78109
2021-09-05,49.25373
2021-09-06,52.2388
2021-09-07,40.79601
2021-09-08,37.31343
2021-09-09,39.80099
2021-09-10,31.34328
2021-09-11,37.81094
2021-09-12,30.34825
2021-09-13,38.30845
2021-09-14,57.21393
2021-09-15,41.79104
2021-09-16,39.80099
2021-09-17,25.37313
2021-09-18,36.3184
2021-09-19,45.27363
2021-09-20,39.80099
2021-09-21,32.3383
2021-09-22,40.2985
2021-09-23,43.28358
2021-09-24,35.32338
2021-09-25,35.32338
2021-09-26,48.2587
2021-09-27,38.80597
2021-09-28,45.77114
2021-09-29,44.77611
2021-09-30,37.81094
2021-10-01,37.81094
2021-10-02,39.80099
2021-10-03,35.82089
2021-10-04,60.69651
2021-10-05,41.79104
2021-10-06,52.2388
2021-10-07,44.2786
2021-10-08,36.81592
2021-10-09,43.28358
2021-10-10,37.31343
2021-10-11,58.70646
2021-10-12,36.81592
2021-10-13,38.30845
2021-10-14,38.30845
2021-10-15,34.82587
2021-10-16,34.82587
2021-10-17,37.31343
2021-10-18,30.34825
2021-10-19,35.32338
2021-10-20,26.86567
2021-10-21,31.34328
2021-10-22,30.34825
2021-10-23,31.84079
2021-10-24,36.81592
2021-10-25,35.82089
2021-10-26,37.81094
2021-10-27,32.3383
2021-10-28,38.30845
2021-10-29,32.83582
2021-10-30,29.85074
2021-10-31,35.32338
2021-11-01,34.82587
2021-11-02,38.80597
2021-11-03,26.86567
2021-11-04,35.82089
2021-11-05,23.38308
2021-11-06,23.38308
2021-11-07,26.86567
2021-11-08,44.2786
2021-11-09,33.83084
2021-11-10,37.81094
2021-11-11,33.33333
2021-11-12,31.34328
2021-11-13,26.36815
2021-11-14,31.84079
2021-11-15,28.3582
2021-11-16,34.82587
2021-11-17,32.83582
2021-11-18,21.89054
2021-11-19,29.35323
2021-11-20,24.3781
2021-11-21,25.37313
2021-11-22,41.29353
2021-11-23,30.84577
2021-11-24,29.35323
2021-11-25,34.32835
2021-11-26,23.88059
2021-11-27,42.28855
2021-11-28,46.26865
2021-11-29,39.30348
2021-11-30,33.33333
2021-12-01,43.28358
2021-12-02,30.34825
2021-12-03,33.33333
2021-12-04,32.3383
2021-12-05,36.3184
2021-12-06,34.32835
2021-12-07,40.79601
2021-12-08,32.3383
2021-12-09,39.30348
2021-12-10,29.85074
2021-12-11,31.84079
2021-12-12,42.78606
2021-12-13,37.81094
2021-12-14,36.3184
2021-12-15,32.3383
2021-12-16,30.84577
2021-12-17,26.86567
2021-12-18,25.37313
2021-12-19,38.80597
2021-12-20,37.81094
2021-12-21,61.19402
2021-12-22,37.81094
2021-12-23,25.87064
2021-12-24,33.33333
2021-12-25,30.84577
2021-12-26,42.28855
2021-12-27,29.35323
2021-12-28,33.33333
2021-12-29,31.34328
2021-12-30,42.78606
2021-12-31,31.84079
2022-01-01,38.30845
2022-01-02,38.80597
2022-01-03,37.31343
2022-01-04,50.74626
2022-01-05,46.76616
2022-01-06,50.74626
2022-01-07,48.2587
2022-01-08,39.80099
