date,SOXX주가
2020-03-20,0.36576
2020-08-14,0.51207
2020-08-19,0.43891
2020-08-21,0.43891
2020-08-22,0.43891
2020-08-23,0.43891
2020-08-25,0.58522
2020-08-26,1.02414
2020-08-27,0.51207
2020-08-29,1.24359
2020-08-31,0.36576
2020-09-01,0.80468
2020-09-02,0.65837
2020-09-03,0.58522
2020-09-04,0.51207
2020-09-05,0.36576
2020-09-08,0.43891
2020-09-10,0.51207
2020-09-12,0.43891
2020-09-15,0.43891
2020-09-16,0.73152
2020-09-17,1.09729
2020-09-18,1.31675
2020-09-19,1.02414
2020-09-21,0.65837
2020-09-22,0.80468
2020-09-23,1.02414
2020-09-24,0.73152
2020-09-25,1.02414
2020-09-26,0.80468
2020-09-28,0.43891
2020-09-29,0.80468
2020-09-30,1.3899
2020-10-01,1.46305
2020-10-02,1.60936
2020-10-03,0.87783
2020-10-05,0.80468
2020-10-06,0.95098
2020-10-07,1.24359
2020-10-08,1.09729
2020-10-09,1.68251
2020-10-10,0.95098
2020-10-11,0.43891
2020-10-12,0.36576
2020-10-13,1.09729
2020-10-14,0.95098
2020-10-15,0.95098
2020-10-16,0.51207
2020-10-18,0.36576
2020-10-20,0.36576
2020-10-21,1.17044
2020-10-22,0.65837
2020-10-23,0.43891
2020-10-27,0.51207
2020-10-28,0.51207
2020-10-29,0.65837
2020-10-31,0.36576
2020-11-02,0.36576
2020-11-03,1.02414
2020-11-04,0.80468
2020-11-05,0.73152
2020-11-06,0.87783
2020-11-07,0.58522
2020-11-08,0.43891
2020-11-09,0.43891
2020-11-10,1.31675
2020-11-11,0.80468
2020-11-12,0.65837
2020-11-13,0.43891
2020-11-14,0.58522
2020-11-17,0.73152
2020-11-18,0.87783
2020-11-19,0.95098
2020-11-20,1.02414
2020-11-23,0.51207
2020-11-24,0.87783
2020-11-25,1.75566
2020-11-26,1.46305
2020-11-27,1.31675
2020-11-28,0.73152
2020-11-30,0.65837
2020-12-01,1.53621
2020-12-02,1.3899
2020-12-03,1.24359
2020-12-04,1.24359
2020-12-05,0.95098
2020-12-06,0.36576
2020-12-07,1.60936
2020-12-08,1.46305
2020-12-09,1.09729
2020-12-10,1.68251
2020-12-11,2.19458
2020-12-12,1.24359
2020-12-13,0.80468
2020-12-14,0.95098
2020-12-15,1.90197
2020-12-16,3.07242
2020-12-17,2.70665
2020-12-18,1.90197
2020-12-19,1.46305
2020-12-20,0.58522
2020-12-21,0.36576
2020-12-22,1.68251
2020-12-23,1.68251
2020-12-24,1.46305
2020-12-25,1.53621
2020-12-26,0.43891
2020-12-28,0.73152
2020-12-29,1.31675
2020-12-30,1.46305
2020-12-31,1.90197
2021-01-01,1.17044
2021-01-04,0.51207
2021-01-05,2.56035
2021-01-06,2.7798
2021-01-07,2.7798
2021-01-08,2.70665
2021-01-09,2.12143
2021-01-10,0.73152
2021-01-11,0.95098
2021-01-12,2.70665
2021-01-13,2.6335
2021-01-14,2.04828
2021-01-15,2.34089
2021-01-16,2.19458
2021-01-17,0.51207
2021-01-18,1.24359
2021-01-19,1.46305
2021-01-20,3.29188
2021-01-21,3.51133
2021-01-22,2.56035
2021-01-23,2.70665
2021-01-24,0.73152
2021-01-25,1.31675
2021-01-26,3.07242
2021-01-27,3.14557
2021-01-28,3.36503
2021-01-29,2.34089
2021-01-30,1.53621
2021-01-31,0.36576
2021-02-01,0.80468
2021-02-02,2.70665
2021-02-03,2.6335
2021-02-04,2.04828
2021-02-05,2.41404
2021-02-06,1.46305
2021-02-07,0.95098
2021-02-08,1.31675
2021-02-09,1.60936
2021-02-10,2.7798
2021-02-11,1.46305
2021-02-12,1.53621
2021-02-13,1.75566
2021-02-14,1.17044
2021-02-15,1.97512
2021-02-16,3.07242
2021-02-17,3.95025
2021-02-18,3.07242
2021-02-19,2.19458
2021-02-20,2.56035
2021-02-21,0.87783
2021-02-22,1.68251
2021-02-23,2.19458
2021-02-24,2.41404
2021-02-25,2.70665
2021-02-26,2.19458
2021-02-27,1.75566
2021-03-01,0.36576
2021-03-02,1.97512
2021-03-03,2.26773
2021-03-04,2.85296
2021-03-05,1.68251
2021-03-06,0.73152
2021-03-07,0.43891
2021-03-08,0.58522
2021-03-09,1.3899
2021-03-10,2.6335
2021-03-11,3.21872
2021-03-12,2.7798
2021-03-13,2.85296
2021-03-14,0.43891
2021-03-15,1.09729
2021-03-16,4.46232
2021-03-17,2.85296
2021-03-18,3.65764
2021-03-19,2.70665
2021-03-20,2.26773
2021-03-21,0.65837
2021-03-22,1.31675
2021-03-23,3.51133
2021-03-24,2.99926
2021-03-25,2.56035
2021-03-26,2.04828
2021-03-27,1.53621
2021-03-28,0.51207
2021-03-29,1.09729
2021-03-30,5.04754
2021-03-31,2.92611
2021-04-01,4.90124
2021-04-02,5.1207
2021-04-03,1.31675
2021-04-04,1.31675
2021-04-05,3.73079
2021-04-06,6.65691
2021-04-07,5.85223
2021-04-08,5.70592
2021-04-09,5.267
2021-04-10,3.95025
2021-04-11,1.02414
2021-04-12,5.1207
2021-04-13,6.94952
2021-04-14,7.31528
2021-04-15,7.02267
2021-04-16,6.21799
2021-04-17,4.60863
2021-04-18,3.21872
2021-04-19,5.55961
2021-04-20,9.58302
2021-04-21,12.8749
2021-04-22,11.33869
2021-04-23,10.82662
2021-04-24,9.65618
2021-04-25,2.6335
2021-04-26,5.19385
2021-04-27,9.65618
2021-04-28,10.89978
2021-04-29,13.75274
2021-04-30,9.58302
2021-05-01,7.90051
2021-05-02,3.07242
2021-05-03,5.70592
2021-05-04,12.21653
2021-05-05,9.14411
2021-05-06,9.94879
2021-05-07,11.04608
2021-05-08,9.65618
2021-05-09,1.31675
2021-05-10,4.0234
2021-05-11,11.70446
2021-05-12,10.82662
2021-05-13,11.77761
2021-05-14,8.9978
2021-05-15,5.70592
2021-05-16,1.3899
2021-05-17,3.95025
2021-05-18,8.26627
2021-05-19,5.04754
2021-05-20,5.1207
2021-05-21,7.6079
2021-05-22,4.53547
2021-05-23,0.87783
2021-05-24,3.14557
2021-05-25,6.3643
2021-05-26,5.70592
2021-05-27,5.70592
2021-05-28,5.77907
2021-05-29,5.77907
2021-05-30,1.3899
2021-05-31,4.82809
