date,정기예금금리비교
2020-03-20,12.67552
2020-03-21,6.83273
2020-03-22,6.81659
2020-03-23,13.76499
2020-03-24,12.44149
2020-03-25,14.20616
2020-03-26,14.33528
2020-03-27,12.64593
2020-03-28,6.38618
2020-03-29,6.49647
2020-03-30,14.10125
2020-03-31,14.35411
2020-04-01,14.2761
2020-04-02,12.82347
2020-04-03,11.32511
2020-04-04,5.68408
2020-04-05,6.46688
2020-04-06,12.38769
2020-04-07,11.36816
2020-04-08,11.31704
2020-04-09,11.43541
2020-04-10,11.46231
2020-04-11,6.24361
2020-04-12,6.71168
2020-04-13,13.01447
2020-04-14,10.67143
2020-04-15,7.05869
2020-04-16,11.47576
2020-04-17,11.52418
2020-04-18,5.35589
2020-04-19,6.31624
2020-04-20,13.48254
2020-04-21,11.96804
2020-04-22,11.66944
2020-04-23,11.3843
2020-04-24,11.48921
2020-04-25,6.11717
2020-04-26,6.23016
2020-04-27,13.96406
2020-04-28,11.96535
2020-04-29,11.29014
2020-04-30,6.18712
2020-05-01,5.8401
2020-05-02,4.63226
2020-05-03,6.40232
2020-05-04,14.1416
2020-05-05,7.4622
2020-05-06,12.43073
2020-05-07,10.49658
2020-05-08,9.27798
2020-05-09,5.08957
2020-05-10,5.26981
2020-05-11,11.41658
2020-05-12,9.8967
2020-05-13,9.59003
2020-05-14,9.50126
2020-05-15,9.33448
2020-05-16,5.17566
2020-05-17,5.52536
2020-05-18,10.72254
2020-05-19,10.01775
2020-05-20,9.68418
2020-05-21,9.58734
2020-05-22,8.68348
2020-05-23,4.57577
2020-05-24,5.08419
2020-05-25,11.84967
2020-05-26,10.75213
2020-05-27,9.47705
2020-05-28,11.10453
2020-05-29,9.14617
2020-05-30,4.58115
2020-05-31,5.50115
2020-06-01,11.72055
2020-06-02,9.68956
2020-06-03,9.31834
2020-06-04,8.85027
2020-06-05,7.86033
2020-06-06,3.99203
2020-06-07,4.23145
2020-06-08,9.33986
2020-06-09,8.26115
2020-06-10,9.00629
2020-06-11,8.61892
2020-06-12,7.33577
2020-06-13,3.80911
2020-06-14,4.50583
2020-06-15,9.08699
2020-06-16,8.14547
2020-06-17,7.71775
2020-06-18,7.66126
2020-06-19,7.40302
2020-06-20,3.94092
2020-06-21,4.53542
2020-06-22,8.91752
2020-06-23,8.15085
2020-06-24,8.26922
2020-06-25,9.24839
2020-06-26,7.92489
2020-06-27,4.17765
2020-06-28,4.3525
2020-06-29,9.90477
2020-06-30,9.04126
2020-07-01,10.06079
2020-07-02,8.90676
2020-07-03,8.01904
2020-07-04,3.98665
2020-07-05,4.70759
2020-07-06,9.24301
2020-07-07,8.08898
2020-07-08,8.09705
2020-07-09,7.46758
2020-07-10,6.70899
2020-07-11,3.71765
2020-07-12,4.41437
2020-07-13,8.61892
2020-07-14,8.19658
2020-07-15,8.68886
2020-07-16,8.09436
2020-07-17,7.19588
2020-07-18,3.77145
2020-07-19,4.15613
2020-07-20,9.50664
2020-07-21,8.7319
2020-07-22,9.10313
2020-07-23,7.99752
2020-07-24,7.77425
2020-07-25,4.42513
