date,돈모으는방법
2020-03-20,75.14367
2020-03-21,63.93678
2020-03-22,75.14367
2020-03-23,82.32758
2020-03-24,68.10344
2020-03-25,74.71264
2020-03-26,82.61494
2020-03-27,64.36781
2020-03-28,62.64367
2020-03-29,78.01724
2020-03-30,78.30459
2020-03-31,72.27011
2020-04-01,67.38505
2020-04-02,67.67241
2020-04-03,56.17816
2020-04-04,52.5862
2020-04-05,65.22988
2020-04-06,79.31034
2020-04-07,67.81609
2020-04-08,73.27586
2020-04-09,64.94252
2020-04-10,57.90229
2020-04-11,54.31034
2020-04-12,75.86206
2020-04-13,74.2816
2020-04-14,76.58045
2020-04-15,72.9885
2020-04-16,67.95977
2020-04-17,68.24712
2020-04-18,57.75862
2020-04-19,63.7931
2020-04-20,67.0977
2020-04-21,62.78735
2020-04-22,60.4885
2020-04-23,57.32758
2020-04-24,46.55172
2020-04-25,40.51724
2020-04-26,61.63793
2020-04-27,70.54597
2020-04-28,63.07471
2020-04-29,52.87356
2020-04-30,50.43103
2020-05-01,43.3908
2020-05-02,46.6954
2020-05-03,59.62643
2020-05-04,58.18965
2020-05-05,64.51149
2020-05-06,72.70114
2020-05-07,60.4885
2020-05-08,49.42528
2020-05-09,47.55747
2020-05-10,53.87931
2020-05-11,62.21264
2020-05-12,54.45402
2020-05-13,51.2931
2020-05-14,58.90804
2020-05-15,56.60919
2020-05-16,51.72413
2020-05-17,68.53448
2020-05-18,79.02298
2020-05-19,72.12643
2020-05-20,67.0977
2020-05-21,61.20689
2020-05-22,58.76436
2020-05-23,58.90804
2020-05-24,77.15517
2020-05-25,76.14942
2020-05-26,77.15517
2020-05-27,75.43103
2020-05-28,58.90804
2020-05-29,50.14367
2020-05-30,52.44252
2020-05-31,62.64367
2020-06-01,71.6954
2020-06-02,63.21839
2020-06-03,66.95402
2020-06-04,67.38505
2020-06-05,53.59195
2020-06-06,46.12068
2020-06-07,58.62068
2020-06-08,69.39655
2020-06-09,71.6954
2020-06-10,70.97701
2020-06-11,61.92528
2020-06-12,55.02873
2020-06-13,50.71839
2020-06-14,63.50574
2020-06-15,81.32183
2020-06-16,67.0977
2020-06-17,57.32758
2020-06-18,60.4885
2020-06-19,56.75287
2020-06-20,45.83333
2020-06-21,61.06321
2020-06-22,70.40229
2020-06-23,64.94252
2020-06-24,57.61494
2020-06-25,57.04022
2020-06-26,52.01149
2020-06-27,41.95402
2020-06-28,57.61494
2020-06-29,56.89655
2020-06-30,66.37931
2020-07-01,54.74137
2020-07-02,60.34482
2020-07-03,59.91379
2020-07-04,52.72988
2020-07-05,77.44252
2020-07-06,74.2816
2020-07-07,63.36206
2020-07-08,70.11494
2020-07-09,63.93678
2020-07-10,60.91954
2020-07-11,64.65517
2020-07-12,78.59195
2020-07-13,71.55172
2020-07-14,80.17241
2020-07-15,68.96551
2020-07-16,54.16666
2020-07-17,52.72988
2020-07-18,48.56321
2020-07-19,66.37931
2020-07-20,73.70689
2020-07-21,68.24712
2020-07-22,69.39655
2020-07-23,73.56321
2020-07-24,63.07471
2020-07-25,61.92528
2020-07-26,81.46551
2020-07-27,98.56321
2020-07-28,87.64367
2020-07-29,89.22413
2020-07-30,77.01149
2020-07-31,64.65517
2020-08-01,67.95977
2020-08-02,73.70689
2020-08-03,71.40804
2020-08-04,71.83908
2020-08-05,64.65517
2020-08-06,56.46551
2020-08-07,40.66091
2020-08-08,46.40804
2020-08-09,61.49425
2020-08-10,76.00574
2020-08-11,73.70689
2020-08-12,69.54022
2020-08-13,64.65517
2020-08-14,58.33333
2020-08-15,46.12068
2020-08-16,52.44252
2020-08-17,65.51724
2020-08-18,67.38505
2020-08-19,67.38505
2020-08-20,70.11494
2020-08-21,66.37931
2020-08-22,54.31034
2020-08-23,71.26436
2020-08-24,81.17816
2020-08-25,85.34482
2020-08-26,87.35632
2020-08-27,88.21839
2020-08-28,69.82758
2020-08-29,59.91379
2020-08-30,75.86206
2020-08-31,88.7931
2020-09-01,96.83908
2020-09-02,81.60919
2020-09-03,71.98275
2020-09-04,66.52298
2020-09-05,51.86781
2020-09-06,66.95402
2020-09-07,72.84482
2020-09-08,74.13793
2020-09-09,72.55747
2020-09-10,79.02298
2020-09-11,74.71264
2020-09-12,64.79885
2020-09-13,66.09195
2020-09-14,83.04597
2020-09-15,84.05172
2020-09-16,71.83908
2020-09-17,65.66091
2020-09-18,56.89655
2020-09-19,55.02873
2020-09-20,66.09195
2020-09-21,67.95977
2020-09-22,60.4885
2020-09-23,56.60919
2020-09-24,47.27011
2020-09-25,43.96551
2020-09-26,39.51149
2020-09-27,41.66666
2020-09-28,50.14367
2020-09-29,48.41954
2020-09-30,44.82758
2020-10-01,49.71264
2020-10-02,61.49425
2020-10-03,74.85632
2020-10-04,100.0
2020-10-05,87.93103
2020-10-06,59.48275
2020-10-07,62.21264
2020-10-08,58.04597
2020-10-09,49.42528
2020-10-10,61.7816
2020-10-11,56.89655
2020-10-12,68.67816
2020-10-13,65.66091
2020-10-14,70.97701
2020-10-15,63.64942
2020-10-16,51.14942
2020-10-17,51.14942
2020-10-18,66.52298
2020-10-19,61.20689
2020-10-20,56.75287
2020-10-21,51.2931
2020-10-22,53.16091
2020-10-23,50.43103
2020-10-24,47.27011
2020-10-25,56.17816
2020-10-26,64.94252
2020-10-27,55.02873
2020-10-28,51.58045
2020-10-29,52.29885
2020-10-30,39.08045
2020-10-31,45.97701
2020-11-01,56.17816
2020-11-02,56.46551
2020-11-03,44.39655
2020-11-04,52.29885
2020-11-05,48.70689
2020-11-06,54.45402
2020-11-07,48.13218
2020-11-08,60.63218
2020-11-09,65.94827
2020-11-10,67.67241
2020-11-11,52.44252
2020-11-12,54.16666
2020-11-13,57.1839
2020-11-14,57.61494
2020-11-15,76.14942
2020-11-16,74.56896
2020-11-17,65.51724
2020-11-18,70.97701
2020-11-19,74.13793
2020-11-20,61.63793
2020-11-21,63.21839
2020-11-22,77.01149
2020-11-23,81.60919
2020-11-24,68.3908
2020-11-25,62.21264
2020-11-26,59.33908
2020-11-27,51.2931
2020-11-28,59.48275
2020-11-29,77.87356
2020-11-30,72.12643
2020-12-01,69.39655
2020-12-02,71.40804
2020-12-03,68.96551
2020-12-04,59.1954
