date,금형사출
2020-03-20,37.28813
2020-03-21,27.11864
2020-03-23,30.50847
2020-03-24,55.9322
2020-03-25,50.84745
2020-03-26,47.45762
2020-03-27,32.20338
2020-03-28,30.50847
2020-03-30,37.28813
2020-03-31,38.98305
2020-04-01,38.98305
2020-04-02,10.16949
2020-04-03,42.37288
2020-04-05,8.47457
2020-04-06,37.28813
2020-04-07,37.28813
2020-04-08,49.15254
2020-04-09,47.45762
2020-04-10,28.81355
2020-04-11,13.55932
2020-04-12,8.47457
2020-04-13,35.59322
2020-04-14,18.64406
2020-04-15,11.8644
2020-04-16,27.11864
2020-04-17,44.06779
2020-04-18,23.72881
2020-04-19,15.25423
2020-04-20,37.28813
2020-04-21,59.32203
2020-04-22,23.72881
2020-04-23,49.15254
2020-04-24,33.8983
2020-04-25,23.72881
2020-04-26,10.16949
2020-04-27,35.59322
2020-04-28,44.06779
2020-04-29,40.67796
2020-04-30,8.47457
2020-05-03,16.94915
2020-05-04,40.67796
2020-05-05,11.8644
2020-05-06,59.32203
2020-05-07,44.06779
2020-05-08,49.15254
2020-05-09,10.16949
2020-05-10,10.16949
2020-05-11,50.84745
2020-05-12,42.37288
2020-05-13,52.54237
2020-05-14,49.15254
2020-05-15,49.15254
2020-05-16,13.55932
2020-05-17,18.64406
2020-05-18,72.88135
2020-05-19,57.62711
2020-05-20,74.57627
2020-05-21,50.84745
2020-05-22,42.37288
2020-05-23,15.25423
2020-05-24,27.11864
2020-05-25,52.54237
2020-05-26,62.71186
2020-05-27,42.37288
2020-05-28,28.81355
2020-05-29,30.50847
2020-05-30,10.16949
2020-05-31,8.47457
2020-06-01,47.45762
2020-06-02,50.84745
2020-06-03,37.28813
2020-06-04,38.98305
2020-06-05,42.37288
2020-06-06,8.47457
2020-06-07,8.47457
2020-06-08,47.45762
2020-06-09,55.9322
2020-06-10,44.06779
2020-06-11,76.27118
2020-06-12,37.28813
2020-06-13,8.47457
2020-06-14,11.8644
2020-06-15,27.11864
2020-06-16,35.59322
2020-06-17,59.32203
2020-06-18,40.67796
2020-06-19,25.42372
2020-06-21,8.47457
2020-06-22,54.23728
2020-06-23,49.15254
2020-06-24,38.98305
2020-06-25,20.33898
2020-06-26,25.42372
2020-06-27,8.47457
2020-06-28,20.33898
2020-06-29,47.45762
2020-06-30,30.50847
2020-07-01,35.59322
2020-07-02,38.98305
2020-07-03,25.42372
2020-07-04,8.47457
2020-07-05,8.47457
2020-07-06,38.98305
2020-07-07,54.23728
2020-07-08,28.81355
2020-07-09,54.23728
2020-07-10,30.50847
2020-07-12,15.25423
2020-07-13,22.03389
2020-07-14,35.59322
2020-07-15,35.59322
2020-07-16,28.81355
2020-07-17,45.76271
2020-07-20,49.15254
2020-07-21,33.8983
2020-07-22,38.98305
2020-07-23,28.81355
2020-07-24,25.42372
2020-07-27,38.98305
2020-07-28,27.11864
2020-07-29,22.03389
2020-07-30,20.33898
2020-07-31,35.59322
2020-08-01,10.16949
2020-08-03,23.72881
2020-08-04,28.81355
2020-08-05,8.47457
2020-08-06,18.64406
2020-08-07,23.72881
2020-08-09,10.16949
2020-08-10,25.42372
2020-08-11,15.25423
2020-08-12,30.50847
2020-08-13,37.28813
2020-08-14,28.81355
2020-08-17,23.72881
2020-08-18,23.72881
2020-08-19,38.98305
2020-08-20,42.37288
2020-08-21,23.72881
2020-08-24,38.98305
2020-08-25,33.8983
2020-08-26,15.25423
2020-08-27,20.33898
2020-08-28,10.16949
2020-08-31,45.76271
2020-09-01,37.28813
2020-09-02,22.03389
2020-09-03,38.98305
2020-09-04,25.42372
2020-09-05,10.16949
2020-09-07,42.37288
2020-09-08,40.67796
2020-09-09,45.76271
2020-09-10,20.33898
2020-09-11,16.94915
2020-09-12,8.47457
2020-09-14,50.84745
2020-09-15,33.8983
2020-09-16,30.50847
2020-09-17,44.06779
2020-09-18,20.33898
2020-09-19,10.16949
2020-09-21,35.59322
2020-09-22,15.25423
2020-09-23,30.50847
2020-09-24,20.33898
2020-09-25,15.25423
2020-09-28,16.94915
2020-09-29,25.42372
2020-09-30,8.47457
2020-10-01,8.47457
2020-10-04,8.47457
2020-10-05,32.20338
2020-10-06,37.28813
2020-10-07,22.03389
2020-10-08,28.81355
2020-10-09,23.72881
2020-10-11,18.64406
2020-10-12,20.33898
2020-10-13,11.8644
2020-10-14,44.06779
2020-10-15,49.15254
2020-10-16,18.64406
2020-10-19,38.98305
2020-10-20,28.81355
2020-10-21,37.28813
2020-10-22,42.37288
2020-10-23,25.42372
2020-10-24,16.94915
2020-10-26,23.72881
2020-10-27,23.72881
2020-10-28,27.11864
2020-10-29,38.98305
2020-10-30,30.50847
2020-11-02,27.11864
2020-11-03,40.67796
2020-11-04,32.20338
2020-11-05,25.42372
2020-11-06,38.98305
2020-11-09,52.54237
2020-11-10,45.76271
2020-11-11,44.06779
2020-11-12,30.50847
2020-11-13,28.81355
2020-11-14,20.33898
2020-11-16,35.59322
2020-11-17,44.06779
2020-11-18,16.94915
2020-11-19,32.20338
2020-11-20,35.59322
2020-11-21,8.47457
2020-11-23,20.33898
2020-11-24,23.72881
2020-11-25,37.28813
2020-11-26,40.67796
2020-11-30,49.15254
2020-12-01,44.06779
2020-12-02,18.64406
2020-12-03,30.50847
2020-12-04,27.11864
2020-12-05,11.8644
2020-12-06,15.25423
2020-12-07,30.50847
2020-12-08,45.76271
2020-12-09,33.8983
2020-12-10,33.8983
2020-12-11,23.72881
2020-12-12,37.28813
2020-12-13,11.8644
2020-12-14,47.45762
2020-12-15,20.33898
2020-12-16,38.98305
2020-12-17,38.98305
2020-12-18,37.28813
2020-12-19,10.16949
2020-12-20,20.33898
2020-12-21,25.42372
2020-12-22,47.45762
2020-12-23,50.84745
2020-12-24,42.37288
2020-12-25,15.25423
2020-12-26,10.16949
2020-12-27,13.55932
2020-12-28,18.64406
2020-12-29,33.8983
2020-12-30,42.37288
2020-12-31,22.03389
2021-01-01,13.55932
2021-01-02,16.94915
2021-01-04,15.25423
2021-01-05,25.42372
2021-01-06,35.59322
2021-01-07,38.98305
2021-01-08,28.81355
2021-01-09,16.94915
2021-01-10,25.42372
2021-01-11,57.62711
2021-01-12,35.59322
2021-01-13,33.8983
2021-01-14,42.37288
2021-01-15,35.59322
2021-01-16,25.42372
2021-01-18,52.54237
2021-01-19,45.76271
2021-01-20,38.98305
2021-01-21,38.98305
2021-01-22,10.16949
2021-01-24,16.94915
2021-01-25,76.27118
2021-01-26,38.98305
2021-01-27,44.06779
2021-01-28,44.06779
2021-01-29,33.8983
2021-01-30,33.8983
2021-01-31,20.33898
2021-02-01,38.98305
2021-02-02,47.45762
2021-02-03,52.54237
2021-02-04,50.84745
