date,대외활동
2020-03-20,64.07942
2020-03-21,39.62093
2020-03-22,50.99277
2020-03-23,65.70397
2020-03-24,62.54512
2020-03-25,61.37184
2020-03-26,64.80144
2020-03-27,63.08664
2020-03-28,43.86281
2020-03-29,50.27075
2020-03-30,66.42599
2020-03-31,62.90613
2020-04-01,54.06137
2020-04-02,55.59566
2020-04-03,53.70036
2020-04-04,45.75812
2020-04-05,51.7148
2020-04-06,61.10108
2020-04-07,62.99638
2020-04-08,64.25992
2020-04-09,57.94223
2020-04-10,56.31768
2020-04-11,42.05776
2020-04-12,44.40433
2020-04-13,59.83754
2020-04-14,56.6787
2020-04-15,43.59205
2020-04-16,55.1444
2020-04-17,62.63537
2020-04-18,42.41877
2020-04-19,45.39711
2020-04-20,58.12274
2020-04-21,62.00361
2020-04-22,67.41877
2020-04-23,60.37906
2020-04-24,55.77617
2020-04-25,40.97472
2020-04-26,43.95306
2020-04-27,65.0722
2020-04-28,51.80505
2020-04-29,57.40072
2020-04-30,37.45487
2020-05-01,40.88447
2020-05-02,34.83754
2020-05-03,37.18411
2020-05-04,46.38989
2020-05-05,38.44765
2020-05-06,52.16606
2020-05-07,50.54151
2020-05-08,46.7509
2020-05-09,29.42238
2020-05-10,35.55956
2020-05-11,56.6787
2020-05-12,49.00722
2020-05-13,50.81227
2020-05-14,49.27797
2020-05-15,52.61732
2020-05-16,37.27436
2020-05-17,38.08664
2020-05-18,58.12274
2020-05-19,63.80866
2020-05-20,66.787
2020-05-21,62.99638
2020-05-22,46.84115
2020-05-23,38.08664
2020-05-24,44.67509
2020-05-25,69.85559
2020-05-26,60.46931
2020-05-27,51.7148
2020-05-28,53.4296
2020-05-29,50.27075
2020-05-30,42.23826
2020-05-31,43.77256
2020-06-01,57.31046
2020-06-02,56.94945
2020-06-03,53.06859
2020-06-04,49.18772
2020-06-05,53.70036
2020-06-06,39.16967
2020-06-07,44.49458
2020-06-08,56.13718
2020-06-09,52.79783
2020-06-10,53.06859
2020-06-11,54.87364
2020-06-12,52.88808
2020-06-13,40.2527
2020-06-14,46.02888
2020-06-15,57.58122
2020-06-16,52.25631
2020-06-17,58.84476
2020-06-18,57.49097
2020-06-19,52.97833
2020-06-20,40.88447
2020-06-21,40.79422
2020-06-22,58.30324
2020-06-23,50.54151
2020-06-24,54.15162
2020-06-25,52.70758
2020-06-26,52.52707
2020-06-27,45.2166
2020-06-28,43.95306
2020-06-29,71.20938
2020-06-30,66.69675
2020-07-01,60.92057
2020-07-02,70.30685
2020-07-03,61.19133
2020-07-04,47.02166
2020-07-05,49.54873
2020-07-06,68.5018
2020-07-07,67.05776
2020-07-08,64.53068
2020-07-09,63.44765
2020-07-10,60.46931
2020-07-11,43.14079
2020-07-12,44.94584
2020-07-13,61.46209
2020-07-14,64.89169
2020-07-15,56.76895
2020-07-16,58.75451
2020-07-17,55.41516
2020-07-18,38.5379
2020-07-19,44.13357
2020-07-20,54.15162
2020-07-21,57.03971
2020-07-22,50.54151
2020-07-23,53.33935
2020-07-24,53.79061
2020-07-25,35.37906
2020-07-26,42.32851
2020-07-27,55.68592
2020-07-28,51.35379
2020-07-29,51.17328
2020-07-30,52.97833
2020-07-31,50.1805
2020-08-01,32.22021
2020-08-02,40.61371
2020-08-03,50.99277
2020-08-04,48.10469
2020-08-05,53.88086
2020-08-06,51.44404
2020-08-07,46.9314
2020-08-08,33.84476
2020-08-09,38.62815
2020-08-10,59.38628
2020-08-11,50.36101
2020-08-12,51.8953
2020-08-13,52.43682
2020-08-14,45.30685
2020-08-15,32.94223
2020-08-16,34.74729
2020-08-17,43.14079
2020-08-18,56.22743
2020-08-19,57.67148
2020-08-20,55.23465
2020-08-21,51.17328
2020-08-22,40.34296
2020-08-23,47.20216
2020-08-24,66.60649
2020-08-25,66.87725
2020-08-26,66.51624
2020-08-27,66.33574
2020-08-28,64.98194
2020-08-29,45.66787
2020-08-30,49.81949
2020-08-31,76.62454
2020-09-01,65.79422
2020-09-02,72.11191
2020-09-03,71.66064
2020-09-04,61.73285
2020-09-05,44.31407
2020-09-06,57.31046
2020-09-07,74.45848
2020-09-08,71.9314
2020-09-09,62.63537
2020-09-10,57.76173
2020-09-11,60.64981
2020-09-12,43.14079
2020-09-13,46.84115
2020-09-14,61.19133
2020-09-15,57.58122
2020-09-16,54.69314
2020-09-17,54.51263
2020-09-18,49.54873
2020-09-19,36.73285
2020-09-20,38.89891
2020-09-21,54.15162
2020-09-22,48.91696
2020-09-23,51.08303
2020-09-24,50.54151
2020-09-25,47.29241
2020-09-26,36.01083
2020-09-27,38.08664
2020-09-28,49.36823
2020-09-29,38.17689
2020-09-30,26.44404
2020-10-01,22.29241
2020-10-02,26.44404
2020-10-03,28.33935
2020-10-04,34.83754
2020-10-05,54.96389
