date,미국주식시간
2020-03-20,5.52839
2020-03-21,3.05143
2020-03-22,1.59786
2020-03-23,10.34869
2020-03-24,8.41683
2020-03-25,9.14362
2020-03-26,7.03273
2020-03-27,6.27388
2020-03-28,2.99799
2020-03-29,1.67267
2020-03-30,8.32865
2020-03-31,7.20106
2020-04-01,5.39746
2020-04-02,5.58183
2020-04-03,4.47828
2020-04-04,2.26853
2020-04-05,1.16499
2020-04-06,7.24916
2020-04-07,8.56913
2020-04-08,5.86773
2020-04-09,5.7849
2020-04-10,10.84034
2020-04-11,4.14696
2020-04-12,2.49298
2020-04-13,7.84502
2020-04-14,6.35938
2020-04-15,6.03607
2020-04-16,4.89512
2020-04-17,6.66933
2020-04-18,3.25985
2020-04-19,1.87575
2020-04-20,7.98396
2020-04-21,7.49766
2020-04-22,6.53039
2020-04-23,4.77755
2020-04-24,4.17368
2020-04-25,2.31128
2020-04-26,1.25851
2020-04-27,5.46693
2020-04-28,5.66733
2020-04-29,5.002
2020-04-30,6.70407
2020-05-01,4.83099
2020-05-02,3.12625
2020-05-03,1.43486
2020-05-04,5.45624
2020-05-05,5.96125
2020-05-06,5.01269
2020-05-07,3.91182
2020-05-08,3.73547
2020-05-09,2.5865
2020-05-10,1.18102
2020-05-11,4.54776
2020-05-12,4.21643
2020-05-13,3.47361
2020-05-14,3.75684
2020-05-15,3.0354
2020-05-16,1.50968
2020-05-17,0.80427
2020-05-18,4.2004
2020-05-19,6.82431
2020-05-20,4.31796
2020-05-21,4.0
2020-05-22,3.04074
2020-05-23,1.71008
2020-05-24,0.82297
2020-05-25,35.5698
2020-05-26,13.31462
2020-05-27,5.86239
2020-05-28,4.44088
2020-05-29,3.27321
2020-05-30,1.88911
2020-05-31,1.19438
2020-06-01,5.58717
2020-06-02,5.56579
2020-06-03,4.46225
2020-06-04,5.39211
2020-06-05,7.60988
2020-06-06,7.69271
2020-06-07,2.24181
2020-06-08,14.0334
2020-06-09,25.32798
2020-06-10,9.28256
2020-06-11,8.01603
2020-06-12,10.4342
2020-06-13,4.07748
2020-06-14,2.0334
2020-06-15,12.55043
2020-06-16,8.90848
2020-06-17,5.40547
2020-06-18,4.16299
2020-06-19,3.50033
2020-06-20,2.04141
2020-06-21,0.88443
2020-06-22,3.83967
2020-06-23,4.68403
2020-06-24,4.49432
2020-06-25,6.1857
2020-06-26,3.75417
2020-06-27,2.71743
2020-06-28,1.21309
2020-06-29,6.68804
2020-06-30,5.53907
2020-07-01,3.98129
2020-07-02,4.29124
2020-07-03,9.65664
2020-07-04,3.3507
2020-07-05,1.88376
2020-07-06,7.69271
2020-07-07,9.24515
2020-07-08,6.55711
2020-07-09,7.00334
2020-07-10,5.42685
2020-07-11,3.82631
2020-07-12,2.24181
2020-07-13,10.82698
2020-07-14,22.21242
2020-07-15,9.17034
2020-07-16,6.6346
2020-07-17,4.68937
2020-07-18,2.61055
2020-07-19,1.49899
2020-07-20,5.75016
2020-07-21,8.64128
2020-07-22,7.03807
2020-07-23,7.91182
2020-07-24,6.43954
2020-07-25,2.92852
2020-07-26,1.56847
2020-07-27,6.06546
2020-07-28,6.57047
2020-07-29,5.39478
2020-07-30,5.65664
2020-07-31,5.34134
2020-08-01,2.80828
2020-08-02,1.31997
2020-08-03,7.38543
2020-08-04,7.57515
2020-08-05,7.02204
2020-08-06,6.13226
2020-08-07,5.88109
2020-08-08,3.05945
2020-08-09,1.47762
2020-08-10,6.74949
2020-08-11,7.87441
2020-08-12,8.50768
2020-08-13,7.32398
2020-08-14,6.00935
2020-08-15,2.85905
2020-08-16,1.40814
2020-08-17,5.16766
2020-08-18,7.71943
2020-08-19,6.30327
2020-08-20,6.2525
2020-08-21,7.6366
2020-08-22,4.84702
2020-08-23,2.44756
2020-08-24,30.4529
2020-08-25,11.47628
2020-08-26,9.52839
2020-08-27,11.28924
2020-08-28,9.63527
2020-08-29,5.83032
2020-08-30,2.97661
2020-08-31,28.05076
2020-09-01,38.88577
2020-09-02,34.24448
2020-09-03,22.33266
2020-09-04,39.78089
2020-09-05,23.36138
2020-09-06,5.49098
2020-09-07,44.47294
2020-09-08,34.47962
2020-09-09,62.41015
2020-09-10,23.25183
2020-09-11,27.23847
2020-09-12,10.24716
2020-09-13,3.24916
2020-09-14,14.63994
2020-09-15,16.40347
2020-09-16,13.93453
2020-09-17,12.78824
2020-09-18,9.70474
2020-09-19,6.3861
2020-09-20,2.19639
2020-09-21,12.49432
2020-09-22,14.44221
2020-09-23,10.80828
2020-09-24,21.06078
2020-09-25,13.58984
2020-09-26,4.80427
2020-09-27,2.21776
2020-09-28,9.30394
2020-09-29,7.91983
2020-09-30,6.81095
2020-10-01,6.21509
2020-10-02,10.82698
2020-10-03,6.02004
2020-10-04,2.32197
2020-10-05,9.19706
2020-10-06,6.5197
2020-10-07,7.24916
2020-10-08,5.33333
2020-10-09,4.69205
2020-10-10,3.169
2020-10-11,1.43754
2020-10-12,6.79759
2020-10-13,7.16098
2020-10-14,5.73947
2020-10-15,5.73146
2020-10-16,3.91449
2020-10-17,2.53573
2020-10-18,1.2211
2020-10-19,4.79091
2020-10-20,4.68136
2020-10-21,4.27254
2020-10-22,4.01336
2020-10-23,3.52171
2020-10-24,1.95591
2020-10-25,0.88977
2020-10-26,4.91382
2020-10-27,3.94388
2020-10-28,3.58049
2020-10-29,5.12758
2020-10-30,3.51369
2020-10-31,3.33466
2020-11-01,1.23714
2020-11-02,69.96392
2020-11-03,14.94455
2020-11-04,12.31796
2020-11-05,12.00534
2020-11-06,8.63861
2020-11-07,3.02471
2020-11-08,1.43754
2020-11-09,25.50434
2020-11-10,17.19706
2020-11-11,9.87575
2020-11-12,6.53573
2020-11-13,5.74749
2020-11-14,2.89378
2020-11-15,1.44822
2020-11-16,11.57247
2020-11-17,13.77154
2020-11-18,8.0668
2020-11-19,7.85838
2020-11-20,7.08617
2020-11-21,3.32398
2020-11-22,1.55778
2020-11-23,9.2692
2020-11-24,16.56913
2020-11-25,13.14629
2020-11-26,28.53974
2020-11-27,38.14829
2020-11-28,20.17902
2020-11-29,3.3213
2020-11-30,14.59986
2020-12-01,16.69739
2020-12-02,15.837
2020-12-03,12.11489
2020-12-04,11.80227
2020-12-05,6.27655
2020-12-06,2.93119
2020-12-07,13.19973
2020-12-08,16.45156
2020-12-09,14.26052
2020-12-10,21.29592
2020-12-11,13.60855
2020-12-12,6.27655
2020-12-13,2.96593
2020-12-14,11.94923
2020-12-15,10.78156
2020-12-16,10.55978
2020-12-17,8.60921
2020-12-18,10.83767
2020-12-19,27.07014
2020-12-20,3.55644
2020-12-21,16.01068
2020-12-22,17.36539
2020-12-23,14.10287
2020-12-24,15.23847
2020-12-25,36.79893
2020-12-26,3.16366
2020-12-27,3.87975
2020-12-28,16.76419
2020-12-29,19.33199
2020-12-30,16.52371
2020-12-31,20.11222
2021-01-01,11.62057
2021-01-02,4.31529
2021-01-03,4.99665
2021-01-04,28.2191
2021-01-05,39.47895
2021-01-06,26.04676
2021-01-07,22.25517
2021-01-08,45.06346
2021-01-09,61.65931
2021-01-10,12.24048
2021-01-11,44.89512
2021-01-12,43.49766
2021-01-13,30.2712
2021-01-14,23.62057
2021-01-15,25.13293
2021-01-16,20.40614
2021-01-17,7.07815
2021-01-18,56.79893
2021-01-19,54.15631
2021-01-20,29.0501
2021-01-21,27.12358
2021-01-22,34.22311
2021-01-23,40.64395
2021-01-24,7.69539
2021-01-25,32.8684
2021-01-26,38.33533
2021-01-27,59.20908
2021-01-28,100.0
2021-01-29,62.77354
