date,연금저축세액공제
2020-03-20,6.53669
2020-03-21,2.92431
2020-03-22,2.98165
2020-03-23,4.70183
2020-03-24,5.44724
2020-03-25,4.98853
2020-03-26,6.02064
2020-03-27,6.02064
2020-03-28,2.69495
2020-03-29,3.03899
2020-03-30,6.07798
2020-03-31,5.73394
2020-04-01,4.64449
2020-04-02,5.16055
2020-04-03,4.58715
2020-04-04,2.29357
2020-04-05,2.92431
2020-04-06,4.35779
2020-04-07,5.10321
2020-04-08,6.19266
2020-04-09,3.95642
2020-04-10,3.32568
2020-04-11,2.98165
2020-04-12,3.03899
2020-04-13,4.41513
2020-04-14,3.7844
2020-04-15,2.46559
2020-04-16,4.01376
2020-04-17,4.98853
2020-04-18,2.75229
2020-04-19,3.15366
2020-04-20,4.98853
2020-04-21,5.50458
2020-04-22,4.47247
2020-04-23,4.52981
2020-04-24,3.4977
2020-04-25,2.98165
2020-04-26,3.66972
2020-04-27,4.52981
2020-04-28,5.44724
2020-04-29,4.70183
2020-04-30,2.86697
2020-05-01,2.63761
2020-05-02,2.00688
2020-05-03,2.52293
2020-05-04,5.84862
2020-05-05,4.01376
2020-05-06,6.47935
2020-05-07,7.11009
2020-05-08,7.39678
2020-05-09,3.211
2020-05-10,2.69495
2020-05-11,8.25688
2020-05-12,9.97706
2020-05-13,8.71559
2020-05-14,9.05963
2020-05-15,8.65825
2020-05-16,4.52981
2020-05-17,4.93119
2020-05-18,8.83027
2020-05-19,10.37844
2020-05-20,10.60779
2020-05-21,9.91972
2020-05-22,9.57568
2020-05-23,3.89908
2020-05-24,4.24311
2020-05-25,8.65825
2020-05-26,10.43577
2020-05-27,8.1422
2020-05-28,7.74082
2020-05-29,7.05275
2020-05-30,3.84174
2020-05-31,3.32568
2020-06-01,5.79128
2020-06-02,3.4977
2020-06-03,5.21788
2020-06-04,5.44724
2020-06-05,4.30045
2020-06-06,2.63761
2020-06-07,2.12155
2020-06-08,4.18577
2020-06-09,3.61238
2020-06-10,4.24311
2020-06-11,3.66972
2020-06-12,3.95642
2020-06-13,2.12155
2020-06-14,2.23623
2020-06-15,5.27522
2020-06-16,4.41513
2020-06-17,4.35779
2020-06-18,4.81651
2020-06-19,3.89908
2020-06-20,2.69495
2020-06-21,1.8922
2020-06-22,5.6766
2020-06-23,6.30733
2020-06-24,5.50458
2020-06-25,5.84862
2020-06-26,4.24311
2020-06-27,1.72018
2020-06-28,2.35091
2020-06-29,5.16055
2020-06-30,4.41513
2020-07-01,3.55504
2020-07-02,3.4977
2020-07-03,3.4977
2020-07-04,2.46559
2020-07-05,1.49082
2020-07-06,2.98165
2020-07-07,3.15366
2020-07-08,3.89908
2020-07-09,3.26834
2020-07-10,3.7844
2020-07-11,1.8922
2020-07-12,2.29357
2020-07-13,3.66972
2020-07-14,3.84174
2020-07-15,2.69495
2020-07-16,2.52293
2020-07-17,3.55504
2020-07-18,1.8922
2020-07-19,2.00688
2020-07-20,3.44036
2020-07-21,4.24311
2020-07-22,4.41513
2020-07-23,4.12844
2020-07-24,4.41513
2020-07-25,2.58027
2020-07-26,2.35091
2020-07-27,3.7844
2020-07-28,3.38302
2020-07-29,4.0711
2020-07-30,4.93119
2020-07-31,4.18577
2020-08-01,2.35091
2020-08-02,2.17889
2020-08-03,2.98165
2020-08-04,4.98853
2020-08-05,3.61238
2020-08-06,5.3899
2020-08-07,4.70183
2020-08-08,2.46559
2020-08-09,2.29357
2020-08-10,4.24311
2020-08-11,4.70183
2020-08-12,4.47247
2020-08-13,5.90596
2020-08-14,3.211
2020-08-15,1.49082
2020-08-16,1.94954
2020-08-17,1.72018
2020-08-18,3.4977
2020-08-19,4.47247
2020-08-20,4.24311
2020-08-21,4.0711
2020-08-22,2.17889
2020-08-23,2.17889
2020-08-24,3.4977
2020-08-25,3.89908
2020-08-26,4.47247
2020-08-27,4.87385
2020-08-28,3.61238
2020-08-29,2.17889
2020-08-30,2.80963
2020-08-31,4.24311
2020-09-01,4.30045
2020-09-02,5.73394
2020-09-03,4.18577
2020-09-04,4.35779
2020-09-05,1.72018
2020-09-06,2.17889
2020-09-07,4.24311
2020-09-08,3.72706
2020-09-09,4.75917
2020-09-10,4.01376
2020-09-11,3.4977
2020-09-12,1.6055
2020-09-13,1.03211
2020-09-14,4.64449
2020-09-15,3.61238
2020-09-16,5.27522
2020-09-17,4.30045
2020-09-18,3.09633
2020-09-19,1.83486
2020-09-20,2.52293
2020-09-21,3.32568
2020-09-22,4.18577
2020-09-23,2.80963
2020-09-24,3.4977
2020-09-25,3.55504
2020-09-26,2.40825
2020-09-27,1.37614
2020-09-28,3.72706
2020-09-29,2.52293
2020-09-30,2.00688
2020-10-01,1.3188
2020-10-02,2.12155
2020-10-03,1.77752
2020-10-04,1.8922
2020-10-05,4.75917
2020-10-06,4.01376
2020-10-07,4.01376
2020-10-08,4.12844
2020-10-09,1.54816
2020-10-10,1.83486
2020-10-11,2.46559
2020-10-12,3.38302
2020-10-13,5.21788
2020-10-14,4.18577
2020-10-15,4.81651
2020-10-16,4.18577
2020-10-17,2.00688
2020-10-18,2.23623
2020-10-19,4.35779
2020-10-20,5.16055
2020-10-21,4.47247
2020-10-22,6.25
2020-10-23,3.7844
2020-10-24,1.66284
2020-10-25,2.23623
2020-10-26,5.16055
2020-10-27,5.27522
2020-10-28,4.12844
2020-10-29,5.79128
2020-10-30,6.76605
2020-10-31,3.09633
2020-11-01,3.95642
2020-11-02,5.10321
2020-11-03,5.3899
2020-11-04,5.04587
2020-11-05,4.64449
2020-11-06,4.47247
2020-11-07,2.98165
2020-11-08,2.40825
2020-11-09,5.04587
2020-11-10,5.50458
2020-11-11,7.05275
2020-11-12,5.10321
2020-11-13,6.02064
2020-11-14,2.75229
2020-11-15,3.7844
2020-11-16,6.47935
2020-11-17,5.50458
2020-11-18,5.44724
2020-11-19,5.27522
2020-11-20,5.79128
2020-11-21,2.58027
2020-11-22,3.211
2020-11-23,7.68348
2020-11-24,6.65137
2020-11-25,7.91284
2020-11-26,7.05275
2020-11-27,12.32798
2020-11-28,4.64449
2020-11-29,4.93119
2020-11-30,10.20642
2020-12-01,10.37844
2020-12-02,10.55045
2020-12-03,8.1422
2020-12-04,7.28211
2020-12-05,4.87385
2020-12-06,5.73394
2020-12-07,9.63302
2020-12-08,11.41055
2020-12-09,14.85091
2020-12-10,11.75458
2020-12-11,11.23853
2020-12-12,5.33256
2020-12-13,6.59403
2020-12-14,13.64678
2020-12-15,15.82568
2020-12-16,13.99082
2020-12-17,14.1055
2020-12-18,12.2133
2020-12-19,6.70871
2020-12-20,6.76605
2020-12-21,14.62155
2020-12-22,14.73623
2020-12-23,17.31651
2020-12-24,19.55275
2020-12-25,9.40366
2020-12-26,8.19954
2020-12-27,9.28899
2020-12-28,22.36238
2020-12-29,27.63761
2020-12-30,25.51605
2020-12-31,24.7133
2021-01-01,4.0711
2021-01-02,5.21788
2021-01-03,4.58715
2021-01-04,6.93807
2021-01-05,7.74082
2021-01-06,7.51146
2021-01-07,6.76605
2021-01-08,6.88073
2021-01-09,4.87385
2021-01-10,5.73394
2021-01-11,7.33944
2021-01-12,7.62614
2021-01-13,7.28211
2021-01-14,9.69036
2021-01-15,23.45183
2021-01-16,11.6399
2021-01-17,12.27064
2021-01-18,34.40366
2021-01-19,31.36467
2021-01-20,46.55963
2021-01-21,39.44954
2021-01-22,34.91972
2021-01-23,17.8899
2021-01-24,16.2844
2021-01-25,33.54357
2021-01-26,29.70183
2021-01-27,26.43348
