date,프로그래밍
2020-03-20,64.84935
2020-03-21,50.50215
2020-03-22,48.92395
2020-03-23,60.25824
2020-03-24,69.44045
2020-03-25,64.13199
2020-03-26,58.82352
2020-03-27,53.37159
2020-03-28,40.17216
2020-03-29,47.48923
2020-03-30,58.967
2020-03-31,64.56241
2020-04-01,61.40602
2020-04-02,64.56241
2020-04-03,52.51076
2020-04-04,31.13342
2020-04-05,44.33285
2020-04-06,63.12769
2020-04-07,70.58823
2020-04-08,60.40172
2020-04-09,79.62697
2020-04-10,73.88809
2020-04-11,31.42037
2020-04-12,43.47202
2020-04-13,64.13199
2020-04-14,65.56671
2020-04-15,48.35007
2020-04-16,95.40889
2020-04-17,96.12625
2020-04-18,38.16355
2020-04-19,42.18077
2020-04-20,85.36585
2020-04-21,79.91391
2020-04-22,84.93543
2020-04-23,73.88809
2020-04-24,66.71449
2020-04-25,29.41176
2020-04-26,40.45911
2020-04-27,69.87087
2020-04-28,69.01004
2020-04-29,56.81492
2020-04-30,39.4548
2020-05-01,47.34576
2020-05-02,30.84648
2020-05-03,39.31133
2020-05-04,52.94117
2020-05-05,42.0373
2020-05-06,71.30559
2020-05-07,63.70157
2020-05-08,60.83213
2020-05-09,34.8637
2020-05-10,40.88952
2020-05-11,65.42324
2020-05-12,64.70588
2020-05-13,64.27546
2020-05-14,61.11908
2020-05-15,52.7977
2020-05-16,31.2769
2020-05-17,34.8637
2020-05-18,51.50645
2020-05-19,60.25824
2020-05-20,57.81922
2020-05-21,59.25394
2020-05-22,53.65853
2020-05-23,33.42898
2020-05-24,40.74605
2020-05-25,59.54088
2020-05-26,61.40602
2020-05-27,57.96269
2020-05-28,55.3802
2020-05-29,59.82783
2020-05-30,35.29411
2020-05-31,38.73744
2020-06-01,60.11477
2020-06-02,68.86657
2020-06-03,63.41463
2020-06-04,56.81492
2020-06-05,55.09325
2020-06-06,35.15064
2020-06-07,46.19799
2020-06-08,57.81922
2020-06-09,58.82352
2020-06-10,57.96269
2020-06-11,50.35868
2020-06-12,49.2109
2020-06-13,36.8723
2020-06-14,43.47202
2020-06-15,55.81061
2020-06-16,56.09756
2020-06-17,64.84935
2020-06-18,58.24964
2020-06-19,65.99713
2020-06-20,37.44619
2020-06-21,38.16355
2020-06-22,68.29268
2020-06-23,69.87087
2020-06-24,66.71449
2020-06-25,62.98421
2020-06-26,59.11047
2020-06-27,38.16355
2020-06-28,44.90674
2020-06-29,66.57101
2020-06-30,57.3888
2020-07-01,65.99713
2020-07-02,56.95839
2020-07-03,54.66284
2020-07-04,35.15064
2020-07-05,44.90674
2020-07-06,60.11477
2020-07-07,63.84505
2020-07-08,68.86657
2020-07-09,58.24964
2020-07-10,50.78909
2020-07-11,34.00286
2020-07-12,41.03299
2020-07-13,62.26685
2020-07-14,58.82352
2020-07-15,62.5538
2020-07-16,59.9713
2020-07-17,55.81061
2020-07-18,29.55523
2020-07-19,43.18507
2020-07-20,49.64131
2020-07-21,55.95408
2020-07-22,49.35437
2020-07-23,52.7977
2020-07-24,46.19799
2020-07-25,27.40315
2020-07-26,34.28981
2020-07-27,45.48063
2020-07-28,44.18938
2020-07-29,46.19799
2020-07-30,43.0416
2020-07-31,40.31563
2020-08-01,26.97274
2020-08-02,33.42898
2020-08-03,47.34576
2020-08-04,49.2109
2020-08-05,50.78909
2020-08-06,54.37589
2020-08-07,54.94978
2020-08-08,26.82926
2020-08-09,43.32855
2020-08-10,54.94978
2020-08-11,59.68436
2020-08-12,59.9713
2020-08-13,56.52797
2020-08-14,44.47632
2020-08-15,26.54232
2020-08-16,22.38163
2020-08-17,29.26829
2020-08-18,42.46771
2020-08-19,41.89383
2020-08-20,44.47632
2020-08-21,38.59397
2020-08-22,28.83787
2020-08-23,31.99426
2020-08-24,52.22381
2020-08-25,59.25394
2020-08-26,53.802
2020-08-27,45.19368
2020-08-28,49.2109
2020-08-29,33.2855
2020-08-30,43.0416
2020-08-31,64.84935
2020-09-01,73.17073
2020-09-02,80.05738
2020-09-03,77.18794
2020-09-04,78.04878
2020-09-05,39.4548
2020-09-06,49.35437
2020-09-07,72.02295
2020-09-08,68.43615
2020-09-09,71.01865
2020-09-10,69.58393
2020-09-11,70.87517
2020-09-12,49.2109
2020-09-13,42.75466
2020-09-14,64.41893
2020-09-15,65.85365
2020-09-16,69.01004
2020-09-17,63.84505
2020-09-18,54.08895
2020-09-19,40.17216
2020-09-20,40.74605
2020-09-21,70.44476
2020-09-22,62.69727
2020-09-23,73.45767
2020-09-24,74.46197
2020-09-25,66.42754
2020-09-26,41.03299
2020-09-27,51.64992
2020-09-28,67.43185
2020-09-29,64.70588
2020-09-30,20.37302
2020-10-01,18.36441
2020-10-02,26.1119
2020-10-03,30.12912
2020-10-04,35.29411
2020-10-05,54.94978
2020-10-06,59.39741
2020-10-07,59.25394
2020-10-08,54.23242
2020-10-09,31.42037
2020-10-10,27.97704
2020-10-11,38.30703
