date,경매
2020-03-20,40.73682
2020-03-21,34.1429
2020-03-22,39.29367
2020-03-23,49.18455
2020-03-24,47.31901
2020-03-25,43.91646
2020-03-26,97.87633
2020-03-27,53.1151
2020-03-28,42.4029
2020-03-29,45.54734
2020-03-30,51.35515
2020-03-31,49.04376
2020-04-01,48.8091
2020-04-02,48.33978
2020-04-03,43.67006
2020-04-04,37.58066
2020-04-05,41.60506
2020-04-06,53.73694
2020-04-07,60.57726
2020-04-08,54.20626
2020-04-09,51.91833
2020-04-10,46.05185
2020-04-11,38.95342
2020-04-12,47.18995
2020-04-13,55.37956
2020-04-14,52.84524
2020-04-15,48.85603
2020-04-16,53.10336
2020-04-17,52.59885
2020-04-18,41.81626
2020-04-19,50.60424
2020-04-20,57.86694
2020-04-21,60.77672
2020-04-22,59.38049
2020-04-23,54.76944
2020-04-24,51.91833
2020-04-25,40.32617
2020-04-26,48.44538
2020-04-27,62.73612
2020-04-28,60.07274
2020-04-29,52.78657
2020-04-30,43.59967
2020-05-01,47.48328
2020-05-02,46.6737
2020-05-03,50.67464
2020-05-04,52.36419
2020-05-05,57.46802
2020-05-06,56.09527
2020-05-07,50.96796
2020-05-08,43.65833
2020-05-09,42.4029
2020-05-10,45.82893
2020-05-11,55.26223
2020-05-12,54.67558
2020-05-13,53.33802
2020-05-14,52.8687
2020-05-15,48.62137
2020-05-16,41.82799
2020-05-17,47.53021
2020-05-18,67.6757
2020-05-19,62.98251
2020-05-20,54.40572
2020-05-21,51.40208
2020-05-22,48.62137
2020-05-23,42.77836
2020-05-24,47.80007
2020-05-25,59.80288
2020-05-26,61.84442
2020-05-27,56.08353
2020-05-28,53.50228
2020-05-29,45.99319
2020-05-30,38.17904
2020-05-31,43.18901
2020-06-01,54.05373
2020-06-02,57.40936
2020-06-03,53.03296
2020-06-04,53.09163
2020-06-05,47.65927
2020-06-06,41.17094
2020-06-07,47.8118
2020-06-08,56.96351
2020-06-09,56.69365
2020-06-10,53.53748
2020-06-11,51.60154
2020-06-12,46.53291
2020-06-13,39.02381
2020-06-14,44.22151
2020-06-15,54.17106
2020-06-16,53.39669
2020-06-17,51.10876
2020-06-18,49.39575
2020-06-19,45.44174
2020-06-20,35.2106
2020-06-21,39.52833
2020-06-22,54.74598
2020-06-23,52.32899
2020-06-24,49.10242
2020-06-25,45.44174
2020-06-26,42.5437
2020-06-27,35.51566
2020-06-28,40.36137
2020-06-29,53.54921
2020-06-30,50.82717
2020-07-01,46.86143
2020-07-02,48.03472
2020-07-03,45.14842
2020-07-04,35.41006
2020-07-05,38.43717
2020-07-06,54.22973
2020-07-07,51.82447
2020-07-08,50.88583
2020-07-09,48.7739
2020-07-10,39.5166
2020-07-11,33.96691
2020-07-12,39.03555
2020-07-13,49.13762
2020-07-14,46.95529
2020-07-15,46.35691
2020-07-16,44.5031
2020-07-17,42.17998
2020-07-18,35.41006
2020-07-19,41.49947
2020-07-20,52.70444
2020-07-21,49.43095
2020-07-22,47.91739
2020-07-23,47.48328
2020-07-24,43.28288
2020-07-25,37.95611
2020-07-26,38.35503
2020-07-27,50.86237
2020-07-28,51.95353
2020-07-29,48.7035
2020-07-30,43.79913
2020-07-31,38.83609
2020-08-01,33.15733
2020-08-02,39.21154
2020-08-03,45.66467
2020-08-04,45.26575
2020-08-05,42.71969
2020-08-06,44.91376
2020-08-07,43.83433
2020-08-08,36.19617
2020-08-09,37.95611
2020-08-10,48.89123
2020-08-11,49.9824
2020-08-12,46.19265
2020-08-13,45.14842
2020-08-14,41.39387
2020-08-15,30.74034
2020-08-16,33.75571
2020-08-17,40.5139
2020-08-18,44.7847
2020-08-19,45.16015
2020-08-20,42.19171
2020-08-21,41.67546
2020-08-22,37.3108
2020-08-23,39.97418
2020-08-24,51.801
2020-08-25,46.72063
2020-08-26,45.94626
2020-08-27,47.09609
2020-08-28,42.98955
2020-08-29,34.98768
2020-08-30,36.70069
2020-08-31,47.00222
2020-09-01,47.42461
2020-09-02,54.92197
2020-09-03,45.6412
2020-09-04,41.80452
2020-09-05,39.39927
2020-09-06,40.94802
2020-09-07,55.40302
2020-09-08,50.36958
2020-09-09,51.14396
2020-09-10,46.11052
2020-09-11,43.6114
2020-09-12,34.68262
2020-09-13,39.31714
2020-09-14,50.35785
2020-09-15,48.64484
2020-09-16,44.85509
2020-09-17,45.20708
2020-09-18,38.02651
2020-09-19,31.19793
2020-09-20,33.216
2020-09-21,48.32805
2020-09-22,44.09245
2020-09-23,40.68989
2020-09-24,40.95975
2020-09-25,33.26293
2020-09-26,31.69071
2020-09-27,33.26293
2020-09-28,42.95435
2020-09-29,35.67992
2020-09-30,29.30892
2020-10-01,31.81978
2020-10-02,36.98228
2020-10-03,40.39657
2020-10-04,48.41018
2020-10-05,57.52669
2020-10-06,55.20356
2020-10-07,53.57268
2020-10-08,48.45711
2020-10-09,42.19171
2020-10-10,39.99765
2020-10-11,43.92819
2020-10-12,58.86424
2020-10-13,56.81098
2020-10-14,51.76581
2020-10-15,51.20262
2020-10-16,45.10149
2020-10-17,38.78915
2020-10-18,42.23864
2020-10-19,54.95717
2020-10-20,58.2424
2020-10-21,54.10066
2020-10-22,49.88853
2020-10-23,42.36771
2020-10-24,36.68895
2020-10-25,41.33521
2020-10-26,55.81368
2020-10-27,54.35879
2020-10-28,53.09163
2020-10-29,49.95893
2020-10-30,43.85779
2020-10-31,36.97055
2020-11-01,43.28288
2020-11-02,52.81004
2020-11-03,52.9391
2020-11-04,48.04646
2020-11-05,48.46884
2020-11-06,45.99319
2020-11-07,39.36407
2020-11-08,41.08881
2020-11-09,57.02217
2020-11-10,56.02487
2020-11-11,53.29109
2020-11-12,53.40842
2020-11-13,48.08166
2020-11-14,40.74856
2020-11-15,44.29191
2020-11-16,60.64765
2020-11-17,62.02041
2020-11-18,63.99155
2020-11-19,59.68555
2020-11-20,51.88313
2020-11-21,44.98416
2020-11-22,48.46884
2020-11-23,60.72978
2020-11-24,62.52493
2020-11-25,56.29473
2020-11-26,54.94544
2020-11-27,50.69811
2020-11-28,44.33884
2020-11-29,48.71524
2020-11-30,61.39856
2020-12-01,60.02581
2020-12-02,59.89674
2020-12-03,58.67652
2020-12-04,52.21166
2020-12-05,45.46521
2020-12-06,53.61961
2020-12-07,63.3345
2020-12-08,63.92115
2020-12-09,58.73518
2020-12-10,55.1801
2020-12-11,54.58172
2020-12-12,46.53291
2020-12-13,49.75947
2020-12-14,65.5403
2020-12-15,61.80922
2020-12-16,59.01677
2020-12-17,53.18549
2020-12-18,48.97336
