date,홍콩항셍지수
2020-03-20,19.62329
2020-03-21,3.92733
2020-03-22,1.92359
2020-03-23,17.09858
2020-03-24,19.79695
2020-03-25,18.6615
2020-03-26,15.44215
2020-03-27,15.6826
2020-03-28,2.39113
2020-03-29,1.72321
2020-03-30,17.84664
2020-03-31,12.36975
2020-04-01,10.16564
2020-04-02,10.29922
2020-04-03,8.24205
2020-04-04,1.65642
2020-04-05,0.98851
2020-04-06,10.28586
2020-04-07,10.08549
2020-04-08,9.24392
2020-04-09,9.31071
2020-04-10,7.02644
2020-04-11,1.72321
2020-04-12,1.12209
2020-04-13,7.60085
2020-04-14,8.99011
2020-04-15,7.10659
2020-04-16,8.01496
2020-04-17,8.13518
2020-04-18,1.83008
2020-04-19,1.01522
2020-04-20,7.70772
2020-04-21,6.98637
2020-04-22,7.96152
2020-04-23,7.61421
2020-04-24,6.6257
2020-04-25,1.0553
2020-04-26,0.93507
2020-04-27,6.50547
2020-04-28,7.77451
2020-04-29,7.3604
2020-04-30,3.78039
2020-05-01,3.00561
2020-05-02,1.2156
2020-05-03,1.16216
2020-05-04,10.09885
2020-05-05,6.65241
2020-05-06,7.40048
2020-05-07,7.05316
2020-05-08,6.07801
2020-05-09,1.6297
2020-05-10,0.93507
2020-05-11,8.10846
2020-05-12,7.30697
2020-05-13,6.4654
2020-05-14,6.54555
2020-05-15,6.11808
2020-05-16,1.25567
2020-05-17,0.86828
2020-05-18,6.786
2020-05-19,7.70772
2020-05-20,7.18674
2020-05-21,7.88137
2020-05-22,19.40956
2020-05-23,5.5036
2020-05-24,4.1277
2020-05-25,20.6786
2020-05-26,11.75527
2020-05-27,11.52818
2020-05-28,20.59845
2020-05-29,14.68073
2020-05-30,5.45017
2020-05-31,2.67165
2020-06-01,15.96313
2020-06-02,12.86401
2020-06-03,13.37162
2020-06-04,13.13117
2020-06-05,11.34117
2020-06-06,2.32433
2020-06-07,1.77664
2020-06-08,12.54341
2020-06-09,11.26102
2020-06-10,10.5931
2020-06-11,10.2725
2020-06-12,10.96713
2020-06-13,1.56291
2020-06-14,1.22896
2020-06-15,11.24766
2020-06-16,9.93855
2020-06-17,10.4328
2020-06-18,9.44429
2020-06-19,8.7363
2020-06-20,1.40261
2020-06-21,1.00187
2020-06-22,9.27063
2020-06-23,9.60459
2020-06-24,9.93855
2020-06-25,7.60085
2020-06-26,8.69623
2020-06-27,1.36254
