date,코인만들기
2021-07-18,2.33644
2021-07-20,8.41121
2021-07-21,2.33644
2021-07-22,2.33644
2021-07-23,3.27102
2021-07-24,2.80373
2021-07-25,2.33644
2021-07-26,2.33644
2021-07-27,2.80373
2021-07-28,6.54205
2021-07-29,7.94392
2021-07-30,5.14018
2021-07-31,4.67289
2021-08-02,7.94392
2021-08-03,8.41121
2021-08-04,5.60747
2021-08-05,7.47663
2021-08-06,7.94392
2021-08-07,4.2056
2021-08-08,7.94392
2021-08-09,11.68224
2021-08-10,7.94392
2021-08-11,5.60747
2021-08-12,5.14018
2021-08-13,5.60747
2021-08-14,7.47663
2021-08-15,7.00934
2021-08-16,7.47663
2021-08-17,9.81308
2021-08-18,13.5514
2021-08-19,6.07476
2021-08-20,13.08411
2021-08-21,5.14018
2021-08-22,10.28037
2021-08-23,12.61682
2021-08-24,12.61682
2021-08-25,20.56074
2021-08-26,10.28037
2021-08-27,13.08411
2021-08-28,9.81308
2021-08-29,18.69158
2021-08-30,10.28037
2021-08-31,13.5514
2021-09-01,16.82242
2021-09-02,13.5514
2021-09-03,20.56074
2021-09-04,12.61682
2021-09-05,14.48598
2021-09-06,13.08411
2021-09-07,18.69158
2021-09-08,15.42056
2021-09-09,14.48598
2021-09-10,8.8785
2021-09-11,3.73831
2021-09-12,12.14953
2021-09-13,9.34579
2021-09-14,10.74766
2021-09-15,11.68224
2021-09-16,13.08411
2021-09-17,12.14953
2021-09-18,4.2056
2021-09-19,3.73831
2021-09-20,6.54205
2021-09-21,7.94392
2021-09-22,10.74766
2021-09-23,7.47663
2021-09-24,3.73831
2021-09-25,7.47663
2021-09-26,4.2056
2021-09-27,7.94392
2021-09-28,8.41121
2021-09-29,7.94392
2021-09-30,7.94392
2021-10-01,3.73831
2021-10-02,5.60747
2021-10-03,5.14018
2021-10-04,5.14018
2021-10-05,11.21495
2021-10-06,13.08411
2021-10-07,12.61682
2021-10-08,8.8785
2021-10-09,13.5514
2021-10-10,7.00934
2021-10-11,8.41121
2021-10-12,11.21495
2021-10-13,13.5514
2021-10-14,12.61682
2021-10-15,21.96261
2021-10-16,19.62616
2021-10-17,13.08411
2021-10-18,12.61682
2021-10-19,9.81308
2021-10-20,7.94392
