date,기아차주가
2020-03-20,5.7438
2020-03-21,0.68799
2020-03-22,0.46277
2020-03-23,5.18179
2020-03-24,5.39955
2020-03-25,6.31353
2020-03-26,6.73286
2020-03-27,6.15362
2020-03-28,0.73812
2020-03-29,0.46354
2020-03-30,5.03576
2020-03-31,5.16636
2020-04-01,5.80294
2020-04-02,5.1787
2020-04-03,4.44212
2020-04-04,0.51676
2020-04-05,0.38975
2020-04-06,4.71439
2020-04-07,6.00938
2020-04-08,5.78494
2020-04-09,7.27199
2020-04-10,7.61521
2020-04-11,0.77283
2020-04-12,0.59183
2020-04-13,6.3161
2020-04-14,5.58235
2020-04-15,0.79031
2020-04-16,5.20338
2020-04-17,6.08446
2020-04-18,0.68516
2020-04-19,0.52473
2020-04-20,5.56512
2020-04-21,5.5173
2020-04-22,5.68853
2020-04-23,5.56075
2020-04-24,5.26972
2020-04-25,0.62166
2020-04-26,0.45274
2020-04-27,5.0607
2020-04-28,5.14759
2020-04-29,4.76658
2020-04-30,0.62603
2020-05-01,0.74326
2020-05-02,0.30851
2020-05-03,0.33062
2020-05-04,3.90761
2020-05-05,0.56612
2020-05-06,4.36782
2020-05-07,3.80503
2020-05-08,4.57915
2020-05-09,0.58438
2020-05-10,0.38795
2020-05-11,4.70153
2020-05-12,4.07576
2020-05-13,4.08347
2020-05-14,3.82277
2020-05-15,3.77187
2020-05-16,0.3517
2020-05-17,0.26301
2020-05-18,3.61427
2020-05-19,5.7564
2020-05-20,4.92443
2020-05-21,4.62877
2020-05-22,4.03025
2020-05-23,0.36584
2020-05-24,0.26995
2020-05-25,3.82714
2020-05-26,4.71079
2020-05-27,4.87199
2020-05-28,4.68482
2020-05-29,5.53504
2020-05-30,0.65379
2020-05-31,0.44323
2020-06-01,5.43374
2020-06-02,6.58245
2020-06-03,7.24551
2020-06-04,6.29553
2020-06-05,5.5263
2020-06-06,0.55327
2020-06-07,0.39927
2020-06-08,5.69418
2020-06-09,5.29723
2020-06-10,4.78406
2020-06-11,4.75706
