date,샌드박스코인
2020-08-05,0.01651
2020-08-06,0.00489
2020-08-07,0.00795
2020-08-08,0.00489
2020-08-10,0.00795
2020-08-11,0.00305
2020-08-12,0.00428
2020-08-13,0.01468
2020-08-14,0.02385
2020-08-15,0.02997
2020-08-16,0.01651
2020-08-17,0.01345
2020-08-18,0.00672
2020-08-19,0.00489
2020-08-20,0.01162
2020-08-22,0.00611
2020-08-23,0.00795
2020-08-24,0.0159
2020-08-25,0.00978
2020-08-26,0.00917
2020-08-27,0.02875
2020-08-28,0.01896
2020-08-29,0.0104
2020-08-30,0.01529
2020-08-31,0.02202
2020-09-01,0.01162
2020-09-02,0.01774
2020-09-03,0.00428
2020-09-04,0.0055
2020-09-05,0.00611
2020-09-06,0.00672
2020-09-07,0.00305
2020-09-08,0.01101
2020-09-09,0.01407
2020-09-10,0.0208
2020-09-11,0.00489
2020-09-12,0.00428
2020-09-13,0.00428
2020-09-14,0.00489
2020-09-15,0.00917
2020-09-16,0.0055
2020-09-17,0.00305
2020-09-18,0.00672
2020-09-23,0.00428
2020-09-24,0.27714
2020-09-25,0.06423
2020-09-26,0.02324
2020-09-27,0.03487
2020-09-28,0.02324
2020-09-29,0.0159
2020-09-30,0.00917
2020-10-01,0.01774
2020-10-02,0.00978
2020-10-03,0.00489
2020-10-04,0.00611
2020-10-05,0.02202
2020-10-06,0.02141
2020-10-07,0.00978
2020-10-08,0.00489
2020-10-09,0.00734
2020-10-10,0.00917
2020-10-11,0.01345
2020-10-12,0.00489
2020-10-13,0.00917
2020-10-14,0.00367
2020-10-15,0.00305
2020-10-16,0.00734
2020-10-17,0.00367
2020-10-18,0.01529
2020-10-19,0.01896
2020-10-20,0.01896
2020-10-21,0.01835
2020-10-22,0.0055
2020-10-23,0.00489
2020-10-25,0.00305
2020-10-27,0.00367
2020-10-28,0.01468
2020-10-29,0.00305
2020-10-30,0.00428
2020-11-03,0.00489
2020-11-04,0.00428
2020-11-05,0.00305
2020-11-06,0.00305
2020-11-09,0.00305
2020-11-10,0.00672
2020-11-11,0.00489
2020-11-12,0.44477
2020-11-13,0.14315
2020-11-14,0.05016
2020-11-15,0.0263
2020-11-16,0.01896
2020-11-17,0.02508
2020-11-18,0.03915
2020-11-19,0.03548
2020-11-20,0.02385
2020-11-21,0.02202
2020-11-22,0.01651
2020-11-23,0.5243
2020-11-24,0.30956
2020-11-25,0.18047
2020-11-26,0.08381
2020-11-27,0.0624
2020-11-28,0.0783
2020-11-29,0.05811
2020-11-30,0.09115
2020-12-01,0.07096
2020-12-02,0.02569
2020-12-03,0.03242
2020-12-04,0.02263
2020-12-05,0.01529
2020-12-06,0.0159
2020-12-07,0.02263
2020-12-08,0.03426
2020-12-09,0.02753
2020-12-10,0.0728
2020-12-11,0.04955
2020-12-12,0.02997
2020-12-13,0.02202
2020-12-14,0.01774
2020-12-15,0.02324
2020-12-16,0.01774
2020-12-17,0.03976
2020-12-18,0.02263
2020-12-19,0.02324
2020-12-20,0.03058
2020-12-21,0.02263
2020-12-22,0.01957
2020-12-23,0.01223
2020-12-24,0.01407
2020-12-25,0.01162
2020-12-26,0.01468
2020-12-27,0.02018
2020-12-28,0.02875
2020-12-29,0.02447
2020-12-30,0.01957
2020-12-31,0.01529
2021-01-01,0.01345
2021-01-02,0.01651
2021-01-03,0.0208
2021-01-04,0.02018
2021-01-05,0.01713
2021-01-06,0.0208
2021-01-07,0.0208
2021-01-08,0.02814
2021-01-09,0.02814
2021-01-10,0.0208
2021-01-11,0.01345
2021-01-12,0.00917
2021-01-13,0.00672
2021-01-14,0.0104
2021-01-15,0.01407
2021-01-16,0.01713
2021-01-17,0.02385
2021-01-18,0.02936
2021-01-19,0.03793
2021-01-20,0.03731
2021-01-21,100.0
2021-01-22,4.26967
2021-01-23,1.93447
2021-01-24,1.28475
2021-01-25,1.04799
2021-01-26,0.74393
2021-01-27,0.64299
2021-01-28,0.41295
2021-01-29,0.32914
2021-01-30,0.25572
2021-01-31,0.34443
2021-02-01,0.44782
2021-02-02,0.45823
2021-02-03,0.5451
2021-02-04,0.5298
2021-02-05,0.88097
2021-02-06,0.74638
2021-02-07,0.45761
2021-02-08,0.68581
2021-02-09,0.81673
2021-02-10,0.66685
2021-02-11,0.75433
2021-02-12,0.74882
2021-02-13,1.67507
2021-02-14,4.02434
2021-02-15,2.04276
2021-02-16,1.05166
2021-02-17,2.45388
2021-02-18,3.36851
2021-02-19,4.70282
2021-02-20,1.97669
2021-02-21,1.47074
2021-02-22,2.37068
2021-02-23,1.50316
2021-02-24,0.7629
2021-02-25,0.69315
2021-02-26,0.49432
2021-02-27,0.40745
2021-02-28,0.38175
2021-03-01,0.35912
2021-03-02,0.43314
2021-03-03,0.75372
2021-03-04,2.08191
2021-03-05,1.57413
2021-03-06,0.75984
2021-03-07,0.61607
2021-03-08,1.08592
2021-03-09,2.39454
2021-03-10,1.15199
2021-03-11,0.89749
2021-03-12,1.35511
2021-03-13,1.39916
2021-03-14,1.84087
2021-03-15,1.20767
2021-03-16,1.32574
2021-03-17,1.67997
2021-03-18,1.90327
2021-03-19,1.09571
2021-03-20,1.42669
2021-03-21,0.91462
2021-03-22,1.06818
2021-03-23,0.7268
2021-03-24,0.81979
2021-03-25,0.68092
2021-03-26,0.62402
2021-03-27,0.69621
2021-03-28,1.73075
2021-03-29,2.1437
2021-03-30,1.38631
2021-03-31,1.44382
2021-04-01,1.38814
2021-04-02,1.78703
2021-04-03,1.07307
2021-04-04,0.94582
2021-04-05,1.08837
2021-04-06,1.01312
2021-04-07,0.83509
2021-04-08,0.95561
2021-04-09,1.07797
2021-04-10,0.77819
2021-04-11,0.62769
2021-04-12,0.99415
2021-04-13,0.91523
2021-04-14,0.74821
2021-04-15,0.47658
2021-04-16,2.23914
2021-04-17,1.38141
2021-04-18,0.86445
2021-04-19,0.85772
2021-04-20,0.74393
2021-04-21,0.59649
2021-04-22,0.47903
2021-04-23,0.41234
2021-04-24,0.67052
2021-04-25,0.59465
2021-04-26,0.47719
2021-04-27,0.40072
2021-04-28,0.74944
2021-04-29,0.5555
2021-04-30,0.38542
2021-05-01,0.37992
2021-05-02,0.26123
2021-05-03,0.45088
2021-05-04,1.99382
2021-05-05,0.78614
2021-05-06,0.76045
2021-05-07,0.58609
2021-05-08,0.43498
2021-05-09,0.47168
2021-05-10,0.50105
2021-05-11,0.46924
2021-05-12,0.39032
2021-05-13,0.30772
2021-05-14,0.28203
2021-05-15,0.54938
2021-05-16,0.42764
2021-05-17,0.2961
2021-05-18,0.33587
2021-05-19,0.31996
2021-05-20,0.32608
2021-05-21,0.28692
2021-05-22,0.30344
2021-05-23,1.91367
2021-05-24,0.58609
2021-05-25,0.32486
2021-05-26,0.29488
2021-05-27,0.48208
2021-05-28,0.38175
2021-05-29,0.2129
2021-05-30,0.16763
2021-05-31,0.18292
2021-06-01,0.17191
2021-06-02,0.15906
2021-06-03,0.15417
2021-06-04,0.19883
2021-06-05,0.11623
2021-06-06,0.12664
2021-06-07,0.1456
2021-06-08,0.13275
2021-06-09,0.13031
2021-06-10,0.11868
2021-06-11,0.23737
2021-06-12,0.22085
