date,카카오주식
2020-03-20,12.4947
2020-03-21,4.1248
2020-03-22,3.59442
2020-03-23,11.69714
2020-03-24,10.31202
2020-03-25,10.44314
2020-03-26,9.38236
2020-03-27,7.67486
2020-03-28,2.8501
2020-03-29,2.4666
2020-03-30,6.45142
2020-03-31,6.03342
2020-04-01,5.89441
2020-04-02,5.84315
2020-04-03,4.88785
2020-04-04,1.61285
2020-04-05,1.39793
2020-04-06,4.53098
2020-04-07,4.85532
2020-04-08,4.42746
2020-04-09,3.77483
2020-04-10,3.78173
2020-04-11,1.2402
2020-04-12,1.41962
2020-04-13,3.75807
2020-04-14,3.3095
2020-04-15,1.26386
2020-04-16,3.78468
2020-04-17,4.48661
2020-04-18,1.14753
2020-04-19,1.07063
2020-04-20,4.30817
2020-04-21,4.41267
2020-04-22,4.29634
2020-04-23,5.70907
2020-04-24,4.37225
2020-04-25,1.06866
2020-04-26,1.04894
2020-04-27,3.95524
2020-04-28,3.68709
2020-04-29,3.38443
2020-04-30,1.11401
2020-05-01,1.01345
2020-05-02,0.71474
2020-05-03,0.90698
2020-05-04,3.46428
2020-05-05,1.13964
2020-05-06,5.63316
2020-05-07,6.16355
2020-05-08,4.87701
2020-05-09,1.22738
2020-05-10,1.2678
2020-05-11,4.61182
2020-05-12,5.18953
2020-05-13,4.9125
2020-05-14,6.52141
2020-05-15,5.69724
2020-05-16,1.3516
2020-05-17,1.32301
2020-05-18,4.46887
2020-05-19,4.9894
2020-05-20,7.0242
2020-05-21,7.43628
2020-05-22,8.63902
2020-05-23,2.62039
2020-05-24,2.31182
2020-05-25,17.74141
2020-05-26,11.50983
2020-05-27,9.54009
2020-05-28,8.31665
2020-05-29,6.67028
2020-05-30,1.98747
2020-05-31,1.61482
2020-06-01,5.81554
2020-06-02,5.78991
2020-06-03,7.88583
2020-06-04,6.18031
2020-06-05,5.28811
2020-06-06,1.47483
2020-06-07,1.53891
2020-06-08,6.11721
2020-06-09,4.68181
2020-06-10,4.95193
2020-06-11,4.71927
2020-06-12,4.83955
2020-06-13,1.21161
2020-06-14,1.16133
2020-06-15,5.19445
2020-06-16,4.72913
2020-06-17,4.5921
2020-06-18,3.76004
2020-06-19,3.623
2020-06-20,1.09331
2020-06-21,1.15443
2020-06-22,5.03573
2020-06-23,5.61837
2020-06-24,4.76659
2020-06-25,4.21649
2020-06-26,3.74229
2020-06-27,0.95331
2020-06-28,1.38019
2020-06-29,3.78074
2020-06-30,3.60822
2020-07-01,3.23064
2020-07-02,4.20269
2020-07-03,4.7873
2020-07-04,1.25301
2020-07-05,1.5744
2020-07-06,6.38044
2020-07-07,6.59042
2020-07-08,7.83851
2020-07-09,12.33302
2020-07-10,10.00345
2020-07-11,2.21816
2020-07-12,2.15803
2020-07-13,7.47276
2020-07-14,7.13067
2020-07-15,6.51944
2020-07-16,6.87139
2020-07-17,5.43895
2020-07-18,1.49849
2020-07-19,1.35751
2020-07-20,6.36072
2020-07-21,5.73076
2020-07-22,5.5188
2020-07-23,5.71696
2020-07-24,5.00911
2020-07-25,1.38118
2020-07-26,2.01902
2020-07-27,4.95982
2020-07-28,4.94503
2020-07-29,4.58125
2020-07-30,4.50436
2020-07-31,4.87307
2020-08-01,1.69665
2020-08-02,1.53793
2020-08-03,7.07842
2020-08-04,6.63281
2020-08-05,6.33311
2020-08-06,7.48361
2020-08-07,6.77379
2020-08-08,1.90171
2020-08-09,1.66411
2020-08-10,5.58091
2020-08-11,5.6095
2020-08-12,5.24572
2020-08-13,5.23487
2020-08-14,4.9056
2020-08-15,1.49258
2020-08-16,1.29836
2020-08-17,2.45773
2020-08-18,7.78626
2020-08-19,5.9437
2020-08-20,6.37846
2020-08-21,5.52176
2020-08-22,1.67299
2020-08-23,1.81002
2020-08-24,6.00088
2020-08-25,5.90723
2020-08-26,7.61374
2020-08-27,11.90811
2020-08-28,9.0797
2020-08-29,2.82742
2020-08-30,3.35978
2020-08-31,10.23512
2020-09-01,10.54764
2020-09-02,10.27456
2020-09-03,9.72248
2020-09-04,9.27687
2020-09-05,2.58786
2020-09-06,2.61842
2020-09-07,9.17336
2020-09-08,8.27426
2020-09-09,8.24961
2020-09-10,8.28806
2020-09-11,7.78133
2020-09-12,2.07423
2020-09-13,1.79819
2020-09-14,6.60915
2020-09-15,6.3341
2020-09-16,6.45733
2020-09-17,6.5155
2020-09-18,4.86321
2020-09-19,1.57835
2020-09-20,1.40188
2020-09-21,5.37388
2020-09-22,5.99398
2020-09-23,5.7978
2020-09-24,5.40247
2020-09-25,4.41563
2020-09-26,1.56849
2020-09-27,1.34568
2020-09-28,4.87208
2020-09-29,3.72553
2020-09-30,1.36934
2020-10-01,1.35751
2020-10-02,1.26484
2020-10-03,1.254
2020-10-04,1.44624
2020-10-05,4.39
2020-10-06,4.65914
2020-10-07,4.00847
2020-10-08,3.76793
2020-10-09,1.30526
2020-10-10,1.14654
2020-10-11,1.30132
2020-10-12,4.19874
2020-10-13,3.5116
2020-10-14,3.48991
2020-10-15,3.7906
2020-10-16,3.8182
2020-10-17,1.26189
2020-10-18,1.35456
2020-10-19,3.72751
2020-10-20,4.60886
2020-10-21,3.23655
2020-10-22,3.19909
2020-10-23,3.95819
2020-10-24,1.18499
2020-10-25,1.68876
2020-10-26,5.91018
2020-10-27,3.87538
2020-10-28,3.33316
2020-10-29,3.31345
2020-10-30,3.12219
2020-10-31,1.02528
2020-11-01,0.9474
2020-11-02,3.16557
2020-11-03,2.85601
2020-11-04,4.56745
2020-11-05,4.53295
2020-11-06,4.12579
2020-11-07,1.01937
2020-11-08,0.99669
2020-11-09,3.48006
2020-11-10,4.21057
2020-11-11,3.60033
2020-11-12,3.25627
2020-11-13,2.9891
2020-11-14,1.01444
2020-11-15,0.93656
2020-11-16,3.64469
2020-11-17,3.57864
2020-11-18,3.39034
2020-11-19,3.36964
2020-11-20,2.88559
2020-11-21,1.15936
2020-11-22,1.2816
2020-11-23,3.59146
2020-11-24,3.93453
2020-11-25,4.56154
2020-11-26,4.18297
2020-11-27,3.63681
2020-11-28,1.88396
2020-11-29,1.83171
2020-11-30,3.75215
2020-12-01,3.89609
2020-12-02,4.06861
2020-12-03,4.33972
2020-12-04,6.17242
2020-12-05,1.84453
2020-12-06,1.91156
2020-12-07,4.80307
2020-12-08,4.6966
2020-12-09,4.34564
2020-12-10,4.38211
2020-12-11,3.83201
2020-12-12,1.47582
2020-12-13,1.46694
2020-12-14,3.71666
2020-12-15,3.35387
2020-12-16,3.1912
2020-12-17,3.14388
2020-12-18,3.18923
2020-12-19,1.29245
2020-12-20,1.30625
2020-12-21,3.85665
2020-12-22,4.05777
2020-12-23,3.63188
2020-12-24,3.43175
2020-12-25,1.3723
2020-12-26,1.36047
2020-12-27,1.82382
2020-12-28,4.09621
2020-12-29,4.44225
2020-12-30,5.226
2020-12-31,2.67954
2021-01-01,2.00128
2021-01-02,2.10775
2021-01-03,2.31872
2021-01-04,6.23354
2021-01-05,5.30881
2021-01-06,6.72055
2021-01-07,5.96933
2021-01-08,9.48686
2021-01-09,3.47611
2021-01-10,2.9477
2021-01-11,10.32976
2021-01-12,7.72711
2021-01-13,6.63676
2021-01-14,5.90328
2021-01-15,5.64893
2021-01-16,1.87607
2021-01-17,1.50046
2021-01-18,4.8356
