date,인도주식
2020-03-20,18.08712
2020-03-21,9.2803
2020-03-22,7.10227
2020-03-23,28.88257
2020-03-24,25.94696
2020-03-25,28.59848
2020-03-26,31.53409
2020-03-27,27.27272
2020-03-28,15.3409
2020-03-29,9.65909
2020-03-30,26.60984
2020-03-31,24.43181
2020-04-01,23.01136
2020-04-02,18.18181
2020-04-03,18.84469
2020-04-04,6.62878
2020-04-05,9.56439
2020-04-06,19.69696
2020-04-07,36.74242
2020-04-08,28.97727
2020-04-09,29.73484
2020-04-10,26.89393
2020-04-11,12.68939
2020-04-12,10.79545
2020-04-13,28.40909
2020-04-14,25.18939
2020-04-15,20.45454
2020-04-16,24.05303
2020-04-17,24.62121
2020-04-18,13.63636
2020-04-19,12.5
2020-04-20,26.23106
2020-04-21,27.17803
2020-04-22,23.39015
2020-04-23,24.33712
2020-04-24,20.73863
2020-04-25,9.84848
2020-04-26,7.38636
2020-04-27,24.52651
2020-04-28,24.24242
2020-04-29,25.66287
2020-04-30,20.54924
2020-05-01,17.70833
2020-05-02,9.2803
2020-05-03,8.42803
2020-05-04,21.30681
2020-05-05,16.95075
2020-05-06,20.26515
2020-05-07,18.37121
2020-05-08,20.35984
2020-05-09,9.46969
2020-05-10,7.38636
2020-05-11,17.14015
2020-05-12,15.71969
2020-05-13,17.51893
2020-05-14,17.32954
2020-05-15,14.29924
2020-05-16,7.76515
2020-05-17,7.95454
2020-05-18,26.70454
2020-05-19,23.76893
2020-05-20,24.24242
2020-05-21,20.54924
2020-05-22,21.02272
2020-05-23,8.42803
2020-05-24,7.29166
2020-05-25,19.88636
2020-05-26,19.03409
2020-05-27,21.11742
2020-05-28,19.79166
2020-05-29,18.6553
2020-05-30,8.42803
2020-05-31,10.51136
2020-06-01,23.10606
2020-06-02,31.43939
2020-06-03,33.33333
2020-06-04,27.55681
2020-06-05,30.20833
2020-06-06,11.83712
2020-06-07,8.90151
2020-06-08,29.26136
2020-06-09,27.36742
2020-06-10,24.8106
2020-06-11,21.30681
2020-06-12,19.98106
2020-06-13,5.68181
2020-06-14,8.04924
2020-06-15,16.76136
2020-06-16,17.42424
2020-06-17,17.51893
2020-06-18,17.51893
2020-06-19,21.49621
2020-06-20,8.90151
2020-06-21,5.68181
2020-06-22,18.84469
2020-06-23,18.6553
2020-06-24,24.43181
2020-06-25,19.31818
2020-06-26,15.15151
2020-06-27,6.72348
2020-06-28,7.19696
2020-06-29,17.04545
2020-06-30,20.07575
2020-07-01,16.38257
2020-07-02,22.25378
2020-07-03,21.02272
2020-07-04,5.77651
2020-07-05,7.00757
2020-07-06,26.04166
2020-07-07,25.56818
2020-07-08,23.67424
2020-07-09,26.60984
2020-07-10,19.98106
2020-07-11,9.0909
2020-07-12,6.25
2020-07-13,23.48484
2020-07-14,22.91666
2020-07-15,26.23106
2020-07-16,32.67045
2020-07-17,19.98106
2020-07-18,7.85984
2020-07-19,6.25
2020-07-20,22.44318
2020-07-21,34.1856
2020-07-22,31.91287
2020-07-23,27.27272
2020-07-24,22.34848
2020-07-25,9.75378
2020-07-26,9.1856
2020-07-27,24.14772
2020-07-28,24.43181
2020-07-29,24.33712
2020-07-30,23.76893
2020-07-31,32.67045
2020-08-01,12.02651
2020-08-02,8.04924
2020-08-03,23.01136
2020-08-04,21.30681
2020-08-05,25.37878
2020-08-06,22.06439
2020-08-07,23.76893
2020-08-08,7.38636
2020-08-09,7.85984
2020-08-10,25.18939
2020-08-11,28.78787
2020-08-12,24.33712
2020-08-13,27.55681
2020-08-14,24.62121
2020-08-15,5.49242
2020-08-16,19.22348
2020-08-17,21.875
2020-08-18,31.25
2020-08-19,29.92424
2020-08-20,22.91666
2020-08-21,20.73863
2020-08-22,7.57575
2020-08-23,8.33333
2020-08-24,33.61742
2020-08-25,27.55681
2020-08-26,26.23106
2020-08-27,26.89393
2020-08-28,23.48484
2020-08-29,10.70075
2020-08-30,10.98484
2020-08-31,30.39772
2020-09-01,29.73484
2020-09-02,28.125
2020-09-03,27.08333
2020-09-04,21.21212
2020-09-05,9.56439
2020-09-06,14.10984
2020-09-07,26.04166
2020-09-08,27.08333
2020-09-09,26.89393
2020-09-10,29.73484
2020-09-11,24.14772
2020-09-12,7.67045
2020-09-13,5.49242
2020-09-14,23.67424
2020-09-15,26.32575
2020-09-16,26.51515
2020-09-17,20.73863
2020-09-18,23.10606
2020-09-19,8.61742
2020-09-20,6.1553
2020-09-21,19.12878
2020-09-22,21.7803
2020-09-23,21.49621
2020-09-24,17.99242
2020-09-25,14.77272
2020-09-26,7.48106
2020-09-27,4.35606
2020-09-28,18.18181
2020-09-29,17.23484
2020-09-30,10.41666
2020-10-01,12.97348
