date,SK주가
2020-03-20,22.13893
2020-03-21,4.70436
2020-03-22,4.04523
2020-03-23,22.17124
2020-03-24,25.32471
2020-03-25,31.9483
2020-03-26,28.66558
2020-03-27,23.65105
2020-03-28,4.82714
2020-03-29,4.29079
2020-03-30,24.05169
2020-03-31,21.24071
2020-04-01,23.7609
2020-04-02,22.02907
2020-04-03,18.06785
2020-04-04,3.57996
2020-04-05,3.14701
2020-04-06,17.13085
2020-04-07,19.37964
2020-04-08,17.26655
2020-04-09,15.93537
2020-04-10,18.46203
2020-04-11,3.67689
2020-04-12,2.53957
2020-04-13,20.38126
2020-04-14,16.94991
2020-04-15,3.12762
2020-04-16,15.80613
2020-04-17,21.26009
2020-04-18,3.01777
2020-04-19,3.08885
2020-04-20,18.21647
2020-04-21,19.87722
2020-04-22,21.19547
2020-04-23,18.59773
2020-04-24,16.67851
2020-04-25,2.42972
2020-04-26,2.07431
2020-04-27,15.87722
2020-04-28,16.54281
2020-04-29,15.12116
2020-04-30,2.6042
2020-05-01,2.70759
2020-05-02,1.48626
2020-05-03,1.37641
2020-05-04,13.18901
2020-05-05,2.40387
2020-05-06,15.49596
2020-05-07,13.17609
2020-05-08,13.92568
2020-05-09,1.86106
2020-05-10,1.80936
2020-05-11,15.33441
2020-05-12,15.54119
2020-05-13,15.37318
2020-05-14,14.21001
2020-05-15,14.46203
2020-05-16,2.04846
2020-05-17,2.042
2020-05-18,26.42972
2020-05-19,33.86752
2020-05-20,35.83198
2020-05-21,47.03069
2020-05-22,34.22294
2020-05-23,5.08562
2020-05-24,4.53634
2020-05-25,40.49757
2020-05-26,45.91922
2020-05-27,48.87237
2020-05-28,51.7092
2020-05-29,42.72697
2020-05-30,7.01777
2020-05-31,6.48788
2020-06-01,37.95799
2020-06-02,32.28432
2020-06-03,34.91437
2020-06-04,31.15993
2020-06-05,43.3861
2020-06-06,7.12762
2020-06-07,8.20032
2020-06-08,38.75282
2020-06-09,34.17124
2020-06-10,32.49757
2020-06-11,34.02907
2020-06-12,47.3861
2020-06-13,8.84006
2020-06-14,7.82552
2020-06-15,89.67366
2020-06-16,65.05331
2020-06-17,60.16801
2020-06-18,55.10177
2020-06-19,58.10662
2020-06-20,11.04361
2020-06-21,9.24071
2020-06-22,52.62681
2020-06-23,60.16155
2020-06-24,72.10985
2020-06-25,59.06946
2020-06-26,54.80452
2020-06-27,8.22617
2020-06-28,7.52827
2020-06-29,51.56058
2020-06-30,50.07431
2020-07-01,52.84652
2020-07-02,88.07754
2020-07-03,58.48142
2020-07-04,7.96122
2020-07-05,7.51534
2020-07-06,62.49434
2020-07-07,55.32794
2020-07-08,54.57835
2020-07-09,56.16155
2020-07-10,51.42487
2020-07-11,8.65266
2020-07-12,7.44426
2020-07-13,40.41357
2020-07-14,50.11308
2020-07-15,42.8239
2020-07-16,37.2084
2020-07-17,33.63489
2020-07-18,6.29402
2020-07-19,5.22778
2020-07-20,38.08077
2020-07-21,39.90306
2020-07-22,42.52665
2020-07-23,36.14216
2020-07-24,32.47819
2020-07-25,5.91922
2020-07-26,8.42003
2020-07-27,35.45072
2020-07-28,31.98061
2020-07-29,31.89014
2020-07-30,32.56865
2020-07-31,27.29563
2020-08-01,5.4281
2020-08-02,4.9176
2020-08-03,30.86268
2020-08-04,37.09854
2020-08-05,42.85621
2020-08-06,37.44749
2020-08-07,37.97092
2020-08-08,5.79644
2020-08-09,5.09854
2020-08-10,38.51373
2020-08-11,32.65266
2020-08-12,27.33441
2020-08-13,27.77382
2020-08-14,24.71728
2020-08-15,3.26978
2020-08-16,4.22617
2020-08-17,5.38287
2020-08-18,26.75928
2020-08-19,24.29079
2020-08-20,28.36187
2020-08-21,27.5218
2020-08-22,3.96768
2020-08-23,3.12762
2020-08-24,24.0
2020-08-25,26.02907
2020-08-26,24.39418
2020-08-27,24.73667
2020-08-28,34.3651
2020-08-29,6.46203
2020-08-30,6.41033
2020-08-31,32.16155
2020-09-01,28.66558
2020-09-02,26.58481
2020-09-03,25.32471
2020-09-04,22.20355
2020-09-05,3.82552
2020-09-06,4.74959
2020-09-07,26.31987
2020-09-08,24.8336
2020-09-09,23.21163
2020-09-10,24.44588
2020-09-11,22.22294
2020-09-12,3.90953
2020-09-13,3.57996
2020-09-14,24.60743
2020-09-15,23.32794
2020-09-16,29.64781
2020-09-17,23.82552
2020-09-18,22.28109
2020-09-19,3.4378
2020-09-20,2.89499
2020-09-21,20.99515
2020-09-22,19.84491
2020-09-23,23.14701
2020-09-24,22.71405
2020-09-25,20.12277
2020-09-26,2.97253
2020-09-27,2.48142
2020-09-28,20.58804
2020-09-29,18.77221
2020-09-30,2.42326
2020-10-01,2.14539
2020-10-02,2.26171
2020-10-03,2.57189
2020-10-04,2.37156
2020-10-05,20.68497
2020-10-06,19.66397
2020-10-07,18.7399
2020-10-08,22.66235
2020-10-09,3.41195
2020-10-10,2.83037
2020-10-11,2.66882
2020-10-12,19.44426
